Suppose, for instance, you finally have
1063
752,1718,0
755,1715,0
759,1708,0
763,1701,0
767,1693,0
770,1682,0
773,1674,0
774,1667,0
774,1662,0
773,1658,0
769,1649,0
764,1639,0
757,1630,0
750,1624,0
741,1618,0
731,1611,0
722,1613,0
713,1611,0
706,1614,0
699,1616,0
694,1623,0
690,1626,0
687,1633,0
682,1636,0
680,1644,0
679,1652,0
679,1664,0
677,1668,0
678,1685,0
678,1693,0
681,1706,0
686,1720,0
692,1742,0
697,1759,0
702,1781,0
707,1807,0
709,1829,0
711,1857,0
709,1877,0
708,1910,0
703,1933,0
697,1961,0
690,1983,0
679,1994,0
667,2007,0
654,2017,0
639,2017,0
625,2005,0
615,1995,0
608,1972,0
603,1947,0
603,1913,0
605,1885,1
889,1633,0
887,1628,0
889,1633,0
889,1633,0
889,1637,0
890,1645,0
889,1657,0
890,1673,0
889,1689,0
887,1713,0
884,1737,0
878,1760,0
870,1792,0
859,1818,0
852,1857,0
848,1901,0
844,1937,0
844,1970,0
847,1998,0
852,2019,0
860,2024,0
870,2025,0
883,2014,0
898,1988,0
916,1945,0
938,1903,0
962,1853,0
985,1802,0
1006,1751,0
1028,1713,0
1046,1681,0
1058,1660,0
1062,1653,0
1061,1652,0
1059,1669,0
1052,1708,0
1037,1764,0
1024,1836,0
1014,1908,0
1009,1964,0
1008,2004,0
1011,2039,0
1013,2063,0
1013,2072,0
1011,2064,1
1191,1645,0
1188,1645,0
1189,1648,0
1187,1661,0
1185,1686,0
1182,1721,0
1180,1770,0
1173,1822,0
1163,1879,0
1152,1935,0
1143,2000,0
1134,2064,0
1126,2120,0
1119,2164,0
1117,2200,0
1117,2228,0
1118,2236,0
1117,2232,0
1117,2221,0
1114,2181,0
1119,2137,0
1122,2077,0
1132,2024,0
1139,1968,0
1149,1915,0
1159,1863,0
1172,1814,0
1184,1766,0
1201,1728,0
1216,1695,0
1233,1669,0
1247,1652,0
1260,1646,0
1276,1660,0
1287,1683,0
1298,1726,0
1300,1773,0
1295,1823,0
1286,1872,0
1266,1915,0
1243,1957,0
1215,1988,0
1188,2010,0
1164,2022,0
1144,2019,1
1401,1679,0
1405,1682,0
1403,1679,0
1405,1682,0
1401,1679,0
1400,1683,0
1400,1700,0
1397,1725,0
1394,1762,0
1388,1800,0
1387,1853,0
1385,1911,0
1380,1972,0
1375,2034,0
1372,2095,0
1370,2147,0
1367,2193,0
1363,2225,0
1362,2246,0
1360,2246,0
1358,2242,0
1360,2226,0
1362,2189,0
1368,2144,0
1372,2091,0
1376,2029,0
1385,1975,0
1394,1921,0
1402,1870,0
1410,1820,0
1418,1773,0
1433,1738,0
1445,1706,0
1457,1683,0
1468,1667,0
1485,1663,0
1505,1674,0
1524,1698,0
1541,1730,0
1550,1765,0
1558,1809,0
1556,1850,0
1541,1884,0
1525,1917,0
1504,1947,0
1479,1973,0
1448,1988,0
1425,2000,0
1402,2000,0
1387,1999,0
1372,1989,0
1363,1983,0
1354,1968,0
1353,1961,0
1354,1948,0
1360,1935,0
1372,1920,1
1737,1703,0
1734,1696,0
1730,1688,0
1725,1681,0
1714,1673,0
1703,1669,0
1693,1669,0
1677,1667,0
1666,1679,0
1648,1699,0
1632,1730,0
1622,1776,0
1616,1833,0
1614,1884,0
1612,1918,0
1621,1944,0
1631,1958,0
1648,1965,0
1667,1955,0
1688,1931,0
1714,1896,0
1742,1851,0
1762,1796,0
1780,1749,0
1791,1709,0
1793,1677,0
1795,1659,0
1792,1647,0
1787,1640,0
1785,1641,0
1786,1645,0
1786,1649,0
1786,1659,1
1915,1668,0
1909,1667,0
