thought, too, for your ending.
751
593,4634,0
591,4634,0
591,4634,0
591,4633,0
591,4633,0
593,4634,0
597,4634,0
606,4636,0
619,4633,0
636,4630,0
656,4629,0
680,4627,0
711,4617,0
743,4612,0
775,4610,0
809,4604,0
841,4598,0
870,4596,0
898,4593,0
923,4594,0
942,4586,0
959,4587,0
972,4587,0
982,4587,0
988,4588,0
992,4588,0
995,4588,0
995,4588,0
993,4583,1
822,4553,0
808,4588,0
794,4628,0
778,4666,0
762,4705,0
748,4741,0
736,4772,0
727,4799,0
723,4818,1
1059,4344,0
1057,4356,0
1054,4372,0
1048,4396,0
1040,4428,0
1032,4464,0
1020,4505,0
1009,4548,0
997,4591,1
973,4675,0
961,4711,0
950,4746,0
941,4770,0
933,4787,0
928,4794,0
927,4794,0
928,4790,0
932,4774,0
938,4751,0
948,4727,0
962,4695,0
977,4664,0
997,4631,0
1017,4600,0
1036,4572,0
1056,4548,0
1073,4533,0
1088,4524,0
1100,4520,0
1107,4529,0
1112,4541,0
1112,4560,0
1107,4589,0
1101,4620,0
1092,4648,0
1083,4677,0
1076,4704,1
1213,4702,0
1204,4695,0
1196,4679,0
1194,4663,0
1192,4639,1
1208,4579,0
1219,4555,0
1234,4541,0
1249,4529,0
1266,4524,0
1281,4524,0
1295,4526,0
1307,4538,0
1315,4558,0
1317,4578,0
1316,4602,0
1310,4630,0
1302,4659,0
1287,4683,0
1272,4708,0
1252,4717,0
1235,4729,0
1218,4730,0
1205,4723,0
1194,4711,1
1418,4760,0
1430,4763,0
1445,4762,0
1461,4753,0
1476,4739,0
1488,4718,0
1500,4689,0
1511,4664,0
1519,4631,0
1524,4598,0
1527,4570,0
1527,4538,0
1527,4518,1
1708,4511,0
1705,4515,0
1696,4517,0
1684,4523,0
1669,4533,0
1652,4547,0
1635,4565,0
1619,4579,0
1608,4597,0
1604,4618,0
1604,4625,0
1608,4625,0
1619,4623,0
1630,4611,0
1646,4596,0
1662,4574,0
1677,4552,0
1691,4526,0
1700,4508,0
1705,4491,0
1706,4479,0
1706,4475,0
1704,4471,0
1703,4480,0
1697,4492,0
1696,4517,0
1695,4541,0
1697,4573,0
1699,4609,0
1702,4646,0
1706,4685,0
1708,4726,0
1707,4765,0
1703,4799,0
1694,4836,0
1684,4862,0
1669,4880,0
1654,4889,0
1638,4892,0
1623,4885,0
1609,4871,0
1599,4852,0
1597,4824,0
1601,4787,0
1612,4750,1
1825,4342,0
1827,4345,0
1827,4345,0
1829,4357,0
1827,4375,0
1824,4399,0
1821,4432,0
1818,4469,0
1814,4507,0
1810,4548,0
1807,4589,0
1804,4625,0
1802,4654,0
1802,4678,0
1803,4695,0
1802,4695,0
1804,4699,0
1809,4690,0
1814,4665,0
1824,4639,0
1836,4613,0
1849,4578,0
1863,4547,0
1877,4516,0
1894,4492,0
1911,4477,0
1923,4463,0
1936,4456,0
1944,4454,0
1953,4468,0
1957,4488,0
1959,4516,0
1959,4549,0
1955,4587,0
1952,4628,0
1948,4661,0
1947,4694,1
2019,4442,0
2021,4446,0
2027,4445,0
2038,4447,0
2053,4451,0
2068,4452,0
2089,4456,0
2111,4454,0
2133,4452,0
2154,4443,0
2175,4439,0
2191,4425,0
2204,4414,1
2125,4286,0
2119,4304,0
2113,4330,0
2106,4365,0
2096,4404,0
2085,4444,0
2075,4488,0
