boy, keeping the ship off the rocks,
745
643,2410,0
582,2333,0
613,2303,0
641,2276,0
664,2252,0
677,2234,0
680,2222,0
671,2212,0
655,2217,0
633,2229,0
604,2260,0
682,2386,0
722,2490,0
731,2454,0
737,2427,0
742,2399,0
745,2388,0
745,2384,0
747,2388,0
752,2397,0
764,2407,0
783,2409,0
806,2404,0
833,2400,0
861,2386,0
886,2368,0
908,2355,0
920,2331,0
924,2327,0
920,2335,0
901,2357,0
875,2399,0
852,2441,0
836,2472,0
827,2491,0
825,2499,0
825,2495,0
830,2480,0
841,2464,0
856,2442,0
871,2415,0
885,2388,0
893,2365,0
898,2362,0
897,2357,0
898,2377,0
902,2398,0
916,2415,0
938,2424,0
965,2426,0
991,2420,0
1014,2404,0
1035,2388,0
1054,2364,0
1069,2345,0
1076,2336,0
1078,2340,0
1071,2353,0
1061,2381,0
1056,2405,0
1056,2425,0
1059,2441,0
1066,2449,0
1073,2445,0
1089,2437,0
1106,2417,0
1129,2393,0
1155,2371,0
1181,2350,0
1203,2341,0
1214,2337,0
1221,2344,0
1225,2368,0
1223,2404,0
1218,2457,0
1206,2505,0
1190,2546,0
1170,2583,0
1141,2608,0
1143,2508,0
1199,2470,0
1236,2431,1
1387,2448,0
1386,2452,0
1383,2461,0
1379,2486,0
1367,2523,0
1341,2547,0
1322,2581,0
1307,2602,0
1301,2619,1
1695,2147,0
1697,2155,0
1695,2164,0
1692,2181,0
1691,2215,0
1689,2254,0
1678,2286,0
1664,2315,0
1652,2351,0
1634,2389,0
1615,2427,0
1603,2457,0
1598,2475,1
1742,2304,0
1720,2319,0
1699,2347,0
1677,2374,0
1664,2405,0
1658,2427,0
1660,2444,0
1669,2453,0
1684,2453,0
1710,2451,0
1742,2442,0
1776,2424,0
1809,2401,0
1843,2381,0
1868,2355,0
1886,2327,0
1896,2302,0
1895,2294,0
1844,2376,0
1833,2397,0
1832,2419,0
1838,2433,0
1848,2443,0
1863,2450,0
1884,2447,0
1915,2444,0
1944,2425,0
1978,2407,0
2014,2384,0
2033,2354,0
2048,2330,0
2059,2316,0
2058,2308,0
2050,2307,0
2038,2317,0
2021,2338,0
2001,2363,0
1981,2393,0
1970,2420,0
1966,2434,0
1970,2445,0
1981,2449,0
1998,2446,0
2020,2433,0
2049,2417,0
2082,2393,0
2110,2363,0
2137,2338,0
2158,2318,0
2176,2308,0
2179,2306,0
2186,2316,0
2178,2334,0
2170,2365,0
2160,2406,0
2147,2451,0
2129,2487,0
2111,2516,0
2095,2540,0
2082,2559,0
2072,2567,0
2074,2572,0
2073,2567,0
2075,2549,0
2087,2522,0
2096,2484,0
2113,2441,0
2130,2398,0
2152,2360,0
2178,2330,0
2234,2405,0
2208,2417,0
2190,2427,0
2174,2426,0
2173,2430,0
2172,2431,0
2172,2431,0
2173,2430,0
2180,2432,0
2198,2437,0
2218,2434,0
2246,2434,0
2268,2422,0
2299,2410,0
2329,2394,0
2364,2375,0
2393,2348,0
2421,2322,0
2439,2306,0
2447,2300,0
2449,2304,0
2444,2307,0
2438,2325,0
2429,2349,0
2424,2376,0
2419,2393,0
2425,2409,0
2427,2412,0
2439,2418,0
2458,2416,0
2478,2404,0
2507,2391,0
2539,2374,0
2570,2354,0
2601,2337,0
2625,2321,0
2642,2307,0
2654,2294,0
2661,2288,0
2666,2289,0
2661,2289,0
2658,2296,0
2651,2311,0
2634,2328,0
2621,2357,0
2601,2381,0
2584,2396,0
2583,2408,0
2582,2408,0
2584,2406,0
2594,2395,0
2615,2375,0
2639,2349,0
2673,2329,0
2699,2310,0
2719,2305,0
2726,2309,0
2731,2326,0
2720,2344,0
2709,2362,0
2707,2379,0
