weapon, more than likely, and
894
957,5695,0
960,5695,0
961,5699,0
961,5715,0
958,5743,0
953,5783,0
943,5831,0
938,5891,0
932,5955,0
936,6010,0
944,6058,0
962,6091,0
983,6107,0
1008,6104,0
1031,6080,0
1056,6044,0
1080,5992,0
1103,5923,0
1122,5856,0
1141,5780,0
1155,5716,0
1165,5660,0
1168,5624,0
1171,5608,0
1170,5612,0
1168,5624,0
1166,5656,0
1167,5704,0
1174,5759,0
1180,5820,0
1191,5875,0
1200,5927,0
1216,5971,0
1228,5998,0
1242,6014,0
1251,6022,0
1260,6017,0
1267,6001,0
1276,5969,0
1284,5929,0
1293,5877,0
1298,5816,0
1305,5755,0
1307,5699,0
1308,5655,0
1304,5628,0
1298,5615,0
1293,5612,0
1292,5616,0
1294,5636,0
1303,5656,0
1314,5675,0
1329,5698,1
1309,5900,0
1301,5908,0
1298,5920,0
1297,5932,0
1300,5940,0
1311,5947,0
1331,5951,0
1359,5942,0
1393,5932,0
1425,5906,0
1451,5873,0
1474,5834,0
1488,5798,0
1495,5761,0
1491,5721,0
1481,5690,0
1463,5671,0
1444,5660,0
1421,5670,0
1403,5690,0
1387,5723,0
1379,5768,0
1377,5821,0
1384,5876,0
1394,5928,0
1414,5979,0
1432,6017,0
1452,6041,0
1472,6055,0
1491,6058,0
1503,6049,0
1517,6032,0
1529,6010,1
1676,5757,0
1677,5748,0
1675,5736,0
1667,5729,0
1656,5723,0
1643,5723,0
1630,5729,0
1616,5747,0
1599,5768,0
1587,5805,0
1578,5846,0
1574,5895,0
1575,5943,0
1583,5991,0
1597,6029,0
1616,6060,0
1639,6078,0
1661,6080,0
1682,6061,0
1698,6039,0
1715,6006,0
1724,5964,0
1732,5916,0
1735,5863,0
1737,5806,0
1736,5762,0
1734,5726,0
1728,5694,0
1727,5675,0
1725,5670,0
1724,5670,0
1727,5690,0
1732,5722,0
1737,5766,0
1742,5813,0
1746,5870,0
1752,5921,0
1757,5972,0
1762,6008,0
1768,6036,0
1773,6044,0
1774,6043,0
1775,6039,0
1773,6019,0
1776,6003,1
1833,5705,0
1835,5705,0
1833,5709,0
1832,5709,0
1829,5730,0
1828,5754,0
1830,5795,0
1835,5838,0
1838,5894,0
1846,5950,0
1848,6010,0
1853,6066,0
1856,6118,0
1857,6154,0
1857,6182,0
1854,6195,0
1854,6195,0
1850,6183,0
1845,6151,0
1839,6108,0
1831,6049,0
1826,5984,0
1821,5912,0
1821,5836,0
1819,5760,0
1821,5691,0
1822,5634,0
1824,5586,0
1829,5548,0
1838,5530,0
1848,5521,0
1866,5527,0
1886,5540,0
1906,5561,0
1927,5599,0
1937,5634,0
1942,5673,0
1936,5723,0
1923,5773,0
1905,5829,0
1883,5876,0
1860,5916,0
1841,5946,0
1826,5956,0
1822,5961,0
1819,5950,0
1824,5936,0
1834,5919,0
1850,5892,1
2166,5662,0
2164,5654,0
2159,5647,0
2146,5637,0
2130,5632,0
2111,5631,0
2086,5632,0
2062,5645,0
2035,5666,0
2012,5694,0
1996,5733,0
1986,5771,0
1991,5819,0
2006,5858,0
2030,5890,0
2060,5914,0
2089,5925,0
2112,5924,0
2129,5913,0
2141,5891,0
2145,5853,0
2146,5812,0
2143,5769,0
2138,5728,0
2129,5694,0
2117,5668,0
2107,5660,0
2099,5655,0
2096,5659,0
2096,5671,0
2106,5694,0
2121,5719,0
2139,5745,1
2284,5867,0
2280,5863,0
2273,5853,0
2263,5834,0
2255,5815,0
2247,5788,0
2245,5764,0
2249,5735,0
2255,5701,0
2265,5674,0
2277,5647,0
2296,5639,0
2316,5639,0
2335,5651,0
2356,5675,0
2374,5707,0
2393,5752,0
2406,5803,0
2415,5853,0
2412,5911,0
2412,5961,0
2410,6002,0
2412,6034,0
2412,6055,0
2417,6062,1
2498,5948,0
2497,5945,0
2498,5944,0
2496,5945,0
2495,5950,0
