In this new context, the ceremonial bed, or
757
495,4057,0
493,4065,0
489,4064,0
485,4075,0
477,4094,0
470,4118,0
463,4145,0
460,4173,0
457,4193,0
456,4217,0
453,4232,0
452,4249,0
451,4256,1
519,4166,0
518,4165,0
518,4169,0
518,4190,0
511,4205,0
508,4221,0
506,4236,0
506,4236,0
508,4241,0
513,4233,0
523,4223,0
533,4200,0
546,4181,0
554,4174,0
559,4175,0
562,4184,0
564,4200,0
567,4212,0
568,4225,0
574,4237,0
581,4242,1
909,4009,0
909,4017,0
905,4033,0
898,4060,0
889,4096,0
883,4132,0
878,4167,0
876,4195,0
875,4211,0
878,4219,0
881,4224,0
886,4220,0
896,4205,0
912,4181,0
931,4150,0
949,4126,0
962,4111,0
968,4107,0
971,4111,0
973,4123,0
972,4143,0
972,4163,0
975,4179,0
979,4187,0
984,4187,0
993,4187,0
1004,4176,0
1017,4164,0
1028,4140,0
1040,4128,0
1046,4124,0
1046,4124,0
1047,4140,0
1048,4160,0
1050,4172,0
1057,4181,0
1066,4184,0
1078,4180,0
1093,4168,0
1110,4149,0
1128,4124,0
1150,4099,0
1170,4080,0
1180,4075,0
1184,4071,0
1186,4083,0
1184,4099,0
1177,4119,0
1170,4139,0
1163,4159,0
1155,4168,0
1148,4172,0
1141,4176,0
1132,4168,0
1124,4160,0
1119,4152,0
1116,4136,1
1044,4060,0
1043,4065,0
1043,4061,0
1043,4061,0
1044,4061,1
1442,4051,0
1445,4051,0
1445,4051,0
1442,4056,0
1438,4080,0
1431,4092,0
1427,4109,0
1428,4121,0
1428,4121,0
1430,4125,0
1430,4121,0
1435,4116,0
1449,4103,0
1466,4077,0
1480,4061,0
1488,4056,0
1490,4059,0
1488,4059,0
1488,4079,0
1489,4095,0
1495,4111,0
1505,4122,0
1515,4121,0
1530,4119,0
1551,4109,0
1570,4094,0
1588,4080,0
1603,4053,0
1615,4044,0
1619,4039,0
1617,4035,0
1619,4039,0
1615,4040,0
1616,4035,0
1617,4039,0
1617,4035,0
1617,4039,0
1619,4039,0
1620,4039,0
1619,4039,0
1619,4039,0
1619,4039,0
1617,4039,0
1614,4035,0
1610,4036,0
1609,4036,0
1604,4037,0
1599,4034,0
1596,4042,0
1590,4051,0
1585,4068,0
1579,4089,0
1575,4102,0
1575,4117,0
1578,4121,0
1587,4128,0
1601,4126,0
1619,4120,0
1638,4114,0
1650,4107,0
1655,4098,1
1705,4043,0
1706,4042,0
1706,4042,0
1705,4054,0
1703,4071,0
1700,4088,0
1698,4100,0
1700,4108,0
1700,4108,0
1700,4108,0
1701,4104,0
1707,4091,0
1715,4073,0
1725,4051,0
1736,4045,0
1739,4045,0
1738,4048,0
1742,4065,0
1743,4076,0
1750,4092,0
1760,4102,0
1771,4104,0
1784,4110,0
1795,4104,0
1805,4094,0
1814,4084,0
1822,4066,0
1826,4046,0
1825,4029,0
1825,4017,0
1821,4010,0
1819,4006,0
1821,4001,1
2128,4008,0
2124,4009,0
2108,4013,0
2095,4029,0
2089,4047,0
2088,4065,0
2092,4080,0
2101,4094,0
2113,4095,0
2130,4094,0
2150,4085,0
2173,4070,0
2195,4060,0
2212,4043,0
2229,4029,0
2241,4012,0
2244,4016,0
2236,4027,0
2232,4041,0
2235,4056,0
2239,4063,0
2248,4070,0
2255,4068,0
2262,4061,0
2269,4051,0
2283,4021,0
2287,4007,0
2276,3994,0
2258,3983,0
2266,3988,0
2320,3984,0
2333,3980,0
2345,3984,0
2347,3988,0
2345,3984,0
2341,3994,0
2335,4009,0
2338,4033,0
2342,4040,0
2347,4034,0
2359,4038,0
2369,4031,0
2384,4026,0
2400,4012,0
2417,3998,0
2432,3997,0
2436,4000,0
2438,4012,0
2437,4033,0
2434,4043,0
2438,4058,0
2442,4061,1
2447,4059,0
2456,4061,0
2458,4051,1
2494,3932,0
2487,3939,0
2479,3958,0
2470,3974,0
2467,3993,0
2469,4013,0
2471,4025,0
2469,4026,0
2473,4033,0
2475,4032,0
2477,4028,0
2473,4007,0
2475,3990,1
2472,3969,0
2476,3976,0
2478,3976,0
2482,3983,0
2485,3981,0
2499,3989,0
2511,3989,0
2531,3991,0
2548,3983,0
2571,3983,0
2583,3974,0
2596,3974,0
2594,3962,0
2594,3962,0
2586,3956,0
2574,3957,0
2562,3962,0
2553,3973,0
2548,3984,0
2548,3996,0
2552,4004,0
2569,4018,0
2582,4017,0
2608,4024,1
2671,3982,0
2671,3982,0
2673,3986,0
2681,3995,0
2688,4001,0
2702,4012,0
2714,4016,0
2731,4026,0
2737,4028,1
2729,3966,0
2721,3969,0
2711,3974,0
2700,3991,0
2688,4005,0
2678,4014,0
2675,4028,0
2668,4030,0
2666,4027,1
2794,3915,0
2791,3911,0
2794,3924,0
2794,3941,0
2794,3959,0
2792,3973,0
2796,3993,0
2797,4006,0
2797,4019,1
2774,3955,0
2774,3955,0
2783,3955,0
2802,3956,0
2832,3959,1
2912,4076,0
2910,4073,0
2910,4077,0
2907,4091,0
2900,4109,0
2887,4118,0
2882,4133,0
2879,4143,0
2877,4150,1
3202,3881,0
3204,3884,0
3204,3898,0
3197,3916,0
3189,3939,0
3183,3965,0
3177,3991,0
3172,4012,0
3170,4032,0
3173,4048,0
3174,4056,0
3173,4057,0
3170,4049,1
3146,3949,0
3148,3952,0
3153,3954,0
3156,3952,0
3168,3950,0
3184,3946,0
3209,3950,0
3223,3947,0
3237,3948,1
3216,4057,0
3214,4053,0
3219,4055,0
3230,4053,0
3244,4041,0
3267,4028,0
3293,4013,0
3307,3981,0
3328,3960,0
3345,3940,0
3351,3923,0
3353,3917,0
3347,3916,0
3340,3925,0
3326,3942,0
3315,3959,0
3310,3980,0
3310,4003,0
3311,4017,0
3313,4024,0
3323,4033,0
3331,4032,0
3344,4029,0
3356,4022,0
3375,4017,0
3385,4005,0
3387,4005,0
3392,4011,0
3389,4012,0
3393,4028,0
3395,4037,0
3401,4043,0
3411,4045,0
3425,4041,0
3443,4036,0
3459,4026,0
3471,4014,0
3479,3995,0
3487,3985,0
3484,3977,0
3482,3978,0
3475,3983,0
3462,3992,0
3453,4010,0
3444,4021,0
3444,4035,0
3452,4049,0
3470,4057,0
3495,4061,1
3860,3988,0
3855,3982,0
3852,3979,0
3846,3978,0
3843,3985,0
3831,3998,0
3824,4019,0
3807,4032,0
3803,4053,0
3804,4067,0
3811,4077,0
3826,4081,0
3849,4080,0
3878,4069,0
3906,4053,0
3935,4038,0
3955,4022,0
3966,4009,0
3971,4000,0
3970,3991,0
3965,3985,0
3961,3983,0
3953,3984,0
3942,3987,0
3933,4005,0
3924,4020,0
3916,4036,0
3917,4050,0
3923,4061,0
3935,4067,0
3950,4066,0
3970,4061,0
3991,4051,0
4012,4039,0
4032,4034,0
4044,4031,0
4044,4031,0
4049,4036,0
4050,4046,0
4046,4053,0
4048,4062,0
4048,4068,0
4052,4069,0
4047,4063,0
4050,4056,0
4046,4039,0
4051,4025,0
4047,4003,0
4053,3993,0
4063,3996,0
4063,3996,0
4063,3995,0
4065,4000,0
4073,4009,0
4087,4017,0
4097,4020,0
4121,4027,0
4136,4019,0
4158,4017,0
4170,4007,0
4182,3998,0
4186,3984,0
4193,3978,0
4181,3968,0
4176,3971,0
4155,3973,0
4141,3990,0
4127,4001,0
4126,4017,0
4133,4032,0
4140,4042,0
4157,4048,0
4182,4055,1
4256,3963,0
4256,3963,0
4256,3968,0
4254,3981,0
4254,3995,0
4256,4010,0
4263,4025,0
4266,4034,0
4267,4036,0
4266,4034,0
4271,4034,0
4278,4023,0
4290,4008,0
4304,3986,0
4319,3967,0
4328,3959,0
4332,3962,0
4331,3962,0
4332,3977,0
4331,3994,0
4336,4011,0
4341,4022,0
4351,4029,0
4361,4032,0
4370,4029,0
4381,4020,0
4394,4008,0
4408,3992,0
4418,3982,0
4422,3985,0
4422,3985,0
4422,3994,0
4423,4009,0
4421,4017,0
4429,4026,0
4440,4032,0
4449,4029,0
4466,4025,0
4478,4015,0
4492,4003,0
4506,3984,0
4519,3972,0
4521,3970,0
4520,3971,0
4521,3971,0
4512,3984,0
4513,4000,0
4514,4010,0
4521,4020,0
4528,4024,0
4536,4022,0
4545,4019,0
4556,4009,0
4558,3997,0
4566,3983,0
4562,3971,0
4555,3957,0
4545,3950,0
4531,3945,0
4525,3945,0
4526,3945,0
4526,3950,0
4536,3957,0
4554,3963,0
4578,3967,0
4596,3968,0
4617,3969,0
4630,3969,0
4634,3965,0
4632,3966,0
4632,3966,0
4632,3972,0
4630,3984,0
4628,3998,0
4633,4010,0
4635,4013,0
4644,4015,0
4654,4011,0
4667,4005,0
4678,3994,0
4698,3981,0
4712,3968,0
4724,3962,0
4733,3965,0
4733,3965,0
4731,3972,0
4734,3985,0
4736,3995,0
4742,4005,0
4748,4010,0
4756,4008,0
4774,4009,0
4787,4001,0
4801,3993,0
4819,3981,0
4830,3971,0
4834,3967,0
4832,3969,0
4831,3970,0
4835,3983,0
4839,3995,0
4848,4008,0
4854,4013,0
4853,4005,0
4856,3991,1
4801,3875,0
4801,3875,0
4805,3877,0
4806,3877,0
4811,3877,1
4966,3969,0
4970,3966,0
4970,3960,0
4975,3961,0
4974,3956,0
4971,3953,0
4969,3955,0
4951,3962,0
4934,3975,0
4920,3988,0
4915,3999,0
4918,4007,0
4932,4017,0
4946,4014,0
4964,4012,0
4978,4004,0
4989,3986,0
5004,3977,0
5003,3978,0
5002,3978,0
5002,3984,0
5005,3998,0
5005,4010,0
5014,4017,0
5026,4022,0
5046,4020,0
5065,4012,0
5081,3995,0
5096,3974,0
5114,3949,0
5128,3922,0
5129,3897,0
5125,3884,0
5113,3874,0
5093,3870,0
5076,3878,0
5059,3890,0
5046,3904,0
5047,3926,0
5059,3948,0
5077,3964,0
5099,3976,0
5120,3976,0
5137,3971,0
5148,3964,1
5489,3864,0
5496,3861,0
5496,3853,0
5504,3857,0
5503,3858,0
5503,3865,0
5499,3882,0
5491,3904,0
5487,3928,0
5477,3952,0
5478,3975,0
5482,3988,0
5485,3996,0
5493,4000,0
5505,3999,0
5514,3988,0
5524,3976,0
5532,3961,0
5533,3941,0
5537,3930,0
5537,3924,0
5534,3922,0
5531,3919,0
5531,3919,0
5534,3922,0
5532,3929,0
5529,3934,1
5578,3992,0
5582,3994,0
5589,3998,0
5601,3996,0
5618,3989,0
5636,3980,0
5648,3966,0
5658,3954,0
5661,3943,0
5663,3936,0
5660,3933,0
5653,3928,0
5646,3930,0
5637,3935,0
5631,3950,0
5621,3961,0
5621,3974,0
5629,3988,0
5640,4001,0
5656,4007,0
5668,4004,1
5769,3944,0
5766,3934,0
5759,3925,0
5755,3923,0
5747,3921,0
5734,3924,0
5721,3934,0
5709,3950,0
5700,3965,0
5700,3978,0
5705,3984,0
5717,3989,0
5728,3983,0
5742,3976,0
5758,3964,0
5768,3945,0
5779,3925,0
5784,3906,0
5782,3890,0
5777,3882,0
5776,3878,0
5773,3875,0
5777,3877,0
5778,3882,0
5780,3899,0
5781,3916,0
5784,3937,0
5788,3959,0
5792,3979,1
5872,3995,0
5874,3999,0
5872,4014,0
5868,4032,0
5865,4048,1
6198,3923,0
6201,3921,0
6194,3909,0
6193,3905,0
6187,3899,0
6178,3897,0
6161,3894,0
6143,3899,0
6126,3909,0
6112,3926,0
6103,3945,0
6102,3966,0
6104,3977,0
6118,3991,0
6138,3993,0
6163,3991,0
6181,3981,0
6198,3970,0
6214,3956,0
6221,3940,0
6223,3930,0
6228,3923,0
6218,3918,0
6222,3918,0
6218,3918,0
6225,3921,0
6223,3925,0
6230,3934,0
6232,3940,0
6245,3949,0
6253,3951,0
6279,3956,0
6293,3956,0
6309,3956,0
6320,3954,0
6324,3954,0
6323,3956,0
6324,3962,0
6321,3973,0
6318,3976,0
6317,3978,0
6318,3976,0
6319,3975,0
6318,3964,0
6318,3950,0
6316,3932,0
6314,3913,0
6319,3894,0
6325,3879,0
6336,3869,0
6346,3862,0
6367,3861,0
6387,3867,1
