was a grill, which he cooked himself,
752
1288,4075,0
1287,4080,0
1285,4075,0
1283,4083,0
1277,4108,0
1269,4132,0
1263,4164,0
1261,4188,0
1269,4200,0
1281,4203,0
1296,4191,0
1317,4174,0
1336,4152,0
1349,4147,0
1350,4147,0
1350,4159,0
1347,4175,0
1349,4191,0
1358,4207,0
1369,4194,0
1392,4192,0
1421,4178,0
1450,4159,0
1473,4141,0
1486,4120,0
1489,4099,0
1483,4075,0
1469,4053,0
1456,4042,0
1442,4040,0
1429,4041,0
1417,4046,0
1411,4054,1
1625,4095,0
1626,4091,0
1634,4086,0
1635,4081,0
1634,4077,0
1628,4070,0
1620,4063,0
1606,4061,0
1587,4063,0
1568,4077,0
1546,4101,0
1526,4128,0
1515,4145,0
1517,4157,0
1525,4159,0
1542,4158,0
1563,4143,0
1587,4128,0
1606,4106,0
1622,4091,0
1631,4077,0
1631,4074,0
1629,4074,0
1626,4082,0
1619,4099,0
1617,4124,0
1618,4140,0
1626,4155,0
1634,4162,0
1645,4164,0
1657,4163,0
1670,4153,0
1685,4147,1
1740,4065,0
1738,4061,0
1733,4058,0
1720,4061,0
1699,4059,0
1679,4070,0
1667,4080,0
1662,4085,0
1665,4093,0
1677,4104,0
1699,4116,0
1724,4121,0
1745,4129,0
1759,4135,0
1767,4150,0
1762,4155,0
1750,4161,0
1732,4164,0
1713,4162,0
1700,4156,0
1689,4150,0
1684,4143,0
1684,4131,0
1690,4114,1
2007,4076,0
2010,4075,0
2015,4078,0
2014,4075,0
2013,4066,0
2011,4063,0
2002,4056,0
1985,4053,0
1960,4054,0
1935,4063,0
1914,4072,0
1896,4092,0
1886,4111,0
1888,4126,0
1897,4133,0
1915,4138,0
1939,4132,0
1967,4126,0
1991,4112,0
2011,4099,0
2023,4089,0
2028,4080,0
2024,4068,0
2021,4068,0
2019,4069,0
2017,4070,0
2015,4078,0
2014,4094,0
2017,4119,0
2022,4134,0
2026,4145,0
2034,4152,0
2051,4156,1
2376,4087,0
2379,4087,0
2383,4081,0
2384,4077,0
2376,4066,0
2363,4058,0
2342,4052,0
2317,4052,0
2293,4059,0
2270,4075,0
2256,4100,0
2251,4114,0
2260,4124,0
2279,4127,0
2301,4124,0
2323,4114,0
2345,4106,0
2357,4099,0
2362,4092,0
2364,4096,0
2361,4097,0
2359,4110,0
2359,4135,0
2358,4165,0
2360,4198,0
2362,4230,0
2367,4267,0
2369,4300,0
2368,4333,0
2327,4425,0
2311,4430,0
2297,4430,0
2285,4425,0
2271,4412,0
2258,4387,0
2244,4345,0
2238,4305,0
2240,4263,1
2437,4071,1
2433,4082,0
2432,4094,0
2436,4114,0
2438,4135,0
2441,4155,0
2443,4171,0
2444,4179,0
2444,4179,0
2445,4179,0
2444,4171,0
2443,4154,0
2441,4133,0
2436,4106,0
2428,4078,0
2422,4060,0
2420,4052,0
2420,4047,0
2423,4051,0
2433,4052,0
2451,4054,0
2471,4055,0
2493,4060,0
2511,4061,0
2524,4061,1
2525,4056,0
2531,4067,0
2535,4079,0
2535,4100,0
2537,4121,0
2540,4140,0
2546,4155,0
2552,4167,0
2552,4166,0
2555,4169,0
2557,4169,0
2557,4164,1
2519,3930,0
2517,3931,0
2519,3930,0
2517,3927,0
2521,3930,1
2634,3954,0
2636,3975,0
2635,4001,0
2637,4030,0
2642,4063,0
2644,4092,0
2647,4113,0
2651,4128,0
2656,4134,1
2695,3941,0
2697,3945,0
2695,3941,0
2695,3945,0
2697,3962,0
2696,3984,0
2699,4014,0
2702,4043,0
2704,4068,0
2706,4089,0
2710,4109,0
2714,4120,0
2719,4126,1
2882,4147,0
2881,4147,0
2878,4148,0
2878,4158,0
2872,4187,0
2860,4219,0
2844,4256,0
2824,4286,0
2808,4315,1
3040,4027,0
3035,4026,0
3033,4030,0
3030,4032,0
3030,4050,0
3031,4080,0
3030,4109,0
3030,4126,0
3040,4139,0
3054,4137,0
3074,4131,0
3097,4119,0
3118,4108,0
3134,4104,0
3149,4106,0
3158,4111,0
3165,4120,0
3177,4132,0
3191,4134,0
3212,4131,0
3230,4121,0
3247,4108,0
3257,4094,0
3255,4072,0
3251,4056,0
3243,4037,0
3230,4026,0
3216,4020,0
3205,4021,0
3192,4020,0
3187,4027,0
3190,4034,0
3199,4034,1
3301,3902,0
3293,3901,0
3292,3903,0
3293,3911,0
3291,3931,0
3291,3963,0
3287,3998,0
3286,4036,0
3291,4065,0
3297,4080,0
3305,4089,0
3308,4088,0
3315,4088,0
3318,4077,0
3323,4060,0
3329,4038,0
3336,4016,0
3345,4001,0
3354,3997,0
3358,3998,0
3366,4007,0
3373,4027,0
3379,4046,0
3385,4066,0
3387,4079,0
3396,4092,0
3404,4097,0
3409,4093,0
3419,4092,1
3463,4009,0
3462,4014,0
3464,4028,0
3464,4046,0
3467,4068,0
3469,4085,0
3474,4102,0
3478,4109,0
3482,4110,1
3457,3942,0
3457,3943,0
3457,3942,0
3460,3945,0
3460,3945,1
3643,4037,0
3642,4032,0
3643,4027,0
3640,4019,0
3634,4019,0
3619,4015,0
3600,4022,0
3579,4036,0
3559,4053,0
3549,4073,0
3547,4093,0
3558,4111,0
3573,4120,0
3595,4124,0
3623,4126,0
3648,4120,0
3669,4106,1
3667,3938,0
3668,3942,0
3667,3943,0
3667,3947,0
3669,3956,0
3672,3974,0
3673,3997,0
3674,4025,0
3677,4053,0
3679,4070,0
3687,4080,0
3696,4083,0
3703,4078,0
3716,4070,0
3730,4060,0
3742,4046,0
3753,4034,0
3761,4029,0
3765,4031,0
3766,4030,0
3776,4042,0
3786,4055,0
3806,4070,0
3829,4084,0
3853,4091,1
4106,3920,0
4108,3934,0
4106,3952,0
4108,3981,0
4109,4010,0
4112,4039,0
4116,4060,0
4122,4077,0
4131,4089,0
4137,4094,0
4144,4100,0
4147,4103,0
4144,4094,1
4102,4016,0
4100,4007,0
4110,3994,0
4126,3981,0
4146,3971,0
4172,3971,0
4193,3973,0
4216,3986,0
4225,3999,0
4231,4020,0
4228,4043,0
4222,4063,0
4217,4078,0
4214,4085,0
4217,4088,0
4222,4089,1
4305,4031,0
4307,4030,0
4316,4027,0
4327,4023,0
4334,4017,0
4343,4010,0
4350,4004,0
4352,3997,0
4347,3991,0
4338,3988,0
4324,3990,0
4304,3995,0
4290,4008,0
4280,4021,0
4276,4034,0
4280,4047,0
4292,4058,0
4307,4065,0
4333,4070,0
4370,4070,0
4412,4067,1
4678,4006,0
4678,4006,0
