Czechoslovak kitchen, again, is so
721
875,4472,0
868,4455,0
860,4439,0
852,4427,0
842,4414,0
833,4409,0
820,4408,0
799,4419,0
773,4434,0
743,4463,0
711,4505,0
694,4551,0
681,4606,0
682,4659,0
697,4697,0
721,4714,0
748,4717,0
776,4719,0
803,4712,0
830,4705,0
849,4695,1
945,4579,0
943,4570,0
955,4563,0
974,4555,0
993,4556,0
1009,4564,0
1020,4576,0
1026,4588,0
1025,4604,0
1016,4620,0
1003,4648,0
985,4671,0
974,4695,0
974,4699,0
986,4707,0
1004,4712,0
1027,4717,0
1050,4712,0
1071,4709,0
1086,4705,0
1090,4705,1
947,4650,0
944,4646,0
951,4643,0
969,4635,0
991,4632,0
1020,4624,0
1054,4624,0
1087,4620,0
1114,4616,1
1120,4632,0
1117,4632,0
1124,4632,0
1139,4636,0
1155,4632,0
1177,4628,0
1199,4623,0
1218,4614,0
1228,4610,0
1230,4606,0
1227,4598,0
1218,4591,0
1204,4579,0
1184,4575,0
1161,4576,0
1139,4592,0
1117,4612,0
1101,4640,0
1100,4664,0
1112,4681,0
1134,4692,0
1159,4695,0
1179,4695,0
1195,4690,0
1208,4690,0
1216,4687,0
1220,4686,0
1223,4690,1
1304,4599,0
1305,4595,0
1302,4591,0
1298,4587,0
1293,4591,0
1283,4591,0
1271,4604,0
1262,4625,0
1257,4657,0
1260,4685,0
1271,4696,0
1293,4700,0
1319,4698,0
1340,4693,0
1358,4680,0
1373,4666,0
1382,4646,1
1385,4466,0
1383,4474,0
1382,4478,0
1380,4486,0
1377,4522,0
1382,4574,0
1391,4613,0
1401,4649,0
1405,4669,0
1407,4681,0
1409,4684,0
1409,4684,0
1408,4677,0
1409,4656,0
1412,4632,0
1421,4603,0
1433,4582,0
1444,4573,0
1451,4577,0
1460,4588,0
1472,4607,0
1479,4627,0
1486,4642,0
1494,4657,0
1500,4669,1
1609,4593,0
1603,4585,0
1594,4582,0
1586,4584,0
1571,4606,0
1561,4635,0
1564,4666,0
1576,4677,0
1593,4687,0
1614,4689,0
1637,4690,0
1657,4683,0
1674,4677,0
1684,4659,0
1689,4640,0
1689,4623,0
1683,4607,0
1670,4593,0
1652,4584,0
1635,4582,0
