languerous, so passionate, and possibly
845
800,4920,0
796,4924,0
795,4932,0
791,4948,0
789,4963,0
793,5004,0
785,5040,0
788,5084,0
793,5116,0
801,5144,0
808,5161,0
817,5173,0
822,5178,1
890,5060,0
885,5057,0
888,5048,0
898,5041,0
912,5042,0
931,5046,0
954,5055,0
980,5075,0
1003,5100,0
1017,5116,0
1023,5136,0
1022,5144,0
1019,5152,0
1014,5156,0
1007,5160,0
996,5160,0
977,5151,0
955,5147,0
928,5142,0
906,5145,0
890,5156,0
873,5172,0
872,5200,0
890,5217,0
909,5218,0
933,5211,0
955,5203,0
976,5195,0
996,5187,1
1037,5076,0
1033,5080,0
1033,5088,0
1035,5112,0
1036,5128,0
1042,5156,0
1045,5173,0
1050,5180,0
1055,5184,0
1056,5185,0
1056,5185,0
1055,5168,0
1055,5136,0
1057,5104,0
1064,5073,0
1076,5057,0
1088,5052,0
1102,5057,0
1117,5068,0
1133,5096,0
1146,5125,0
1155,5144,0
1162,5163,0
1167,5175,0
1172,5187,1
1326,5094,1
1297,5064,0
1280,5057,0
1260,5057,0
1238,5062,0
1222,5082,0
1211,5110,0
1209,5143,0
1220,5158,0
1243,5170,0
1267,5173,0
1289,5168,0
1307,5163,0
1320,5155,0
1327,5139,0
1327,5122,0
1322,5106,0
1316,5098,0
1310,5096,0
1309,5096,0
1309,5111,0
1313,5135,0
1322,5170,0
1331,5207,0
1335,5238,0
1335,5270,0
1325,5294,0
1309,5323,0
1289,5340,0
1271,5349,0
1252,5354,0
1233,5359,0
1214,5350,0
1200,5343,0
1193,5335,0
1194,5319,0
1204,5298,1
1359,5052,0
1355,5061,0
1357,5084,0
1366,5112,0
1379,5143,0
1394,5163,0
1412,5173,0
1429,5176,0
1446,5179,0
1459,5166,0
1469,5153,0
1474,5132,0
1476,5105,0
1479,5080,0
1476,5052,0
1473,5045,0
1470,5049,0
1464,5057,0
1459,5086,0
1462,5117,0
1470,5141,0
1483,5156,0
1497,5175,0
1511,5182,0
1524,5176,1
1553,5101,0
1560,5109,0
1575,5115,0
1595,5117,0
1619,5115,0
1643,5113,0
1660,5102,0
1672,5093,0
1680,5084,0
1679,5068,0
1674,5057,0
1661,5046,0
1640,5040,0
1615,5047,0
1590,5062,0
1568,5084,0
1557,5117,0
1561,5141,0
1578,5160,0
1603,5169,0
1625,5171,0
1645,5173,0
1660,5171,0
1677,5173,1
1753,5050,0
1753,5055,0
1752,5071,0
1754,5103,0
1758,5126,0
1761,5146,0
1766,5154,0
1769,5157,0
1768,5156,0
1767,5149,0
1760,5138,0
1750,5115,0
1745,5084,0
1744,5052,0
1750,5031,0
1760,5021,0
1769,5016,0
1785,5014,0
1809,5026,0
1833,5030,1
1896,5028,0
1880,5031,0
1865,5037,0
1851,5064,0
1841,5093,0
1848,5125,0
1867,5138,0
1900,5149,0
1930,5153,0
1952,5140,0
1971,5137,0
1981,5127,0
1988,5110,0
1992,5088,0
1990,5069,0
1978,5046,0
1959,5033,0
1937,5025,0
1912,5026,0
1894,5028,1
2024,5014,0
2019,5009,0
2020,5022,0
2024,5046,0
2034,5076,0
2043,5099,0
2057,5117,0
2072,5130,0
2087,5135,0
2099,5137,0
2108,5135,0
2114,5126,0
2120,5108,0
2125,5082,0
2130,5052,0
2128,5024,0
2120,5006,0
2114,5003,0
2107,5004,0
2104,5014,0
2101,5034,0
2104,5058,0
2114,5085,0
2126,5103,0
2140,5120,1
2241,5019,1
2192,5014,0
2181,5017,0
2181,5025,0
2190,5035,0
