Thackeray, Of course, waxed
655
1259,1582,0
1267,1592,0
1267,1592,0
1265,1589,0
1269,1592,0
1270,1592,0
1268,1589,0
1271,1592,0
1270,1592,0
1272,1596,0
1276,1608,0
1279,1627,0
1278,1643,0
1283,1667,0
1285,1691,0
1288,1715,0
1291,1742,0
1295,1771,0
1303,1801,0
1308,1826,0
1314,1848,0
1317,1868,0
1322,1891,0
1324,1911,0
1324,1928,0
1324,1944,0
1327,1960,0
1324,1968,0
1325,1980,0
1324,1984,0
1322,1985,0
1319,1985,0
1315,1969,1
1171,1622,0
1168,1622,0
1165,1618,0
1166,1619,0
1168,1618,0
1170,1614,0
1182,1609,0
1197,1604,0
1217,1599,0
1237,1588,0
1258,1578,0
1277,1567,0
1298,1560,0
1308,1550,0
1317,1549,0
1315,1545,0
1318,1549,0
1317,1549,0
1313,1545,0
1313,1545,0
1312,1546,1
1411,1541,0
1410,1541,0
1414,1549,0
1416,1557,0
1423,1571,0
1426,1583,0
1433,1602,0
1441,1625,0
1446,1648,0
1453,1675,0
1458,1703,0
1459,1731,0
1462,1759,0
1469,1786,0
1471,1799,0
1476,1810,0
1481,1816,0
1483,1816,0
1483,1816,0
1479,1809,0
1481,1809,0
1473,1790,0
1474,1769,0
1471,1749,0
1474,1728,0
1483,1713,0
1488,1696,0
1502,1683,0
1515,1672,0
1530,1670,0
1538,1668,0
1550,1677,0
1558,1688,0
1566,1706,0
1575,1728,0
1584,1751,0
1587,1766,0
1596,1784,0
1608,1802,0
1615,1807,0
1623,1809,1
1799,1705,0
1797,1702,0
1788,1693,0
1782,1691,0
1771,1687,0
1759,1689,0
1751,1696,0
1737,1703,0
1725,1716,0
1720,1735,0
1718,1753,0
1719,1770,0
1729,1788,0
1742,1800,0
1760,1809,0
1777,1811,0
1794,1808,0
1805,1800,0
1816,1790,0
1824,1778,0
1824,1759,0
1829,1749,0
1825,1733,0
1816,1719,0
1807,1706,0
1802,1700,0
1788,1689,0
1790,1692,0
1783,1686,0
1783,1686,0
1788,1693,0
1790,1696,0
1797,1710,0
1803,1721,0
1815,1737,0
1822,1747,0
1831,1757,0
1836,1763,0
1845,1772,0
1850,1775,0
1854,1776,0
1859,1778,0
1863,1781,0
1859,1778,0
1859,1778,1
2074,1617,0
2060,1621,0
2047,1630,0
2033,1644,0
2015,1660,0
2004,1681,0
1993,1702,0
1992,1726,0
1992,1744,0
1998,1763,0
2009,1781,0
2022,1796,0
2038,1805,0
2061,1815,0
2083,1816,0
2106,1815,0
2125,1813,0
2142,1812,0
2148,1803,0
2159,1800,0
2165,1792,1
2237,1485,0
2244,1490,0
2247,1492,0
2252,1498,0
2255,1512,0
2260,1529,0
2262,1548,0
2263,1568,0
2269,1594,0
2275,1621,0
2282,1646,0
2285,1669,0
2289,1691,0
2291,1711,0
2292,1730,0
2289,1743,0
2291,1751,1
2400,1580,0
2404,1577,0
2406,1575,0
2406,1575,0
2404,1577,0
2399,1586,0
2382,1597,0
2367,1615,0
2357,1635,0
2342,1653,0
2330,1669,0
2328,1685,0
2325,1694,0
2325,1698,0
2330,1704,0
2339,1708,0
2349,1710,0
2364,1713,0
2378,1712,0
2391,1711,0
2410,1711,0
2424,1710,0
2438,1708,0
2450,1708,0
2458,1706,1
2602,1639,0
2605,1631,0
2609,1621,0
2613,1611,0
2613,1600,0
2612,1588,0
2611,1578,0
2605,1567,0
2596,1558,0
2590,1553,0
2577,1550,0
2569,1552,0
2555,1556,0
2545,1566,0
2537,1580,0
2531,1597,0
2530,1616,0
2530,1633,0
2540,1652,0
2550,1664,0
2567,1675,0
2589,1682,0
2606,1682,0
2624,1681,0
2643,1677,0
2656,1670,0
2668,1663,0
2673,1651,0
2683,1642,0
2686,1631,0
2684,1616,0
2683,1604,0
2681,1595,0
2681,1590,0
2676,1583,0
2673,1580,0
2678,1582,0
2678,1581,0
2679,1580,0
2680,1580,0
2684,1580,0
2691,1578,0
2697,1578,0
2701,1580,0
2704,1582,1
2840,1575,0
2844,1577,0
2849,1583,0
2854,1590,0
2857,1599,0
2866,1607,0
2870,1614,0
2873,1622,0
2881,1632,0
2883,1637,0
2885,1640,0
2886,1639,0
2894,1628,1
2953,1538,0
2949,1544,0
2944,1557,0
2932,1573,0
2920,1590,0
2910,1610,0
2895,1633,0
2881,1657,0
2867,1681,0
2861,1707,0
2850,1725,0
2847,1740,0
2844,1749,1
3107,1652,0
3111,1655,0
3112,1654,0
