Whitstable oysters, a brown sole, a baked
874
547,2105,0
547,2110,0
549,2110,0
550,2114,0
554,2128,0
560,2154,0
563,2183,0
564,2226,0
564,2279,0
566,2333,0
571,2375,0
576,2397,0
581,2406,0
590,2400,0
600,2394,0
609,2375,0
616,2344,0
622,2317,0
626,2289,0
627,2269,0
627,2256,0
627,2260,0
627,2260,0
627,2265,0
633,2290,0
643,2313,0
653,2340,0
665,2366,0
676,2384,0
686,2390,0
696,2391,0
704,2385,0
711,2370,0
718,2351,0
719,2319,0
715,2277,0
710,2240,0
702,2202,0
693,2172,0
687,2150,0
683,2145,1
735,2139,0
734,2135,0
737,2135,0
740,2136,0
744,2141,0
752,2166,0
756,2195,0
760,2232,0
762,2273,0
764,2314,0
767,2347,0
772,2367,0
777,2376,0
784,2377,0
792,2374,0
803,2355,0
812,2325,0
822,2301,0
834,2279,0
845,2268,0
854,2265,0
859,2261,0
863,2265,0
867,2282,0
870,2311,0
873,2339,0
877,2371,0
879,2396,0
881,2404,0
886,2409,0
892,2401,0
898,2381,0
904,2362,1
926,2292,0
927,2287,0
927,2287,0
926,2287,0
926,2292,0
926,2307,0
926,2331,0
923,2351,0
923,2379,0
926,2400,0
930,2403,0
936,2400,1
935,2179,0
932,2175,0
933,2176,0
933,2176,0
933,2176,1
1016,2108,0
1015,2108,0
1020,2120,0
1022,2136,0
1025,2156,0
1030,2188,0
1032,2217,0
1035,2260,0
1037,2304,0
1038,2340,0
1038,2356,0
1041,2364,0
1044,2364,1
1019,2263,0
1018,2263,0
1021,2264,0
1032,2268,0
1051,2264,0
1077,2265,0
1098,2260,0
1114,2265,0
1122,2268,1
1171,2263,0
1170,2258,0
1169,2255,0
1165,2251,0
1160,2256,0
1148,2260,0
1138,2280,0
1129,2300,0
1129,2316,0
1135,2333,0
1143,2344,0
1155,2355,0
1165,2367,0
1175,2379,0
1180,2386,0
1182,2390,0
1184,2390,0
1183,2391,0
1175,2391,0
1165,2391,0
1161,2391,1
1283,2126,1
1287,2130,0
1285,2126,0
1289,2137,0
1290,2157,0
1295,2198,0
1298,2237,0
1305,2281,0
1313,2324,0
1320,2359,0
1328,2383,0
1335,2398,0
1340,2402,1
1264,2253,0
1267,2253,0
1276,2244,0
1295,2242,0
1313,2239,0
1337,2245,0
1363,2250,0
1389,2253,0
1414,2262,0
1432,2263,0
1445,2257,0
1457,2251,0
1466,2241,0
1469,2229,0
1468,2220,0
1462,2217,0
1452,2219,0
1436,2227,0
1422,2249,0
1409,2275,0
1401,2305,0
1403,2336,0
1409,2356,0
1421,2367,0
1434,2360,0
1450,2345,0
1461,2315,0
1473,2289,0
1482,2258,0
1490,2232,0
1498,2222,0
1500,2222,0
1498,2227,0
1498,2255,0
1498,2292,0
1498,2316,0
1504,2344,0
1510,2359,0
1515,2357,0
1524,2356,0
1531,2334,1
1565,2105,0
1563,2105,0
1566,2117,0
1567,2141,0
1572,2177,0
1577,2213,0
1582,2257,0
1592,2309,0
1599,2348,0
1605,2363,0
1614,2364,0
1626,2362,0
1638,2342,0
1652,2321,0
1661,2294,0
1658,2266,0
1651,2252,0
1640,2246,0
1627,2246,0
1616,2253,0
1605,2268,0
1597,2290,0
1601,2311,0
1611,2307,0
1628,2291,1
1704,2128,0
1701,2133,0
1701,2145,0
1702,2170,0
1703,2203,0
1705,2245,0
1704,2287,0
1705,2324,0
1708,2356,0
1717,2383,0
1727,2396,0
1742,2396,0
1758,2391,0
1774,2382,0
1788,2365,0
1802,2340,0
1814,2314,0
1822,2294,0
1826,2281,0
1826,2280,0
1824,2282,0
1812,2282,0
1797,2287,0
1783,2299,0
1769,2321,0
1761,2353,0
1757,2384,0
1769,2405,0
1803,2415,0
1845,2405,0
1884,2392,0
1908,2387,0
1924,2381,1
2207,2251,0
2207,2252,0
2197,2244,0
2194,2245,0
2183,2242,0
2174,2246,0
2162,2253,0
2152,2268,0
2140,2287,0
2130,2309,0
2128,2336,0
2128,2363,0
2131,2388,0
2145,2409,0
2164,2417,0
2184,2416,0
2198,2405,0
2210,2390,0
2223,2374,0
2229,2352,0
2234,2333,0
2229,2316,0
2217,2305,0
2203,2299,0
2187,2299,0
2175,2295,0
2176,2295,0
2186,2290,0
2197,2279,1
2295,2275,0
2295,2275,0
2299,2279,0
2300,2282,0
2304,2299,0
2316,2328,0
2324,2351,0
2332,2374,0
2342,2401,0
2344,2417,0
2352,2432,0
2357,2439,0
2363,2439,1
2394,2291,0
2382,2309,0
2374,2332,0
2369,2363,0
2363,2403,0
2353,2445,0
2344,2491,0
2339,2534,0
2330,2567,0
2323,2584,0
2326,2587,0
2335,2581,0
2347,2557,1
2504,2239,0
2502,2240,0
2498,2238,0
2490,2239,0
2482,2248,0
2465,2260,0
2448,2271,0
2434,2285,0
2426,2294,0
2424,2301,0
2434,2313,0
2449,2323,0
2467,2335,0
2482,2349,0
2494,2361,0
2502,2369,0
2503,2374,0
2499,2381,0
2492,2391,0
2485,2399,0
2478,2400,0
2473,2397,0
2468,2386,0
2469,2371,0
2474,2354,1
2548,2139,0
2545,2140,0
2550,2142,0
2550,2142,0
2555,2153,0
2560,2175,0
2565,2205,0
2568,2237,0
2568,2273,0
2572,2313,0
2575,2350,0
2574,2370,0
2580,2385,0
2589,2388,0
2597,2384,0
2601,2366,0
2606,2343,1
2540,2258,0
2539,2253,0
2551,2250,0
2572,2245,0
2591,2241,0
2610,2241,0
2626,2240,0
2639,2240,0
2648,2238,1
2685,2355,0
2685,2355,0
2698,2360,0
2714,2358,0
2729,2347,0
2745,2330,0
2758,2305,0
2768,2276,0
2774,2256,0
2777,2248,0
2774,2246,0
2773,2247,0
2765,2248,0
2756,2256,0
2748,2273,0
2738,2294,0
2736,2322,0
2734,2348,0
2742,2373,0
2754,2389,0
2769,2397,0
2784,2401,0
2799,2400,0
2815,2398,0
2827,2388,0
2840,2378,0
2849,2361,0
2856,2339,0
2866,2315,0
2874,2287,0
2872,2263,0
2875,2256,0
2871,2253,0
2873,2257,0
2871,2258,0
2867,2262,0
2870,2280,0
2874,2303,0
2881,2329,0
2883,2353,0
2889,2374,0
2895,2385,0
2896,2384,0
2900,2386,0
2903,2383,0
2902,2369,0
2902,2337,0
2900,2297,0
2897,2273,0
2898,2268,0
2896,2264,0
