people were overworked, underfed,
705
1205,3398,0
1203,3390,0
1203,3390,0
1204,3390,0
1207,3402,0
1211,3422,0
1217,3450,0
1224,3489,0
1230,3533,0
1237,3577,0
1249,3629,0
1261,3672,0
1276,3711,0
1288,3751,0
1294,3774,0
1296,3782,0
1296,3782,0
1290,3766,0
1276,3735,0
1259,3692,0
1242,3641,0
1224,3590,0
1204,3530,0
1192,3479,0
1183,3423,0
1187,3378,0
1201,3342,0
1228,3322,0
1258,3315,0
1290,3322,0
1317,3339,0
1334,3367,0
1336,3398,0
1325,3428,0
1303,3453,0
1277,3474,0
1255,3488,0
1240,3489,0
1235,3481,0
1235,3465,0
1242,3444,1
1290,3422,0
1293,3426,0
1311,3440,0
1331,3447,0
1358,3448,0
1387,3442,0
1415,3436,0
1441,3421,0
1462,3398,0
1478,3375,0
1486,3355,0
1484,3339,0
1471,3325,0
1451,3323,0
1428,3334,0
1405,3356,0
1392,3382,0
1395,3413,0
1409,3440,0
1434,3462,0
1465,3474,0
1498,3470,0
1529,3462,0
1555,3443,0
1575,3423,0
1584,3409,0
1584,3405,0
1583,3406,0
1582,3414,0
1590,3433,0
1604,3447,0
1629,3459,0
1660,3466,0
1692,3464,0
1721,3446,0
1746,3425,0
1765,3401,0
1769,3371,0
1759,3345,0
1730,3322,0
1691,3313,0
1643,3315,0
1594,3327,0
1558,3349,0
1537,3373,1
1776,3374,0
1791,3362,0
1802,3356,0
1815,3361,0
1830,3374,0
1845,3399,0
1860,3433,0
1873,3467,0
1889,3508,0
1905,3549,0
1918,3588,0
1927,3621,0
1930,3650,0
1925,3660,0
1917,3662,0
1897,3646,0
1872,3623,0
1845,3584,0
1817,3532,0
1802,3483,0
1797,3426,0
1807,3379,0
1825,3342,0
1843,3317,0
1857,3306,0
1867,3308,0
1879,3325,0
1884,3352,0
1882,3386,0
1868,3418,0
1854,3446,0
1848,3468,0
1845,3469,1
1895,3251,0
1895,3226,0
1899,3221,0
1898,3221,0
1901,3237,0
1908,3268,0
1917,3303,0
1934,3339,0
1960,3374,0
1990,3399,0
2023,3410,0
2055,3413,0
2080,3401,0
2098,3379,0
2108,3358,0
2108,3338,0
2097,3320,0
2084,3312,0
2078,3314,0
2074,3320,0
2078,3335,0
2093,3360,0
2112,3379,0
2140,3399,1
2414,3284,0
2415,3283,0
2415,3282,0
2424,3296,0
2431,3315,0
2441,3341,0
2447,3365,0
2456,3387,0
2466,3400,0
2480,3407,0
2492,3402,0
2509,3390,0
2526,3373,0
2542,3358,0
2558,3350,0
2569,3344,0
2587,3349,0
2604,3355,0
2626,3367,0
2650,3381,0
2672,3389,0
2697,3398,0
2714,3395,0
2730,3386,0
2735,3366,0
2732,3340,0
2721,3315,0
2705,3291,0
2685,3270,0
2664,3258,0
2644,3245,0
2632,3239,0
2630,3235,1
2774,3349,0
2778,3352,0
2784,3349,0
2801,3349,0
2820,3342,0
2842,3331,0
2864,3318,0
2879,3300,0
2886,3282,0
2888,3268,0
2882,3252,0
2873,3245,0
2859,3243,0
2845,3255,0
2830,3274,0
2820,3301,0
2818,3331,0
2823,3360,0
2835,3380,0
2856,3396,0
2886,3402,0
2919,3398,0
2955,3382,0
2992,3360,0
3025,3335,0
3054,3312,0
3082,3300,0
3098,3289,0
3115,3293,0
3129,3303,0
3139,3320,0
3146,3339,0
3148,3361,0
3146,3382,0
3141,3399,0
3133,3409,0
3119,3409,0
3100,3402,0
3084,3392,0
3063,3373,0
3047,3355,0
3035,3338,0
3031,3327,0
3028,3314,0
3036,3309,0
3047,3302,0
3074,3300,0
3105,3294,0
3144,3293,0
3183,3291,0
3213,3285,0
3227,3275,0
3235,3274,0
3235,3274,0
3233,3276,0
3228,3288,0
3218,3305,0
3218,3325,0
3221,3341,0
3235,3356,0
3262,3368,1
3513,3308,0
3509,3311,0
3508,3318,0
3513,3334,0
3527,3354,0
3546,3369,0
3569,3381,0
3600,3387,0
3631,3382,0
3665,3377,0
3690,3362,0
3707,3342,0
3709,3319,0
3704,3298,0
3685,3278,0
3658,3264,0
3623,3257,0
3587,3260,0
3550,3269,0
3524,3285,0
3508,3302,1
3725,3253,0
3727,3253,0
3730,3256,0
3738,3269,0
3749,3286,0
3756,3302,0
3770,3322,0
3783,3337,0
3801,3347,0
3818,3349,0
3839,3346,0
3853,3334,0
3864,3320,0
3867,3301,0
3873,3284,0
3877,3264,0
3875,3245,1
3864,3329,0
3873,3337,0
3895,3345,0
3916,3343,0
3939,3338,0
3959,3330,0
3971,3315,0
3975,3299,0
3977,3287,0
3969,3273,0
3957,3267,0
3942,3269,0
3931,3281,0
3921,3295,0
3923,3315,0
3928,3332,0
3940,3349,0
3962,3361,0
3991,3367,0
4028,3370,0
4066,3368,0
4102,3367,0
4132,3366,0
4158,3369,0
4174,3370,0
4181,3375,0
4179,3376,0
4173,3377,0
4158,3375,0
4133,3370,0
4104,3360,0
4074,3350,0
4048,3335,0
4026,3317,0
4018,3303,0
4017,3288,0
4024,3276,0
4037,3268,0
4053,3264,0
4074,3267,0
4097,3277,0
4113,3290,0
4128,3308,0
4144,3327,0
4152,3336,0
4162,3342,0
4172,3339,0
4188,3334,0
4202,3321,0
4214,3309,0
4227,3301,0
4248,3303,0
4266,3302,0
4284,3305,0
4309,3309,0
4329,3317,0
4350,3319,0
4360,3320,0
4365,3315,0
4365,3310,0
4360,3296,0
4353,3286,0
4336,3269,0
4317,3261,0
4296,3254,0
4274,3247,0
4254,3245,0
4244,3249,0
4243,3256,1
4463,3298,0
4459,3296,0
