his search for an elusive foe, and,
611
812,2236,0
814,2252,0
817,2280,0
820,2317,0
822,2357,0
822,2394,0
822,2426,0
822,2454,0
822,2475,0
821,2482,0
822,2486,0
823,2479,0
828,2458,0
837,2428,0
853,2410,0
868,2391,0
881,2380,0
887,2376,0
892,2381,0
893,2381,1
1019,2396,0
1016,2412,0
1013,2427,1
1002,2331,0
997,2328,0
995,2323,0
996,2323,0
1002,2327,1
1220,2364,0
1199,2362,0
1172,2367,0
1138,2372,0
1109,2384,0
1090,2397,0
1081,2405,0
1085,2417,0
1100,2425,0
1127,2432,0
1162,2436,0
1202,2445,0
1234,2451,0
1250,2462,0
1247,2470,0
1233,2488,0
1202,2497,0
1170,2511,0
1139,2523,0
1117,2533,0
1107,2528,0
1112,2528,0
1127,2524,0
1153,2516,1
1643,2337,0
1618,2339,0
1593,2341,0
1574,2357,0
1556,2370,0
1549,2379,0
1553,2386,0
1566,2388,0
1596,2393,0
1635,2401,0
1678,2410,0
1713,2421,0
1734,2437,0
1736,2449,0
1723,2456,0
1701,2466,0
1674,2478,0
1643,2489,0
1613,2492,0
1587,2494,0
1575,2501,0
1566,2494,0
1571,2493,0
1578,2484,0
1594,2476,1
1754,2439,0
1758,2434,0
1775,2428,0
1797,2417,0
1818,2398,0
1837,2379,0
1853,2369,0
1854,2356,0
1845,2350,0
1817,2339,0
1786,2340,0
1766,2355,0
1741,2363,0
1727,2376,0
1721,2390,0
1723,2406,0
1749,2440,0
1771,2450,0
1810,2459,0
1853,2461,0
1891,2453,1
2099,2376,0
2092,2367,0
2077,2356,0
2063,2354,0
2041,2350,0
2015,2353,0
1986,2357,0
1961,2367,0
1945,2386,0
1940,2410,0
1948,2436,0
1961,2452,0
1983,2461,0
2012,2462,0
2040,2451,0
2065,2436,0
2086,2418,0
2097,2400,0
2105,2388,0
2102,2375,0
2101,2372,0
2099,2373,0
2096,2379,0
2096,2391,0
2099,2408,0
2108,2429,0
2116,2444,0
2128,2461,0
2140,2473,0
2143,2475,0
2148,2478,0
2152,2471,0
2162,2463,1
2216,2422,0
2215,2427,0
2217,2432,0
2219,2435,0
2217,2432,0
2218,2430,0
2212,2416,0
2211,2398,0
2215,2379,0
2217,2355,0
2229,2339,0
2241,2328,0
2258,2328,1
2374,2369,0
2358,2364,0
2340,2364,0
2328,2376,0
2313,2389,0
2309,2410,0
2314,2425,0
2333,2442,0
2355,2444,0
2388,2444,0
2410,2430,0
2437,2420,0
2452,2401,1
2467,2225,0
2462,2233,0
2459,2254,0
2453,2282,0
2448,2314,0
2453,2353,0
2453,2382,0
2462,2410,0
2466,2421,0
2478,2428,0
2487,2427,0
2497,2416,0
2511,2402,0
2523,2384,0
2536,2371,0
2547,2364,0
2552,2360,0
2561,2364,0
2568,2374,0
2572,2386,0
2581,2404,0
2590,2422,0
2598,2437,0
2603,2447,0
2610,2456,1
3098,2196,0
3086,2192,0
3064,2186,0
3056,2192,0
3053,2212,0
3045,2237,0
3045,2275,0
3051,2318,0
3050,2357,0
3055,2400,0
3054,2438,0
3062,2475,0
3064,2499,0
3066,2512,0
3071,2519,0
3076,2520,0
3079,2512,1
2999,2376,0
2987,2376,0
2988,2374,0
2999,2371,0
3023,2364,0
3060,2359,0
3093,2350,0
3126,2347,0
3153,2344,1
3222,2359,0
3214,2357,0
3206,2352,0
3194,2348,0
3180,2351,0
3165,2359,0
3150,2374,0
3144,2391,0
3148,2408,0
3159,2420,0
3181,2427,0
3206,2425,0
3233,2416,0
3256,2405,0
3267,2390,0
3267,2373,0
3255,2357,0
3243,2351,0
3226,2345,0
3218,2347,0
3212,2348,1
3337,2393,0
3334,2401,0
3334,2407,0
3332,2410,0
3331,2410,0
3334,2408,0
3339,2396,0
3345,2378,0
3349,2357,0
3357,2338,0
3366,2322,0
3380,2314,0
3395,2309,1
3684,2362,0
3684,2348,0
3685,2336,0
3675,2322,0
3658,2312,0
3640,2309,0
3623,2316,0
3603,2328,0
3588,2344,0
3582,2364,0
3585,2384,0
3600,2398,0
3616,2404,0
3636,2405,0
3655,2396,0
3672,2381,0
3692,2364,0
3703,2345,0
3709,2332,0
3708,2326,0
3705,2323,0
3701,2329,0
3699,2344,0
3691,2360,0
3693,2382,0
3697,2402,0
3701,2416,0
3705,2424,0
