Harvey&apos;s evidence, however,
742
885,1523,0
885,1527,0
884,1523,0
884,1523,0
884,1523,0
890,1544,0
891,1568,0
895,1609,0
891,1649,0
888,1697,0
888,1749,0
885,1797,0
883,1838,0
882,1873,0
881,1894,0
880,1897,0
881,1898,0
881,1894,0
882,1886,0
884,1854,0
892,1826,0
904,1787,0
924,1749,0
948,1720,0
966,1693,0
981,1689,0
989,1694,0
999,1706,0
1010,1731,0
1018,1759,0
1027,1788,0
1035,1808,0
1048,1824,0
1056,1821,0
1069,1817,0
1084,1801,0
1097,1768,0
1107,1725,0
1120,1684,0
1126,1644,0
1133,1616,0
1134,1592,0
1134,1576,0
1135,1568,0
1136,1572,0
1137,1575,0
1137,1584,0
1140,1612,0
1148,1652,0
1151,1691,0
1151,1735,0
1155,1787,0
1157,1827,0
1160,1855,0
1164,1871,0
1172,1886,0
1179,1890,1
1392,1754,0
1384,1747,0
1376,1741,0
1367,1734,0
1354,1729,0
1340,1727,0
1322,1730,0
1300,1738,0
1282,1756,0
1266,1773,0
1258,1800,0
1252,1819,0
1253,1844,0
1258,1863,0
1268,1879,0
1283,1889,0
1303,1886,0
1325,1871,0
1346,1844,0
1364,1812,0
1376,1782,0
1383,1756,0
1388,1747,0
1387,1743,0
1388,1747,0
1385,1747,0
1383,1752,0
1383,1780,0
1388,1812,0
1392,1843,0
1401,1870,0
1414,1893,0
1429,1906,1
1524,1735,0
1522,1736,0
1525,1739,0
1529,1754,0
1536,1773,0
1543,1800,0
1543,1821,0
1548,1849,0
1549,1874,0
1551,1894,0
1550,1898,0
1552,1901,0
1552,1897,0
1545,1883,0
1539,1863,0
1532,1836,0
1533,1812,0
1534,1782,0
1541,1755,0
1553,1731,0
1571,1717,0
1586,1708,0
1600,1703,0
1616,1705,0
1630,1709,0
1640,1714,0
1652,1722,0
1662,1732,0
1671,1742,1
1684,1732,0
1682,1733,0
1685,1736,0
1689,1747,0
1696,1761,0
1700,1778,0
1708,1804,0
1713,1829,0
1722,1859,0
1730,1882,0
1742,1899,0
1748,1905,0
1753,1907,0
1753,1903,0
1756,1901,0
1756,1867,0
1761,1839,0
1768,1806,0
1775,1773,0
1788,1741,0
1799,1710,0
1816,1693,0
1818,1684,0
1819,1682,0
1819,1682,0
1821,1686,0
1827,1691,0
1833,1703,0
1840,1717,1
