took place, demonstrations, social events
932
436,1987,0
431,2027,0
428,2077,0
424,2135,0
419,2192,0
412,2236,0
405,2263,0
401,2270,0
398,2260,0
395,2239,1
378,2182,0
370,2180,0
365,2174,0
362,2172,0
361,2169,0
364,2165,0
374,2155,0
393,2141,0
426,2127,0
466,2111,0
509,2094,0
546,2076,0
575,2063,0
593,2055,0
596,2056,0
591,2063,0
579,2089,0
562,2125,0
549,2164,0
542,2195,0
543,2212,0
551,2218,0
566,2213,0
582,2188,0
598,2164,0
610,2133,0
616,2111,0
615,2090,0
609,2084,0
598,2077,0
588,2082,0
579,2089,0
576,2088,0
580,2089,0
591,2092,0
613,2094,0
641,2084,0
673,2070,0
702,2063,0
720,2055,0
726,2056,0
726,2064,0
719,2087,0
705,2113,0
690,2147,0
679,2182,0
674,2205,0
677,2214,0
685,2215,0
699,2206,0
714,2184,0
726,2154,0
735,2127,0
739,2099,0
740,2083,0
736,2078,0
733,2077,0
731,2077,0
733,2077,0
741,2087,0
757,2082,0
780,2074,0
807,2053,0
834,2024,0
856,1992,0
875,1965,0
887,1938,0
893,1915,0
892,1899,0
887,1894,0
878,1893,0
866,1900,0
854,1918,0
844,1954,0
831,1988,0
820,2031,0
811,2074,0
805,2113,0
801,2141,0
800,2166,0
800,2166,0
802,2165,0
808,2159,0
821,2145,0
837,2118,0
852,2095,0
865,2081,0
871,2070,0
869,2070,0
867,2073,0
861,2080,0
852,2104,0
844,2127,0
842,2154,0
848,2176,0
860,2181,0
880,2183,0
902,2181,0
924,2162,0
945,2144,1
1178,2062,0
1177,2067,0
1175,2075,0
1174,2094,0
1173,2126,0
1172,2167,0
1166,2211,0
1159,2255,0
1154,2304,0
1149,2335,0
1145,2344,0
1146,2343,0
1146,2340,0
1150,2316,0
1155,2275,0
1164,2223,0
1177,2171,0
1195,2125,0
1216,2088,0
1238,2058,0
1259,2044,0
1275,2047,0
1284,2062,0
1288,2089,0
1280,2118,0
1262,2140,0
1243,2166,0
1221,2180,0
1205,2185,0
1193,2181,0
1182,2171,0
1179,2162,0
1182,2158,1
1303,2156,0
1309,2156,0
1315,2143,0
1324,2126,0
1334,2100,0
1344,2071,0
1353,2033,0
1360,1995,0
1371,1965,0
1375,1940,0
1374,1928,0
1370,1925,0
1363,1926,0
1356,1940,0
1344,1966,0
1331,2000,0
1320,2041,0
1311,2079,0
1313,2123,0
1317,2155,0
1327,2178,0
1341,2188,0
1364,2193,0
1387,2182,0
1412,2157,0
1440,2132,0
1464,2095,0
1492,2065,0
1515,2039,0
1534,2030,0
1543,2028,0
1541,2028,0
1539,2041,0
1535,2063,0
1524,2074,0
1517,2083,0
1515,2084,0
1517,2084,0
1517,2079,0
1518,2075,0
1516,2063,0
1516,2063,0
1508,2061,0
1498,2067,0
1488,2086,0
1473,2105,0
1467,2131,0
1467,2152,0
1473,2163,0
1487,2171,0
1503,2169,0
1524,2156,0
1549,2134,0
1575,2110,0
1600,2088,0
1618,2070,0
1627,2055,1
1543,2077,0
1544,2077,0
1546,2072,0
1556,2066,0
1567,2055,0
1582,2042,0
1599,2034,0
1611,2026,0
1616,2025,0
1623,2031,0
1631,2041,0
1634,2053,0
1633,2070,0
1628,2093,0
1619,2120,0
1613,2150,0
1611,2176,0
1620,2190,0
1638,2193,0
1672,2183,0
1703,2157,1
1826,2007,0
1825,2007,0
1822,2009,0
1814,2012,0
1806,2024,0
1790,2038,0
1766,2060,0
1738,2087,0
1717,2120,0
1707,2152,0
1710,2176,0
1729,2191,0
1756,2190,0
1793,2178,0
1837,2158,0
1873,2122,0
1911,2084,0
1942,2048,0
1962,2017,0
1964,1994,0
1956,1989,0
1939,1993,0
1918,2020,0
