of razors, knives, etc.
395
569,3898,0
563,3897,0
561,3901,0
559,3896,0
554,3900,0
547,3907,0
538,3930,0
529,3957,0
524,3984,0
523,4000,0
526,4005,0
527,4005,0
527,4005,0
527,3997,0
525,3976,0
524,3952,0
525,3944,0
526,3940,0
532,3945,0
543,3947,0
559,3941,0
576,3931,0
593,3909,0
612,3883,0
634,3850,0
654,3816,0
674,3782,0
690,3756,0
697,3740,0
696,3736,0
691,3740,0
678,3754,0
661,3785,0
646,3831,0
635,3886,0
628,3954,0
627,4022,0
632,4075,0
638,4112,0
643,4128,0
645,4125,0
649,4113,0
643,4080,0
632,4034,0
619,4005,1
580,4000,0
583,3996,0
600,3999,0
632,3995,0
672,3986,0
713,3971,0
750,3950,0
782,3928,1
922,3858,0
921,3861,0
923,3865,0
924,3889,0
927,3922,0
928,3954,0
926,3981,0
924,3997,0
923,4001,0
924,4001,0
926,3989,0
931,3966,0
942,3934,0
956,3899,0
981,3867,0
1012,3848,0
1047,3833,0
1081,3829,0
1108,3824,0
1126,3832,0
1136,3841,1
1135,3864,0
1134,3864,0
1130,3860,0
1122,3848,0
1112,3844,0
1098,3844,0
1081,3852,0
1060,3868,0
1039,3892,0
1024,3924,0
1015,3948,0
1015,3968,0
1021,3972,0
1032,3972,0
1047,3960,0
1065,3941,0
1083,3909,0
1100,3880,0
1112,3856,0
1116,3852,0
1116,3856,0
1113,3860,0
1109,3893,0
1107,3933,0
1109,3960,0
1116,3981,0
1126,3988,0
1140,3988,0
1156,3976,1
1178,3863,0
1183,3860,0
1194,3843,0
1211,3834,0
1232,3829,0
1252,3820,0
1269,3819,0
1276,3823,0
1276,3835,0
1268,3860,0
1252,3884,0
1237,3909,0
1226,3930,0
1223,3945,0
1230,3954,0
1245,3957,0
1266,3956,0
1286,3943,0
1304,3925,0
1310,3909,0
1303,3898,1
1175,3919,0
1172,3919,0
1182,3915,0
1211,3906,0
1252,3893,0
1291,3875,0
1331,3864,0
1363,3853,1
1401,3839,0
1394,3839,0
1385,3844,0
1372,3849,0
1356,3866,0
1341,3887,0
1331,3912,0
1331,3936,0
1339,3952,0
1353,3954,0
1370,3950,0
1393,3935,0
1410,3910,0
1423,3885,0
1428,3860,0
1422,3837,0
1409,3830,0
1392,3831,0
1375,3836,0
1365,3849,0
1365,3853,0
1376,3860,0
1399,3863,0
1429,3860,0
1462,3857,0
1492,3853,0
1517,3858,0
1532,3877,0
1537,3904,0
1531,3929,0
1521,3959,0
1510,3980,0
1502,3985,0
1505,3985,0
1506,3976,0
1516,3955,0
1528,3918,0
1541,3884,0
1553,3850,0
1567,3828,1
1673,3784,0
1675,3788,0
1672,3784,0
1664,3785,0
1650,3788,0
1630,3795,0
1611,3806,0
1602,3823,0
1599,3836,0
1611,3854,0
1632,3872,0
1660,3884,0
1686,3895,0
1703,3901,0
1705,3904,0
1702,3913,0
1677,3921,0
1644,3926,0
1614,3931,0
1590,3935,0
1581,3940,1
1815,3896,0
1816,3904,0
1822,3936,0
1826,3972,0
1821,4017,0
1804,4061,0
1782,4106,0
1752,4128,0
1725,4132,1
2096,3638,0
2094,3640,0
2095,3648,0
2089,3670,0
2079,3698,0
2067,3739,0
2053,3784,0
2036,3830,0
2020,3875,0
2009,3902,0
2008,3911,0
2014,3910,0
2031,3901,0
2055,3878,0
2082,3846,0
2104,3816,0
2117,3795,0
2122,3793,0
2120,3798,0
2107,3802,0
2091,3836,0
2074,3861,0
2069,3892,0
2070,3904,0
2079,3906,1
2192,3785,0
2193,3785,0
2193,3785,0
2192,3785,0
2190,3798,0
2185,3821,0
2181,3851,0
2174,3875,0
2170,3901,0
2169,3905,0
2172,3904,0
2178,3902,0
2191,3889,0
2203,3870,0
2216,3849,0
2227,3829,0
2234,3818,0
2237,3818,0
2236,3818,0
2236,3826,0
2232,3844,0
