Events, however, were to decree
647
1574,1093,0
1582,1094,0
1580,1090,0
1572,1085,0
1524,1105,0
1500,1112,0
1506,1105,0
1462,1115,0
1418,1140,0
1383,1164,0
1370,1189,0
1368,1211,0
1372,1222,0
1390,1229,0
1417,1229,0
1462,1235,0
1480,1228,0
1482,1228,0
1476,1234,0
1445,1245,0
1392,1254,0
1357,1275,0
1330,1306,0
1339,1329,0
1344,1340,0
1360,1364,0
1373,1394,0
1389,1427,0
1412,1463,0
1434,1486,0
1517,1486,0
1479,1506,0
1541,1487,1
1689,1268,0
1689,1269,0
1690,1271,0
1695,1292,0
1687,1324,0
1691,1375,0
1689,1421,0
1696,1458,0
1699,1479,0
1702,1486,0
1707,1483,0
1713,1458,0
1725,1407,0
1746,1351,0
1768,1305,0
1790,1278,0
1810,1264,1
1848,1406,0
1857,1406,0
1872,1397,0
1888,1380,0
1907,1358,0
1928,1329,0
1938,1296,0
1949,1272,0
1949,1257,0
1944,1251,0
1931,1251,0
1918,1266,0
1900,1299,0
1876,1412,0
1892,1440,0
1914,1455,0
1948,1460,0
1976,1447,0
2005,1421,0
2022,1383,0
2051,1349,0
2058,1318,0
2061,1305,0
2063,1303,0
2062,1304,0
2060,1310,0
2057,1334,0
2053,1368,0
2053,1399,0
2056,1417,0
2074,1429,0
2092,1423,0
2111,1404,0
2145,1348,0
2169,1347,0
2156,1354,0
2163,1374,0
2164,1390,0
2170,1405,0
2186,1418,0
2200,1421,0
2219,1415,0
2240,1390,0
2267,1348,0
2290,1295,0
2306,1248,0
2320,1213,0
2324,1189,0
2321,1173,0
2319,1170,0
2322,1172,0
2323,1196,0
2318,1240,0
2323,1295,0
2320,1344,0
2320,1385,0
2323,1416,0
2323,1433,0
2325,1437,0
2321,1429,0
2315,1407,0
2310,1389,0
2305,1377,0
2306,1370,0
2306,1365,0
2309,1356,0
2318,1346,0
2336,1339,0
2359,1338,0
2388,1346,0
2409,1360,0
2422,1380,0
2435,1409,0
2437,1436,0
2431,1459,0
2422,1475,0
2418,1479,0
2420,1478,0
2419,1466,0
2424,1450,0
2436,1438,1
2490,1456,0
2495,1457,0
2496,1461,0
2492,1470,0
2487,1488,0
2479,1508,0
2468,1526,0
2463,1542,0
2484,1538,1
2779,1247,0
2780,1312,0
2771,1374,0
2770,1423,0
2770,1450,0
2779,1465,0
2787,1467,0
2797,1454,0
2813,1425,0
2833,1398,0
2853,1382,0
2867,1377,0
2871,1377,0
2876,1392,0
2874,1415,0
2874,1443,0
2869,1471,0
2875,1496,0
2888,1512,0
2900,1516,0
2922,1515,0
2946,1509,0
2970,1502,1
3041,1387,0
3033,1385,0
3026,1389,0
3010,1399,0
2995,1423,0
2978,1448,0
2973,1470,0
2978,1491,0
2987,1504,0
2996,1507,0
3013,1504,0
3025,1486,0
3037,1459,0
3044,1428,0
3044,1405,0
3042,1401,0
3035,1397,0
3034,1399,0
3025,1398,0
3025,1399,0
3028,1401,0
3030,1405,0
3045,1411,0
3049,1411,0
3074,1411,0
3092,1404,0
3104,1393,0
3118,1383,0
3129,1374,0
3126,1370,0
3130,1371,0
3125,1372,0
3124,1382,0
3113,1399,0
3105,1422,0
3102,1449,0
3091,1472,0
3098,1491,0
3108,1505,0
3124,1510,0
3142,1505,0
3157,1488,0
3174,1469,0
3180,1453,0
3182,1448,0
3178,1446,0
3182,1447,0
3177,1455,0
3174,1469,0
3175,1482,0
3180,1498,0
3187,1508,0
3198,1514,0
3213,1513,0
3222,1505,0
3238,1495,0
3248,1478,0
3258,1462,0
3257,1446,0
3257,1432,0
3264,1421,0
3260,1411,0
3257,1406,0
3259,1405,0
3259,1404,0
3259,1404,0
3264,1404,0
3264,1402,0
3261,1400,0
3266,1401,0
3269,1402,0
3269,1401,0
3267,1400,0
3271,1400,0
3271,1398,0
3268,1396,0
3272,1397,0
3284,1401,0
3288,1403,0
3287,1404,0
3286,1405,0
3286,1406,0
3289,1409,0
3288,1409,0
3298,1416,0
3300,1421,0
3307,1425,0
3305,1428,0
3317,1431,0
3329,1433,0
3341,1430,0
3363,1423,0
3378,1414,0
3392,1404,0
3402,1392,0
3405,1379,0
3396,1370,0
3387,1368,0
3377,1372,0
3358,1382,0
3347,1401,0
3337,1428,0
3335,1457,0
3334,1483,0
3346,1501,0
3363,1512,0
3389,1515,0
3414,1503,0
3436,1481,0
3456,1452,0
3472,1422,0
3480,1399,0
3484,1392,0
3485,1389,0
3481,1387,0
3481,1387,0
3482,1387,0
3485,1389,0
3484,1390,0
3480,1390,0
3484,1392,0
3484,1392,0
3484,1392,0
3480,1390,0
3484,1390,0
3481,1389,0
3484,1390,0
3485,1389,0
3484,1392,0
3486,1396,0
3491,1411,0
3487,1428,0
3485,1449,0
3486,1467,0
3487,1481,0
3486,1491,0
3488,1496,0
3491,1498,0
3487,1496,0
3486,1497,0
3487,1496,0
3490,1492,0
3491,1479,0
3502,1460,0
3524,1435,0
3542,1418,0
3551,1408,0
3554,1402,0
3559,1402,0
3555,1401,0
3555,1401,0
3551,1400,0
3551,1400,0
3555,1401,0
3556,1401,0
3555,1401,0
3556,1401,0
3556,1401,0
3556,1401,0
3554,1402,0
3556,1407,0
3554,1412,0
3564,1419,0
3571,1423,0
3580,1423,0
3595,1419,0
3611,1414,0
3621,1404,0
3630,1394,0
3631,1390,0
3628,1388,0
3624,1388,0
3612,1394,0
3600,1411,0
3591,1428,0
3592,1444,0
3594,1457,0
3603,1467,0
3615,1469,0
3636,1463,0
3660,1449,0
3676,1438,0
3681,1435,0
3684,1438,0
3679,1449,0
3672,1463,0
3661,1475,0
3658,1483,0
3656,1484,0
3657,1483,0
3675,1465,0
3685,1435,0
3701,1411,0
3693,1382,0
3694,1380,0
3699,1380,0
3699,1380,0
3699,1380,0
3701,1393,0
3706,1410,0
3709,1423,0
3725,1428,0
3738,1428,0
3764,1427,0
3812,1438,1
3814,1500,0
3799,1522,0
3780,1551,0
3760,1581,0
3735,1600,1
4065,1381,0
4053,1397,0
4048,1421,0
4041,1446,0
4080,1448,0
4092,1428,0
4098,1414,0
4099,1411,0
4097,1415,0
4101,1428,0
4136,1437,0
4146,1413,0
4156,1389,0
4157,1375,0
4157,1365,0
4151,1358,0
4143,1355,1
4248,1427,0
4248,1417,0
4265,1407,0
4271,1391,0
4272,1379,0
4271,1368,0
4268,1364,0
4264,1363,0
4255,1366,0
4246,1380,0
4242,1402,0
4238,1431,0
4234,1452,0
4236,1467,0
4246,1475,0
4259,1474,0
4280,1465,0
4299,1449,0
4323,1435,0
4330,1427,0
4338,1428,0
4328,1431,0
4323,1444,0
4315,1455,0
4307,1464,0
4305,1467,0
4310,1468,0
4309,1458,0
4317,1438,0
4324,1409,0
4331,1381,0
4333,1363,0
4335,1357,0
4336,1356,0
4336,1356,0
4334,1359,0
4330,1372,0
4332,1388,0
4339,1404,0
4343,1414,0
4362,1421,0
4379,1421,0
4403,1415,0
4420,1401,0
4439,1387,0
4405,1387,0
4390,1404,0
4393,1419,0
4400,1435,0
4415,1449,0
4435,1455,0
4459,1461,0
4485,1460,1
4737,1235,0
4741,1235,0
4736,1238,0
4738,1247,0
4734,1261,0
4721,1288,0
4706,1321,0
4694,1360,0
4675,1392,0
4663,1414,0
4654,1427,0
4652,1435,0
4647,1435,0
4649,1429,0
4653,1416,0
4656,1398,0
4661,1383,0
4660,1374,0
4658,1366,0
4660,1360,0
4666,1355,0
4669,1347,0
4678,1343,0
4692,1341,0
4705,1339,0
4722,1337,0
4731,1336,0
4742,1340,0
4748,1349,0
4750,1356,0
4747,1365,0
4744,1373,0
4744,1385,0
4734,1394,0
4730,1403,0
4736,1410,0
4743,1416,0
4739,1416,0
4738,1416,0
4743,1414,0
4744,1411,1
4747,1379,0
4748,1388,0
4749,1395,0
4748,1402,0
4749,1409,0
4752,1415,0
4758,1421,0
4760,1425,0
4772,1427,0
4777,1425,0
4781,1416,0
4793,1405,0
4801,1391,0
4813,1379,0
4818,1365,0
4818,1355,0
4816,1346,0
4810,1340,0
4806,1337,0
4799,1336,0
4790,1334,0
4782,1334,0
4777,1334,0
4772,1338,0
4768,1338,0
4768,1339,0
4764,1339,0
4760,1338,0
4760,1337,0
4764,1338,0
4764,1338,0
4765,1337,0
4764,1336,0
4760,1334,0
4765,1336,0
4773,1337,0
4781,1338,0
4789,1341,0
4799,1345,0
4806,1351,0
4818,1353,0
4835,1351,0
4859,1345,1
5163,1313,0
5156,1312,0
5129,1316,0
5111,1351,0
5101,1375,0
5094,1395,0
5101,1414,0
5102,1424,0
5109,1427,0
5123,1423,0
5139,1411,0
5158,1391,0
5175,1361,0
5198,1295,0
5215,1263,0
5213,1257,0
5209,1255,0
5213,1255,0
5210,1264,0
5203,1275,0
5195,1337,0
5180,1358,0
5174,1377,0
5170,1392,0
5172,1399,0
5179,1405,0
5187,1406,0
5192,1405,0
5204,1404,0
5212,1403,0
5214,1400,0
5219,1396,0
5226,1387,0
5238,1376,0
5250,1359,0
5260,1343,0
5269,1337,0
5272,1329,0
5272,1328,0
5268,1327,0
5258,1331,0
5247,1344,0
5233,1360,0
5226,1374,0
5226,1388,0
5236,1398,0
5241,1405,0
5253,1409,0
5267,1405,1
5318,1356,0
5302,1370,0
5294,1384,0
5289,1398,0
5295,1408,0
5300,1418,0
5312,1422,0
5323,1423,0
5347,1414,0
5363,1402,0
5385,1385,0
5401,1371,0
5411,1364,0
5416,1362,0
5412,1362,0
5414,1369,0
5407,1377,0
5401,1384,0
5403,1392,0
5404,1389,0
5407,1392,0
5409,1385,0
5417,1373,0
5421,1358,0
5421,1344,0
5423,1338,0
5427,1336,0
5427,1338,0
5430,1339,0
5433,1346,0
5441,1350,0
5451,1356,0
5462,1359,0
5483,1360,0
5494,1352,0
5512,1344,0
5523,1333,0
5534,1323,0
5524,1313,0
5530,1307,0
5526,1304,0
5514,1305,0
5508,1312,0
5503,1329,0
5495,1345,0
5496,1358,0
5492,1372,0
5493,1385,0
5503,1394,0
5514,1398,0
5535,1395,0
5555,1381,0
5593,1368,0
5610,1348,0
5632,1328,0
5648,1314,0
5649,1307,0
5651,1303,0
5647,1300,0
5643,1298,0
5630,1303,0
5622,1320,0
5614,1330,0
5614,1349,0
5605,1365,0
5610,1380,0
5615,1392,0
5630,1397,0
5642,1399,0
5663,1396,0
5687,1401,1
