feast.&quot; 5. St. Mark&apos;s, Woadcote, 1913-
749
1071,1732,0
1067,1725,0
1062,1713,0
1056,1705,0
1047,1697,0
1034,1689,0
1019,1684,0
1004,1683,0
993,1690,0
984,1706,0
976,1725,0
971,1753,0
967,1785,0
967,1825,0
972,1874,0
978,1918,0
988,1966,0
998,2007,0
1003,2036,0
1009,2060,0
1012,2075,1
883,1962,0
887,1966,0
899,1968,0
916,1961,0
943,1959,0
972,1954,0
1008,1956,0
1042,1948,0
1073,1949,1
1078,1956,0
1082,1953,0
1090,1944,0
1104,1941,0
1117,1928,0
1129,1912,0
1139,1896,0
1146,1879,0
1146,1864,0
1143,1856,0
1134,1848,0
1123,1848,0
1109,1853,0
1093,1861,0
1079,1877,0
1071,1896,0
1067,1917,0
1075,1944,0
1087,1961,0
1106,1973,0
1131,1976,1
1352,1847,0
1339,1841,0
1323,1843,0
1303,1846,0
1283,1857,0
1264,1875,0
1248,1893,0
1240,1913,0
1238,1934,0
1244,1949,0
1254,1956,0
1271,1963,0
1288,1956,0
1307,1950,0
1319,1932,0
1332,1915,0
1343,1893,0
1350,1872,0
1353,1855,0
1353,1847,0
1351,1843,0
1351,1847,0
1351,1855,0
1348,1872,0
1350,1900,0
1353,1932,0
1358,1959,0
1367,1982,0
1380,2000,1
1405,1931,0
1406,1939,0
1411,1950,0
1424,1964,0
1444,1973,0
1469,1980,0
1493,1978,0
1518,1976,0
1539,1971,0
1552,1964,0
1558,1954,0
1558,1942,0
1551,1927,0
1535,1914,0
1512,1900,0
1488,1885,0
1467,1873,0
1452,1860,0
1444,1850,0
1440,1838,0
1447,1833,0
1461,1826,0
1480,1816,0
1508,1814,0
1535,1815,1
1644,1713,0
1647,1716,0
1646,1717,0
1650,1728,0
1649,1745,0
1649,1775,0
1648,1809,0
1648,1848,0
1650,1884,0
1654,1921,0
1657,1949,0
1661,1973,0
1660,1987,1
1541,1879,0
1544,1879,0
1556,1879,0
1571,1875,0
1599,1876,1
1771,1697,0
1766,1694,0
1768,1702,0
1766,1716,0
1763,1734,0
1763,1761,0
1758,1780,0
1760,1801,0
1763,1817,1
1814,1689,0
1812,1690,0
1812,1703,0
1812,1726,0
1810,1754,0
1807,1785,0
1804,1816,0
1802,1843,1
2162,1735,0
2161,1737,0
2153,1733,0
2152,1733,0
2145,1728,0
2137,1724,0
2128,1720,0
2113,1716,0
2109,1719,0
2097,1717,0
2096,1718,0
2094,1718,0
2093,1720,0
2092,1725,0
2092,1735,0
2084,1744,0
2082,1761,0
2082,1779,0
2079,1794,0
2077,1805,0
2080,1817,0
2079,1822,0
2082,1825,0
2087,1827,0
2099,1829,0
2116,1829,0
2137,1830,0
2163,1836,0
2182,1843,0
2200,1855,0
2217,1873,0
2221,1889,0
2223,1912,0
2215,1931,0
2204,1948,0
2183,1956,0
2159,1961,0
2130,1955,0
2107,1946,0
2090,1937,0
2079,1925,1
2301,1961,0
2299,1961,0
2297,1959,0
2300,1961,0
2302,1960,1
2371,1901,0
2365,1906,0
2364,1916,0
2367,1929,0
2371,1940,0
2384,1956,0
2396,1967,0
2420,1980,0
2441,1984,0
2463,1987,0
2481,1983,0
2499,1980,0
2514,1973,0
2519,1958,0
2522,1945,0
2516,1925,0
2509,1910,0
2487,1891,0
2463,1876,0
2434,1862,0
2405,1850,0
2382,1838,0
2361,1824,0
2357,1816,0
2354,1804,0
2361,1792,0
2381,1782,0
2406,1771,0
2434,1764,1
