year, 1914, when war broke
759
395,2967,0
407,2956,0
426,2937,0
451,2914,0
569,2771,0
516,2956,0
523,2966,0
533,2964,0
548,2955,0
569,2930,0
593,2898,0
618,2854,0
642,2813,0
659,2783,0
670,2761,0
671,2753,0
671,2757,0
671,2757,0
669,2765,0
660,2784,0
646,2818,0
631,2864,0
612,2905,0
602,2956,0
588,3011,0
578,3069,0
565,3124,0
552,3175,0
538,3221,0
523,3255,0
512,3274,0
506,3281,0
503,3276,0
498,3271,0
495,3250,0
500,3222,0
511,3192,0
528,3158,0
552,3114,0
581,3071,0
612,3023,0
645,2971,0
680,2924,0
714,2876,0
738,2847,0
733,2878,0
738,2908,0
744,2924,0
759,2942,0
774,2940,0
794,2934,0
820,2917,0
885,2854,0
921,2820,0
954,2789,0
983,2763,0
1007,2743,0
1027,2732,0
1043,2733,0
1054,2729,0
1059,2729,0
1060,2729,0
1060,2729,0
1061,2732,0
1060,2729,0
1059,2729,0
1058,2725,0
1055,2725,0
1049,2717,0
1044,2717,0
1036,2720,0
1027,2728,0
1015,2744,0
1003,2772,0
989,2799,0
977,2830,0
966,2862,0
960,2890,0
959,2914,0
963,2926,0
970,2926,0
979,2927,0
993,2919,0
1010,2900,0
1030,2869,0
1052,2837,0
1070,2801,0
1085,2781,0
1092,2765,0
1093,2753,0
1091,2744,0
1089,2745,0
1087,2744,0
1085,2748,0
1081,2761,0
1073,2784,0
1066,2808,0
1061,2828,0
1059,2856,0
1061,2881,0
1068,2905,0
1077,2921,0
1090,2929,0
1106,2933,0
1124,2924,0
1146,2912,0
1250,2787,0
1273,2753,0
1291,2732,0
1300,2715,0
1302,2712,0
1302,2712,0
1300,2711,0
1297,2719,0
1292,2744,0
1282,2777,0
1299,2727,0
1298,2719,0
1300,2719,0
1303,2723,0
1310,2722,0
1322,2721,0
1339,2724,0
1361,2721,0
1392,2721,0
1426,2704,0
1467,2695,1
1575,2933,0
1573,2937,0
1573,2958,0
1566,2987,0
1553,3025,0
1941,2593,0
1968,2540,0
1995,2495,0
2014,2461,0
2026,2439,0
2034,2428,0
2036,2427,0
2031,2425,0
2029,2434,0
2019,2459,0
2002,2492,0
1989,2549,0
1966,2601,0
1942,2655,0
1923,2713,0
1898,2759,0
1879,2811,0
1866,2860,0
1852,2898,0
1846,2928,0
1845,2941,0
1848,2948,0
1850,2935,0
1865,2923,1
2179,2441,0
2170,2432,0
2159,2432,0
2143,2436,0
2128,2452,0
2116,2475,0
2100,2495,0
2093,2520,0
2087,2540,0
2090,2560,0
2092,2567,0
2105,2576,0
2113,2572,0
2126,2566,0
2140,2552,0
2152,2533,0
2164,2519,0
2169,2512,0
2166,2509,0
2166,2509,0
2166,2513,0
2164,2519,0
2159,2543,0
2147,2570,0
2133,2611,0
2119,2665,0
2096,2713,0
2081,2771,0
2065,2828,0
2045,2873,0
2029,2918,0
2012,2948,0
2002,2965,0
1998,2970,0
1995,2971,0
1985,2961,0
1977,2951,0
1973,2945,0
1966,2926,0
1966,2909,0
1972,2894,1
2244,2676,0
2253,2645,0
2275,2612,0
2297,2570,0
2316,2524,0
2343,2492,0
2362,2453,0
2380,2429,0
2384,2405,0
2387,2393,0
2391,2396,0
2386,2394,0
2384,2400,0
2381,2420,0
2367,2451,0
2352,2495,0
2335,2545,0
2317,2600,0
2302,2657,0
2285,2714,0
2265,2767,0
2251,2821,0
2238,2867,0
2226,2897,0
2222,2922,0
2221,2935,0
2221,2939,0
2225,2946,0
2228,2945,1
2495,2403,0
2485,2423,0
2473,2450,0
2456,2482,0
2437,2517,0
2422,2557,0
2405,2594,0
2388,2630,0
2379,2667,0
2368,2696,0
2368,2717,0
2374,2728,0
2382,2729,0
2404,2731,0
2429,2726,0
2458,2716,0
2495,2704,0
2528,2682,0
2567,2668,0
2601,2652,0
2627,2641,0
2644,2639,0
2649,2637,0
2654,2638,0
2653,2639,0
2654,2643,0
2653,2643,0
2648,2642,0
2636,2640,1
2513,2612,0
2511,2617,0
2511,2631,0
2514,2652,0
2510,2678,0
2500,2711,0
2488,2754,0
2468,2797,0
2452,2845,0
2432,2883,0
2422,2923,0
2411,2946,0
2410,2964,0
2410,2973,0
2415,2980,0
2411,2977,0
2415,2980,1
2662,3047,0
2651,3084,0
2641,3095,0
2649,3103,1
2933,2759,0
2955,2713,0
2984,2676,0
3011,2645,0
3029,2620,0
3042,2610,0
3046,2608,0
3043,2609,0
3039,2623,0
3021,2648,0
2994,2683,0
2969,2733,0
2934,2778,0
2903,2818,0
2875,2847,0
2858,2868,0
2848,2879,0
2847,2880,0
2849,2878,0
2855,2865,0
2865,2840,0
2883,2808,0
2906,2777,0
2931,2745,0
2955,2722,0
2972,2700,0
2984,2687,0
2991,2685,0
2990,2686,0
2992,2696,0
2984,2711,0
2976,2737,0
2970,2772,0
2958,2799,0
2955,2831,0
2960,2856,0
2970,2874,0
2991,2889,0
3006,2888,0
3028,2882,0
3051,2866,0
3076,2842,0
3098,2811,0
3114,2773,0
3127,2738,0
3139,2717,0
3139,2702,0
3131,2688,0
3127,2681,0
3122,2674,0
3117,2668,0
3111,2663,0
3108,2660,0
3107,2661,0
3107,2661,0
3107,2661,0
3105,2658,0
3105,2658,0
3107,2661,0
3114,2666,0
3124,2673,0
3130,2673,0
3142,2678,0
3154,2679,0
3164,2676,0
3177,2671,0
3192,2663,0
3209,2643,0
3233,2617,0
3240,2568,0
3267,2532,0
3288,2491,0
3313,2461,0
3326,2432,0
3337,2416,0
3332,2404,0
3327,2398,0
3322,2397,0
3317,2402,0
3307,2417,0
3291,2449,0
3274,2492,0
3260,2550,0
3239,2607,0
3219,2666,0
3199,2725,0
3181,2781,0
3164,2830,0
3154,2869,0
3162,2892,0
3165,2895,0
3164,2891,0
3160,2869,0
3169,2837,0
3183,2794,0
3225,2697,0
3252,2664,0
3274,2634,0
3294,2617,0
3305,2606,0
3316,2608,0
3325,2620,0
3325,2637,0
3325,2669,0
3322,2704,0
3314,2737,0
3311,2767,0
3315,2784,0
3327,2794,0
3341,2793,0
3361,2782,0
3379,2755,0
3402,2719,0
3431,2675,0
3457,2628,0
3475,2589,0
3481,2565,0
3481,2560,0
3475,2560,0
3465,2565,0
3449,2586,0
3435,2627,0
3416,2678,0
3413,2741,0
3404,2791,0
3408,2831,0
3406,2843,0
3428,2856,0
3450,2852,0
3477,2834,0
3512,2796,0
3547,2741,0
3590,2688,0
3629,2649,0
3656,2621,0
3667,2608,0
3668,2608,0
3667,2608,0
3662,2613,0
3652,2637,0
3633,2666,0
3610,2697,0
3600,2735,0
3583,2756,0
3583,2767,0
3585,2765,0
3588,2763,0
3595,2750,0
3615,2720,0
3647,2683,0
3680,2642,0
3719,2612,0
3756,2594,0
3782,2584,0
3805,2589,0
3817,2598,0
3826,2619,0
3831,2650,0
3826,2690,0
3820,2738,0
3817,2782,0
3823,2816,0
3831,2830,0
3852,2838,0
3870,2831,0
3904,2813,0
3942,2777,0
3981,2733,1
4172,2726,0
4172,2714,0
4181,2690,0
4201,2659,0
4233,2624,0
4264,2590,0
4294,2557,0
4325,2536,0
4339,2516,0
4358,2510,0
4365,2507,0
4365,2508,0
4363,2511,0
4358,2517,0
4339,2529,0
4326,2555,0
4304,2584,0
4280,2615,0
4256,2646,0
4234,2680,0
4218,2719,0
4200,2754,0
4193,2782,0
4191,2796,0
4194,2799,0
4196,2797,0
4203,2794,0
4212,2784,0
4226,2767,0
4234,2744,0
4253,2721,0
4269,2701,0
4278,2684,0
4282,2671,0
4287,2659,0
4295,2649,0
4299,2637,0
4300,2629,0
4302,2627,0
4301,2628,0
4300,2629,0
4295,2629,0
4293,2639,0
4290,2655,0
4281,2673,0
4277,2697,0
4279,2721,0
4284,2740,0
4287,2755,0
4298,2767,0
4311,2771,0
4326,2771,0
4343,2763,0
4367,2746,0
4386,2721,0
4406,2689,0
4425,2657,0
4428,2618,0
4429,2589,0
4439,2575,0
4431,2559,0
4433,2550,0
4429,2541,0
4425,2539,0
4422,2537,0
4430,2540,0
4438,2542,0
4444,2540,0
4461,2538,0
4490,2538,0
4514,2533,0
4540,2529,0
4572,2526,0
4597,2523,0
4613,2514,0
4636,2515,0
4644,2511,0
4649,2511,0
4648,2511,0
4644,2509,0
4632,2506,0
4623,2507,0
4602,2508,0
4588,2522,0
4558,2540,0
4538,2568,0
4515,2599,0
4490,2629,0
4481,2661,0
4477,2687,0
4480,2702,0
4492,2713,0
4507,2713,0
4526,2709,0
4551,2695,0
4574,2669,0
4598,2642,0
4623,2613,0
4635,2583,0
4654,2568,0
4656,2550,0
4659,2545,0
4648,2540,0
4655,2544,0
4647,2543,0
4652,2557,0
4641,2579,0
4638,2612,0
4631,2643,0
4632,2677,0
4635,2709,0
4637,2731,0
4639,2743,0
4669,2757,0
4686,2759,0
4708,2750,0
4734,2734,0
4758,2706,0
4792,2679,0
4804,2639,0
4830,2612,0
4849,2592,0
4845,2574,0
4847,2572,0
4856,2574,0
4854,2575,0
4846,2581,0
4837,2603,0
4832,2633,0
4815,2659,0
4808,2690,0
4795,2717,0
4795,2738,0
4789,2745,0
4792,2743,0
4786,2736,0
4796,2716,0
4805,2680,0
4831,2648,0
4855,2618,0
4874,2589,0
4893,2567,0
4910,2548,0
4926,2538,0
4939,2530,0
4953,2523,0
4974,2519,0
4998,2511,0
5024,2506,1
5278,2611,0
5303,2575,0
5342,2530,0
5381,2484,0
5423,2431,0
5525,2260,0
5480,2354,0
5400,2465,0
5360,2522,0
5335,2577,0
5330,2695,0
5368,2702,0
5426,2659,0
5449,2634,0
5472,2592,0
5495,2516,0
5472,2501,0
5461,2495,0
5453,2492,0
5454,2492,0
5453,2494,0
5458,2494,0
5471,2493,0
5483,2488,0
5508,2485,0
5524,2478,0
5558,2474,0
5575,2475,0
5589,2484,0
5601,2496,0
5594,2544,0
5586,2574,0
5576,2610,0
5561,2646,0
5535,2694,0
5532,2700,0
5534,2696,0
5537,2673,0
5549,2643,0
5563,2609,0
5583,2581,0
5601,2555,0
5618,2531,0
5638,2511,0
5656,2495,0
5675,2483,0
5697,2475,0
5774,2471,0
5798,2477,0
5820,2478,0
5823,2472,0
5832,2471,0
5841,2471,0
5841,2470,0
5837,2469,0
5836,2463,0
5830,2458,0
5822,2456,0
5810,2461,0
5805,2471,0
5717,2567,0
