this to be wondered at, for even today,
1160
900,4897,0
897,4897,0
897,4897,0
897,4897,0
898,4897,0
896,4893,0
899,4889,0
904,4877,0
912,4866,0
922,4846,0
933,4826,0
948,4803,0
964,4783,0
977,4755,0
993,4736,0
1006,4716,0
1013,4708,0
1018,4704,0
1019,4704,0
1019,4704,0
1018,4720,0
1013,4740,0
1007,4764,0
998,4796,0
991,4835,0
983,4871,0
974,4911,0
965,4951,0
957,4987,0
949,5014,0
948,5023,0
946,5023,0
948,5003,1
978,4907,0
979,4907,0
979,4907,0
982,4912,0
989,4915,0
997,4915,0
1009,4912,0
1025,4904,0
1045,4893,0
1065,4880,0
1085,4860,0
1105,4837,0
1124,4813,0
1141,4780,0
1153,4752,0
1163,4724,0
1168,4703,0
1170,4683,0
1169,4671,0
1166,4671,0
1160,4664,0
1154,4668,0
1145,4680,0
1136,4704,0
1126,4728,0
1119,4760,0
1112,4796,0
1107,4833,0
1101,4872,0
1099,4912,0
1094,4944,0
1095,4965,0
1097,4973,0
1105,4976,0
1113,4972,0
1125,4953,0
1140,4928,0
1153,4907,0
1165,4887,0
1177,4876,0
1181,4871,0
1184,4879,0
1187,4891,0
1185,4915,0
1183,4936,0
1184,4959,0
1187,4975,0
1190,4991,0
1196,4995,0
1203,4999,0
1212,4999,0
1225,4990,0
1237,4978,0
1250,4958,0
1266,4932,0
1283,4912,0
1297,4891,0
1307,4866,0
1315,4859,0
1317,4858,0
1318,4863,0
1317,4858,0
1315,4866,0
1310,4879,0
1306,4895,0
1304,4911,0
1299,4927,0
1298,4939,0
1298,4956,0
1298,4963,0
1301,4972,0
1307,4975,0
1315,4975,0
1326,4974,0
1341,4969,0
1358,4961,0
1375,4947,0
1397,4934,0
1413,4925,0
1433,4919,0
1451,4918,0
1465,4917,0
1478,4915,0
1482,4920,0
1483,4931,0
1479,4939,0
1472,4952,0
1462,4957,0
1456,4965,0
1450,4966,0
1441,4959,0
1438,4943,0
1441,4922,1
1410,4753,0
1405,4753,0
1401,4749,0
1399,4749,0
1399,4749,0
1398,4749,0
1400,4746,0
1408,4736,0
1421,4736,1
1656,4962,0
1656,4962,0
1656,4962,0
1657,4962,0
1664,4957,0
1672,4948,0
1686,4934,0
1697,4917,0
1710,4894,0
1724,4869,0
1739,4838,0
1752,4804,0
1767,4773,0
1782,4747,0
1794,4717,0
1803,4695,0
1812,4677,0
1815,4669,0
1815,4669,0
1815,4669,0
1814,4673,0
1809,4690,0
1804,4719,0
1799,4744,0
1792,4782,0
1788,4818,0
1780,4852,0
1774,4893,0
1770,4930,0
1763,4964,0
1759,4992,0
1757,5009,0
1756,5017,1
1780,4897,0
1780,4897,0
1781,4896,0
1788,4900,0
1797,4902,0
1809,4900,0
1821,4890,0
1838,4888,0
1856,4881,0
1871,4870,0
1886,4864,0
1898,4862,0
1903,4864,0
1905,4864,0
1906,4869,0
1902,4869,0
1891,4879,0
1880,4889,0
1870,4903,0
1858,4921,0
1849,4939,0
1845,4952,0
1848,4968,0
1856,4978,0
1863,4981,0
1878,4975,0
1891,4973,0
1901,4954,0
1914,4940,0
1920,4922,0
1921,4902,0
1917,4891,0
1908,4880,0
1900,4874,0
1901,4877,0
1899,4873,0
1901,4873,0
1914,4875,0
1930,4876,0
1949,4877,0
1966,4878,1
2091,4980,0
2089,4976,0
2090,4979,0
2094,4978,0
2104,4981,0
2117,4977,0
2135,4965,0
2154,4949,0
2177,4927,0
2198,4902,0
2278,4780,0
2291,4747,0
2301,4719,0
2310,4695,0
2313,4678,0
2312,4671,0
2311,4671,0
2306,4673,0
2297,4675,0
2284,4686,0
2271,4710,0
2256,4739,0
2243,4775,0
2229,4812,0
2215,4848,0
2205,4888,0
2197,4927,0
2197,4964,0
2196,4989,0
2201,5004,0
2209,5010,0
2219,5008,0
2230,5002,0
2245,4990,0
2255,4967,0
2266,4947,0
2273,4929,0
2275,4920,0
2274,4917,0
2273,4917,0
2274,4921,0
2271,4917,0
2273,4921,0
2274,4925,0
2278,4928,0
2282,4935,0
2288,4938,0
2297,4948,0
2306,4958,0
2316,4964,0
2326,4965,0
2338,4962,0
2351,4958,0
2361,4943,0
2371,4932,0
2377,4922,0
2381,4913,0
2379,4901,0
2356,4887,0
2350,4893,0
2345,4898,0
2340,4912,0
2336,4934,0
2335,4946,0
2339,4966,0
2346,4980,0
2358,4998,0
2371,5003,0
2389,5002,0
2411,4996,0
2432,4978,1
2655,4990,0
2651,4990,0
2653,4994,0
2651,4991,0
2651,4994,0
2649,4991,0
2653,4994,0
2659,4985,0
2668,4964,0
2680,4944,0
2695,4922,0
2709,4900,0
2726,4881,0
2736,4865,0
2741,4859,0
2742,4859,0
2743,4862,0
2740,4872,0
2732,4891,0
2727,4919,0
2720,4939,0
2714,4961,0
2709,4975,0
2707,4994,0
2708,5002,0
2708,5006,0
2707,5002,0
2710,5001,0
2718,4986,0
2728,4961,0
2743,4934,0
2756,4908,0
2774,4881,0
2790,4854,0
2803,4828,0
2813,4812,0
2818,4805,0
2818,4805,0
2819,4809,0
2818,4823,0
2812,4845,0
2806,4869,0
2800,4893,0
2795,4924,0
2790,4952,0
2790,4973,0
2791,4990,0
2794,4997,0
2799,4996,0
2806,4993,0
2816,4985,0
2825,4969,0
2835,4953,0
2844,4932,0
2852,4907,0
2860,4892,0
2865,4877,0
2866,4873,0
2868,4876,0
2866,4873,0
2867,4876,0
2867,4876,0
2867,4876,0
2865,4873,0
2867,4876,0
2867,4876,0
2867,4876,0
2867,4876,0
2867,4876,0
2868,4876,0
2868,4876,0
2869,4876,0
2868,4876,0
2871,4880,0
2873,4879,0
2874,4874,0
2882,4876,0
2892,4876,0
2902,4876,0
2914,4876,0
2929,4870,0
2943,4869,0
2955,4864,0
2964,4860,0
2974,4860,0
2980,4862,0
2982,4862,0
2980,4858,0
2980,4858,0
2978,4859,0
2974,4860,0
2968,4863,0
2962,4865,0
2955,4872,0
2949,4888,0
2943,4903,0
2937,4918,0
2934,4932,0
2937,4944,0
2941,4951,0
2954,4959,0
2967,4958,0
2983,4956,0
2999,4950,0
3009,4936,0
3021,4924,0
3025,4908,0
3026,4895,0
3022,4880,0
3018,4872,0
3010,4864,0
3001,4858,0
2995,4856,0
2993,4857,0
2990,4854,0
2992,4858,0
2992,4857,0
2992,4857,0
2994,4857,0
2995,4856,0
3000,4858,0
3009,4863,0
3018,4864,0
3028,4864,0
3038,4859,0
3049,4859,0
3062,4859,0
3066,4852,0
3075,4854,0
