Later, after Ritchie&apos;s death, Har-
769
1418,2896,0
1417,2888,0
1418,2880,0
1416,2871,0
1413,2861,0
1408,2849,0
1404,2842,0
1396,2834,0
1385,2828,0
1375,2828,0
1361,2830,0
1348,2844,0
1331,2861,0
1313,2891,0
1291,2929,0
1266,2970,0
1240,3016,0
1214,3054,0
1192,3087,0
1175,3107,0
1162,3112,0
1153,3107,0
1148,3088,0
1146,3056,0
1149,3016,0
1157,3004,0
1159,3000,0
1160,3004,0
1160,3023,0
1159,3040,0
1163,3068,0
1172,3088,0
1185,3098,0
1206,3106,0
1231,3109,0
1261,3103,0
1293,3093,0
1324,3082,0
1356,3076,0
1385,3061,0
1412,3049,0
1436,3038,0
1455,3028,0
1469,3023,0
1474,3017,0
1476,3017,0
1474,3017,0
1467,3015,0
1457,3024,0
1444,3037,0
1430,3059,0
1416,3081,0
1408,3102,0
1408,3106,0
1416,3105,0
1430,3092,0
1450,3069,0
1468,3054,0
1479,3049,0
1486,3056,0
1492,3063,0
1500,3074,0
1510,3085,0
1524,3095,0
1541,3093,0
1565,3085,0
1587,3056,0
1610,3020,0
1635,2982,0
1656,2941,0
1677,2909,0
1691,2876,0
1703,2849,0
1708,2840,0
1708,2840,0
1704,2841,0
1694,2859,0
1679,2888,0
1663,2931,0
1647,2976,0
1635,3019,0
1629,3057,0
1626,3082,0
1625,3103,0
1623,3111,1
1619,2936,0
1614,2934,0
1614,2929,0
1621,2933,0
1632,2930,0
1651,2926,0
1677,2924,0
1704,2923,0
1723,2922,1
1670,3086,0
1678,3092,0
1689,3090,0
1707,3090,0
1728,3086,0
1746,3077,0
1766,3069,0
1785,3064,0
1802,3056,0
1813,3049,0
1825,3045,0
1832,3040,0
1836,3035,0
1835,3027,0
1835,3023,0
1830,3015,0
1823,3009,0
1814,3007,0
1804,3009,0
1791,3013,0
1778,3025,0
1763,3040,0
1754,3054,0
1754,3067,0
1761,3074,0
1774,3075,0
1797,3078,0
1819,3076,0
1836,3076,0
1848,3081,0
1855,3088,0
1855,3091,0
1855,3091,0
1855,3092,0
1859,3091,0
1870,3071,0
1889,3037,0
1911,3005,0
1930,2987,0
1944,2979,0
1954,2976,1
2022,3025,0
2022,3025,0
2022,3025,0
2024,3042,0
2022,3059,0
2017,3081,0
2010,3109,0
2005,3132,0
1999,3146,1
2266,3007,0
2265,2999,0
2263,2991,0
2256,2984,0
2248,2984,0
2232,2986,0
2215,2997,0
2198,3018,0
2181,3040,0
2171,3062,0
2170,3071,0
2174,3069,0
2187,3064,0
2202,3054,0
2212,3054,0
2222,3059,0
2230,3069,0
2243,3081,0
2256,3093,0
2272,3099,0
2292,3100,0
2314,3091,0
2337,3072,0
2359,3040,0
2386,3006,0
2410,2964,0
2429,2924,0
2441,2891,0
2450,2864,0
2452,2845,0
2450,2833,0
2445,2827,0
2438,2825,0
2428,2831,0
2412,2848,0
2398,2881,0
2381,2925,0
2365,2976,0
2354,3030,0
2347,3081,0
2346,3129,0
2347,3163,0
2351,3184,0
2350,3189,0
2353,3187,1
2345,3073,0
2345,3077,0
2353,3078,0
2369,3076,0
2390,3062,0
2421,3043,0
2451,3016,0
2484,2986,0
2509,2951,0
2533,2926,0
2548,2899,0
2560,2875,0
2568,2856,0
2569,2842,0
2571,2841,0
2569,2842,0
2562,2842,0
2554,2855,0
2541,2881,0
2529,2918,0
2521,2963,0
2511,3004,0
2508,3037,0
2509,3059,0
2511,3071,0
2513,3074,0
2514,3074,0
2510,3063,0
2508,3041,1
2498,2925,0
2497,2922,0
2502,2918,0
2512,2914,0
2531,2912,0
2555,2914,0
2578,2914,0
2597,2914,0
2615,2917,0
2625,2916,0
2631,2922,0
2627,2929,1
2543,3042,0
2542,3051,0
2549,3057,0
2562,3063,0
2581,3063,0
2601,3062,0
2624,3058,0
2647,3054,0
2663,3045,0
2682,3040,0
2697,3032,0
2709,3025,0
2717,3016,0
2721,3009,0
2721,3004,0
2721,2999,0
2716,2993,0
2708,2988,0
2700,2989,0
2686,2992,0
2673,3004,0
2662,3024,0
2652,3034,0
2654,3042,0
2666,3048,0
2685,3048,0
2710,3042,0
2738,3040,0
2760,3037,0
2776,3042,0
2782,3047,0
2782,3057,0
2780,3062,0
2779,3062,0
2782,3062,0
2789,3052,0
2809,3035,0
2834,3011,0
2860,2990,0
2881,2972,0
2895,2958,1
3199,2803,0
3200,2807,0
3199,2818,0
3199,2837,0
3197,2859,0
3192,2884,0
3188,2912,0
3187,2939,0
3186,2964,0
3184,2982,0
3185,2991,0
3184,2992,0
3185,2990,0
3187,2988,0
3192,2975,0
3197,2946,0
3205,2910,0
3216,2876,0
3224,2844,0
3233,2816,0
3240,2789,0
3245,2765,0
3255,2747,0
3261,2731,0
3269,2724,0
3278,2721,0
3284,2721,0
3292,2731,0
3297,2747,0
3301,2775,0
3293,2803,0
3275,2834,0
3256,2864,0
3238,2884,0
3220,2893,0
3210,2900,0
3208,2908,0
3206,2909,0
3209,2917,0
3216,2931,0
3227,2948,0
3238,2960,0
3256,2972,0
3272,2974,0
3292,2974,0
3311,2969,0
3334,2960,0
3352,2946,0
3367,2934,0
3378,2924,0
3386,2918,0
3387,2917,0
3387,2922,0
3385,2929,0
3380,2943,0
3373,2959,0
3368,2974,0
3366,2987,0
3364,2988,0
3368,2984,0
3374,2970,1
3414,2889,0
3422,2888,0
3424,2885,0
3425,2885,0
3427,2888,0
3426,2890,0
3427,2894,0
3427,2894,1
3394,2989,0
3397,2997,0
3404,3001,0
3415,2998,0
3430,2986,0
3450,2969,0
3469,2946,0
3497,2923,0
3515,2891,0
3539,2864,0
3555,2832,0
3570,2813,0
3576,2796,0
3582,2791,0
3581,2792,0
3575,2793,0
3565,2801,0
3554,2823,0
3544,2854,0
3534,2890,0
3526,2924,0
3520,2951,0
3520,2967,0
3521,2977,0
3522,2980,1
3514,2848,0
3516,2847,0
3529,2846,0
3544,2843,0
3563,2841,0
3584,2839,0
3604,2836,0
3621,2837,0
3627,2842,1
3540,2970,0
3549,2973,0
3564,2970,0
3585,2963,0
3607,2953,0
3624,2943,0
3638,2941,0
3643,2943,0
3640,2946,0
3628,2951,0
3621,2961,0
3613,2970,0
3614,2980,0
3619,2986,0
3632,2990,0
3651,2989,0
3674,2984,0
3694,2970,0
3722,2955,0
3747,2938,0
3771,2919,0
3795,2897,0
3812,2873,0
3822,2845,0
3832,2824,0
3837,2802,0
3837,2789,0
3831,2778,0
3830,2774,0
3823,2770,0
3817,2772,0
3807,2782,0
3790,2798,0
3778,2829,0
3765,2864,0
3749,2901,0
3740,2934,0
3737,2953,0
3741,2960,0
3756,2963,0
3771,2948,0
3785,2938,0
3793,2936,0
3798,2943,0
3805,2959,0
3802,2967,0
3807,2980,0
3814,2989,0
3824,2996,0
3834,2992,0
3851,2987,0
3868,2976,0
3885,2965,0
3899,2956,0
3913,2954,0
3917,2955,0
3916,2957,0
3915,2963,0
3915,2969,0
3905,2962,0
3908,2953,1
3934,2897,0
3944,2899,0
3942,2895,0
3942,2895,0
3942,2895,0
3937,2894,0
3937,2900,0
3931,2906,1
3928,2979,0
3938,2991,0
3952,2999,0
3966,3001,0
3988,3001,0
4000,2990,0
4021,2984,0
4026,2974,0
4025,2969,0
4019,2964,0
4007,2965,0
3998,2975,0
3993,2991,0
3981,3003,0
3990,3023,0
3999,3030,0
4027,3036,0
4053,3028,0
4080,3016,0
4107,3006,0
4126,2996,1
4182,2770,0
4181,2770,0
4180,2772,0
4182,2788,0
4186,2808,0
4196,2826,0
4202,2839,0
4208,2852,0
4206,2866,1
4236,2910,0
4237,2908,0
4241,2905,0
4250,2900,0
4264,2895,0
4281,2894,0
4303,2893,0
4323,2895,0
4341,2897,0
4352,2903,0
4365,2913,0
4362,2922,0
4362,2941,0
4345,2954,0
4328,2969,0
4313,2980,0
4295,2982,1
4630,2922,0
4623,2917,0
4627,2919,0
4623,2918,0
4618,2918,0
4611,2921,0
4599,2928,0
4591,2946,0
4578,2962,0
4572,2982,0
4567,2988,0
4571,2990,0
4582,2989,0
4592,2976,0
4611,2959,0
4622,2932,0
4644,2905,0
4655,2869,0
4679,2837,0
4696,2801,0
4708,2770,0
4718,2750,0
4720,2732,0
4722,2724,0
4718,2721,0
4711,2719,0
4705,2726,0
4695,2747,0
4677,2772,0
4666,2808,0
4643,2839,0
4640,2876,0
4635,2909,0
4632,2931,0
4637,2951,0
4651,2967,0
4669,2976,0
4690,2981,0
4708,2977,0
4736,2973,0
4760,2963,0
4777,2947,0
4793,2932,0
4804,2917,0
4801,2907,0
4796,2901,0
4782,2900,0
4776,2908,0
4763,2919,0
4751,2934,0
4736,2948,0
4743,2965,0
4743,2970,0
4767,2980,0
4782,2980,0
4801,2975,0
4824,2970,0
4842,2961,0
4859,2951,0
4877,2938,0
4901,2927,0
4915,2914,0
4932,2905,0
4941,2897,0
4946,2891,0
4951,2890,0
4951,2890,0
4952,2890,0
4929,2915,0
4914,2929,0
4905,2942,0
4904,2950,0
4903,2951,0
4914,2950,0
4930,2941,0
4944,2935,0
4950,2934,0
4954,2935,0
4960,2941,0
4961,2945,0
4966,2953,0
4968,2956,0
4977,2959,0
5020,2919,0
5040,2895,0
5057,2865,0
5082,2834,0
5103,2801,0
5119,2770,0
5133,2748,0
5139,2738,0
5132,2743,0
5119,2763,0
5105,2791,0
5088,2825,0
5069,2859,0
5064,2896,0
5059,2925,0
5060,2945,0
5057,2955,0
5063,2962,0
5066,2963,0
5073,2962,1
5045,2859,0
5043,2856,0
5045,2854,0
5061,2851,0
5083,2847,0
5102,2841,0
5127,2838,0
5145,2833,0
5164,2834,0
5168,2834,0
5170,2840,0
5160,2847,1
5077,2962,0
5083,2967,0
5090,2972,0
5108,2974,0
5128,2973,0
5153,2965,0
5180,2954,0
5213,2941,0
5239,2923,0
5265,2905,0
5287,2886,0
5305,2866,0
5319,2843,0
5333,2820,0
5343,2798,0
5350,2778,0
5351,2762,0
5348,2752,0
5347,2746,0
5339,2742,0
5335,2743,0
5325,2749,0
5313,2770,0
5298,2801,0
5275,2837,0
5257,2881,0
5246,2920,0
5236,2943,0
5236,2955,0
5239,2958,0
5250,2957,0
5261,2948,0
5277,2944,0
5292,2945,0
5307,2951,0
5320,2960,0
5339,2974,0
5359,2982,0
5385,2985,0
5413,2985,0
5438,2977,1
5637,2907,0
5640,2918,0
5648,2935,0
5647,2952,0
5648,2974,0
5638,2998,0
5629,3028,0
5610,3057,0
5593,3082,0
5583,3100,0
5574,3105,0
5574,3098,0
5585,3081,1
5821,2764,0
5832,2760,0
5846,2750,0
5865,2733,0
5887,2716,0
5905,2700,0
5921,2686,0
