dinge, then Viceroy, wrote to
542
1277,3623,0
1275,3619,0
1272,3615,0
1268,3608,0
1262,3604,0
1254,3600,0
1244,3597,0
1230,3593,0
1217,3598,0
1202,3614,0
1188,3643,0
1173,3676,0
1163,3707,0
1160,3731,0
1163,3744,0
1173,3755,0
1186,3759,0
1202,3759,0
1220,3758,0
1237,3741,0
1254,3720,0
1271,3691,0
1286,3655,0
1301,3613,0
1314,3565,0
1328,3520,0
1341,3474,0
1353,3437,0
1360,3408,0
1363,3388,0
1363,3385,0
1358,3389,0
1348,3406,0
1319,3484,0
1303,3541,0
1290,3606,0
1284,3658,0
1286,3695,0
1293,3718,0
1305,3725,0
1323,3724,0
1394,3687,0
1399,3690,0
1400,3694,0
1401,3710,0
1401,3718,0
1400,3718,0
1399,3706,1
1440,3602,0
1444,3597,0
1444,3597,0
1442,3594,0
1441,3593,0
1442,3597,0
1440,3602,1
1421,3704,0
1426,3708,0
1437,3711,0
1452,3708,0
1469,3703,0
1487,3693,0
1503,3679,0
1516,3661,0
1527,3648,0
1536,3638,0
1540,3630,0
1541,3626,0
1542,3629,0
1541,3630,0
1539,3634,0
1535,3650,0
1529,3664,0
1522,3677,0
1520,3685,0
1520,3685,0
1523,3677,0
1528,3667,0
1534,3667,0
1537,3667,0
1543,3674,0
1550,3685,0
1559,3696,0
1571,3706,0
1604,3706,0
1624,3699,0
1644,3687,0
1662,3677,0
1673,3667,0
1678,3666,0
1679,3670,0
1675,3674,0
1667,3684,0
1677,3682,0
1688,3676,0
1697,3667,0
1707,3665,0
1713,3667,0
1718,3679,0
1716,3696,0
1667,3805,0
1656,3819,0
1651,3824,0
1650,3824,0
1650,3821,0
1655,3815,0
1664,3814,0
1678,3807,0
1776,3766,0
1805,3744,0
1833,3713,0
1857,3683,0
1877,3655,0
1886,3631,0
1887,3624,0
1876,3622,0
1871,3709,0
1903,3706,0
1940,3689,0
1978,3671,0
2014,3653,0
2041,3634,0
2060,3616,1
2150,3648,0
2151,3651,0
2157,3662,0
2164,3677,0
2170,3691,0
2174,3708,0
2175,3728,0
2169,3747,0
2157,3771,0
2141,3801,0
2123,3822,0
2108,3835,0
2103,3832,1
2449,3429,0
2449,3428,0
2453,3440,0
2452,3457,0
2450,3485,0
2444,3518,0
2437,3551,0
2431,3583,0
2424,3612,0
2420,3634,0
2418,3657,0
2416,3670,0
2412,3672,1
2384,3503,0
2385,3502,0
2396,3498,0
2417,3494,0
2441,3489,0
2466,3487,0
2490,3485,0
2508,3486,0
2515,3488,1
2417,3657,0
2423,3659,0
2441,3657,0
2466,3651,0
2496,3638,0
2528,3621,0
2555,3592,0
2583,3567,0
2605,3544,0
2622,3523,0
2630,3497,0
2639,3472,0
2644,3446,0
2649,3421,0
2650,3399,0
2651,3385,0
2652,3380,0
2644,3371,0
2642,3373,0
2636,3375,0
2627,3384,0
2619,3409,0
2605,3443,0
2589,3486,0
2577,3531,0
2564,3567,0
2560,3594,0
2561,3607,0
2564,3606,0
2576,3601,0
2588,3586,0
2654,3636,0
2669,3642,0
2690,3645,0
2712,3645,0
2726,3633,0
2742,3621,0
2758,3614,0
2782,3566,0
2779,3559,0
2771,3554,0
2762,3558,0
2750,3564,0
2736,3576,0
2726,3594,0
2722,3613,0
2781,3621,0
2796,3612,0
2813,3613,0
2818,3611,0
2823,3613,0
2825,3616,0
2826,3615,0
