nice girl, get married, while I may
595
1032,3597,0
1030,3604,0
1034,3624,0
1037,3645,0
1042,3665,0
1047,3677,0
1050,3684,0
1052,3688,0
1052,3684,0
1052,3684,0
1051,3681,0
1044,3660,0
1036,3641,0
1026,3624,0
1016,3608,0
1010,3592,0
1008,3580,0
1010,3568,0
1017,3552,0
1032,3544,0
1050,3536,0
1069,3537,0
1122,3580,0
1131,3600,0
1137,3620,0
1140,3636,0
1141,3644,0
1145,3656,0
1148,3660,1
1197,3563,0
1197,3559,0
1205,3571,0
1212,3582,0
1219,3597,0
1226,3621,0
1233,3645,0
1237,3657,0
1241,3669,0
1242,3669,0
1245,3672,0
1244,3660,0
1241,3641,1
1183,3495,0
1181,3491,0
1182,3491,0
1182,3491,0
1187,3495,1
1414,3580,0
1411,3577,0
1405,3573,0
1393,3571,0
1380,3571,0
1365,3573,0
1351,3581,0
1339,3595,0
1333,3615,0
1332,3631,0
1341,3646,0
1360,3661,0
1380,3664,0
1402,3666,0
1421,3664,0
1437,3658,0
1450,3657,1
1495,3603,0
1496,3604,0
1507,3607,0
1518,3601,0
1533,3595,0
1546,3589,0
1553,3580,0
1555,3571,0
1555,3567,0
1548,3564,0
1534,3562,0
1515,3569,0
1496,3588,0
1484,3612,0
1481,3638,0
1488,3657,0
1503,3667,0
1527,3672,0
1556,3672,0
1582,3668,0
1610,3665,1
1844,3580,0
1828,3584,0
1814,3599,0
1802,3609,0
1796,3627,0
1796,3636,0
1804,3641,0
1816,3639,0
1832,3632,0
1844,3617,0
1852,3598,0
1856,3585,0
1854,3578,0
1850,3574,0
1850,3583,0
1847,3600,0
1854,3631,0
1868,3672,0
1885,3715,0
1902,3756,0
1919,3801,0
1932,3888,0
1926,3897,0
1914,3901,0
1895,3889,0
1877,3867,0
1862,3846,0
1849,3829,0
1842,3813,0
1870,3693,0
1884,3665,1
1944,3551,0
1944,3556,0
1952,3571,0
1956,3582,0
1963,3600,0
1965,3612,0
1967,3624,0
1969,3632,0
1969,3632,1
1933,3497,0
1930,3493,0
1932,3497,0
1932,3493,0
1935,3488,1
2054,3638,0
2053,3634,0
2058,3633,0
2061,3628,0
2062,3612,0
2063,3598,0
2059,3583,0
2057,3571,0
2053,3560,0
2051,3556,0
2052,3552,0
2055,3547,0
2067,3547,0
2081,3551,0
2094,3556,0
2107,3565,0
2118,3578,0
2126,3592,0
2129,3604,0
2137,3623,0
2141,3630,0
2149,3636,0
2160,3636,0
2171,3632,0
2231,3524,0
2231,3491,0
2226,3459,0
2219,3431,0
2210,3409,0
2202,3395,0
2194,3389,0
2188,3396,0
2220,3596,0
2227,3619,0
2234,3633,0
2237,3641,0
2237,3641,0
2234,3638,0
2224,3633,0
2214,3628,1
2383,3657,0
2386,3660,0
2403,3675,0
2417,3696,0
2427,3725,0
2426,3765,0
2412,3805,0
2384,3835,0
2356,3866,1
2707,3571,0
2707,3567,0
2707,3563,0
2704,3560,0
2695,3555,0
2682,3557,0
2670,3572,0
2660,3589,0
2659,3607,0
2660,3616,0
2670,3624,0
2678,3620,0
2690,3616,0
2700,3602,0
2709,3588,0
2707,3571,0
2703,3564,0
2697,3563,0
2696,3564,0
2695,3563,0
2706,3581,0
2721,3605,0
2743,3639,0
2760,3675,0
2762,3872,0
2743,3872,0
2730,3865,0
2717,3845,0
2712,3829,0
2712,3811,0
2716,3788,0
2724,3762,1
2805,3577,0
2810,3579,0
2820,3578,0
2830,3578,0
2838,3573,0
2842,3566,0
2845,3561,0
2847,3560,0
2840,3551,0
2833,3549,0
2826,3549,0
2818,3557,0
2808,3571,0
2806,3595,0
2810,3614,0
2824,3634,0
2840,3639,0
2866,3644,0
2888,3633,0
2909,3617,0
2927,3595,1
2953,3374,0
2953,3374,0
2954,3382,0
2955,3404,0
2958,3435,0
2963,3474,0
2966,3513,0
2970,3548,0
2973,3578,0
2976,3595,0
2981,3610,0
2982,3614,0
2980,3611,1
2903,3470,0
2907,3469,0
2924,3463,0
2949,3458,0
2982,3458,1
3293,3648,0
3294,3652,0
3296,3655,0
3294,3652,0
3291,3640,0
3285,3620,0
3279,3601,0
3279,3587,0
3273,3571,0
3270,3554,0
3274,3546,0
3279,3539,0
3282,3537,0
3292,3539,0
3300,3544,0
3323,3582,0
3329,3601,0
3337,3621,0
3341,3632,0
3345,3639,0
3346,3638,0
3344,3634,0
3354,3571,0
3366,3563,0
3382,3556,0
3398,3555,0
3411,3560,0
3421,3569,0
3433,3589,0
3443,3636,1
3515,3571,0
3509,3570,0
3504,3579,0
3494,3590,0
3492,3612,0
3488,3629,0
3491,3642,0
3501,3654,0
3517,3658,0
3534,3655,0
3550,3649,0
3559,3633,0
3564,3615,0
3560,3598,0
3554,3588,0
3529,3571,0
3525,3573,0
3520,3573,0
3524,3585,0
3533,3598,0
3556,3615,0
3577,3625,0
3623,3636,1
3680,3643,0
3684,3650,0
3687,3653,0
3691,3655,0
3690,3652,0
3692,3650,0
3687,3634,0
3679,3614,0
3672,3595,0
3665,3570,0
3663,3561,0
3666,3554,0
3670,3547,0
3679,3544,0
3689,3542,0
3699,3544,1
3777,3640,0
3776,3641,0
3774,3637,0
3771,3635,0
3763,3626,0
3758,3619,0
3751,3605,0
3747,3592,0
3742,3576,0
3744,3564,0
3747,3552,0
3750,3539,0
3755,3530,1
3834,3575,0
3836,3578,0
3840,3595,0
3844,3608,0
3847,3621,0
3841,3625,0
3840,3632,0
3836,3629,0
3836,3625,1
3829,3512,0
3825,3504,0
3823,3496,0
3824,3489,1
3940,3601,0
3943,3604,0
3957,3609,0
3971,3607,0
3992,3604,0
4005,3598,0
4014,3591,0
4017,3583,0
4018,3573,0
4012,3566,0
3999,3562,0
3979,3563,0
3959,3570,0
3950,3588,0
3946,3602,0
3966,3631,0
3992,3641,0
4016,3643,0
4036,3641,0
4058,3637,1
4140,3592,0
4142,3592,0
4134,3587,0
4124,3585,0
4111,3591,0
4103,3604,0
4094,3617,0
4094,3633,0
4103,3646,0
4121,3658,0
4135,3656,0
4153,3651,0
4165,3641,1
4159,3479,0
4155,3472,0
4155,3466,0
4151,3464,0
4152,3474,0
4152,3501,0
4152,3527,0
4155,3558,0
4159,3586,0
4164,3609,0
4169,3625,0
4172,3634,0
4177,3640,1
4345,3715,0
4348,3723,0
4351,3757,0
4351,3785,0
4347,3810,1
4563,3586,0
4564,3585,0
4560,3583,0
4562,3588,0
4562,3594,0
4564,3615,0
4562,3633,0
4567,3652,0
4572,3658,0
4583,3664,0
4594,3659,0
4603,3649,0
4611,3634,0
4620,3620,0
