country,&quot; he wrote me, &quot;I am
415
822,3864,0
819,3863,0
813,3863,0
801,3866,0
784,3869,0
765,3883,0
745,3901,0
733,3941,0
726,3964,0
728,3988,0
738,4005,0
758,4023,0
787,4034,0
816,4032,0
848,4029,0
879,4020,0
907,4013,1
1057,3857,0
1049,3853,0
1036,3853,0
1019,3860,0
1001,3876,0
989,3892,0
983,3916,0
986,3940,0
994,3960,0
1011,3976,0
1032,3984,0
1058,3981,0
1080,3964,0
1097,3948,0
1107,3921,0
1109,3892,0
1104,3857,0
1092,3836,0
1075,3825,0
1058,3821,0
1047,3820,1
1194,3826,0
1192,3826,0
1193,3834,0
1193,3851,0
1196,3870,0
1205,3899,0
1218,3925,0
1236,3945,0
1254,3949,0
1274,3943,0
1292,3930,0
1307,3901,0
1321,3869,1
1407,3842,0
1413,3862,0
1416,3885,0
1417,3910,0
1419,3929,0
1423,3941,0
1429,3936,0
1442,3923,0
1458,3901,0
1476,3875,0
1494,3865,0
1512,3867,0
1525,3874,0
1534,3889,0
1543,3920,0
1548,3952,0
1551,3971,1
1658,3682,0
1654,3686,0
1650,3703,0
1643,3724,0
1638,3761,0
1632,3807,0
1630,3860,0
1628,3904,0
1628,3941,0
1626,3953,0
1625,3954,0
1619,3942,0
1611,3919,1
1618,3882,0
1629,3872,0
1647,3865,0
1664,3859,0
1681,3848,0
1698,3841,0
1719,3837,0
1736,3830,1
1767,3833,0
1768,3840,0
1770,3848,0
1771,3868,0
1774,3888,0
1776,3904,0
1780,3912,0
1785,3915,0
1795,3909,0
1813,3893,0
1833,3869,0
1853,3844,0
1874,3819,1
2067,3800,0
2056,3824,0
2041,3849,0
2017,3888,0
1990,3936,0
1959,3984,0
1932,4027,0
1909,4061,0
1898,4080,1
1981,3831,0
1981,3831,0
1984,3831,0
1990,3846,0
2000,3860,1
2189,3945,0
2186,3946,0
2182,3947,0
2174,3958,0
2161,3982,0
2145,4007,0
2135,4031,0
2129,4036,0
2134,4027,1
2381,3568,0
2377,3569,0
2376,3574,0
2374,3592,0
2367,3612,0
2365,3638,0
2360,3665,0
2357,3688,0
2357,3697,1
2429,3592,0
2433,3591,0
2434,3595,0
2434,3612,0
2433,3638,0
2432,3655,0
2434,3663,0
