in strange uniforms, angels off tombs,
880
957,1740,0
958,1744,0
959,1748,0
957,1752,0
958,1768,0
955,1788,0
955,1820,0
955,1848,0
960,1873,0
963,1881,0
966,1885,0
967,1877,0
965,1861,1
951,1708,0
942,1711,0
936,1710,0
931,1705,0
931,1706,0
935,1705,0
946,1707,0
956,1708,0
965,1713,1
1024,1748,0
1018,1748,0
1015,1748,0
1017,1752,0
1018,1756,0
1020,1768,0
1020,1784,0
1026,1812,0
1026,1832,0
1029,1852,0
1031,1868,0
1030,1868,0
1032,1872,0
1031,1868,0
1030,1860,0
1029,1841,0
1027,1816,0
1024,1796,0
1022,1784,0
1024,1776,0
1030,1772,0
1036,1764,0
1042,1752,0
1053,1749,0
1064,1749,0
1076,1752,0
1090,1765,0
1102,1780,0
1110,1796,0
1117,1820,0
1122,1844,0
1124,1865,0
1124,1881,1
1531,1742,0
1525,1743,0
1515,1742,0
1505,1744,0
1492,1739,0
1488,1744,0
1475,1744,0
1468,1754,0
1460,1768,0
1457,1782,0
1457,1790,0
1462,1796,0
1474,1802,0
1490,1807,0
1510,1814,0
1524,1818,0
1541,1830,0
1552,1843,0
1554,1851,0
1550,1857,0
1539,1864,0
1520,1872,0
1492,1875,0
1471,1880,0
1452,1873,0
1439,1863,0
1451,1844,0
1438,1831,0
1454,1823,1
1631,1675,0
1628,1677,0
1633,1683,0
1631,1689,0
1631,1705,0
1631,1726,0
1633,1756,0
1635,1793,0
1638,1829,0
1640,1854,0
1643,1866,0
1647,1873,0
1651,1872,1
1577,1761,0
1575,1761,0
1573,1758,0
1578,1761,0
1586,1759,0
1603,1757,0
1622,1755,0
1645,1756,0
1669,1754,1
1719,1757,0
1715,1754,0
1718,1757,0
1719,1761,0
1721,1773,0
1725,1794,0
1727,1814,0
1734,1837,0
1733,1850,0
1737,1862,0
1742,1865,0
1744,1864,0
1742,1851,0
1740,1831,0
1724,1799,0
1716,1784,0
1706,1771,0
1703,1763,0
1708,1757,0
1719,1753,0
1731,1748,0
1747,1746,0
1767,1746,0
1789,1749,0
1807,1754,1
1918,1749,0
1912,1752,0
1895,1752,0
1879,1760,0
1864,1776,0
1848,1797,0
1837,1816,0
1839,1832,0
1850,1850,0
1865,1860,0
1874,1860,0
1888,1858,0
1893,1842,0
1903,1824,0
1911,1802,0
1912,1783,0
1915,1781,0
1910,1775,0
1910,1775,0
1913,1778,0
1913,1778,0
1914,1783,0
1915,1795,0
1918,1816,0
1920,1838,0
1926,1857,0
1931,1863,0
1941,1863,0
1950,1850,1
1999,1773,0
1994,1771,0
1996,1774,0
1997,1778,0
1995,1789,0
1998,1810,0
1998,1829,0
2003,1848,0
2008,1864,0
