saying, &quot;Don&apos;t have me stuffed,
743
976,1754,0
974,1749,0
962,1752,0
933,1766,0
900,1795,0
866,1823,0
836,1855,0
813,1872,0
802,1895,0
799,1898,0
808,1908,0
822,1906,0
844,1909,0
863,1911,0
881,1922,0
891,1935,0
894,1956,0
885,1974,0
866,1996,0
841,2017,0
814,2030,0
795,2039,0
784,2041,0
782,2034,0
788,2014,1
1027,1844,0
1025,1841,0
1023,1844,0
1009,1859,0
993,1882,0
974,1906,0
955,1932,0
938,1959,0
932,1978,0
936,1979,0
952,1973,0
977,1946,0
1009,1911,0
1037,1876,0
1059,1853,0
1068,1841,0
1068,1841,0
1066,1841,0
1060,1849,0
1056,1869,0
1053,1893,0
1053,1917,0
1056,1932,0
1065,1940,0
1080,1937,0
1100,1925,0
1118,1900,0
1136,1879,0
1149,1867,0
1154,1871,0
1154,1871,0
1150,1883,0
1143,1900,0
1145,1911,0
1155,1919,0
1170,1915,0
1190,1897,0
1220,1875,0
1246,1848,0
1261,1827,0
1266,1823,0
1266,1826,0
1262,1831,0
1257,1851,0
1249,1881,0
1235,1923,0
1216,1980,0
1189,2046,0
1163,2130,0
1135,2208,0
1109,2273,0
1083,2321,0
1062,2345,0
1049,2352,0
1039,2345,0
1038,2325,0
1047,2289,0
1067,2245,0
1093,2205,0
1122,2161,0
1155,2119,0
1193,2074,0
1232,2026,0
1266,1979,0
1300,1939,0
1320,1904,0
1334,1894,0
1334,1894,0
1330,1894,0
1320,1908,0
1307,1926,0
1303,1947,0
1304,1967,0
1309,1982,0
1319,1989,0
1329,1979,0
1339,1958,1
1418,1766,0
1418,1753,0
1415,1746,0
1410,1742,1
1336,1911,0
1325,1932,0
1321,1944,0
1323,1952,0
1331,1951,0
1346,1932,0
1370,1908,0
1394,1888,0
1411,1877,0
1421,1879,0
1426,1890,0
1425,1899,0
1427,1915,0
1433,1925,0
1439,1924,0
1452,1922,0
1468,1911,0
1487,1901,0
1498,1891,0
1507,1897,0
1510,1904,0
1512,1912,0
1523,1922,0
1539,1921,0
1560,1912,0
1583,1901,0
1606,1890,0
1624,1884,0
1638,1880,0
1639,1875,0
1639,1875,0
1640,1880,0
1632,1882,0
1620,1903,0
1603,1924,0
1587,1946,0
1578,1964,0
1579,1965,0
1591,1957,0
1610,1935,0
1634,1907,0
1657,1882,0
1670,1865,0
1671,1865,0
1670,1865,0
1671,1873,0
1660,1894,0
1646,1932,0
1623,1990,0
1588,2058,0
1558,2128,0
1538,2186,0
1520,2234,0
1499,2267,0
1479,2280,0
1464,2286,0
1450,2276,0
1440,2258,0
1445,2236,0
1454,2215,0
1468,2200,0
1487,2180,0
1515,2154,0
1546,2122,0
1578,2093,0
1605,2077,0
1620,2070,0
1624,2064,0
1630,2063,1
1873,1992,0
1869,1997,0
1860,2019,0
1852,2057,0
1839,2096,0
1829,2130,0
1831,2155,0
1833,2155,0
1841,2138,1
2147,1644,0
2146,1644,0
2145,1645,0
2145,1650,0
2140,1668,0
2135,1692,0
2130,1719,0
2125,1737,0
2123,1743,1
2185,1660,0
2188,1663,0
2188,1669,0
2186,1684,0
2188,1703,0
2190,1722,0
2183,1736,0
2172,1748,1
2342,1711,0
2342,1710,0
2340,1708,0
2338,1709,0
2339,1724,0
2335,1757,0
2326,1799,0
2309,1853,0
2287,1912,0
2263,1967,0
2244,2017,0
2234,2056,0
2231,2067,1
2311,1730,0
2306,1725,0
2299,1720,0
2296,1712,0
2306,1703,0
2330,1685,0
2366,1670,0
2396,1665,0
2426,1675,0
2451,1701,0
2462,1739,0
2462,1788,0
2445,1838,0
2414,1899,0
2371,1965,0
2322,2028,0
2276,2072,0
2239,2096,0
2211,2098,0
2200,2094,0
2198,2082,1
2529,1899,0
2504,1913,0
2477,1931,0
2456,1961,0
2432,1990,0
2416,2022,0
2412,2049,0
2415,2063,0
2425,2065,0
2439,2059,0
2454,2038,0
2475,2014,0
2493,1984,0
2505,1954,0
2512,1928,0
2514,1920,0
2514,1920,0
2513,1922,0
2514,1927,0
2512,1938,0
2514,1952,0
2516,1961,0
2524,1970,0
2540,1973,0
2560,1966,0
2582,1953,0
2605,1939,0
2629,1929,0
2647,1918,0
2656,1915,0
2662,1921,0
2661,1932,0
2656,1952,0
2644,1979,0
2631,2006,0
2623,2024,0
2622,2024,0
2625,2016,0
2640,1998,0
2663,1978,0
2678,1960,0
2686,1958,0
2688,1962,0
2687,1974,0
2683,1994,0
2683,2014,0
2683,2024,0
2688,2025,0
2692,2017,1
2817,1809,0
2815,1810,0
2815,1810,0
2816,1815,1
2776,2055,0
2767,2074,0
2760,2079,0
2772,2080,0
2781,2067,0
2804,2041,0
2831,2004,0
2860,1959,0
2899,1908,0
2940,1858,0
2970,1818,0
2996,1788,0
3014,1766,0
3021,1757,0
3024,1760,0
3018,1768,0
3001,1802,0
2967,1845,0
2930,1898,0
2901,1958,0
2878,2009,0
2869,2040,0
2869,2057,0
2878,2064,0
2899,2060,1
2897,1910,0
2890,1911,0
2899,1913,0
2912,1917,0
2941,1915,0
2972,1905,0
3011,1899,0
3045,1891,0
3078,1883,1
3188,2043,0
3189,2041,0
3192,2032,0
3207,2015,0
3223,1984,0
3248,1947,0
3279,1902,0
3317,1853,0
3353,1804,0
3387,1771,0
3405,1745,0
3411,1737,0
3411,1737,0
3407,1735,0
3402,1743,0
3386,1771,0
3358,1812,0
3332,1861,0
3305,1908,0
3286,1947,0
3272,1976,0
3267,1993,0
3269,1997,0
3276,1996,0
3291,1984,0
3314,1962,0
3340,1942,0
3364,1937,0
3373,1939,0
3379,1951,0
3381,1967,0
3385,1982,0
3385,1994,0
3391,2000,0
3399,1996,0
3417,1979,0
3437,1954,0
3466,1927,0
3489,1905,0
3510,1888,0
3513,1877,0
3515,1879,0
3510,1880,0
3503,1890,0
3486,1907,0
3469,1930,0
3455,1957,0
3435,1983,0
3425,2002,0
3417,2012,0
3421,2014,0
3428,2011,0
3442,1994,0
3461,1969,0
3481,1942,0
3496,1915,0
3512,1900,0
3510,1901,0
3513,1905,0
3510,1916,0
3498,1932,0
3484,1950,0
3477,1973,0
3472,1994,0
3471,2009,0
3476,2015,0
3491,2016,0
3504,2004,0
3528,1985,0
3549,1957,0
3576,1926,0
3601,1897,0
3621,1876,0
3624,1870,0
3624,1872,0
3622,1873,0
3621,1882,0
3616,1889,0
3614,1893,0
3615,1897,0
3614,1900,0
3620,1905,0
3624,1907,0
3625,1911,0
3627,1916,0
3628,1928,0
3619,1948,0
3607,1972,0
3592,2000,0
3589,2025,0
3588,2039,0
3592,2047,0
3601,2048,0
3616,2042,0
3644,2024,0
3666,1993,0
3699,1966,0
3725,1942,0
