Foreign assistants (French, German,
694
769,3418,0
767,3417,0
767,3426,0
764,3450,0
765,3490,0
769,3531,0
774,3576,0
781,3619,0
790,3660,0
799,3689,0
801,3694,0
801,3694,0
799,3689,0
797,3673,0
791,3629,0
777,3576,0
764,3518,0
755,3469,0
752,3432,0
755,3404,0
760,3385,0
767,3378,0
776,3370,0
790,3368,0
815,3370,0
844,3372,0
877,3374,0
911,3377,0
948,3374,1
818,3530,0
837,3552,0
856,3557,0
875,3559,0
895,3556,1
1105,3544,0
1105,3544,0
1102,3544,0
1088,3545,0
1066,3549,0
1041,3548,0
1024,3563,0
1015,3580,0
1016,3608,0
1029,3632,0
1049,3648,0
1074,3660,0
1102,3669,0
1126,3656,0
1143,3636,0
1150,3612,0
1146,3595,0
1130,3572,0
1107,3561,0
1086,3561,0
1073,3561,1
1254,3585,0
1261,3616,0
1264,3640,0
1266,3652,0
1264,3648,0
1257,3640,0
1249,3617,0
1242,3588,0
1239,3565,0
1238,3549,0
1237,3537,0
1240,3537,0
1249,3540,0
1264,3559,0
1282,3583,0
1303,3597,0
1325,3616,0
1347,3626,0
1370,3632,0
1388,3626,0
1404,3617,0
1416,3600,0
1419,3576,0
1416,3564,0
1406,3553,0
1397,3554,0
1383,3551,0
1375,3559,0
1372,3576,0
1377,3600,0
1387,3619,0
1404,3637,0
1428,3655,0
1448,3661,0
1470,3655,0
1494,3636,0
1512,3613,1
1516,3520,0
1520,3540,0
1524,3564,0
1529,3583,0
1540,3606,0
1551,3620,0
1565,3631,0
1580,3641,0
1595,3643,1
1631,3515,0
1640,3534,0
1647,3557,0
1648,3585,0
1648,3614,0
1645,3631,0
1644,3635,0
1639,3631,0
1635,3617,0
1635,3591,0
1640,3567,0
1644,3537,0
1658,3515,0
1673,3500,0
1690,3493,0
1706,3498,0
1722,3515,0
1737,3554,0
1744,3592,0
1746,3617,0
1749,3629,1
1867,3542,0
1874,3544,0
1875,3544,0
1867,3542,0
1848,3542,0
1829,3542,0
1815,3546,0
1809,3555,0
1809,3567,0
1818,3585,0
1830,3607,0
1846,3625,0
1862,3633,0
1882,3641,0
1903,3645,0
1916,3654,0
1923,3665,0
1926,3692,0
1917,3731,0
1900,3772,0
1879,3810,0
1858,3826,0
1829,3820,0
1798,3802,0
1768,3767,1
1464,3382,0
1480,3392,0
1486,3391,1
2285,3531,0
2284,3527,0
2278,3530,0
2265,3535,0
2248,3540,0
2229,3547,0
2214,3560,0
2205,3580,0
2209,3612,0
2223,3650,0
2236,3675,0
2254,3694,0
2277,3703,0
2292,3694,0
2310,3674,0
2323,3645,0
2336,3602,0
2351,3626,0
2362,3653,0
2375,3673,0
2393,3687,0
2413,3693,0
2432,3685,0
2454,3682,1
2528,3547,0
2523,3549,0
2509,3551,0
2496,3556,0
2489,3563,0
2485,3570,0
2486,3578,0
2497,3600,0
2507,3612,0
2526,3635,0
2543,3650,0
2556,3662,0
2567,3679,0
2567,3683,0
2556,3691,0
2533,3693,0
2508,3690,0
2483,3678,0
2462,3661,0
2451,3644,1
2673,3535,0
2675,3538,0
2668,3533,0
2656,3533,0
2641,3532,0
2628,3533,0
2618,3538,0
2613,3549,0
2615,3561,0
2627,3582,0
2647,3600,0
2665,3618,0
2687,3634,0
2704,3648,0
2718,3664,0
2713,3679,0
2709,3699,0
2689,3713,0
2664,3723,0
2639,3725,0
2618,3718,1
2777,3560,0
2777,3568,0
2774,3588,0
2777,3609,0
2777,3626,0
2777,3644,0
2781,3656,0
2777,3649,0
2776,3636,1
2738,3489,0
2731,3457,0
2730,3444,0
2728,3436,1
2891,3546,0
2890,3547,0
2893,3549,0
2894,3549,0
2895,3548,0
2896,3548,0
2907,3556,0
2924,3573,0
2941,3591,0
2956,3619,0
2976,3649,0
2986,3667,0
2989,3679,0
2983,3691,0
2963,3693,0
2938,3684,0
2915,3669,0
2895,3652,0
2883,3644,0
2876,3640,0
2876,3639,1
3022,3388,0
3030,3392,0
3036,3398,0
3035,3409,0
3035,3432,0
3035,3465,0
3038,3509,0
3050,3558,0
3058,3604,0
3069,3644,0
3075,3667,0
3076,3672,0
3074,3669,0
3071,3661,0
3064,3638,0
3057,3614,0
3049,3590,0
3045,3575,0
3046,3569,0
3052,3566,0
3067,3571,0
3087,3582,0
3110,3597,0
3128,3604,0
3148,3611,1
3207,3589,0
3214,3585,0
3212,3577,0
3213,3572,0
3206,3566,0
3196,3563,0
3178,3564,0
3165,3573,0
3154,3584,0
3146,3603,0
3148,3629,0
3158,3661,0
3172,3691,0
3192,3711,0
3211,3718,0
3228,3712,0
3247,3691,0
3258,3661,0
3261,3636,0
3258,3614,0
3254,3602,0
3255,3602,0
3255,3602,0
3258,3619,0
3271,3644,0
3280,3662,0
3296,3679,0
3312,3688,1
3364,3602,0
3369,3622,0
3367,3643,0
3367,3662,0
3363,3674,0
3363,3679,0
3358,3673,0
3357,3664,0
3361,3652,0
3365,3635,0
3372,3611,0
3381,3590,0
3397,3580,0
3408,3578,0
3422,3582,0
3429,3592,0
3440,3614,0
3452,3650,1
3539,3404,0
3545,3415,0
3546,3440,0
3542,3472,0
3542,3512,0
3539,3652,0
3546,3691,0
3551,3712,0
3559,3721,0
3561,3715,0
3566,3701,1
3565,3585,0
3554,3587,0
3536,3591,0
3515,3591,0
3500,3592,0
3489,3590,0
3489,3590,0
3496,3590,1
3715,3577,0
3713,3578,0
3709,3582,0
3703,3587,0
3691,3586,0
3677,3586,0
3658,3581,0
3641,3578,0
3632,3576,0
3632,3580,0
3631,3580,0
3635,3588,0
3643,3601,0
3658,3620,0
3673,3639,0
3687,3660,0
3694,3683,0
3698,3705,0
3687,3719,0
3665,3725,0
3636,3711,1
4096,3411,0
4099,3414,0
4099,3414,0
4095,3412,0
4088,3418,0
4072,3428,0
4048,3443,0
4029,3467,0
4016,3500,0
4010,3537,0
4012,3583,0
4030,3641,0
4049,3708,0
4066,3778,0
4094,3838,0
4121,3877,0
4145,3888,1
4245,3556,0
4247,3566,0
4244,3574,0
4242,3592,0
4235,3614,0
4232,3644,0
4232,3672,0
4238,3703,0
4242,3727,0
4246,3739,0
4249,3742,0
4245,3735,0
4249,3715,0
4244,3677,0
4242,3631,0
4232,3580,0
4229,3539,0
4223,3516,0
4229,3517,0
4235,3511,0
4250,3508,0
4267,3508,0
4290,3509,0
4318,3509,0
4349,3506,0
4379,3500,0
4406,3501,0
4430,3518,0
4434,3525,1
4272,3613,0
4284,3629,0
4291,3633,0
4300,3636,0
4316,3633,1
4440,3653,0
4445,3665,0
4444,3677,0
4441,3696,0
4439,3720,0
4434,3741,0
4435,3757,0
4434,3758,0
4435,3757,0
4437,3749,0
4442,3723,0
4444,3692,0
4449,3666,0
4452,3646,0
4455,3638,0
4456,3637,0
4458,3635,0
4471,3645,0
4486,3663,0
4499,3684,0
4518,3705,0
4538,3719,0
4563,3728,0
4587,3728,0
4612,3720,0
4630,3701,0
4646,3686,0
4644,3663,0
4635,3645,0
4617,3634,0
4600,3630,0
4587,3631,0
4581,3643,0
4576,3660,0
4584,3691,0
4598,3723,0
4619,3747,0
4636,3758,0
4664,3764,0
4690,3761,0
4712,3756,1
4702,3634,0
4707,3640,0
4710,3643,0
4707,3652,0
4704,3672,0
4700,3692,0
4698,3717,0
4695,3732,0
4698,3735,0
4699,3735,0
4702,3718,0
4707,3691,0
4712,3664,0
4722,3636,0
4735,3617,0
4750,3612,0
4768,3617,0
4782,3630,0
4794,3658,0
4796,3703,0
4789,3750,0
4787,3770,0
4789,3773,0
4801,3767,0
4815,3747,1
4919,3665,0
4924,3665,0
4929,3665,0
4930,3665,0
4918,3660,0
4897,3653,0
4877,3651,0
4858,3655,0
4849,3670,0
4849,3694,0
4849,3716,0
4861,3740,0
4877,3757,0
4895,3768,0
4916,3768,0
4942,3763,0
4963,3754,1
4948,3412,0
4960,3423,0
4971,3441,0
4981,3467,0
4985,3499,0
4989,3544,0
4986,3589,0
4982,3637,0
4978,3683,0
4981,3715,0
4982,3720,0
4984,3718,0
4990,3700,0
4999,3672,0
5009,3642,0
5017,3627,0
5019,3625,0
5029,3631,0
5035,3648,0
5034,3679,0
5032,3718,1
5129,3747,0
5125,3783,0
5114,3819,0
5103,3843,0
5099,3865,1
5375,3586,0
5380,3585,0
5380,3580,0
5381,3571,0
5368,3561,0
5353,3549,0
5327,3543,0
5299,3546,0
5279,3557,0
5265,3576,0
5261,3605,0
5265,3645,0
5277,3687,0
5294,3723,0
5313,3742,0
5332,3745,0
5356,3730,0
5371,3692,0
5382,3660,0
5384,3632,0
5382,3614,0
5380,3611,0
5382,3616,0
5386,3641,0
5390,3681,0
5400,3732,0
5409,3791,0
5412,3843,0
5414,3889,0
5406,3923,0
5392,3939,0
5374,3942,0
5355,3914,1
5487,3747,0
5489,3750,0
5489,3749,0
5494,3750,0
5494,3750,0
5501,3741,0
5511,3728,0
5526,3716,0
5535,3699,0
5540,3687,0
5536,3678,0
5520,3665,0
5502,3662,0
5490,3666,0
5473,3674,0
5467,3701,0
5472,3734,0
5481,3773,0
5498,3808,0
5520,3833,0
5544,3841,0
5576,3841,0
5593,3825,0
5614,3818,0
5617,3802,1
5591,3679,0
5594,3689,0
5598,3703,0
5593,3715,0
5591,3730,0
5590,3746,0
5593,3754,0
5597,3756,0
5593,3754,0
5599,3741,0
5606,3718,0
5605,3689,0
5607,3665,0
5611,3647,0
5611,3640,0
5616,3641,0
5628,3651,0
5636,3667,0
5653,3684,0
5668,3697,0
5682,3699,0
5688,3699,0
5701,3694,0
5704,3682,0
5713,3672,0
5707,3667,0
5711,3667,0
5709,3671,0
5710,3695,0
5704,3729,0
5706,3765,0
5709,3788,0
5710,3794,0
5711,3793,0
5711,3785,0
5716,3760,0
5723,3732,0
5729,3703,0
5737,3674,0
5747,3653,0
5765,3641,0
5772,3640,0
5788,3645,0
5791,3660,0
5796,3688,0
5787,3720,0
5789,3743,0
5791,3749,0
5794,3749,0
5802,3740,0
5810,3717,0
5819,3698,0
5832,3679,0
5846,3667,0
5853,3664,0
5863,3670,0
5867,3687,0
5868,3718,0
5865,3754,0
5865,3776,0
5868,3784,1
5996,3665,0
6006,3672,0
