as wireless sets, record-players, tape-recorders
953
617,4025,0
626,4014,0
633,4003,0
634,3995,0
630,3986,0
623,3981,0
612,3976,0
600,3978,0
587,3985,0
575,3995,0
566,4006,0
559,4022,0
557,4041,0
559,4058,0
567,4071,0
576,4076,0
586,4073,0
598,4063,0
609,4044,0
619,4025,0
623,4010,0
625,3998,0
625,3998,0
625,4002,0
625,4013,0
627,4034,0
633,4051,0
643,4061,0
656,4069,0
669,4071,0
683,4068,0
697,4049,0
712,4035,0
726,4012,0
740,3998,0
752,3991,0
768,3988,0
783,3993,0
802,4010,0
810,4035,0
816,4060,0
819,4084,0
815,4095,0
806,4091,0
793,4086,1
1070,3964,0
1070,3964,0
1071,3961,0
1073,3952,0
1081,3936,0
1094,3916,0
1108,3896,0
1122,3877,0
1136,3860,0
1150,3852,0
1163,3852,0
1172,3855,0
1179,3867,0
1182,3891,0
1179,3923,0
1175,3964,0
1172,3995,0
1172,4027,0
1175,4039,0
1177,4044,0
1180,4039,0
1185,4023,0
1194,4007,0
1201,3986,0
1206,3970,0
1209,3962,0
1212,3958,0
1218,3966,0
1224,3974,0
1232,3993,0
1242,4013,0
1254,4029,0
1267,4044,0
1281,4047,0
1298,4046,0
1312,4041,0
1322,4024,0
1329,4008,0
1329,3984,0
1326,3969,0
1320,3953,0
1314,3937,0
1310,3917,0
1310,3905,0
1315,3897,0
1324,3889,0
1336,3884,0
1348,3879,0
1363,3877,0
1375,3877,0
1385,3880,0
1392,3891,0
1394,3908,0
1395,3928,0
1396,3947,0
1399,3971,0
1399,3983,0
1403,3999,0
1408,4007,0
1413,4006,0
1422,4005,0
1430,3993,0
1438,3979,0
1446,3967,0
1454,3954,1
1410,3777,0
1411,3781,0
1414,3789,0
1414,3789,0
1416,3793,1
1488,3902,0
1487,3915,0
1486,3939,0
1486,3963,0
1487,3983,0
1486,3991,0
1486,3991,0
1486,3987,0
1485,3975,0
1487,3959,0
1487,3935,0
1487,3911,0
1486,3899,0
1483,3883,0
1482,3879,0
1484,3882,0
1491,3890,0
1503,3905,0
1518,3919,0
1537,3933,0
1556,3939,0
1580,3940,0
1594,3937,0
1606,3932,0
1611,3919,0
1614,3911,0
1612,3903,0
1609,3899,0
1605,3900,0
1600,3901,0
1596,3909,0
1594,3921,0
1592,3934,0
1594,3950,0
1592,3970,0
1601,3985,0
1611,3995,0
1632,4000,0
1645,4003,0
1668,3991,0
1689,3976,0
1705,3950,0
1722,3922,0
1734,3895,0
1745,3873,0
1754,3859,0
1758,3846,0
1763,3841,0
1762,3834,0
1759,3830,0
1758,3831,0
1758,3835,0
1756,3835,0
1752,3835,0
1750,3848,0
1744,3857,0
1740,3874,0
1738,3894,0
1737,3920,0
1735,3944,0
1736,3964,0
1740,3984,0
1747,3998,0
1756,4005,0
1764,4004,0
1775,4002,0
1783,3992,0
1794,3978,0
1808,3963,0
1819,3953,0
1826,3935,0
1831,3922,0
1832,3909,0
1829,3894,0
1829,3890,0
1824,3883,0
1821,3883,0
1820,3892,0
1817,3904,0
1814,3913,0
1814,3925,0
1816,3937,0
1821,3952,0
1827,3959,0
1836,3966,0
1848,3971,0
1858,3969,0
1872,3967,0
1881,3957,0
1893,3946,0
1907,3935,0
1919,3920,0
1930,3905,0
1940,3894,0
1949,3888,0
1957,3886,0
1966,3892,0
