In a number of others, however,
642
1044,1257,0
1058,1269,0
1066,1269,0
1110,1269,0
1140,1263,0
1170,1257,0
1222,1252,0
1271,1245,0
1319,1243,0
1356,1242,0
1377,1240,0
1389,1242,0
1391,1245,1
1235,1286,0
1238,1298,0
1241,1317,0
1246,1345,0
1251,1377,0
1259,1416,0
1260,1452,0
1262,1488,0
1263,1520,0
1263,1544,0
1262,1561,0
1264,1573,0
1261,1573,1
1119,1608,0
1125,1609,0
1148,1607,0
1187,1609,0
1232,1605,0
1276,1599,0
1314,1590,0
1350,1587,0
1378,1582,1
1417,1445,0
1421,1449,0
1426,1455,0
1435,1469,0
1445,1491,0
1452,1515,0
1459,1538,0
1462,1553,0
1466,1565,0
1464,1566,0
1464,1565,0
1464,1557,0
1457,1538,0
1453,1518,0
1457,1500,0
1467,1485,0
1482,1476,0
1500,1471,0
1522,1473,0
1548,1484,0
1565,1500,0
1573,1518,0
1582,1541,0
1583,1556,0
1587,1572,1
1857,1462,0
1846,1459,0
1839,1463,0
1831,1473,0
1819,1488,0
1809,1508,0
1806,1527,0
1809,1544,0
1815,1549,0
1831,1554,0
1846,1551,0
1862,1542,0
1872,1527,0
1881,1513,0
1882,1494,0
1878,1476,0
1875,1469,0
1875,1469,0
1870,1467,0
1875,1479,0
1877,1491,0
1891,1512,0
1908,1529,0
1926,1541,0
1942,1546,1
2121,1437,0
2127,1442,0
2135,1456,0
2148,1476,0
2152,1493,0
2164,1515,0
2167,1528,0
2171,1535,0
2171,1535,0
2174,1533,0
2166,1519,0
2162,1500,0
2162,1486,0
2162,1470,0
2170,1459,0
2181,1449,0
2194,1443,0
2214,1447,0
2221,1452,0
2234,1467,0
2242,1486,0
2250,1506,0
2254,1523,0
2258,1536,0
2263,1542,0
2273,1544,0
2274,1537,0
2285,1527,0
2292,1510,0
2301,1498,0
2304,1488,0
2307,1487,0
2303,1484,0
2304,1488,0
2309,1501,0
2309,1512,0
2318,1526,0
2332,1534,0
2355,1540,0
2369,1538,0
2387,1532,0
2403,1522,0
2409,1505,0
2411,1486,0
2403,1466,0
2396,1451,0
2385,1439,0
2372,1429,0
2370,1426,0
2367,1423,0
2367,1423,0
2375,1426,0
2379,1426,0
2399,1429,0
2422,1429,0
2439,1427,0
2459,1430,0
2480,1438,0
2492,1447,0
2502,1461,0
2508,1477,0
2513,1495,0
2513,1508,0
2511,1515,0
2511,1515,0
2512,1514,0
2510,1505,0
2502,1488,0
2497,1471,0
2499,1458,0
2503,1447,0
2511,1438,0
2528,1438,0
2538,1438,0
2552,1446,0
2562,1458,0
2572,1476,0
2577,1496,0
2579,1512,0
2582,1526,0
2579,1529,0
2579,1529,0
2583,1525,0
2581,1510,0
2578,1489,0
2582,1472,0
2589,1459,0
2593,1447,0
2603,1442,0
2614,1440,0
2630,1445,0
2647,1457,0
2660,1472,0
2671,1491,0
2673,1507,0
2675,1523,0
2671,1535,1
2701,1229,0
2708,1233,0
2709,1246,0
2711,1264,0
2713,1289,0
2724,1323,0
2729,1358,0
2733,1392,0
2743,1421,0
2746,1441,0
2752,1454,0
2753,1458,0
2754,1457,0
2757,1455,0
2757,1440,0
2758,1427,0
2767,1414,0
2785,1404,0
2801,1393,0
2828,1391,0
2853,1397,0
2871,1407,0
2880,1421,0
2879,1435,0
2877,1453,0
2864,1465,0
2859,1479,0
2840,1483,0
2818,1485,0
2803,1486,0
2791,1483,0
2795,1483,0
2798,1480,0
2811,1476,0
2842,1474,0
2871,1468,0
2906,1461,0
2929,1447,0
2958,1436,0
2984,1426,0
2991,1407,0
2995,1393,0
2995,1385,0
2984,1380,0
2975,1381,0
2960,1387,0
2953,1399,0
2951,1416,0
2946,1431,0
2946,1445,0
2957,1458,0
2967,1463,0
2990,1466,0
3016,1464,0
3034,1457,0
3052,1452,0
3064,1448,0
3074,1447,0
3080,1445,0
3088,1449,0
3091,1451,0
3096,1457,0
3105,1466,0
3106,1471,0
3108,1475,0
3112,1477,0
3109,1474,0
3106,1464,0
3097,1448,0
3090,1430,0
3091,1414,0
3091,1398,0
3095,1384,1
