with go, sex and level of activity, comparisons
983
460,2653,0
458,2652,0
458,2652,0
460,2666,0
468,2675,0
472,2704,0
476,2727,0
477,2751,0
483,2765,0
490,2775,0
498,2782,0
504,2778,0
511,2772,0
516,2760,0
521,2741,0
522,2721,0
524,2709,0
527,2693,0
529,2685,0
528,2689,0
529,2694,0
533,2719,0
536,2736,0
542,2754,0
550,2759,0
558,2757,0
566,2755,0
574,2740,0
583,2721,0
595,2703,0
605,2673,0
617,2642,0
629,2620,0
641,2606,0
652,2599,0
661,2597,0
670,2595,0
678,2596,0
684,2601,0
687,2613,0
688,2634,0
685,2666,0
680,2690,0
676,2701,0
675,2704,1
687,2439,0
687,2435,0
687,2435,0
687,2439,0
687,2439,0
686,2439,0
685,2443,0
684,2443,0
682,2450,1
787,2446,0
784,2450,0
779,2461,0
772,2489,0
765,2520,0
761,2560,0
756,2607,0
750,2631,0
747,2654,0
744,2667,0
743,2674,0
738,2670,0
733,2665,1
735,2645,0
740,2649,0
751,2663,0
762,2665,0
772,2658,0
784,2643,0
798,2620,0
813,2594,0
830,2564,0
845,2529,0
859,2490,0
868,2463,0
872,2451,0
872,2451,0
871,2468,0
868,2487,0
864,2507,0
866,2535,0
868,2555,0
869,2572,0
873,2580,0
881,2581,0
893,2577,0
907,2582,0
921,2591,0
932,2601,0
943,2617,0
953,2633,0
965,2650,0
977,2663,0
991,2663,0
1012,2663,1
1288,2596,0
1281,2584,0
1274,2573,0
1265,2557,0
1256,2554,0
1242,2552,0
1227,2560,0
1215,2585,0
1206,2606,0
1206,2621,0
1211,2625,0
1220,2625,0
1234,2624,0
1249,2615,0
1268,2601,0
1288,2584,0
1305,2566,0
1318,2557,0
1327,2556,0
1336,2567,0
1340,2583,0
1346,2606,0
1348,2630,0
1348,2662,0
1343,2695,0
1334,2732,0
1321,2753,0
1309,2771,0
1298,2784,0
1287,2789,0
1281,2789,0
1279,2785,0
1276,2769,0
1276,2749,0
1282,2733,0
1287,2712,0
1293,2700,0
1296,2692,0
1300,2687,0
1305,2674,0
1312,2654,0
1323,2637,0
1331,2620,0
1340,2607,0
1348,2598,0
1355,2589,0
1364,2580,0
1373,2567,0
1384,2557,0
1392,2556,0
1393,2552,0
1392,2556,0
1389,2560,1
1418,2630,0
1421,2630,0
1429,2624,0
1447,2613,0
1464,2594,0
1480,2576,0
1490,2553,0
1495,2541,0
1493,2533,0
1484,2526,0
1471,2528,0
1456,2543,0
1440,2574,0
1428,2608,0
1422,2632,0
1426,2645,0
1441,2643,1
1601,2598,0
1599,2598,0
1596,2603,0
1588,2616,0
1577,2647,0
1563,2674,0
1551,2701,0
1545,2710,0
1552,2713,1
1932,2459,0
1930,2464,0
1931,2473,0
1935,2484,0
1934,2492,0
1935,2509,0
1928,2521,0
1924,2539,0
1913,2551,0
1901,2564,0
1888,2577,0
1874,2586,0
1858,2586,0
1848,2590,0
1837,2589,0
1833,2594,0
1831,2603,0
1830,2612,0
1834,2619,0
1842,2621,0
1855,2617,0
1874,2611,0
1891,2597,0
1911,2586,0
1930,2567,0
1950,2547,0
1965,2519,0
1981,2501,0
1986,2485,0
1985,2482,0
1977,2485,0
1963,2503,0
1951,2529,0
1947,2543,0
1954,2554,0
1966,2558,0
1979,2562,1
2041,2438,0
2036,2436,0
2043,2450,0
2048,2465,0
2054,2480,0
2063,2497,0
2071,2512,0
2078,2526,0
2088,2543,0
2096,2557,0
2104,2567,0
2111,2573,0
2116,2575,1
2047,2573,0
2047,2573,0
2047,2569,0
2053,2567,0
2063,2559,0
2075,2545,0
2092,2529,0
2107,2514,0
2123,2502,0
2137,2495,0
2149,2491,0
2155,2483,0
2166,2478,1
2425,2514,0
2417,2505,0
2410,2495,0
2403,2485,0
2393,2478,0
2383,2479,0
2366,2483,0
2351,2501,0
2337,2522,0
2328,2540,0
2330,2557,0
2330,2562,0
2339,2567,0
2348,2562,0
2361,2550,0
2379,2536,0
2392,2515,0
2402,2495,0
2412,2485,0
2418,2486,0
2419,2485,0
2421,2489,0
2417,2495,0
2417,2509,0
2421,2521,0
2417,2523,0
2422,2531,0
2427,2536,0
2429,2536,0
2439,2534,0
2449,2523,0
2459,2509,0
2473,2496,0
2482,2490,0
2484,2490,0
2487,2496,0
2492,2508,0
2495,2516,0
2497,2523,0
2497,2523,0
2502,2525,0
2510,2520,0
2523,2513,0
2538,2504,0
2550,2496,0
2560,2495,0
2564,2496,0
2573,2505,0
2579,2514,0
2591,2527,0
2596,2533,0
2606,2540,0
2614,2545,1
2721,2482,0
2720,2478,0
2715,2472,0
2707,2467,0
2697,2464,0
2682,2466,0
2662,2474,0
2644,2492,0
2631,2515,0
2621,2531,0
2622,2540,0
2630,2545,0
2639,2543,0
2651,2535,0
2669,2523,0
2682,2499,0
2702,2481,0
2709,2451,0
2725,2429,0
2731,2406,0
2739,2400,0
2736,2398,0
2736,2402,0
2729,2412,0
2729,2443,0
2720,2478,0
2720,2516,0
2713,2542,0
2718,2567,0
2726,2581,0
2733,2586,0
2747,2591,0
2760,2597,1
2970,2606,0
2975,2603,0
2979,2594,0
2989,2581,0
3006,2562,0
3022,2534,0
3040,2504,0
3055,2470,0
3070,2435,0
3084,2407,0
3089,2381,0
3091,2364,0
3088,2355,0
3084,2353,0
3079,2358,0
3070,2371,0
3059,2396,0
3047,2425,0
3036,2455,0
3028,2487,0
3028,2514,0
3025,2526,0
3033,2536,0
3044,2542,0
3053,2540,0
3066,2539,0
3071,2530,0
3081,2521,0
3091,2507,0
3102,2487,0
3112,2468,0
3121,2455,0
3122,2442,0
3122,2437,0
3112,2435,0
3100,2441,0
3091,2460,0
3081,2479,0
3078,2497,0
3081,2511,0
3089,2519,0
3105,2528,0
3117,2527,0
3129,2527,0
3144,2526,0
3153,2518,0
3167,2505,0
3178,2484,0
3194,2464,0
3206,2442,0
3215,2423,0
3226,2417,0
3233,2422,0
3233,2433,0
3236,2457,0
3237,2479,0
3244,2504,0
3247,2524,0
3256,2543,0
3263,2553,0
3267,2555,0
3273,2555,0
3279,2549,0
3286,2538,0
3296,2516,0
3305,2497,0
3304,2481,0
3308,2478,0
3306,2473,0
3307,2473,0
3308,2472,0
3314,2477,0
3321,2481,0
3337,2488,0
3349,2487,0
3361,2482,0
3377,2478,0
3392,2468,0
3402,2452,0
3409,2433,0
3416,2420,0
3414,2411,0
3407,2412,0
3391,2417,0
3380,2435,0
3366,2455,0
3362,2481,0
3363,2507,0
3367,2531,0
3370,2539,0
3376,2539,0
3390,2537,0
3404,2529,0
3419,2514,0
3438,2496,0
3460,2472,0
3478,2443,0
3493,2415,0
3503,2393,0
3505,2384,0
3501,2384,0
3488,2391,0
3473,2412,0
3465,2445,0
3462,2470,0
3464,2485,0
3479,2498,0
3498,2502,0
3519,2504,1
3781,2433,0
3778,2425,0
3769,2410,0
3763,2404,0
3745,2400,0
3725,2407,0
3704,2419,0
3694,2436,0
3689,2453,0
3689,2466,0
3698,2475,0
3703,2475,0
3715,2473,0
3721,2466,0
3725,2456,0
3732,2447,0
3743,2434,0
3752,2417,0
3756,2406,0
3761,2408,0
3768,2417,0
3773,2430,0
3780,2441,0
3795,2447,0
3807,2444,0
3826,2436,0
3843,2420,0
3860,2398,0
3882,2372,0
3897,2339,0
3909,2310,0
3919,2292,0
3917,2280,0
3911,2276,0
3904,2279,0
3896,2295,0
3886,2321,0
3874,2350,0
3865,2386,0
3864,2433,0
3855,2476,0
3851,2506,0
3848,2527,0
3846,2541,0
3844,2550,0
3839,2550,0
3839,2550,0
3831,2541,0
3826,2528,1
3798,2499,0
3794,2497,0
3799,2498,0
3805,2498,0
3815,2497,0
3832,2496,0
3851,2493,0
3876,2493,0
3895,2490,0
3918,2487,0
3943,2488,0
3968,2489,1
4136,2421,0
4116,2434,0
4097,2453,0
4082,2473,0
4075,2489,0
4073,2499,0
4076,2507,0
4083,2511,0
4094,2510,0
4108,2506,0
4121,2494,0
4133,2480,0
4144,2464,0
4151,2449,0
4159,2437,0
4160,2429,0
4156,2428,0
4153,2431,0
4152,2446,0
4152,2468,0
4152,2487,0
4155,2497,0
4159,2504,0
4161,2501,0
4169,2497,0
4181,2487,0
4196,2474,0
4209,2457,0
4219,2436,0
4231,2414,0
4247,2398,0
4259,2387,0
4276,2384,0
4283,2380,0
4302,2381,0
4306,2376,0
4316,2375,0
4321,2375,0
4324,2377,0
4316,2376,0
4316,2381,0
4299,2385,0
4278,2396,0
4258,2416,0
4242,2438,0
4232,2460,0
4225,2477,0
4227,2492,0
4235,2503,0
4238,2506,0
4248,2506,0
4261,2501,0
4273,2490,0
4290,2475,0
4306,2452,0
4327,2429,0
4342,2400,0
4369,2376,0
4384,2353,0
4391,2334,0
4396,2326,0
4398,2324,0
4398,2324,0
4402,2332,0
4399,2345,0
4399,2366,0
4394,2388,0
4391,2415,0
4386,2442,0
4381,2463,0
4377,2477,0
4373,2482,0
4372,2484,1
4349,2447,0
4353,2449,0
4356,2451,0
4368,2453,0
4384,2453,0
4401,2449,0
4415,2442,0
4441,2440,0
4464,2435,0
4485,2424,0
4505,2410,0
4521,2398,0
4533,2394,0
4533,2395,0
4531,2405,0
4533,2424,0
4535,2444,0
4529,2458,0
4530,2471,0
4530,2478,1
4547,2314,0
4542,2306,0
4536,2299,0
4538,2297,0
4538,2297,0
4539,2295,0
4541,2293,0
4549,2295,0
4553,2297,1
4637,2410,0
4641,2412,0
4637,2410,0
4637,2410,0
4641,2411,0
4641,2412,0
4641,2412,0
4637,2410,0
4637,2410,0
4641,2412,0
4641,2411,0
4641,2412,0
4637,2410,0
4640,2414,0
4640,2422,0
4638,2439,0
4640,2459,0
4640,2473,0
4636,2478,0
4637,2484,0
4644,2489,0
4642,2490,0
4646,2492,0
4647,2492,0
4649,2488,0
4654,2480,0
4662,2468,0
4669,2450,0
4678,2434,0
4690,2424,0
4700,2409,0
4710,2399,0
4724,2392,0
4731,2388,0
4738,2385,0
4743,2384,0
4749,2389,0
4761,2393,0
4766,2392,0
4774,2394,0
4780,2399,0
4783,2403,0
4786,2413,0
4791,2428,0
4789,2438,0
4790,2451,0
4786,2460,0
4791,2466,0
4784,2461,1
4784,2282,0
4783,2276,0
4782,2268,0
4782,2261,0
4783,2259,0
4791,2263,0
4794,2265,0
4802,2274,0
4806,2285,0
4812,2298,0
4815,2316,0
4816,2339,0
4814,2367,0
4808,2393,0
4803,2416,0
4801,2435,0
4803,2454,0
4801,2465,0
4808,2478,0
4806,2480,0
4811,2480,0
4811,2478,0
4823,2475,0
4824,2466,0
4838,2458,0
4845,2446,0
4846,2429,0
4848,2417,0
4854,2408,0
4849,2394,0
4857,2388,0
4852,2381,0
4859,2384,0
4852,2379,0
4852,2381,0
4851,2389,0
4853,2403,0
4852,2412,0
4863,2424,0
4869,2430,0
4879,2436,0
4884,2435,0
4898,2436,0
4911,2431,0
4920,2422,0
4932,2410,0
4937,2402,0
4944,2398,0
4944,2396,0
4953,2406,0
4958,2421,0
4964,2443,0
4972,2469,0
4970,2495,0
4968,2523,0
4958,2545,0
4956,2564,0
4946,2572,0
4940,2574,0
4934,2569,0
4929,2561,0
4933,2540,0
4944,2515,0
4960,2490,0
4982,2466,0
5005,2444,0
5021,2425,0
5038,2410,0
5050,2397,1
5142,2453,0
5146,2455,0
5149,2459,0
5149,2473,0
5146,2496,0
5141,2528,0
5125,2555,0
5115,2581,0
5110,2604,1
5398,2357,0
5397,2347,0
5383,2342,0
5373,2344,0
5347,2352,0
5327,2371,0
5307,2393,0
5292,2413,0
5276,2434,0
5279,2453,0
5282,2466,0
5290,2476,0
5303,2485,0
5318,2491,0
5335,2494,0
5354,2492,0
5368,2482,1
5472,2404,0
5466,2399,0
5462,2397,0
5462,2399,0
5454,2404,0
5441,2413,0
5439,2426,0
5436,2432,0
5436,2440,0
5442,2446,0
5438,2446,0
5438,2444,0
5445,2440,0
5450,2430,0
5457,2417,0
5474,2403,0
5482,2386,0
5496,2374,0
5511,2371,0
5520,2372,0
5525,2379,0
5525,2388,0
5523,2401,0
5522,2412,0
5523,2418,0
5530,2423,0
5531,2422,0
5536,2420,0
5544,2413,0
5555,2409,0
5564,2408,0
5567,2411,0
5573,2418,0
5569,2427,0
5569,2435,0
5566,2441,0
5562,2440,0
5564,2435,0
5571,2431,0
5586,2420,0
5595,2410,0
5620,2405,0
5634,2403,0
5644,2409,0
5645,2418,0
5652,2429,0
5646,2441,0
5653,2456,0
5653,2464,1
5756,2389,0
5769,2391,0
5767,2395,0
5779,2408,0
5776,2422,0
5779,2442,0
5776,2468,0
5754,2484,0
5735,2523,0
5730,2533,0
5723,2538,0
5721,2533,0
5716,2523,0
5741,2456,0
5753,2425,0
5793,2386,0
5827,2361,0
5844,2354,0
5861,2353,0
5877,2357,0
5883,2364,0
5884,2371,0
5885,2379,0
5877,2386,0
5868,2398,0
5846,2403,0
5830,2411,0
5805,2418,0
5786,2420,0
5766,2424,0
5747,2427,1
5945,2381,0
5947,2378,0
5945,2371,0
5944,2365,0
5937,2361,0
5921,2365,0
5895,2376,0
5874,2393,0
5865,2410,0
5861,2420,0
5861,2430,0
5865,2439,0
5875,2445,0
5882,2451,0
5893,2446,0
5910,2437,0
5923,2428,0
5943,2414,0
5960,2398,0
5967,2391,0
5974,2386,0
5974,2386,0
5973,2388,0
5967,2402,0
5961,2413,0
5960,2427,0
5961,2433,0
5967,2438,0
5977,2437,0
5986,2436,0
5996,2433,0
6004,2427,0
6014,2414,0
6028,2403,0
6042,2392,0
6046,2390,0
6046,2392,0
6049,2405,0
6042,2418,0
6044,2433,0
6047,2447,0
6048,2453,0
6047,2456,0
6053,2454,0
6051,2438,1
6056,2310,0
6058,2293,0
6063,2282,0
6066,2276,0
6061,2276,0
6065,2277,0
6063,2281,0
6067,2283,1
6126,2350,0
6121,2351,0
6119,2354,0
6120,2362,0
6122,2376,0
6120,2391,0
6119,2405,0
6114,2414,0
6116,2422,0
6112,2421,0
6115,2423,0
6116,2419,0
6119,2415,0
6124,2403,0
6132,2393,0
6149,2385,0
6160,2381,0
6176,2374,0
6188,2367,0
6203,2362,0
6213,2359,0
6227,2358,0
6237,2364,0
6247,2370,0
6252,2378,0
6249,2385,0
6245,2396,0
6236,2407,0
6228,2415,0
6220,2425,0
6212,2431,0
6207,2433,0
6202,2434,1
6302,2363,0
6305,2366,0
6305,2378,0
6301,2397,0
6293,2415,0
6291,2431,0
6290,2432,0
6294,2424,1
6307,2300,0
6296,2296,0
6288,2292,0
6291,2287,0
6290,2280,1
6404,2327,0
6405,2324,0
6398,2321,0
6393,2322,0
6377,2330,0
6360,2339,0
6354,2352,0
6352,2359,0
6357,2367,0
6360,2371,0
6359,2373,0
6363,2375,0
6363,2373,0
6363,2374,0
6373,2370,0
6385,2361,0
6399,2352,0
6410,2345,0
6425,2340,0
6441,2332,0
6456,2326,0
6463,2330,0
6471,2341,0
6476,2352,0
6478,2368,0
6476,2374,0
6482,2379,0
6482,2379,0
6486,2379,0
6491,2378,0
6502,2373,0
6516,2369,0
6534,2369,0
6541,2374,0
6547,2379,0
6552,2388,0
6556,2398,0
6563,2404,0
6575,2405,0
6591,2398,0
6615,2391,1
6703,2341,0
6713,2327,0
6716,2321,0
6715,2324,0
6717,2319,0
6715,2324,0
6714,2336,0
6711,2355,0
6717,2371,0
6716,2388,0
6717,2407,0
6710,2423,0
6700,2436,0
6692,2447,0
6677,2451,0
6664,2453,0
6659,2453,0
6650,2453,0
6650,2454,0
6643,2451,1
