damage may, however, be
695
576,4821,0
580,4822,0
583,4825,0
586,4823,0
586,4823,0
588,4818,0
586,4814,0
585,4806,0
579,4794,0
571,4772,0
559,4759,0
543,4746,0
526,4743,0
507,4745,0
485,4758,0
464,4784,0
443,4821,0
428,4864,0
419,4907,0
418,4939,0
422,4960,0
432,4973,0
445,4975,0
460,4964,0
476,4939,0
494,4896,0
513,4838,0
533,4772,0
557,4707,0
579,4648,0
598,4602,0
612,4572,0
618,4560,0
618,4560,0
618,4565,0
615,4588,0
606,4632,0
596,4683,0
586,4746,0
581,4801,0
585,4847,0
593,4876,0
605,4893,0
623,4895,0
645,4888,0
670,4859,0
700,4825,0
736,4787,0
774,4755,0
809,4724,0
837,4702,0
861,4695,0
878,4692,0
895,4696,0
907,4705,0
914,4709,0
914,4717,0
914,4718,0
914,4717,0
911,4717,0
909,4714,0
904,4710,0
895,4700,0
887,4700,0
872,4704,0
854,4714,0
837,4738,0
815,4765,0
796,4804,0
784,4839,0
778,4867,0
780,4891,0
789,4900,0
801,4900,0
819,4897,0
840,4874,0
868,4844,0
895,4805,0
921,4770,0
940,4742,0
945,4730,0
945,4727,0
942,4734,0
932,4754,0
921,4794,0
909,4829,0
906,4869,0
910,4889,0
926,4906,0
948,4903,0
976,4891,0
1005,4864,0
1035,4824,0
1061,4780,0
1084,4741,0
1100,4705,0
1109,4692,0
1109,4692,0
1107,4696,0
1105,4708,0
1099,4744,0
1096,4788,0
1093,4828,0
1090,4857,0
1090,4876,0
1093,4881,0
1093,4876,0
1096,4869,0
1105,4836,0
1122,4796,0
1142,4756,0
1166,4719,0
1188,4699,0
1205,4690,0
1216,4690,0
1225,4710,0
1228,4734,0
1227,4770,0
1222,4802,0
1219,4826,0
1218,4838,0
1220,4838,0
1221,4838,0
1226,4822,0
1237,4794,0
1254,4758,0
1271,4724,0
1295,4695,0
1316,4678,0
1331,4669,0
1343,4673,0
1353,4684,0
1362,4712,0
1367,4739,0
1373,4775,0
1380,4803,0
1390,4826,0
1405,4837,0
1420,4832,0
1439,4827,0
1461,4801,0
1486,4770,0
1513,4731,0
1544,4697,0
1575,4669,0
1600,4654,0
1620,4647,0
1635,4646,0
1646,4652,0
1652,4657,0
1652,4660,0
1650,4656,0
1650,4660,0
1645,4657,0
1643,4657,0
1635,4650,0
1624,4647,0
1609,4649,0
1590,4663,0
1567,4686,0
1545,4717,0
1525,4746,0
1514,4776,0
1510,4788,0
1520,4804,0
1534,4806,0
1556,4804,0
1580,4789,0
1609,4762,0
1637,4731,0
1660,4699,0
1674,4669,0
1682,4664,0
1681,4664,0
1678,4669,0
1667,4686,0
1660,4724,0
1658,4752,0
1662,4780,0
1674,4794,0
1691,4800,0
1715,4793,0
1744,4776,0
1773,4752,0
1800,4720,0
1828,4687,0
1855,4666,0
1877,4654,0
1891,4652,0
1902,4654,0
1906,4657,0
1908,4661,0
1904,4661,0
1901,4658,0
1898,4658,0
1894,4659,0
1883,4657,0
1866,4656,0
1843,4664,0
1817,4681,0
1788,4702,0
1766,4733,0
1752,4751,0
1751,4763,0
1762,4770,0
1783,4775,0
1808,4763,0
1841,4749,0
1869,4725,0
1895,4703,0
1911,4684,0
1920,4674,0
1919,4679,0
1918,4683,0
1915,4688,0
1908,4710,0
1906,4751,0
1899,4792,0
1891,4838,0
1885,4888,0
1877,4934,0
1865,4968,0
1845,5000,0
1829,5018,0
1812,5026,0
1798,5023,0
1788,5016,0
1780,4998,0
1776,4975,0
1780,4949,0
1790,4920,0
1805,4889,0
1836,4856,0
1863,4831,0
1895,4805,0
1929,4791,0
1964,4772,0
1997,4753,0
2033,4734,0
2062,4716,0
2085,4702,0
2100,4695,0
2101,4682,0
2101,4678,0
2091,4664,0
2079,4662,0
2058,4663,0
2038,4680,0
2019,4700,0
2004,4731,0
1997,4766,0
2003,4797,0
2020,4814,0
2048,4829,0
2082,4830,0
2121,4830,0
2153,4825,1
2386,4812,0
2385,4813,0
2388,4823,0
2395,4834,0
2404,4832,0
2414,4825,0
2427,4813,0
2440,4793,0
2452,4764,0
2464,4731,0
2478,4706,0
2486,4686,0
2488,4681,0
2487,4682,0
2487,4690,0
2483,4709,0
2477,4739,0
2475,4778,0
2468,4813,0
2463,4844,0
2464,4861,0
2464,4857,0
2464,4852,0
2471,4837,0
2482,4805,0
2496,4763,0
2519,4723,0
2544,4689,0
2570,4664,0
2589,4653,0
2601,4657,0
2610,4667,0
2616,4690,0
2620,4727,0
2620,4761,0
2618,4787,0
2618,4804,0
2620,4803,0
2623,4802,0
2627,4792,0
2635,4769,0
2647,4735,0
2662,4695,0
2679,4660,0
2701,4644,0
2716,4639,0
2727,4639,0
2739,4651,0
2752,4681,0
2761,4719,0
2770,4759,0
2779,4790,0
2789,4804,0
2804,4811,0
2818,4801,0
2832,4782,0
2851,4754,0
2873,4724,0
2898,4693,0
2924,4665,0
2950,4645,0
2972,4636,0
2990,4633,0
3005,4635,0
3018,4643,0
3025,4648,0
3027,4652,0
3026,4652,0
3026,4652,0
3023,4649,0
3017,4643,0
3008,4637,0
2997,4635,0
2983,4636,0
2967,4642,0
2951,4659,0
2934,4686,0
2923,4722,0
2920,4757,0
2924,4777,0
2936,4785,0
2955,4787,0
2977,4772,0
3000,4751,0
3021,4720,0
3037,4687,0
3052,4658,0
3057,4638,0
3057,4634,0
3054,4636,0
3050,4651,0
3045,4683,0
3041,4715,0
3042,4741,0
3055,4762,0
3068,4769,0
3087,4765,0
3109,4756,0
3129,4733,0
3151,4702,0
3168,4664,0
