In the unit system, where boiler,
713
575,982,0
590,1037,0
584,1071,0
575,1107,0
569,1148,0
562,1185,0
561,1230,0
564,1271,0
571,1305,0
580,1331,0
592,1348,0
606,1363,0
623,1374,0
643,1381,0
661,1379,0
678,1368,0
693,1348,0
709,1315,0
726,1278,0
744,1242,0
756,1200,0
770,1170,0
779,1152,0
783,1149,0
781,1144,0
779,1144,0
784,1162,0
790,1189,0
795,1219,0
802,1254,0
810,1285,0
819,1308,0
827,1318,0
834,1319,0
843,1317,0
851,1303,0
860,1276,0
872,1241,0
881,1202,0
897,1177,0
919,1168,0
931,1158,0
954,1173,0
968,1187,0
978,1208,0
986,1237,0
996,1269,0
1008,1299,0
1023,1319,1
1377,913,0
1377,921,0
1379,946,0
1386,990,0
1388,1049,0
1393,1123,0
1395,1186,0
1399,1230,0
1394,1253,1
1329,1159,0
1331,1158,0
1343,1159,0
1356,1160,0
1382,1165,0
1406,1165,0
1431,1165,0
1461,1167,0
1491,1160,0
1514,1141,0
1539,1121,0
1556,1094,0
1565,1063,0
1575,1029,0
1576,986,0
1575,945,0
1573,918,0
1570,910,0
1558,912,0
1524,920,0
1515,953,0
1509,997,0
1511,1054,0
1526,1117,0
1529,1165,0
1537,1196,0
1544,1211,0
1553,1216,0
1557,1205,0
1567,1187,0
1575,1156,0
1586,1128,0
1585,1110,0
1594,1109,0
1594,1109,0
1605,1127,0
1614,1153,0
1630,1177,0
1643,1193,0
1657,1198,0
1682,1199,0
1707,1188,0
1731,1168,0
1751,1140,0
1772,1110,0
1784,1081,0
1790,1066,0
1788,1063,0
1778,1066,0
1767,1084,0
1751,1111,0
1733,1142,0
1718,1167,0
1720,1189,0
1736,1203,0
1770,1210,0
1812,1204,1
2137,1064,0
2127,1075,0
2113,1092,0
2103,1114,0
2095,1139,0
2098,1172,0
2103,1195,0
2111,1209,0
2128,1215,0
2148,1212,0
2166,1199,0
2183,1179,0
2200,1156,0
2211,1131,0
2218,1104,0
2222,1081,0
2228,1071,0
2222,1068,0
2224,1071,0
2224,1084,0
2236,1107,0
2242,1131,0
2258,1150,0
2273,1162,0
2291,1165,0
2306,1160,0
2319,1150,0
2331,1135,0
2341,1115,0
2349,1092,0
2355,1064,0
2355,1042,0
2362,1032,0
2371,1032,0
2379,1035,0
2386,1045,0
2392,1064,0
2395,1088,0
2400,1115,0
2412,1141,0
2412,1155,0
2412,1160,0
2408,1160,0
2408,1158,0
2410,1150,0
2420,1129,0
2428,1105,0
2437,1084,0
2444,1066,0
2451,1056,0
2466,1056,0
2469,1056,0
2480,1063,0
2491,1076,0
2503,1093,0
2514,1113,0
2529,1134,0
2535,1146,0
2544,1154,0
2552,1157,0
2559,1153,0
2573,1146,0
2584,1130,0
2594,1107,0
2608,1083,0
2618,1066,0
2627,1059,0
2632,1059,0
2627,1059,0
2628,1073,0
2632,1092,0
2638,1111,0
2642,1128,0
2651,1143,0
2663,1155,0
2673,1161,0
2683,1161,0
2700,1157,0
2714,1146,0
2732,1126,0
2748,1097,0
2767,1062,0
2784,1020,0
2799,979,0
2813,950,0
2816,934,0
2822,930,0
2822,930,0
2830,941,0
2833,964,0
2834,990,0
2842,1020,0
2846,1049,0
2846,1076,0
2844,1096,0
2847,1117,0
2849,1131,1
2864,1102,0
2864,1102,0
2868,1102,0
2881,1102,0
2897,1098,1
2613,926,0
2597,920,0
2597,920,0
2605,922,0
2613,925,1
3265,952,0
3257,950,0
3247,955,0
3234,967,0
3226,988,0
3217,1011,0
3206,1037,0
3208,1064,0
3212,1085,0
