mand, however, and little can be
653
487,5765,0
487,5765,0
489,5769,0
491,5774,0
493,5794,0
492,5818,0
494,5846,0
495,5882,0
499,5919,0
502,5947,0
509,5964,0
512,5969,0
516,5969,0
521,5950,0
525,5918,0
532,5878,0
544,5835,0
555,5800,0
568,5769,0
578,5742,0
589,5730,0
602,5732,0
613,5745,0
621,5769,0
628,5798,0
632,5834,0
635,5867,0
637,5903,0
644,5923,0
647,5935,0
653,5933,0
656,5929,0
664,5909,0
671,5877,0
684,5842,0
697,5803,0
712,5776,0
726,5753,0
738,5738,0
753,5735,0
771,5744,0
784,5764,0
796,5788,0
801,5834,0
798,5877,0
795,5925,0
794,5965,0
794,5989,0
798,5997,1
992,5800,0
988,5791,0
977,5779,0
959,5775,0
932,5762,0
905,5769,0
877,5785,0
853,5808,0
837,5835,0
829,5867,0
832,5894,0
843,5919,0
859,5932,0
880,5937,0
900,5933,0
924,5914,0
941,5879,0
955,5847,0
962,5815,0
966,5795,0
965,5791,0
964,5787,0
963,5791,0
968,5807,0
973,5843,0
978,5879,0
984,5919,0
994,5955,0
1003,5988,1
1066,5740,0
1067,5740,0
1076,5756,0
1077,5784,0
1076,5820,0
1078,5856,0
1080,5892,0
1084,5911,0
1089,5928,0
1093,5932,0
1098,5920,0
1107,5904,0
1115,5876,0
1126,5840,0
1140,5803,0
1159,5771,0
1180,5747,0
1203,5730,0
1223,5730,0
1240,5738,0
1253,5761,0
1259,5789,0
1261,5833,0
1263,5877,0
1266,5917,1
1476,5826,0
1476,5826,0
1472,5815,0
1458,5803,0
1438,5796,0
1414,5791,0
1391,5800,0
1363,5801,0
1340,5827,0
1322,5856,0
1314,5880,0
1315,5907,0
1324,5927,0
1344,5942,0
1368,5945,0
1392,5935,0
1416,5914,0
1438,5889,0
1456,5852,0
1470,5807,0
1484,5766,0
1493,5721,0
1498,5684,0
1498,5657,0
1500,5641,0
1499,5632,0
1499,5636,0
1498,5644,0
1501,5672,0
1505,5708,0
1516,5755,0
1527,5799,0
1540,5841,1
1659,5919,0
1655,5928,0
1648,5944,0
1640,5969,0
1628,6006,0
1616,6040,0
1610,6068,0
1609,6080,0
1615,6072,1
1869,5644,0
1870,5643,0
1870,5643,0
1869,5664,0
1868,5696,0
1866,5729,0
1870,5773,0
1874,5813,0
1874,5849,0
1877,5877,0
1882,5892,0
1886,5896,0
1887,5892,0
1891,5875,0
1898,5841,0
1905,5812,0
1915,5779,0
1929,5748,0
1948,5721,0
1976,5700,0
2003,5688,0
2028,5692,0
2044,5701,0
2054,5728,0
2057,5767,0
2058,5804,0
2057,5841,0
2058,5873,0
2058,5893,1
2246,5703,0
2242,5699,0
2233,5693,0
2219,5692,0
2198,5692,0
2176,5709,0
2153,5738,0
2133,5771,0
2125,5808,0
2126,5841,0
2138,5867,0
2154,5885,0
2178,5887,0
2198,5880,0
2220,5863,0
2236,5836,0
2253,5808,0
2257,5774,0
2256,5745,0
2247,5718,0
2233,5701,0
2220,5692,0
2213,5689,0
2213,5693,0
2222,5700,1
2331,5684,0
2333,5684,0
2333,5687,0
2335,5699,0
2339,5723,0
2342,5747,0
2354,5781,0
2364,5803,0
2380,5824,0
2391,5827,0
2404,5827,0
2415,5817,0
2420,5791,0
2427,5764,0
2432,5730,0
2437,5709,0
2437,5692,0
2439,5692,0
2436,5688,0
2440,5704,0
2445,5727,0
2452,5758,0
2458,5794,0
2468,5820,0
2484,5845,0
2504,5865,0
2523,5873,0
2542,5868,0
2557,5855,0
2569,5828,0
2579,5800,0
2584,5770,0
2586,5736,0
2582,5704,0
2578,5684,0
2574,5669,0
2569,5663,1
2665,5756,0
2666,5759,0
2671,5758,0
2685,5762,0
2699,5759,0
2717,5745,0
2737,5735,0
2750,5718,0
2765,5697,0
2772,5678,0
2768,5658,0
2759,5649,0
2738,5643,0
2708,5648,0
2681,5663,0
2656,5688,0
2642,5717,0
2637,5751,0
2639,5788,0
2653,5822,0
2677,5849,0
2704,5869,0
2735,5881,0
2767,5880,0
2794,5863,1
2849,5680,0
2847,5684,0
2849,5687,0
2851,5704,0
2854,5724,0
2861,5751,0
2871,5778,0
2884,5807,0
2897,5832,0
2910,5849,0
2919,5854,0
2927,5856,0
2934,5853,0
2939,5835,0
2946,5816,0
2950,5789,0
2955,5763,0
2958,5740,0
2961,5714,0
2963,5696,0
2963,5688,1
3021,5790,0
3027,5793,0
3040,5788,0
3056,5782,0
3072,5764,0
3091,5749,0
3105,5723,0
3117,5701,0
3124,5677,0
3124,5660,0
3115,5656,0
3095,5650,0
3070,5668,0
3042,5681,0
3025,5704,0
3018,5728,0
3016,5759,0
3023,5794,0
3036,5819,0
3058,5849,0
3088,5873,0
3120,5879,0
3153,5871,0
3184,5851,0
3210,5829,1
3258,5690,0
3256,5687,0
3257,5691,0
3258,5707,0
3258,5733,0
3259,5763,0
3260,5801,0
3264,5834,0
3269,5861,0
3276,5872,0
3278,5871,0
3279,5870,0
3281,5861,0
3279,5832,0
3276,5799,0
3280,5767,0
