The Secretary of State, however,
725
1039,1392,0
1067,1401,0
1072,1421,0
1074,1449,0
1070,1481,0
1068,1529,0
1061,1573,0
1059,1629,0
1059,1677,0
1056,1713,0
1056,1741,0
1056,1756,0
1057,1757,1
1228,1399,0
1232,1403,0
1228,1400,0
1211,1398,0
1187,1400,0
1153,1403,0
1113,1400,0
1071,1397,0
1029,1392,0
996,1399,0
964,1404,0
932,1404,0
903,1405,0
878,1401,0
862,1394,0
868,1387,0
887,1370,1
1342,1365,0
1346,1368,0
1348,1372,0
1346,1392,0
1341,1418,0
1341,1455,0
1342,1499,0
1342,1544,0
1343,1585,0
1339,1609,0
1337,1623,0
1336,1626,0
1336,1627,0
1336,1627,0
1336,1623,0
1337,1602,0
1345,1580,0
1359,1561,0
1376,1537,0
1394,1521,0
1411,1521,0
1426,1529,0
1440,1546,0
1445,1566,0
1450,1594,0
1452,1626,0
1447,1648,0
1443,1665,0
1441,1679,1
1497,1638,0
1508,1645,0
1521,1648,0
1533,1645,0
1553,1643,0
1572,1633,0
1589,1623,0
1599,1610,0
1602,1593,0
1599,1577,0
1594,1566,0
1582,1557,0
1569,1558,0
1556,1561,0
1546,1573,0
1539,1588,0
1532,1607,0
1534,1632,0
1539,1651,0
1550,1669,0
1566,1681,0
1585,1683,0
1606,1675,0
1631,1675,0
1652,1676,1
2168,1370,0
2169,1370,0
2156,1360,0
2142,1349,0
2123,1340,0
2099,1335,0
2067,1335,0
2043,1345,0
2017,1356,0
1997,1372,0
1981,1383,0
1973,1394,0
1971,1406,0
1972,1415,0
1988,1433,0
2009,1447,0
2042,1462,0
2087,1480,0
2132,1500,0
2172,1529,0
2200,1558,0
2219,1589,0
2225,1614,0
2226,1639,0
2211,1657,0
2188,1668,0
2160,1674,0
2124,1674,0
2082,1669,0
2036,1661,0
1993,1655,0
1957,1649,0
1931,1641,1
2238,1640,0
2258,1639,0
2282,1635,0
2306,1631,0
2327,1619,0
2347,1607,0
2367,1594,0
2379,1584,0
2380,1577,0
2378,1568,0
2369,1560,0
2353,1558,0
2333,1561,0
2309,1566,0
2288,1573,0
2268,1580,0
2257,1590,0
2252,1599,0
2251,1609,0
2255,1621,0
2266,1633,0
2282,1640,0
2305,1648,0
2333,1650,0
2363,1652,0
2393,1652,0
2423,1657,0
2453,1662,0
2475,1662,1
2544,1539,0
2538,1539,0
2522,1544,0
2504,1550,0
2488,1556,0
2473,1566,0
2465,1580,0
2457,1592,0
2456,1604,0
2457,1614,0
2461,1622,0
2470,1630,0
2485,1638,0
2506,1645,0
2531,1649,0
2556,1647,0
2584,1648,0
2605,1648,0
2622,1648,0
2636,1645,0
2655,1643,1
2675,1632,0
2679,1634,0
2676,1631,0
2674,1628,0
2669,1614,0
2663,1598,0
2658,1580,0
2660,1566,0
2659,1549,0
2660,1534,0
2663,1525,0
2673,1520,0
2678,1513,0
2685,1510,0
2700,1512,0
2714,1515,0
2730,1520,1
2752,1605,0
2762,1607,0
2776,1608,0
2789,1604,0
2809,1600,0
2827,1591,0
2849,1582,0
2864,1571,0
2880,1563,0
2884,1551,0
2890,1544,0
2887,1534,0
2878,1526,0
2865,1523,0
2854,1524,0
2842,1527,0
2829,1531,0
2823,1539,0
2818,1550,0
2819,1562,0
2823,1577,0
2832,1591,0
2852,1606,0
2869,1616,0
2897,1626,0
2923,1631,0
2948,1633,0
2964,1631,0
2984,1630,1
3020,1290,0
3025,1290,0
3024,1290,0
3021,1305,0
3018,1334,0
3019,1369,0
3022,1410,0
3028,1459,0
3040,1514,0
3054,1563,0
3063,1598,0
3066,1621,0
3071,1635,1
3108,1526,0
3103,1520,0
3085,1511,0
3069,1506,0
3042,1503,0
3016,1500,0
2994,1496,0
2975,1495,0
2956,1493,1
3286,1523,0
3276,1517,0
3269,1513,0
3257,1510,0
3238,1510,0
3221,1513,0
3199,1520,0
3182,1529,0
3162,1540,0
3156,1556,0
3151,1570,0
3156,1585,0
3165,1599,0
3181,1611,0
3197,1617,0
3218,1621,0
3233,1620,0
3247,1613,0
3262,1600,0
3276,1584,0
3280,1563,0
3286,1546,0
3290,1541,0
3289,1541,0
3289,1541,0
3291,1545,0
3300,1561,0
3306,1582,0
3308,1600,1
3410,1597,0
3415,1612,0
3421,1624,0
3421,1625,0
3422,1623,0
3422,1615,0
3419,1590,0
3416,1563,0
3412,1539,0
3408,1515,0
3399,1489,0
3395,1472,0
3389,1459,0
3390,1456,0
3402,1453,0
3424,1454,0
3452,1461,0
3467,1467,0
3482,1473,0
3500,1482,0
3509,1488,1
3545,1465,0
3547,1469,0
3545,1481,0
3549,1499,0
3554,1524,0
3562,1550,0
3578,1572,0
3592,1586,0
3605,1596,0
3621,1601,0
3635,1600,0
3645,1592,0
3653,1568,0
3656,1538,0
3660,1511,0
3660,1495,0
3662,1491,0
3662,1491,0
3672,1498,0
3682,1522,0
3694,1568,0
3707,1627,0
3720,1695,0
3730,1771,0
3737,1836,0
3738,1879,0
3724,1900,0
3714,1908,0
3685,1909,0
3653,1906,0
3615,1899,0
3588,1888,0
3568,1874,1
4029,1464,0
4026,1462,0
4015,1458,0
4001,1459,0
3985,1465,0
3971,1478,0
3954,1494,0
3945,1515,0
3944,1534,0
3950,1549,0
3969,1566,0
3996,1574,0
4024,1572,0
4048,1559,0
4061,1539,0
4070,1520,0
4072,1505,0
4062,1487,0
4052,1471,0
4039,1462,0
4027,1457,0
4028,1456,0
4028,1456,0
4029,1455,0
4036,1450,1
4277,1317,0
4278,1290,0
4275,1261,0
4261,1232,0
4242,1213,0
4222,1205,0
4205,1208,0
4191,1224,0
4186,1249,0
4179,1284,0
4179,1329,0
4186,1379,0
4193,1435,0
4196,1492,0
4207,1546,0
4214,1581,0
4210,1599,0
4208,1604,0
4203,1604,0
4193,1597,0
4190,1584,0
4174,1561,0
4166,1540,0
4156,1523,0
4154,1508,0
4154,1498,0
4159,1498,0
4176,1489,0
4201,1479,0
4225,1474,0
4244,1471,0
4269,1472,0
4293,1476,1
4804,1305,0
4816,1293,0
4818,1282,0
4810,1269,0
4793,1257,0
4772,1245,0
4745,1237,0
4719,1237,0
4690,1240,0
4663,1245,0
4643,1254,0
4623,1264,0
4607,1276,0
4599,1290,0
4597,1310,0
4602,1331,0
4620,1356,0
4642,1378,0
4675,1403,0
4709,1427,0
4746,1453,0
4775,1481,0
4789,1512,0
4794,1532,0
4789,1549,0
4771,1561,0
4743,1568,0
4709,1567,0
4671,1563,0
4634,1560,0
4594,1555,0
4556,1551,0
4522,1549,0
4499,1544,0
4485,1535,0
4484,1526,0
4487,1509,1
4858,1231,0
4863,1230,0
4873,1239,0
4876,1257,0
4879,1288,0
4880,1328,0
4882,1377,0
4878,1428,0
4876,1481,0
4875,1522,0
4874,1551,0
4875,1569,0
4876,1578,1
4940,1469,0
4939,1459,0
4934,1449,0
4920,1440,0
4901,1434,0
4881,1433,0
4850,1434,0
4821,1435,1
5057,1536,0
5069,1534,0
5077,1525,0
5080,1515,0
5085,1502,0
5069,1487,0
5052,1476,0
5033,1471,0
5012,1469,0
4994,1471,0
4983,1478,0
4971,1490,0
4965,1505,0
4961,1520,0
4968,1535,0
4982,1544,0
4994,1546,0
5009,1538,0
5030,1529,0
5041,1519,0
5048,1510,0
5054,1508,0
5055,1503,0
5063,1504,0
5071,1508,0
5077,1524,0
5086,1549,0
5096,1568,0
5099,1571,0
5105,1570,0
5109,1556,0
5122,1532,0
5127,1504,1
5127,1221,0
5139,1234,0
5156,1266,0
5165,1310,0
5178,1365,0
5181,1424,0
5184,1469,0
5184,1495,0
5182,1514,0
5182,1527,0
5181,1530,0
5182,1528,0
5175,1520,0
5166,1502,0
5151,1479,0
5141,1459,0
5130,1440,0
5122,1427,0
5115,1421,0
5116,1420,0
5116,1420,0
5115,1421,0
5122,1426,0
5136,1435,0
5154,1445,0
5176,1455,0
5199,1463,0
5226,1468,0
5242,1471,0
5258,1471,0
5273,1467,0
5296,1456,0
5313,1445,0
5327,1438,0
5334,1433,0
5343,1428,0
5344,1422,1
5318,1524,0
5325,1527,0
5342,1526,0
5349,1518,0
5365,1506,0
5378,1493,0
5382,1478,0
5386,1464,0
5383,1448,0
5378,1436,0
5368,1427,0
5356,1424,0
5340,1423,0
5327,1427,0
5313,1433,0
5303,1449,0
5293,1469,0
5289,1494,0
5291,1515,0
5299,1531,0
5308,1540,0
5327,1547,0
5350,1555,0
5385,1564,0
5412,1569,0
5437,1571,0
5457,1571,0
5469,1562,0
5482,1544,1
5571,1503,0
5578,1508,0
5574,1534,0
5568,1582,0
5554,1627,0
5530,1648,0
5508,1647,0
5496,1647,0
5485,1655,1
5766,1174,0
5767,1172,0
5772,1168,0
5768,1168,0
5771,1170,0
5774,1193,0
5775,1228,0
5779,1266,0
5782,1307,0
5783,1353,0
5780,1395,0
5779,1427,0
5777,1452,0
5775,1474,0
5776,1487,0
5775,1491,0
5779,1491,0
5775,1489,0
5778,1478,0
5781,1455,0
5782,1431,0
5790,1405,0
5796,1379,0
5810,1358,0
5825,1347,0
5841,1346,0
5853,1352,0
5866,1364,0
5882,1385,0
5888,1407,0
5890,1433,0
5883,1459,0
5880,1483,0
5875,1502,0
5868,1513,0
5866,1518,0
5875,1516,1
5998,1397,0
5999,1392,0
5987,1390,0
5970,1396,0
5950,1406,0
5931,1418,0
5919,1431,0
5906,1447,0
5905,1468,0
5904,1491,0
5911,1508,0
5923,1522,0
5937,1532,0
5957,1534,0
5981,1527,0
6002,1510,0
6016,1488,0
6017,1464,0
6017,1438,0
