3,476 in 1960, and the daily average
638
837,2669,0
833,2668,0
830,2668,0
829,2668,0
828,2663,0
829,2664,0
831,2661,0
837,2649,0
851,2642,0
868,2636,0
885,2633,0
902,2634,0
916,2639,0
924,2652,0
926,2668,0
919,2692,0
904,2715,0
891,2733,0
887,2742,0
887,2745,0
887,2745,0
892,2754,0
899,2762,0
906,2775,0
913,2788,0
919,2800,0
923,2812,0
921,2824,1
1037,2848,0
1035,2869,0
1030,2893,0
1027,2924,0
1023,2948,1
1142,2596,0
1141,2600,0
1136,2604,0
1134,2616,0
1131,2632,0
1129,2644,0
1131,2660,0
1138,2672,0
1148,2680,0
1161,2684,0
1175,2687,0
1189,2686,0
1201,2690,0
1209,2690,0
1214,2689,0
1216,2689,0
1217,2689,1
1208,2585,0
1206,2589,0
1203,2601,0
1199,2626,0
1191,2654,0
1175,2735,0
1167,2767,0
1164,2787,1
1263,2569,0
1266,2569,0
1271,2565,0
1284,2564,0
1298,2562,0
1315,2565,0
1333,2563,0
1351,2565,0
1363,2568,0
1370,2579,0
1373,2608,0
1368,2640,0
1356,2678,0
1345,2715,0
1337,2748,0
1330,2768,0
1325,2777,1
1320,2673,0
1322,2669,0
1332,2664,0
1351,2662,0
1372,2659,0
1398,2656,0
1427,2653,0
1450,2637,0
1473,2617,1
1607,2494,0
1585,2507,0
1559,2536,0
1533,2574,0
1515,2622,0
1502,2661,0
1499,2698,0
1503,2726,0
1510,2733,0
1523,2731,0
1540,2724,0
1555,2709,0
1565,2695,0
1566,2682,0
1563,2679,0
1552,2672,0
1539,2675,0
1527,2681,0
1515,2679,0
1515,2680,0
1520,2679,1
1910,2658,0
1911,2671,0
1913,2686,0
1914,2703,0
1912,2717,1
1915,2533,0
1918,2537,0
1915,2543,0
1918,2558,0
1926,2572,1
2021,2605,0
2018,2623,0
2013,2647,0
2010,2670,0
2010,2687,0
2012,2690,0
2010,2683,0
2014,2676,0
2021,2666,0
2028,2650,0
2038,2637,0
2047,2630,0
2057,2630,0
2063,2632,0
2075,2649,0
2079,2664,0
2083,2684,1
2302,2634,0
2308,2627,0
2321,2612,0
2336,2581,0
2357,2543,0
2381,2497,0
2410,2449,0
2440,2413,0
2464,2389,0
2476,2381,0
2480,2384,0
2486,2404,0
2486,2437,0
2478,2478,0
2465,2528,0
2450,2574,0
2448,2612,1
2601,2458,0
2611,2437,0
2614,2420,0
2610,2412,0
2596,2408,0
2580,2415,0
2563,2430,0
2550,2453,0
2542,2473,0
2544,2480,0
2550,2481,0
2564,2477,0
2583,2466,0
2599,2449,0
2612,2437,0
