of pine, though some open,
545
942,5323,0
937,5315,0
928,5298,0
919,5286,0
898,5269,0
878,5269,0
855,5264,0
826,5266,0
798,5277,0
774,5303,0
756,5335,0
745,5373,0
748,5414,0
759,5442,0
784,5460,0
813,5458,0
851,5443,0
883,5421,0
907,5394,0
916,5362,0
915,5334,0
906,5309,0
894,5289,0
881,5280,0
879,5277,1
1119,5096,1
1085,5088,0
1070,5093,0
1054,5104,0
1037,5124,0
1025,5156,0
1016,5200,0
1012,5244,0
1016,5296,0
1027,5348,0
1039,5392,0
1054,5440,0
1064,5477,0
1067,5508,0
1066,5528,0
1059,5532,0
1047,5516,1
982,5296,0
984,5291,0
987,5296,0
996,5296,0
1013,5300,0
1036,5301,0
1063,5301,0
1087,5301,0
1106,5300,1
1499,5235,0
1498,5251,0
1504,5275,0
1510,5314,0
1520,5354,0
1526,5397,0
1532,5441,0
1534,5480,0
1533,5505,0
1533,5513,0
1531,5510,0
1523,5494,0
1512,5458,0
1498,5419,0
1490,5380,0
1491,5344,0
1497,5308,0
1507,5271,0
1524,5237,0
1546,5203,0
1574,5180,0
1605,5164,0
1639,5161,0
1667,5166,0
1689,5183,0
1699,5210,0
1699,5238,0
1689,5268,0
1675,5294,0
1655,5316,0
1631,5335,0
1612,5345,0
1602,5342,1
1782,5151,0
1783,5154,0
1785,5158,0
1790,5174,0
1796,5205,0
1801,5241,0
1806,5277,0
1809,5309,0
1812,5324,1
1771,5028,0
1768,5023,0
1766,5016,0
1766,5016,0
1768,5016,1
1884,5103,0
1884,5103,0
1888,5106,0
1894,5121,0
1900,5141,0
1906,5164,0
1913,5192,0
1920,5219,0
1925,5243,0
1930,5250,0
1935,5253,0
1942,5248,0
1953,5238,0
1964,5219,0
1977,5197,0
1990,5170,0
2002,5147,0
2015,5137,0
2024,5132,0
2031,5138,0
2039,5153,0
2048,5180,0
2060,5214,0
2075,5240,0
2094,5252,0
2122,5262,0
2147,5261,0
2176,5255,0
2202,5238,0
2227,5216,0
2246,5187,0
2258,5163,0
2260,5139,0
2258,5118,0
2243,5105,0
2231,5096,0
2219,5099,0
2209,5105,0
2204,5118,0
2201,5139,0
2205,5167,0
2212,5198,0
2219,5221,0
2244,5240,0
2266,5255,1
2469,5221,0
2465,5218,0
2463,5214,0
2463,5219,0
2460,5227,0
2456,5249,0
2450,5279,0
2439,5315,0
2427,5348,1
2654,4985,1
2666,4986,0
2668,5002,0
2672,5031,0
2672,5064,0
2668,5099,0
2666,5142,0
2663,5180,0
2664,5214,0
2665,5234,0
2668,5242,0
2669,5241,0
2665,5230,1
2567,5093,0
2569,5096,0
2574,5094,0
2588,5095,0
2610,5096,0
2636,5096,0
2663,5091,0
2688,5088,0
2709,5077,1
2773,4958,0
2775,4961,0
2776,4961,0
2777,4961,0
2779,4965,0
2786,4983,0
2790,5003,0
2789,5028,0
2789,5062,0
2785,5097,0
2778,5129,0
2774,5156,0
2774,5173,0
2774,5173,0
2777,5176,0
2778,5172,0
2782,5162,0
2790,5143,0
2801,5122,0
2817,5099,0
2837,5084,0
2856,5068,0
2876,5057,0
2894,5050,0
