All stages of Calanus, for example, seem
1206
753,2559,0
735,2572,0
718,2590,0
700,2616,0
683,2642,0
670,2663,0
661,2695,0
656,2722,0
655,2750,0
657,2775,0
662,2800,0
671,2818,0
685,2835,0
702,2842,0
723,2849,0
745,2844,0
764,2830,0
781,2816,0
796,2798,0
810,2771,0
825,2741,0
837,2705,0
849,2678,0
855,2642,0
860,2615,0
861,2586,0
863,2567,0
862,2535,0
863,2527,0
863,2523,0
863,2527,0
861,2535,0
856,2555,0
851,2578,0
847,2613,0
842,2645,0
837,2677,0
834,2713,0
831,2737,0
830,2760,0
832,2777,0
833,2782,0
834,2781,0
834,2782,0
836,2773,1
1011,2508,0
1010,2516,0
1008,2528,0
1003,2544,0
995,2567,0
984,2595,0
974,2631,0
964,2666,0
955,2706,0
948,2745,0
944,2785,0
942,2813,0
943,2833,0
945,2845,0
946,2845,0
948,2846,0
953,2834,1
1099,2500,0
1097,2509,0
1095,2525,0
1090,2537,0
1086,2552,0
1082,2577,0
1075,2596,0
1068,2625,0
1061,2656,0
1054,2685,0
1051,2717,0
1048,2745,0
1047,2765,0
1047,2784,0
1047,2796,0
1048,2804,0
1051,2813,0
1050,2809,0
1052,2808,0
1053,2801,0
1057,2792,1
1367,2567,0
1362,2568,0
1356,2572,0
1347,2570,0
1341,2570,0
1336,2571,0
1331,2576,0
1321,2577,0
1312,2581,0
1304,2591,0
1295,2599,0
1290,2608,0
1290,2624,0
1295,2636,0
1308,2650,0
1324,2665,0
1343,2679,0
1357,2689,0
1368,2704,0
1371,2712,0
1368,2720,0
1357,2730,0
1337,2740,0
1312,2755,0
1281,2765,0
1249,2767,0
1224,2777,0
1204,2770,0
1192,2762,0
1189,2754,0
1194,2742,0
1207,2730,0
1226,2721,1
1493,2472,0
1491,2472,0
1490,2473,0
1489,2480,0
1487,2490,0
1483,2502,0
1477,2519,0
1470,2540,0
1459,2567,0
1450,2601,0
1439,2635,0
1426,2669,0
1418,2706,0
1411,2735,0
1409,2755,0
1411,2767,0
1414,2772,1
1411,2639,0
1409,2639,0
1406,2636,0
1408,2635,0
1416,2634,0
1433,2632,0
1452,2625,0
1476,2617,0
1502,2616,0
1527,2620,0
1540,2618,0
1545,2621,0
1544,2625,1
1659,2629,0
1655,2626,0
1649,2619,0
1646,2616,0
1643,2613,0
1639,2609,0
1632,2603,0
1626,2600,0
1620,2601,0
1609,2604,0
1595,2610,0
1578,2619,0
1563,2634,0
1549,2649,0
1536,2667,0
1524,2686,0
1519,2715,0
1515,2740,0
1519,2763,0
1529,2782,0
1544,2791,0
1561,2793,0
1579,2789,0
1592,2774,0
1609,2759,0
1624,2736,0
1638,2712,0
1651,2689,0
1660,2666,0
1665,2648,0
1666,2632,0
1664,2620,0
1665,2620,0
1665,2624,0
1660,2625,0
1657,2647,0
1648,2669,0
1643,2695,0
1638,2717,0
1638,2737,0
1645,2756,0
1655,2766,0
1668,2767,0
1688,2762,0
1710,2753,1
1872,2603,0
1874,2589,0
1874,2581,0
1866,2567,0
1862,2564,0
1848,2556,0
