included as C, D, or E. to suit
841
1297,2438,0
1296,2434,0
1296,2434,0
1296,2434,0
1296,2434,0
1295,2434,0
1295,2446,0
1298,2466,0
1301,2499,0
1303,2526,0
1309,2557,0
1312,2574,0
1316,2586,0
1318,2589,0
1319,2589,0
1318,2585,0
1318,2585,1
1273,2316,1
1273,2288,0
1270,2288,0
1265,2285,0
1264,2289,0
1259,2285,0
1261,2289,0
1266,2297,0
1280,2319,1
1368,2455,0
1365,2451,0
1363,2447,0
1361,2443,0
1360,2444,0
1363,2447,0
1362,2448,0
1367,2458,0
1375,2478,0
1382,2502,0
1387,2528,0
1392,2548,0
1398,2563,0
1402,2567,0
1406,2570,0
1408,2566,0
1411,2557,0
1413,2541,0
1414,2517,0
1420,2487,0
1435,2461,0
1447,2435,0
1460,2429,0
1467,2427,0
1474,2431,0
1479,2438,0
1485,2453,0
1488,2473,0
1495,2500,0
1498,2523,0
1501,2543,0
1503,2551,0
1505,2555,1
1677,2472,0
1677,2473,0
1672,2470,0
1665,2467,0
1655,2462,0
1644,2460,0
1632,2459,0
1617,2458,0
1601,2458,0
1588,2465,0
1575,2472,0
1567,2486,0
1557,2500,0
1554,2521,0
1553,2546,0
1556,2565,0
1564,2581,0
1577,2586,0
1597,2586,0
1626,2584,0
1659,2572,0
1691,2560,0
1724,2551,0
1751,2544,0
1773,2538,1
1742,2309,0
1742,2309,0
1743,2309,0
1741,2309,0
1739,2310,0
1742,2321,0
1742,2333,0
1744,2354,0
1746,2383,0
1751,2419,0
1754,2451,0
1759,2483,0
1766,2514,0
1773,2537,0
1779,2552,0
1782,2560,0
1785,2564,0
1788,2567,0
1786,2562,0
1788,2562,0
1787,2550,1
1848,2456,0
1844,2452,0
1846,2456,0
1845,2456,0
1845,2456,0
1843,2453,0
1843,2453,0
1843,2453,0
1845,2456,0
1844,2456,0
1845,2461,0
1842,2457,0
1842,2461,0
1842,2470,0
1840,2479,0
1838,2487,0
1840,2500,0
1841,2512,0
1844,2528,0
1848,2539,0
1855,2550,0
1866,2559,0
1879,2562,0
1891,2563,0
1902,2560,0
1913,2555,0
1924,2548,0
1933,2536,0
1942,2520,0
1947,2504,0
1952,2490,0
1953,2478,0
1955,2473,0
1951,2466,0
1949,2466,0
1942,2464,0
1939,2465,0
1934,2463,0
1936,2466,0
1938,2470,0
1942,2473,1
2081,2516,1
2094,2502,0
2094,2502,0
2089,2496,0
2082,2490,0
2078,2487,0
2068,2478,0
2058,2474,0
2049,2473,0
2035,2470,0
2025,2475,0
2010,2476,0
2002,2488,0
1995,2495,0
1994,2509,0
1990,2519,0
1995,2538,0
2003,2556,0
2014,2569,0
2025,2574,0
2042,2575,0
2060,2568,0
2074,2549,0
2091,2533,0
2103,2511,0
2112,2490,0
2113,2463,0
2115,2440,0
2116,2422,0
2111,2402,0
2106,2387,0
2104,2379,0
2099,2369,0
2093,2362,0
2090,2359,0
2089,2360,0
2094,2367,0
2092,2367,0
2099,2377,0
2107,2396,0
2116,2418,0
2123,2440,0
