of individual blocks, i.e tube plates,
738
626,5120,0
622,5119,0
619,5120,0
615,5127,0
608,5142,0
604,5161,0
603,5190,0
603,5206,0
610,5222,0
619,5240,0
632,5240,0
649,5230,0
665,5215,0
680,5188,0
690,5161,0
690,5137,0
685,5120,0
672,5108,0
655,5102,0
644,5109,0
635,5105,1
945,4979,0
942,4942,0
935,4914,0
922,4886,0
901,4869,0
883,4864,0
862,4868,0
838,4878,0
817,4901,0
800,4924,0
785,4963,0
779,5007,0
779,5055,0
785,5103,0
797,5148,0
820,5197,0
836,5235,0
846,5267,0
856,5291,0
859,5296,0
856,5291,1
735,5140,0
728,5144,0
719,5139,0
723,5144,0
730,5136,0
741,5133,0
769,5139,0
800,5137,0
834,5134,0
868,5136,0
895,5133,0
916,5138,0
936,5134,1
1166,5072,0
1170,5076,0
1170,5072,0
1172,5080,0
1176,5096,0
1184,5119,0
1194,5139,0
1206,5159,0
1212,5158,1
1165,4903,0
1163,4900,0
1160,4892,0
1163,4900,0
1165,4907,1
1247,5065,0
1247,5077,0
1249,5098,0
1253,5117,0
1259,5137,0
1266,5156,0
1270,5157,0
1277,5153,0
1283,5132,0
1291,5116,0
1299,5091,0
1312,5075,0
1327,5070,0
1344,5081,0
1357,5088,0
1369,5116,0
1377,5143,0
1386,5167,0
1391,5175,0
1397,5170,0
1406,5162,1
1516,5085,0
1514,5081,0
1502,5078,0
1484,5084,0
1464,5101,0
1450,5127,0
1438,5144,0
1438,5163,0
1442,5171,0
1453,5166,0
1468,5142,0
1481,5104,0
1496,5067,0
1504,5022,0
1516,4980,0
1521,4936,0
1524,4907,0
1527,4900,0
1527,4900,0
1528,4907,0
1531,4939,0
1537,4975,0
1546,5014,0
1563,5061,0
1580,5099,0
1599,5121,0
1610,5137,0
1618,5136,0
1622,5139,1
1643,5069,0
1643,5076,0
1646,5092,0
1649,5108,0
1652,5123,0
1655,5127,0
1652,5115,0
1649,5084,1
1639,4915,0
1638,4912,0
1639,4915,0
1636,4924,1
1715,5063,0
1716,5072,0
1721,5091,0
1729,5114,0
1739,5141,0
1752,5163,0
1767,5173,0
1780,5167,0
1793,5157,0
1801,5128,0
1810,5102,0
1816,5077,0
1822,5060,1
1887,5098,0
1896,5125,0
1899,5129,0
1905,5132,0
1906,5127,1
2075,5093,0
2061,5091,0
2043,5091,0
2026,5098,0
1985,5146,0
1984,5163,0
1992,5182,0
2002,5188,0
2016,5182,0
2033,5175,0
2045,5143,0
2058,5108,0
2066,5062,0
2075,5019,0
2078,4974,0
2087,4947,0
2089,4922,0
2090,4914,0
2088,4910,0
2089,4922,0
2090,4942,0
2095,4978,0
2101,5009,0
2116,5055,0
2130,5093,0
2143,5120,0
2149,5134,1
2188,5076,0
2187,5077,0
2189,5081,0
2183,5082,0
2184,5103,0
2187,5127,0
2194,5145,0
2205,5158,0
2217,5161,0
2225,5151,0
2236,5139,0
2241,5110,0
2248,5087,0
2248,5062,0
2253,5050,0
2248,5038,0
2251,5045,0
2255,5062,0
2260,5084,0
2267,5108,0
2280,5129,0
2293,5142,0
2304,5148,0
2310,5146,0
2318,5149,1
2387,5093,0
2385,5094,0
2383,5091,0
2377,5096,0
2362,5096,0
2351,5115,0
2340,5134,0
2335,5161,0
