For such pressures, however,
597
984,779,0
983,791,0
977,786,0
982,791,0
979,790,0
980,798,0
979,818,0
983,851,0
984,892,0
982,940,0
980,991,0
979,1044,0
978,1091,0
1003,1138,0
1004,1174,0
1004,1202,0
1004,1206,1
899,789,0
889,786,0
890,786,0
897,788,0
907,783,0
938,778,0
979,765,0
1003,733,0
1049,716,0
1098,709,0
1137,703,0
1169,702,0
1192,706,1
952,1028,0
945,1027,0
950,1032,0
955,1028,0
966,1021,0
985,1016,0
1013,1011,0
1047,1005,0
1082,997,1
1262,1026,0
1253,1024,0
1239,1023,0
1224,1029,0
1205,1045,0
1184,1067,0
1166,1094,0
1165,1130,0
1172,1161,0
1185,1179,0
1208,1189,0
1234,1182,0
1261,1157,0
1285,1119,0
1305,1082,0
1313,1043,0
1317,1013,0
1314,997,0
1305,991,0
1298,998,0
1289,1008,0
1291,1024,0
1298,1034,0
1313,1039,0
1341,1039,0
1373,1032,0
1401,1019,0
1437,1013,0
1469,1012,0
1487,1016,0
1505,1035,0
1514,1061,0
1519,1095,0
1524,1123,0
1529,1134,0
1542,1132,0
1558,1111,0
1585,1078,0
1619,1045,0
1649,1011,0
1677,986,1
2130,938,0
2118,933,0
2101,928,0
2086,929,0
2062,933,0
2038,944,0
2019,961,0
2007,982,0
1998,1003,0
1997,1022,0
2010,1038,0
2028,1048,0
2053,1055,0
2076,1061,0
2105,1070,0
2118,1079,0
2131,1095,0
2131,1113,0
2123,1134,0
2104,1153,0
2079,1168,0
2053,1176,0
2015,1174,0
1991,1174,0
1971,1170,0
1956,1163,0
1952,1155,0
1954,1143,0
1971,1128,1
2221,1015,0
2217,1007,0
2220,1003,0
2220,1003,0
2216,1003,0
2217,1008,0
2216,1023,0
2217,1047,0
2221,1074,0
2227,1100,0
2238,1118,0
2260,1129,0
2280,1123,0
2305,1103,0
2336,1075,0
2368,1043,0
2393,1014,0
2408,996,0
2423,995,0
2429,1002,0
2434,1017,0
2443,1039,0
2456,1063,0
2473,1081,0
2496,1089,1
2740,1002,0
2733,997,0
2724,988,0
2717,984,0
2698,979,0
2680,977,0
2658,978,0
2628,984,0
2603,996,0
2580,1013,0
2566,1037,0
2558,1066,0
2570,1100,0
2589,1129,0
2616,1147,0
2654,1148,0
2698,1129,1
2913,733,0
2906,727,0
2905,731,0
2895,750,0
2888,785,0
2884,830,0
2882,880,0
2873,934,0
2873,992,0
2873,1047,0
2877,1084,0
2893,1100,0
2912,1096,0
2944,1076,0
2974,1041,0
3000,1013,0
3026,1003,0
3043,1003,0
3057,1013,0
3070,1032,0
3081,1056,0
3099,1084,0
3119,1109,0
3136,1119,0
3159,1117,1
3590,1004,0
3589,1007,0
3581,1018,0
3572,1044,0
3567,1081,0
3572,1124,0
3570,1175,0
3565,1208,0
3561,1237,0
3559,1252,1
3550,1252,0
3547,1250,0
3533,1241,0
3521,1218,0
3515,1182,0
3515,1138,0
3523,1095,0
3539,1052,0
3555,1007,0
3578,965,0
3602,926,0
3631,899,0
3651,888,0
3670,890,0
3689,900,0
3709,915,0
3720,938,0
3723,966,0
3723,996,0
3706,1023,0
3681,1048,0
3656,1070,0
3622,1081,0
3596,1082,0
3590,1078,0
3587,1063,0
3600,1037,1
3765,1035,0
3759,1039,0
3764,1038,0
3766,1030,0
3780,1015,0
3798,996,0
3817,976,0
3838,962,0
3855,957,0
3870,965,0
3874,982,0
3878,1008,0
3876,1030,0
3880,1044,0
3882,1049,0
3891,1047,0
3899,1037,0
3921,1017,0
3945,994,0
3963,974,0
3979,959,1
4029,1002,0
4036,1010,0
4042,1016,0
4058,1022,0
4071,1018,0
4093,1012,0
4114,998,0
4131,982,0
4143,965,0
4152,949,0
4155,938,0
4144,930,0
4124,927,0
4098,933,0
4069,951,0
4045,979,0
4020,1011,0
4010,1039,0
4011,1066,0
4018,1084,0
4036,1095,0
4061,1094,0
4089,1082,0
4125,1061,0
4158,1035,1
4278,922,0
4266,923,0
4256,930,0
4240,944,0
4227,963,0
4213,982,0
4208,1005,0
4210,1025,0
4218,1042,0
4231,1055,0
4254,1065,0
4268,1070,0
4288,1074,0
4295,1079,0
4301,1085,0
4298,1097,0
4286,1112,0
4263,1130,0
4234,1141,0
4209,1143,0
4197,1140,0
4191,1133,0
4197,1116,0
4212,1091,1
4449,926,0
4449,927,0
4444,931,0
4435,936,0
4425,945,0
4409,959,0
4396,977,0
4391,996,0
4386,1015,0
4391,1032,0
4403,1047,0
4425,1059,0
4451,1068,0
4471,1073,0
4489,1083,0
4490,1091,0
4486,1108,0
4468,1129,0
4441,1150,0
4406,1169,0
4374,1179,0
4352,1181,0
4341,1175,0
4342,1162,0
4344,1140,1
4553,972,0
4558,974,0
4557,975,0
4555,981,0
