The conference sessions, however,
702
675,1184,0
676,1188,0
678,1198,0
682,1220,0
689,1253,0
695,1281,0
706,1318,0
724,1373,0
734,1414,0
739,1440,0
740,1457,0
740,1462,0
740,1457,1
591,1221,0
587,1215,0
590,1208,0
603,1209,0
615,1202,0
634,1193,0
661,1192,0
689,1185,0
717,1182,0
737,1172,0
757,1170,0
774,1172,0
785,1171,1
830,1149,0
830,1158,0
834,1176,0
839,1201,0
847,1232,0
859,1271,0
868,1314,0
870,1346,0
871,1379,0
871,1404,0
868,1411,0
870,1416,0
871,1416,0
870,1407,0
864,1390,0
856,1364,0
855,1340,0
861,1316,0
875,1295,0
893,1269,0
914,1248,0
936,1235,0
955,1230,0
973,1232,0
991,1245,0
1006,1271,0
1014,1295,0
1025,1328,0
1030,1352,0
1036,1372,0
1041,1385,0
1043,1384,0
1049,1385,1
1078,1309,0
1087,1305,0
1100,1293,0
1122,1284,0
1138,1267,0
1154,1250,0
1162,1230,0
1165,1213,0
1160,1201,0
1155,1202,0
1142,1203,0
1130,1216,0
1117,1240,0
1102,1273,0
1084,1305,0
1073,1341,0
1070,1372,0
1076,1392,0
1095,1409,0
1125,1416,0
1159,1411,0
1196,1399,0
1228,1384,0
1261,1375,0
1285,1364,1
1890,1176,0
1879,1170,0
1870,1166,0
1857,1166,0
1837,1167,0
1815,1173,0
1797,1186,0
1774,1201,0
1757,1223,0
1745,1249,0
1737,1277,0
1737,1305,0
1748,1331,0
1763,1346,0
1784,1351,0
1811,1350,0
1844,1342,0
1877,1331,0
1906,1320,0
1921,1303,0
1937,1291,1
2060,1235,0
2061,1224,0
2058,1211,0
2052,1199,0
2040,1189,0
2026,1186,0
2002,1185,0
1981,1194,0
1958,1208,0
1942,1231,0
1935,1259,0
1934,1283,0
1938,1300,0
1954,1314,0
1974,1318,0
1997,1316,0
2019,1303,1
2121,1177,0
2121,1177,0
2125,1177,0
2124,1179,0
2130,1191,0
2132,1211,0
2130,1235,0
2130,1257,0
2135,1280,0
2135,1291,0
2137,1295,0
2137,1295,0
2140,1292,0
2137,1278,0
2130,1257,0
2124,1236,0
2127,1216,0
2130,1196,0
2141,1178,0
2156,1163,0
2171,1152,0
2190,1148,0
2204,1150,0
2225,1163,0
2244,1184,0
2256,1208,0
2268,1235,0
2278,1260,0
2290,1282,1
2483,1102,0
2476,1090,0
2468,1081,0
2458,1073,0
2444,1066,0
2432,1063,0
2410,1061,0
2398,1064,0
2383,1072,0
2368,1085,0
2362,1107,0
2356,1136,0
2354,1170,0
2350,1208,0
2355,1251,0
2362,1292,0
2368,1327,0
2377,1359,0
2379,1381,0
2381,1396,0
2378,1399,1
2349,1246,0
2347,1242,0
2358,1241,0
2368,1237,0
2389,1235,1
2485,1230,0
2491,1230,0
2503,1226,0
2519,1218,0
2543,1206,0
2561,1194,0
2574,1181,0
2581,1170,0
2583,1162,0
2577,1155,0
2569,1153,0
2555,1158,0
2538,1172,0
2511,1189,0
2493,1212,0
2471,1235,0
2465,1263,0
2466,1287,0
2482,1305,0
2500,1314,0
2530,1315,1
2641,1160,0
2642,1158,0
2642,1158,0
2644,1161,0
2650,1175,0
2659,1197,0
2660,1219,0
2663,1241,0
2667,1257,0
2666,1266,0
2669,1269,0
2666,1267,0
2661,1259,0
2660,1247,0
2650,1226,0
2646,1204,0
2649,1184,0
2649,1169,0
2656,1158,0
2658,1148,0
2667,1141,0
2684,1136,0
2701,1130,0
2717,1126,0
2732,1126,1
2762,1201,0
2766,1201,0
2784,1202,0
2809,1200,0
2840,1193,1
2882,1168,0
2895,1155,0
