go in the end. ,,A comforting
383
1044,1865,0
996,1870,0
977,1874,0
960,1885,0
945,1899,0
947,1920,0
985,1934,0
993,1959,0
1004,1971,1
1045,1920,0
1055,1892,0
1064,1872,0
1068,1853,0
1066,1841,0
1066,1841,0
1068,1861,0
1064,1909,0
1064,1973,0
1066,2021,0
1072,2060,0
1076,2105,0
1072,2137,0
1063,2164,0
1050,2173,0
1039,2164,0
1025,2140,0
1001,2095,0
978,2058,0
963,2034,1
1165,1835,0
1162,1839,0
1155,1843,0
1098,1865,0
1136,1904,0
1138,1940,0
1156,1959,0
1177,1950,0
1197,1921,0
1212,1888,0
1215,1855,0
1206,1828,0
1184,1814,1
1569,1814,0
1569,1835,0
1562,1866,0
1562,1903,0
1560,1925,1
1558,1725,0
1556,1722,0
1559,1725,0
1568,1734,0
1581,1746,1
1640,1803,0
1643,1824,0
1643,1865,0
1645,1903,0
1652,1918,0
1661,1914,0
1675,1897,0
1691,1870,0
1706,1856,0
1710,1850,0
1715,1853,0
1719,1860,0
1719,1873,0
1718,1895,0
1717,1912,0
1715,1930,0
1711,1936,1
2098,1654,0
2097,1655,0
2099,1662,0
2093,1691,0
2094,1743,0
2089,1793,0
2090,1840,0
2087,1870,0
2079,1888,1
2055,1791,0
2064,1790,0
2086,1790,0
2102,1785,0
2117,1785,1
2164,1665,0
2166,1669,0
2170,1677,0
2164,1705,0
2165,1754,0
2171,1803,0
2174,1834,0
2176,1842,0
2180,1845,0
2187,1835,0
2200,1816,0
2211,1814,0
2217,1819,0
2219,1832,0
2222,1850,0
2222,1865,0
2227,1875,1
2378,1856,0
2391,1841,0
2398,1824,0
2395,1812,0
2396,1812,0
2378,1805,0
2357,1807,0
2333,1814,0
2311,1836,0
2306,1854,0
2324,1876,0
2348,1883,0
2381,1884,0
2417,1886,0
2451,1884,0
2488,1880,1
2814,1840,0
2831,1823,0
2839,1802,0
2842,1788,0
2837,1780,0
2823,1773,0
2801,1772,0
2778,1774,0
2724,1862,0
2741,1879,0
2765,1879,0
2800,1867,0
2835,1853,0
2877,1843,0
2906,1836,1
2914,1779,0
2913,1780,0
2919,1826,0
2922,1853,0
2930,1868,0
2938,1871,0
2946,1863,0
2963,1845,0
2974,1826,0
2984,1821,0
2987,1823,0
2986,1825,0
2987,1835,0
2987,1853,0
2987,1872,0
2992,1884,0
2994,1888,0
3002,1891,0
3011,1886,1
3118,1803,0
3115,1801,0
3107,1811,0
3092,1835,0
3081,1867,0
3081,1891,0
3089,1901,0
3103,1885,0
3122,1850,0
3137,1805,0
3149,1758,0
3151,1710,0
3152,1673,1
3252,1886,0
3247,1886,0
3242,1891,0
3238,1896,0
3244,1896,0
3244,1895,0
3257,1899,0
3256,1893,0
3259,1890,1
3621,1902,0
3633,1893,0
3629,1892,0
3627,1901,0
3619,1927,0
3616,1953,0
3608,1971,0
3607,1986,0
3604,1990,1
3790,1879,0
3806,1853,0
3827,1812,0
3856,1769,0
3874,1730,0
3889,1695,0
3901,1672,0
3904,1668,0
3904,1668,0
3903,1669,0
3901,1680,0
3902,1705,0
3896,1741,0
3891,1790,0
3884,1841,0
3884,1879,0
3878,1890,1
3847,1825,0
3848,1824,0
3860,1819,0
3879,1819,1
4307,1793,0
4304,1790,0
4301,1787,0
4295,1783,0
4275,1784,0
4250,1800,0
4223,1825,0
4209,1901,0
4229,1906,0
4254,1894,0
4295,1876,0
4336,1861,0
4367,1852,0
4386,1848,0
4402,1854,1
4415,1820,0
4409,1813,0
4401,1812,0
4385,1816,0
4374,1830,0
4364,1850,0
4360,1875,0
4368,1901,0
4390,1911,0
4415,1897,0
4437,1865,0
4450,1837,0
4446,1819,0
4438,1808,0
4423,1802,0
4416,1807,0
4410,1819,1
4490,1803,0
4496,1800,0
4495,1799,0
4498,1803,0
4503,1821,0
4500,1843,0
4511,1860,0
4524,1860,0
4538,1849,0
4553,1828,0
4567,1808,0
4579,1802,0
4582,1802,0
4584,1809,0
4582,1831,0
4574,1857,0
4577,1868,0
4586,1870,0
4599,1861,0
4618,1838,0
4639,1824,0
4648,1813,0
4654,1810,0
4658,1812,0
4664,1817,0
4666,1830,0
4665,1853,0
4664,1873,0
4661,1891,1
4828,1690,0
4818,1694,0
4794,1719,0
4782,1768,0
4760,1836,0
4748,1901,0
4744,1937,0
4746,1944,0
4751,1940,1
4741,1814,0
4741,1812,0
4745,1812,0
4761,1816,0
4781,1820,0
4794,1821,0
4810,1825,0
4813,1826,0
4825,1829,1
4907,1793,0
4904,1789,0
4900,1789,0
4888,1795,0
4873,1810,0
4863,1834,0
4848,1857,0
4859,1871,0
4874,1867,0
4904,1848,0
4921,1820,0
4929,1802,0
4925,1790,0
4915,1783,0
4903,1780,0
4906,1784,0
4906,1795,1
5002,1785,0
5001,1784,0
5000,1786,0
4997,1803,0
4994,1822,0
4997,1836,0
5008,1841,0
5014,1836,0
5028,1821,0
5045,1805,0
5057,1797,0
5064,1798,0
5072,1802,1
5197,1667,0
5196,1668,0
5192,1681,0
5185,1712,0
5177,1755,0
5172,1800,0
5166,1833,0
5166,1857,0
5168,1861,1
5144,1803,0
5146,1799,0
5147,1797,0
5152,1795,0
5172,1800,0
5185,1800,0
5204,1804,0
5225,1804,1
5283,1792,0
5283,1790,0
5289,1797,0
5288,1811,0
5294,1826,1
5317,1722,0
5313,1719,0
5318,1720,0
5318,1720,0
5327,1729,1
5366,1788,0
5370,1788,0
5370,1787,0
5367,1795,0
5365,1810,0
5369,1821,0
5380,1829,0
5393,1827,0
5412,1812,0
5433,1802,0
5443,1797,0
5450,1800,0
5451,1809,0
5454,1826,0
5453,1840,0
5455,1856,0
5463,1867,1
5593,1829,0
5602,1818,0
5601,1807,0
5599,1802,0
5587,1800,0
5566,1810,0
5550,1831,0
5540,1855,0
5540,1870,0
5555,1874,0
5575,1867,0
5583,1847,0
5600,1833,0
5607,1825,0
5612,1825,0
5608,1836,0
5600,1866,0
5594,1905,0
5590,1949,0
5581,1983,0
5568,2014,0
5558,2040,0
5535,2062,0
5518,2071,0
5504,2074,0
5468,2045,0
5448,2031,0
5421,2026,1
