years in the East, my boy, and
680
521,2338,0
516,2333,0
518,2333,0
518,2330,0
520,2330,0
521,2334,0
526,2335,0
533,2350,0
613,2487,0
620,2508,0
632,2531,0
637,2540,0
637,2540,1
647,2330,0
651,2330,0
651,2330,0
649,2335,0
646,2346,0
640,2369,0
634,2405,0
627,2449,0
621,2500,0
615,2552,0
606,2596,0
596,2646,0
584,2688,0
577,2724,0
574,2760,0
574,2780,0
580,2790,1
644,2574,0
663,2561,0
685,2545,0
712,2528,0
735,2504,0
753,2474,0
772,2444,0
789,2410,0
803,2384,0
810,2352,0
814,2337,0
811,2324,0
805,2320,0
792,2326,0
772,2335,0
753,2357,0
714,2484,0
716,2513,0
725,2535,0
740,2548,0
759,2563,0
781,2558,0
805,2553,0
832,2544,0
854,2518,0
875,2492,1
950,2313,0
948,2313,0
946,2312,0
939,2316,0
925,2319,0
909,2330,0
897,2353,0
885,2376,0
878,2403,0
871,2423,0
868,2443,0
871,2467,0
879,2484,0
890,2497,0
903,2502,0
916,2499,0
934,2492,0
950,2473,0
965,2450,0
976,2422,0
982,2399,0
985,2379,0
986,2371,0
989,2371,0
989,2375,0
988,2379,0
989,2399,0
991,2419,0
991,2435,0
994,2447,0
998,2451,0
1006,2444,1
1051,2325,0
1051,2316,0
1054,2324,0
1059,2340,0
1062,2364,0
1067,2400,0
1073,2437,0
1076,2468,0
1075,2485,0
1073,2489,0
1074,2492,0
1075,2489,0
1078,2477,0
1085,2456,0
1091,2425,0
1097,2393,0
1109,2369,0
1121,2344,0
1136,2332,0
1155,2327,0
1175,2327,0
1197,2334,0
1224,2340,0
1255,2358,1
1409,2335,0
1411,2335,0
1407,2332,0
1400,2329,0
1383,2323,0
1361,2323,0
1335,2318,0
1312,2321,0
1295,2326,0
1282,2331,0
1274,2336,0
1274,2344,0
1277,2352,0
1289,2362,0
1309,2381,0
1331,2398,0
1355,2424,0
1377,2449,0
1392,2468,0
1399,2483,0
1400,2495,0
1395,2504,0
1382,2509,0
1368,2515,0
1347,2514,0
1327,2516,0
1307,2514,0
1291,2507,0
1281,2504,1
1751,2256,0
1754,2263,0
1751,2268,0
1749,2281,0
1750,2301,0
1749,2323,0
1751,2352,0
1755,2384,0
1758,2417,0
1763,2444,0
1762,2458,0
1761,2466,0
1761,2466,1
1745,2148,0
1748,2134,0
1749,2125,0
1751,2121,0
1752,2120,1
1835,2265,0
1837,2273,0
1839,2285,0
1835,2307,0
1830,2335,0
1828,2365,0
1826,2395,0
1827,2424,0
1829,2444,0
1827,2449,0
1827,2449,0
1832,2447,0
1837,2434,0
1846,2409,0
1862,2383,0
1874,2349,0
1885,2315,0
1897,2285,0
1908,2259,0
1917,2238,0
1926,2230,0
1935,2230,0
1941,2236,0
1952,2258,0
1958,2286,0
1959,2316,0
1968,2355,0
1973,2392,0
1977,2421,0
1984,2444,0
1988,2451,0
1998,2451,0
2020,2441,1
2296,2094,0
2303,2094,0
2304,2093,0
2299,2092,0
2303,2108,0
2300,2137,0
2297,2178,0
2297,2224,0
2296,2270,0
2294,2314,0
2291,2356,0
2287,2395,0
2286,2432,0
2285,2459,0
2289,2479,0
2299,2487,0
2311,2482,1
2341,2253,0
2338,2251,0
2338,2251,0
2324,2249,0
2306,2251,0
2280,2252,0
2253,2253,0
2223,2257,0
2196,2261,0
2176,2268,0
2161,2271,0
2149,2268,0
2150,2268,1
2376,2084,0
2386,2087,0
2386,2087,0
2386,2091,0
2386,2111,0
2387,2144,0
2388,2186,0
2391,2236,0
2393,2288,0
2391,2331,0
2386,2371,0
2384,2405,0
2376,2427,0
2375,2441,0
2376,2446,0
2375,2441,0
2381,2434,0
2385,2413,0
2396,2393,0
2400,2362,0
2405,2331,0
2416,2310,0
2431,2297,0
2440,2286,0
2454,2286,0
2472,2294,0
2483,2301,0
2495,2311,0
2509,2327,0
2522,2347,0
2533,2368,0
2545,2389,0
2555,2407,0
2563,2416,0
2569,2422,0
2575,2422,0
2583,2422,0
2595,2418,0
2611,2412,0
2627,2401,0
2647,2388,0
2662,2372,0
2677,2352,0
2687,2329,0
2695,2308,0
2703,2292,0
2703,2276,0
2700,2269,0
2694,2264,0
2685,2265,0
2665,2266,0
2647,2275,0
2630,2291,0
2618,2314,0
2613,2344,0
2613,2377,0
2625,2412,0
2643,2444,0
2661,2466,0
2683,2480,0
2713,2488,0
2744,2485,0
2777,2477,0
2811,2467,0
2838,2445,1
3271,2166,0
3258,2162,0
3238,2159,0
3216,2161,0
3189,2161,0
3159,2162,0
3134,2170,0
3114,2186,0
3090,2205,0
3066,2227,0
3051,2253,0
3036,2278,0
3029,2306,0
3023,2333,0
3026,2362,0
3039,2394,0
3056,2421,0
3074,2443,0
3094,2456,0
3119,2466,0
3149,2472,0
3179,2472,0
3204,2466,0
3230,2458,0
3247,2441,1
3200,2332,0
3175,2327,0
3147,2321,0
3117,2317,0
3083,2316,0
3055,2320,0
3033,2329,0
3021,2340,1
3436,2330,0
3457,2324,0
3462,2312,0
3462,2301,0
3455,2290,0
3437,2280,0
3411,2273,0
3388,2274,0
3367,2285,0
3346,2302,0
3323,2321,0
3306,2343,0
3298,2370,0
3290,2395,0
3295,2424,0
3307,2450,0
3319,2466,0
3337,2477,0
3358,2479,0
3375,2468,0
3399,2450,0
3421,2426,0
3440,2400,0
3458,2375,0
3473,2353,0
3483,2336,0
3481,2326,0
3485,2328,0
3486,2333,0
3487,2345,0
3489,2372,0
3489,2401,0
3491,2434,0
3492,2463,0
