Nigel, I must say, was very good about
761
1056,926,0
1054,926,0
1056,926,0
1061,929,0
1070,941,0
1073,954,0
1078,974,0
1081,998,0
1081,1025,0
1086,1062,0
1085,1085,0
1093,1113,0
1095,1129,0
1105,1149,0
1105,1153,0
1105,1153,0
1107,1153,0
1105,1145,0
1103,1129,0
1105,1109,0
1108,1081,0
1114,1049,0
1119,1008,0
1138,979,0
1148,943,0
1167,916,0
1181,891,0
1195,873,0
1211,861,0
1231,865,0
1246,878,0
1254,901,0
1264,936,0
1269,976,0
1275,1019,0
1276,1056,0
1286,1090,1
1376,1007,0
1375,1007,0
1377,1014,0
1378,1027,0
1381,1047,0
1382,1072,0
1380,1098,0
1380,1124,0
1378,1141,1
1342,921,0
1344,920,0
1350,923,0
1360,927,0
1368,933,1
1547,1017,0
1544,1011,0
1538,1003,0
1528,1001,0
1511,1001,0
1496,1008,0
1478,1021,0
1464,1041,0
1450,1059,0
1444,1079,0
1452,1098,0
1459,1107,0
1476,1113,0
1494,1115,0
1508,1108,0
1522,1097,0
1531,1080,0
1541,1061,0
1546,1040,0
1546,1023,0
1551,1011,0
1551,1001,0
1556,998,0
1561,1000,0
1569,1009,0
1580,1030,0
1593,1060,0
1610,1097,0
1623,1135,0
1631,1172,0
1635,1206,0
1634,1234,0
1626,1257,0
1608,1269,0
1581,1273,0
1550,1269,0
1522,1259,0
1500,1242,0
1486,1221,0
1478,1195,0
1483,1172,1
1676,1056,0
1685,1054,0
1696,1047,0
1710,1036,0
1722,1023,0
1732,1010,0
1738,996,0
1740,984,0
1734,972,0
1730,966,0
1715,962,0
1698,966,0
1679,976,0
1661,994,0
1645,1014,0
1633,1036,0
1628,1058,0
1638,1080,0
1653,1095,0
1681,1105,0
1711,1109,0
1746,1109,0
1773,1100,0
1800,1090,0
1821,1078,1
1821,864,0
1819,867,0
1825,885,0
1829,909,0
1836,941,0
1843,978,0
1847,1013,0
1855,1048,0
1859,1077,1
1973,1076,0
1972,1077,0
1973,1088,0
1973,1103,0
1977,1127,0
1976,1155,0
1971,1182,0
1967,1211,0
1963,1240,1
2205,877,0
2204,878,0
2209,885,0
2210,898,0
2209,915,0
2212,939,0
2217,966,0
2222,994,0
2231,1023,0
2236,1049,0
2244,1071,0
2254,1090,0
2261,1107,1
2446,1012,0
2450,1013,0
2449,1015,0
2449,1022,0
2453,1037,0
2461,1055,0
2468,1073,0
2477,1090,0
2479,1100,0
2481,1105,0
2485,1105,0
2484,1100,0
2485,1085,0
2488,1064,0
2496,1044,0
2504,1025,0
2509,1008,0
2515,998,0
2517,993,0
2521,996,0
2524,1006,0
2531,1024,0
2537,1047,0
2546,1070,0
2552,1090,0
2555,1101,0
2561,1106,0
2566,1107,0
2566,1098,0
2577,1082,0
2585,1059,0
2589,1037,0
2599,1018,0
2608,1003,0
2614,992,0
2625,988,0
2629,990,0
2637,1001,0
2644,1020,0
2653,1045,0
2663,1069,1
2723,1001,0
2721,995,0
2721,994,0
2721,995,0
2723,1001,0
2724,1015,0
2728,1034,0
2731,1054,0
2738,1073,0
2744,1088,0
2753,1097,0
2760,1100,0
2767,1096,0
2778,1084,0
2784,1064,0
2791,1041,0
2794,1018,0
2795,999,0
2792,986,0
2790,980,0
2791,979,0
2789,982,0
2798,992,0
2802,1012,0
2807,1037,0
2812,1061,0
2823,1086,0
2830,1106,0
2835,1120,1
2911,1063,0
2903,1069,0
2902,1080,0
2910,1090,0
2919,1099,0
2938,1107,0
2955,1109,0
2977,1109,0
2996,1105,0
