to sleep himself. But, almost gallantly, he
840
1038,1785,0
1032,1780,0
1035,1788,0
1037,1800,0
1041,1820,0
1044,1845,0
1047,1868,0
1050,1897,0
1054,1928,0
1056,1953,0
1060,1976,0
1064,1997,0
1066,2009,1
1009,1948,0
1015,1952,0
1025,1952,0
1040,1952,0
1060,1945,0
1087,1945,0
1111,1937,0
1134,1932,0
1155,1932,1
1195,1918,0
1187,1918,0
1179,1926,0
1170,1935,0
1165,1947,0
1164,1963,0
1170,1979,0
1180,1990,0
1192,1993,0
1208,1996,0
1224,1988,0
1239,1974,0
1252,1961,0
1260,1940,0
1261,1923,0
1254,1912,0
1237,1898,0
1220,1895,0
1200,1893,0
1184,1902,0
1172,1910,1
1544,1962,0
1534,1964,0
1529,1970,0
1531,1982,0
1538,1992,0
1549,1998,0
1570,2008,0
1591,2011,0
1611,2010,1
1644,2005,0
1652,1997,0
1657,1992,0
1652,1981,0
1638,1964,0
1625,1956,0
1604,1945,0
1584,1935,0
1566,1923,0
1556,1913,0
1550,1898,0
1559,1891,0
1570,1880,0
1592,1874,0
1611,1864,0
1634,1860,1
1664,1821,0
1662,1821,0
1664,1829,0
1670,1848,0
1677,1875,0
1681,1900,0
1689,1930,0
1696,1958,0
1703,1981,1
1754,1966,0
1768,1965,0
1782,1956,0
1797,1945,0
1812,1935,0
1821,1923,0
1826,1911,0
1830,1906,0
1824,1899,0
1818,1899,0
1805,1899,0
1786,1902,0
1771,1918,0
1750,1930,0
1737,1947,0
1736,1969,0
1740,1985,0
1757,1999,0
1780,2008,0
1804,2007,0
1834,2008,1
1925,1973,0
1932,1965,0
1940,1952,0
1951,1942,0
1959,1930,0
1961,1915,0
1963,1906,0
1956,1896,0
1946,1888,0
1931,1886,0
1915,1889,0
1893,1891,0
1878,1902,0
1870,1919,0
1863,1935,0
1865,1952,0
1876,1969,0
1894,1983,0
1918,1993,0
1942,1996,0
1968,1992,1
2034,1909,0
2034,1909,0
2035,1913,0
2041,1923,0
2052,1940,0
2056,1956,0
2064,1979,0
2068,1999,0
2072,2020,0
2075,2036,0
2080,2052,0
2082,2060,0
2082,2060,0
2079,2057,0
2079,2048,0
2072,2029,0
2066,2005,0
2066,1983,0
2067,1955,0
2071,1930,0
2082,1909,0
2092,1890,0
2108,1880,0
2121,1877,0
2133,1879,0
2142,1888,0
2147,1899,0
2151,1915,0
2145,1927,0
2134,1939,0
2122,1951,0
2099,1955,0
2082,1959,1
2344,1801,0
2345,1805,0
2348,1818,0
2355,1838,0
2364,1862,0
2369,1888,0
2372,1910,0
2377,1932,0
2379,1945,0
2381,1953,0
2381,1953,0
2388,1954,0
2388,1943,0
2399,1930,0
2406,1910,0
2415,1892,0
2425,1879,0
2433,1869,0
2440,1863,0
2442,1861,0
2449,1866,0
2458,1879,0
2460,1893,0
2465,1909,0
2478,1930,1
2538,1849,0
2540,1857,0
2542,1872,0
2547,1889,0
2556,1907,1
2489,1812,0
2485,1809,0
2485,1809,0
2488,1812,0
2495,1817,1
2591,1855,0
2591,1855,0
2594,1857,0
2597,1866,0
2604,1882,0
2611,1901,0
2617,1918,0
2619,1932,0
2625,1943,0
2626,1947,0
2627,1947,0
2630,1943,0
2634,1929,0
2639,1908,0
2644,1888,0
2650,1872,0
2654,1857,0
2656,1845,0
2661,1840,0
2662,1839,0
2663,1843,0
2668,1856,0
2671,1874,0
2677,1896,0
2685,1917,0
2692,1931,0
2702,1943,0
2709,1948,0
2711,1946,0
2714,1938,0
2724,1923,0
2730,1901,0
2734,1880,0
2741,1864,0
2745,1848,0
2760,1839,0
2766,1833,0
2771,1833,0
2777,1838,0
2787,1851,0
2794,1867,0
2803,1886,0
2815,1908,0
2826,1925,0
2837,1937,1
2879,1888,0
2876,1891,0
2874,1899,0
2876,1908,0
2881,1915,0
2894,1924,0
2914,1932,0
2929,1935,0
2941,1933,0
2958,1932,0
2967,1928,0
2975,1921,0
2974,1909,0
2969,1897,0
2954,1884,0
2938,1872,0
2916,1861,0
2894,1849,0
2878,1837,0
2870,1828,0
2868,1819,0
2875,1810,0
2888,1803,0
2904,1797,0
2929,1798,1
3010,1894,0
3015,1894,0
3021,1888,0
3036,1882,0
3046,1871,0
3052,1857,0
3062,1847,0
3062,1834,0
3059,1826,0
3049,1819,0
3040,1816,0
3035,1817,0
3025,1823,0
3011,1833,0
3001,1849,0
2996,1867,0
3001,1886,0
3018,1903,0
3038,1915,0
3064,1924,0
3090,1925,1
3121,1721,0
3122,1722,0
3125,1730,0
3129,1744,0
3132,1766,0
3136,1793,0
3147,1825,0
3157,1857,0
3160,1884,0
3167,1908,0
3180,1930,0
3185,1942,0
3189,1950,1
3322,1725,0
3309,1715,0
3298,1709,0
3286,1705,0
3276,1705,0
3265,1708,0
3258,1718,0
3247,1734,0
3240,1756,0
3238,1787,0
3237,1820,0
3245,1855,0
3259,1890,0
3269,1922,0
3281,1951,0
3292,1976,0
3301,1996,1
3211,1878,0
3216,1879,0
3223,1877,0
3241,1874,0
3265,1870,0
3297,1867,0
3320,1862,0
3343,1860,0
3363,1859,1
3438,1938,0
3438,1939,0
3438,1939,0
3441,1941,0
3438,1939,0
3441,1941,0
3441,1941,0
3448,1940,0
3454,1938,1
3581,1775,0
3578,1773,0
3581,1775,0
3580,1777,0
3580,1785,0
3584,1801,0
3586,1819,0
3588,1838,0
3588,1860,0
3589,1879,0
3592,1896,0
3597,1909,0
3601,1918,1
3554,1773,0
3572,1768,0
3593,1765,0
3620,1766,0
3646,1770,0
3666,1775,0
3679,1785,0
3691,1795,0
3694,1807,0
3684,1815,0
3673,1825,0
3662,1834,0
3653,1841,0
3650,1845,0
3654,1847,0
3658,1849,0
3672,1855,0
3688,1861,0
3710,1872,0
3723,1880,0
3738,1893,0
3742,1902,0
3737,1909,0
3728,1916,0
3710,1923,0
3683,1925,0
3653,1927,0
3629,1927,0
3605,1925,1
3756,1843,0
3756,1842,0
3756,1843,0
3761,1850,0
3761,1857,0
3766,1872,0
3771,1886,0
3777,1899,0
3788,1912,0
3795,1917,0
3802,1919,0
3809,1917,0
3814,1908,0
3824,1894,0
3825,1877,0
3829,1861,0
3829,1847,0
3831,1835,0
3832,1827,0
3834,1824,0
3832,1826,0
3830,1829,0
3834,1838,0
3842,1857,0
3845,1875,0
3855,1896,0
3863,1913,0
3875,1931,0
3880,1940,1
3915,1739,0
3919,1740,0
3918,1741,0
3923,1751,0
3922,1767,0
3928,1791,0
3935,1818,0
3940,1848,0
3947,1874,0
3953,1897,0
3959,1916,0
3962,1928,0
3968,1935,1
3900,1853,0
3901,1851,0
3911,1852,0
3929,1852,0
3950,1848,0
3978,1846,0
4011,1845,0
4040,1844,0
4059,1842,1
4105,1906,0
4107,1911,0
4106,1921,0
4106,1936,0
4106,1954,0
4109,1971,0
4113,1988,0
4122,2004,0
4126,2013,1
4246,1840,0
4239,1837,0
4234,1838,0
4223,1842,0
4213,1854,0
4200,1870,0
4186,1886,0
4175,1904,0
4171,1920,1
4210,1933,0
4216,1921,0
4225,1907,0
4225,1889,0
4232,1875,0
4234,1864,0
4238,1857,0
4236,1852,0
4236,1852,0
