to myself: Oh, God, doesn&apos;t
764
621,3040,0
642,3008,0
660,2977,0
674,2955,0
684,2941,0
688,2934,0
687,2937,0
683,2948,0
669,2982,0
649,3028,0
627,3081,0
605,3135,0
583,3192,0
567,3238,0
554,3281,0
548,3308,0
547,3324,1
559,3188,0
562,3185,0
573,3175,0
591,3173,0
615,3165,0
644,3153,0
674,3141,0
702,3125,0
726,3112,0
746,3102,0
761,3091,0
771,3084,0
774,3081,0
773,3081,0
769,3080,0
760,3079,0
748,3090,0
732,3109,0
714,3134,0
695,3164,0
683,3203,0
677,3235,0
678,3259,0
685,3271,0
699,3286,0
715,3287,0
732,3277,0
749,3255,0
763,3232,0
775,3210,0
786,3179,0
790,3143,0
789,3122,0
785,3110,0
777,3102,0
769,3093,0
764,3092,0
763,3092,0
764,3092,0
772,3100,0
784,3105,0
801,3107,0
825,3102,0
858,3088,0
896,3071,1
1075,3209,0
1078,3204,0
1086,3185,0
1103,3152,0
1124,3117,0
1147,3088,0
1169,3068,0
1188,3054,0
1203,3049,0
1213,3049,0
1219,3062,0
1220,3081,0
1216,3106,0
1204,3134,0
1191,3170,0
1177,3199,0
1169,3215,0
1170,3216,0
1171,3207,0
1183,3187,0
1203,3154,0
1230,3121,0
1261,3087,0
1294,3057,0
1321,3030,0
1344,3025,0
1358,3027,0
1370,3034,0
1378,3049,0
1380,3069,0
1377,3098,0
1368,3131,0
1356,3164,0
1346,3185,0
1344,3197,0
1345,3197,0
1347,3197,0
1354,3184,0
1367,3158,0
1410,3090,0
1438,3059,0
1461,3023,0
1480,3004,0
1493,2999,0
1496,2994,0
1498,2998,0
1495,3002,0
1489,3023,0
1479,3053,0
1465,3087,0
1452,3121,0
1445,3154,0
1439,3171,0
1441,3187,0
1447,3194,0
1453,3194,0
1461,3189,0
1472,3183,0
1483,3170,0
1497,3156,0
1509,3134,0
1520,3119,0
1527,3103,0
1534,3089,0
1538,3081,0
1542,3072,0
1545,3064,0
1546,3055,0
1548,3051,0
1551,3050,0
1550,3042,0
1553,3042,0
1554,3037,0
1556,3033,0
1559,3033,0
1559,3028,0
1560,3029,0
1561,3028,0
1561,3028,0
1561,3028,0
1560,3029,0
1560,3029,0
1561,3028,0
1562,3028,0
1563,3028,0
1563,3028,0
1564,3023,0
1565,3024,0
1566,3023,0
1567,3019,0
1565,3011,0
1568,3016,0
1568,3015,0
1568,3015,0
1568,3015,0
1570,3015,0
1571,3019,0
1572,3023,0
1568,3015,0
1572,3027,0
1569,3031,0
1566,3044,0
1562,3061,0
1553,3071,0
1550,3091,0
1548,3107,0
1547,3124,0
1548,3136,0
1553,3147,0
1561,3154,0
1569,3157,0
1581,3159,0
1592,3153,0
1604,3143,0
1619,3127,0
1634,3109,0
1649,3081,0
1665,3054,0
1682,3030,0
1696,3006,0
1706,2992,0
1713,2982,0
1712,2975,0
1714,2978,0
1713,2978,0
1713,2987,0
1710,3008,0
1703,3034,0
1696,3068,0
1687,3107,0
1675,3146,0
1661,3194,0
1643,3241,0
1625,3293,0
1606,3345,0
1584,3385,0
1564,3416,0
1549,3439,0
1537,3445,0
1534,3445,0
1532,3437,0
1536,3425,0
1544,3399,0
1559,3365,0
1633,3251,0
1662,3205,0
1694,3166,0
1727,3127,0
1759,3091,0
1791,3058,0
1824,3029,0
1854,3009,0
1879,2994,0
1897,2984,0
1911,2984,0
1922,2989,0
1927,2996,0
1930,3008,0
1932,3028,0
1927,3047,0
1917,3071,0
1902,3095,0
1886,3116,0
1870,3134,0
1857,3149,0
1846,3151,0
1838,3149,0
1834,3146,0
1831,3139,0
1832,3139,0
1831,3131,0
1833,3131,0
1837,3134,0
1841,3132,0
1853,3138,0
1863,3139,0
1877,3140,0
1896,3134,0
1918,3132,0
1938,3119,0
1963,3103,0
1991,3081,0
2020,3055,0
2048,3025,0
2072,3000,0
2091,2980,0
2101,2969,0
2104,2967,0
2104,2967,0
2098,2965,0
2092,2975,0
2079,2994,0
2066,3023,0
2055,3052,0
2048,3083,0
2043,3107,0
2046,3127,0
2057,3148,0
2067,3154,0
2087,3163,0
2108,3156,0
2136,3139,0
2169,3110,0
2205,3066,0
2243,3016,0
2278,2963,0
2310,2914,0
2333,2868,0
2348,2835,0
2351,2811,0
2350,2803,0
2341,2798,0
2330,2807,0
2314,2828,0
2291,2861,0
2269,2905,0
2251,2957,0
2240,3009,0
2234,3054,0
2236,3088,0
2252,3112,0
2275,3120,0
2306,3115,0
2345,3095,0
2389,3058,0
2438,3013,0
2482,2960,0
2527,2906,0
2562,2850,0
2595,2804,0
2615,2760,0
2634,2730,0
2641,2707,0
2642,2697,0
2636,2691,0
2633,2694,0
2627,2702,0
2615,2724,0
2600,2760,0
2581,2803,0
2561,2855,0
2541,2916,0
2522,2980,0
2504,3048,0
2480,3117,0
2459,3189,0
2436,3252,0
2417,3312,0
2402,3362,0
2388,3397,0
2374,3416,0
2370,3426,0
2370,3426,0
