I noted.&quot; Thanks, Nigel, &quot;he said.
911
598,4224,0
600,4224,0
601,4221,0
602,4225,0
603,4225,0
603,4228,0
603,4241,0
604,4261,0
605,4285,0
606,4309,0
610,4343,0
611,4378,0
615,4423,0
622,4476,0
627,4533,0
637,4590,0
640,4635,0
643,4671,0
644,4700,0
644,4715,0
645,4720,1
856,4483,0
857,4483,0
859,4483,0
859,4490,0
858,4499,0
859,4511,0
859,4527,0
863,4547,0
867,4572,0
871,4599,0
873,4628,0
875,4656,0
869,4680,0
868,4700,0
867,4707,0
873,4708,0
873,4692,0
885,4672,0
893,4640,0
904,4606,0
916,4570,0
927,4541,0
941,4518,0
952,4507,0
964,4503,0
975,4512,0
986,4528,0
992,4555,0
1000,4587,0
1008,4612,0
1012,4640,0
1019,4660,0
1023,4669,0
1026,4680,0
1029,4684,0
1030,4684,0
1032,4684,0
1039,4676,0
1044,4660,0
1052,4649,0
1060,4636,0
1070,4620,0
1083,4613,0
1098,4596,0
1114,4584,0
1134,4564,0
1153,4552,0
1168,4539,0
1185,4535,0
1204,4539,0
1214,4543,0
1225,4554,0
1229,4570,0
1233,4598,0
1227,4622,0
1218,4650,0
1202,4675,0
1186,4700,0
1166,4715,0
1146,4719,0
1128,4724,0
1110,4712,0
1095,4696,0
1083,4680,0
1074,4664,0
1072,4637,0
1074,4612,0
1088,4584,0
1105,4560,0
1127,4528,0
1150,4508,0
1171,4491,0
1190,4488,0
1207,4490,0
1218,4495,0
1228,4506,0
1235,4518,0
1237,4518,0
1238,4517,0
1238,4517,0
1239,4509,0
1239,4501,0
1240,4494,0
1245,4481,0
1255,4461,0
1267,4436,0
1279,4404,0
1292,4367,0
1303,4334,0
1309,4298,0
1310,4274,0
1312,4262,0
1312,4258,0
1311,4258,0
1309,4274,0
1305,4307,0
1300,4347,0
1296,4398,0
1294,4451,0
1292,4507,0
1297,4563,0
1301,4611,0
1301,4651,0
1302,4691,0
1301,4723,0
1292,4748,0
1287,4768,0
1281,4768,0
1276,4768,0
1269,4756,0
1266,4748,0
1264,4733,0
1264,4717,0
1263,4705,0
1265,4693,0
1269,4689,0
1270,4681,0
1276,4673,0
1276,4672,0
1277,4668,0
1284,4672,0
1284,4668,0
1291,4664,0
1302,4663,0
1316,4650,0
1336,4642,0
1353,4628,0
1370,4619,0
1387,4610,0
1399,4605,0
1412,4592,0
1425,4575,0
1427,4550,0
1424,4531,0
1417,4515,0
1402,4500,0
1396,4501,0
1379,4502,0
1371,4519,0
1364,4543,0
1360,4575,0
1362,4611,0
1368,4647,0
1380,4683,0
1394,4705,0
1409,4716,0
1427,4727,0
1444,4722,0
1460,4712,0
1474,4703,0
1484,4683,0
1493,4669,0
1502,4652,1
1555,4595,0
1559,4587,0
1563,4582,0
