Waters, and said, &quot;I &apos;ll have to
734
485,2593,0
657,2702,0
662,2731,0
667,2772,0
674,2798,0
509,2799,0
523,2835,0
542,2859,0
563,2868,0
585,2884,0
605,2880,0
622,2875,0
637,2864,0
650,2846,0
661,2824,0
668,2801,0
673,2786,0
675,2770,0
675,2761,0
675,2758,0
674,2757,0
673,2761,0
675,2773,0
680,2799,0
691,2820,0
708,2843,0
728,2861,0
751,2873,0
778,2872,0
805,2863,0
832,2842,0
855,2803,0
872,2777,0
883,2745,0
885,2709,0
885,2681,0
881,2649,0
874,2620,0
866,2595,0
858,2583,0
852,2579,0
847,2574,0
846,2573,0
846,2581,1
1068,2769,0
1068,2768,0
1066,2765,0
1064,2765,0
1056,2760,0
1047,2760,0
1030,2752,0
1011,2755,0
992,2767,0
977,2775,0
967,2782,0
964,2802,0
967,2814,0
977,2831,0
991,2840,0
1008,2844,0
1027,2844,0
1048,2832,0
1066,2817,0
1083,2804,0
1092,2789,0
1096,2773,0
1096,2760,0
1094,2753,0
1093,2748,0
1091,2753,0
1093,2760,0
1101,2777,0
1107,2793,0
1113,2804,0
1119,2820,0
1124,2832,0
1131,2840,0
1135,2840,0
1141,2840,0
1148,2832,0
1156,2828,1
1204,2590,0
1203,2594,0
1203,2601,0
1207,2617,0
1212,2633,0
1216,2653,0
1220,2677,0
1224,2704,0
1226,2732,0
1230,2765,0
1237,2788,0
1244,2803,0
1255,2815,0
1264,2818,0
1274,2818,0
1278,2813,0
1279,2809,1
1170,2755,0
1169,2751,0
1172,2755,0
1179,2755,0
1192,2754,0
1205,2753,0
1220,2748,0
1239,2748,0
1259,2742,0
1281,2741,0
1300,2740,0
1316,2734,0
1331,2733,1
1358,2765,0
1366,2765,0
1379,2763,0
1391,2754,0
1404,2748,0
1413,2739,0
1417,2735,0
1414,2723,0
1411,2723,0
1402,2720,0
1391,2726,0
1377,2736,0
1365,2749,0
1358,2762,0
1359,2777,0
1368,2793,0
1380,2803,0
1397,2814,0
1418,2819,0
1438,2817,0
1458,2810,0
1474,2795,0
1490,2785,0
1502,2774,0
1508,2758,0
1509,2745,0
1508,2733,0
1505,2726,0
1504,2726,0
1500,2726,0
1500,2731,0
1500,2742,0
1503,2758,0
1505,2774,0
1505,2782,0
1511,2798,0
1513,2801,0
1513,2801,0
1513,2797,0
1512,2786,0
1514,2777,0
1515,2760,0
1515,2744,0
1515,2728,0
1516,2715,0
1517,2707,0
1516,2695,0
1518,2695,0
1522,2698,0
1527,2701,0
1539,2707,0
1552,2713,0
1568,2719,0
1582,2716,0
1597,2712,0
1614,2713,0
1626,2702,1
1725,2679,0
1720,2680,0
1715,2681,0
1709,2683,0
1698,2686,0
1685,2689,0
1672,2696,0
