steps splashing behind him. ,,Like
1023
890,1758,0
897,1759,0
903,1756,0
908,1744,0
918,1732,0
926,1713,0
936,1698,0
945,1683,0
954,1672,0
965,1668,0
974,1665,0
983,1662,0
994,1670,0
1002,1679,0
1008,1695,0
1012,1719,0
1013,1747,0
1011,1775,0
1006,1803,0
998,1831,0
990,1854,0
979,1870,0
969,1881,0
960,1889,0
955,1901,0
953,1900,0
951,1896,0
955,1896,0
962,1889,0
974,1877,0
989,1858,0
1006,1831,0
1027,1808,0
1045,1776,0
1066,1749,0
1082,1713,0
1100,1681,0
1116,1649,0
1129,1620,0
1139,1596,0
1149,1579,0
1154,1567,0
1160,1567,0
1163,1570,0
1163,1578,0
1161,1598,0
1160,1635,0
1150,1672,0
1143,1720,0
1135,1764,0
1127,1792,0
1124,1821,0
1119,1836,0
1119,1840,0
1118,1836,0
1118,1821,0
1123,1800,0
1131,1784,0
1140,1772,0
1149,1767,0
1158,1767,0
1168,1771,0
1179,1778,0
1189,1777,0
1201,1780,0
1215,1783,0
1225,1775,0
1238,1768,0
1248,1756,0
1253,1739,0
1256,1727,0
1257,1722,0
1254,1719,0
1245,1716,0
1240,1721,0
1233,1725,0
1225,1730,0
1222,1746,0
1215,1763,0
1214,1787,0
1216,1811,0
1220,1831,0
1226,1843,0
1238,1853,0
1253,1855,0
1269,1850,0
1286,1836,0
1303,1810,0
1322,1787,0
1338,1763,0
1351,1746,0
1363,1735,0
1368,1726,0
1368,1722,0
1368,1722,0
1370,1726,0
1368,1730,0
1367,1743,0
1366,1763,0
1360,1785,0
1358,1818,0
1352,1847,0
1344,1877,0
1339,1910,0
1332,1939,0
1329,1968,0
1326,1988,0
1326,2000,0
1326,2000,0
1326,2000,0
1323,1989,0
1327,1976,0
1330,1955,0
1335,1926,0
1344,1889,0
1356,1846,0
1372,1811,0
1392,1779,0
1414,1754,0
1429,1730,0
1445,1719,0
1456,1716,0
1464,1722,0
1467,1734,0
1467,1754,0
1462,1776,0
1455,1802,0
1442,1826,0
1423,1842,0
1406,1857,0
1394,1872,0
1387,1877,0
1385,1878,0
1385,1877,0
