existence of the girle, and, up
588
1314,2770,0
1319,2789,0
1324,2805,0
1333,2820,0
1345,2835,0
1358,2847,0
1372,2853,0
1389,2855,0
1405,2853,0
1421,2847,0
1437,2837,0
1453,2826,0
1467,2813,0
1478,2799,0
1485,2782,0
1490,2768,0
1489,2752,0
1487,2744,0
1482,2742,0
1472,2735,0
1462,2741,0
1453,2750,0
1442,2764,0
1431,2782,0
1423,2802,0
1419,2828,0
1419,2847,0
1423,2859,0
1430,2870,0
1440,2876,0
1455,2887,0
1466,2885,0
1482,2890,0
1498,2889,0
1515,2886,0
1530,2879,0
1546,2869,0
1565,2861,0
1580,2847,0
1594,2831,0
1606,2820,0
1614,2815,0
1619,2811,0
1620,2806,0
1622,2806,0
1623,2805,0
1621,2801,0
1622,2806,0
1620,2802,0
1622,2806,0
1620,2802,0
1622,2806,0
1621,2801,0
1623,2805,0
1622,2801,0
1623,2801,0
1623,2797,1
1566,2747,0
1559,2748,0
1557,2753,0
1553,2762,0
1552,2782,0
1549,2799,0
1547,2820,0
1548,2844,0
1551,2864,0
1558,2878,0
1568,2889,0
1581,2890,0
1599,2888,0
1620,2876,0
1639,2855,0
1658,2847,0
1671,2844,0
1674,2844,0
1676,2855,0
1675,2876,0
1669,2890,1
1713,2785,0
1717,2780,0
1720,2784,0
1719,2779,0
1720,2779,0
1720,2779,0
1720,2779,0
1717,2784,1
1689,2881,0
1706,2877,0
1734,2871,0
1763,2855,0
1795,2838,0
1823,2827,0
1841,2821,0
1845,2820,0
1845,2833,0
1829,2850,0
1812,2871,0
1795,2880,0
1784,2887,1
1855,2851,0
1874,2837,0
1897,2818,0
1923,2797,0
1947,2768,0
1968,2740,0
1986,2707,0
2002,2676,0
2011,2651,0
2012,2639,0
2010,2636,0
2004,2637,0
1995,2649,0
1983,2675,0
1964,2707,0
1949,2750,0
1937,2792,0
1928,2820,0
1927,2841,0
1928,2854,1
1934,2717,0
1935,2717,0
1942,2714,0
1955,2714,0
1976,2716,0
1999,2716,0
2023,2716,0
2043,2717,0
2054,2717,1
1944,2844,0
1946,2856,0
1954,2862,0
1973,2869,0
1995,2869,0
2021,2865,0
2048,2860,0
2073,2847,0
2096,2830,0
2117,2817,0
2127,2796,0
2134,2780,0
2130,2768,0
2123,2767,0
2104,2771,0
2084,2782,0
2067,2801,0
2058,2826,0
2058,2844,0
2065,2849,0
2087,2854,0
2112,2849,0
2140,2834,0
2168,2823,0
2190,2809,0
2205,2794,0
2217,2784,0
2227,2776,0
2231,2769,0
2234,2764,0
2232,2760,0
2232,2760,0
2231,2760,0
2227,2758,0
2228,2762,0
2222,2764,0
2218,2779,0
2211,2791,0
2210,2801,0
2208,2801,0
2212,2800,0
2221,2791,0
2232,2774,0
2241,2765,0
2248,2766,0
2251,2770,0
2254,2782,0
2260,2791,0
2268,2797,0
2282,2799,0
2302,2799,0
2321,2790,0
2340,2784,0
2357,2782,0
2364,2778,0
2361,2775,0
2359,2780,0
2352,2789,0
2340,2799,0
2337,2813,0
2335,2823,0
2342,2833,0
2357,2835,0
2379,2833,0
2409,2828,0
2439,2816,0
2469,2806,0
2491,2794,0
2502,2783,0
2504,2778,0
2493,2770,0
2478,2773,0
2458,2788,0
2442,2810,0
2437,2840,0
2437,2857,0
2459,2869,0
2495,2873,0
2538,2859,0
2581,2840,0
2617,2819,1
2904,2789,0
2897,2813,0
2895,2829,0
2905,2836,0
2922,2829,0
2954,2817,0
2989,2787,0
3026,2755,0
3068,2723,0
3098,2689,0
3122,2665,0
3132,2641,0
3139,2634,0
3134,2629,0
3127,2629,0
3115,2639,0
3096,2665,0
3078,2704,0
3061,2743,0
3044,2777,0
3033,2804,0
3032,2820,0
3030,2822,0
3031,2820,0
3030,2806,1
3027,2673,0
3039,2680,0
3057,2686,0
3076,2691,0
3107,2696,0
3141,2695,0
3179,2690,0
3216,2685,1
3467,2557,0
3469,2555,0
3473,2557,0
3472,2563,0
3464,2583,0
3455,2613,0
3444,2652,0
3426,2690,0
3417,2731,0
3409,2760,0
3405,2774,0
3402,2778,0
3402,2772,1
3439,2618,0
3446,2616,0
3465,2620,0
3491,2624,0
3514,2623,0
3540,2625,0
3559,2630,0
3559,2635,1
3433,2771,0
3444,2777,0
3465,2780,0
3488,2775,0
3518,2764,0
3551,2743,0
3588,2719,0
3620,2692,0
3641,2664,0
3662,2637,0
3670,2606,0
3676,2581,0
3675,2565,0
3676,2559,0
3670,2554,0
3664,2554,0
3654,2558,0
3641,2572,0
3626,2600,0
3608,2635,0
3589,2673,0
3576,2709,0
3564,2730,0
3569,2742,0
3577,2740,0
3600,2729,0
3621,2714,0
3640,2712,0
3658,2722,0
3672,2736,0
3691,2752,0
3715,2761,0
3739,2759,0
3764,2745,0
3782,2731,0
3785,2717,0
3779,2706,0
3768,2706,0
3752,2712,0
3744,2726,0
3737,2744,0
3752,2763,0
3778,2770,0
3817,2765,1
4248,2663,0
4249,2662,0
4243,2656,0
4237,2653,0
4221,2646,0
4208,2644,0
4193,2648,0
4176,2659,0
4156,2675,0
4142,2694,0
4138,2705,0
4145,2708,0
4162,2706,0
4188,2695,0
4207,2677,0
4229,2661,0
4243,2651,0
4252,2646,0
4252,2646,0
4256,2648,0
4254,2649,0
4251,2660,0
4247,2683,0
4232,2710,0
4220,2743,0
4195,2774,0
4180,2808,0
4155,2832,0
4140,2849,0
4123,2852,0
4114,2849,0
4112,2840,0
4110,2818,0
4118,2795,0
4132,2773,0
4152,2755,0
4175,2741,0
4190,2724,0
4210,2711,0
4233,2702,0
4247,2690,0
4269,2688,0
4282,2685,0
4287,2679,0
4295,2675,0
4302,2673,0
4306,2674,0
4308,2678,0
4302,2685,0
4298,2703,0
4297,2724,0
4289,2739,0
4283,2748,1
4354,2630,0
4360,2630,0
4353,2625,0
4357,2626,0
4354,2625,0
4357,2626,0
4356,2628,0
4353,2631,1
4321,2712,0
4330,2715,0
4342,2713,0
4357,2707,0
4377,2699,0
4395,2690,0
4408,2685,0
4418,2687,0
4412,2687,0
4408,2697,0
4401,2715,0
4382,2726,0
4374,2736,0
4369,2736,0
4367,2732,0
4380,2734,0
4384,2730,0
4400,2729,0
4418,2724,0
4439,2717,0
4468,2705,0
4497,2686,0
4519,2663,0
4543,2636,0
4564,2607,0
4580,2584,0
4585,2570,0
4580,2562,0
4570,2562,0
4551,2569,0
4538,2589,0
4521,2619,0
4505,2654,0
4502,2680,0
4517,2694,0
4538,2698,0
4565,2688,0
4591,2673,0
4611,2659,0
4620,2646,0
4620,2645,0
4609,2647,0
4595,2661,0
4582,2685,0
4575,2714,0
4589,2738,0
4618,2750,0
4655,2748,1
4764,2712,0
4765,2717,0
4768,2720,0
4775,2731,0
4782,2749,0
4785,2766,0
4787,2789,0
4782,2819,0
4761,2848,0
4740,2876,0
4719,2890,0
4705,2888,0
4703,2879,1
5143,2612,0
5137,2606,0
5134,2602,0
5124,2596,0
5120,2595,0
5115,2594,0
5109,2598,0
5097,2610,0
5087,2634,0
5076,2659,0
5069,2684,0
5065,2700,0
5073,2709,0
5087,2709,0
5109,2697,0
5133,2674,0
5160,2653,0
5177,2640,0
5180,2641,0
5175,2643,0
5171,2657,0
5168,2677,0
5170,2698,0
5171,2711,0
5181,2718,0
5198,2721,0
5214,2716,0
5231,2705,0
5245,2697,0
5255,2689,0
5267,2684,0
5268,2675,0
5279,2672,0
5282,2666,0
5285,2662,0
5291,2661,0
5288,2658,0
5287,2659,0
5286,2659,0
5286,2659,0
5285,2662,0
5284,2671,0
5279,2688,0
5269,2703,0
5267,2716,0
5265,2719,0
5266,2717,0
5280,2701,0
5300,2684,0
5312,2679,0
5316,2680,0
5315,2682,0
5322,2695,0
5334,2705,0
5352,2714,0
5373,2717,0
5397,2715,0
5419,2711,0
5434,2709,0
5438,2708,0
5438,2708,0
5431,2712,0
5423,2719,0
5415,2733,0
5409,2743,0
5406,2748,0
5411,2747,0
5424,2741,0
5437,2719,0
5465,2695,0
5495,2667,0
5523,2634,0
5547,2605,0
5564,2591,0
5564,2591,0
5562,2594,0
5540,2609,0
5523,2642,0
5506,2687,0
5493,2727,0
5490,2755,0
5497,2774,0
5520,2782,0
5550,2779,0
5571,2766,1
5692,2740,0
5687,2749,0
5692,2766,0
5691,2784,0
5692,2805,0
5687,2830,0
5674,2861,0
5651,2891,0
5630,2918,1
5859,2700,0
5856,2698,0
5873,2701,0
5880,2697,0
5894,2686,0
5915,2673,0
5928,2655,0
5945,2640,0
5962,2633,0
5959,2630,0
5966,2633,0
5952,2634,0
5950,2647,0
5939,2670,0
5936,2692,0
5925,2704,0
5927,2709,0
5935,2711,0
5953,2702,0
5974,2687,0
5998,2669,0
6006,2652,0
6018,2646,0
6019,2644,0
6023,2645,0
6022,2647,0
6022,2656,0
6010,2669,0
6008,2685,0
6001,2697,0
6001,2706,0
6007,2712,0
6014,2715,0
6023,2714,0
6039,2711,0
6044,2700,0
6066,2695,0
6075,2685,0
6087,2679,0
6098,2673,0
6102,2665,0
6108,2663,0
6105,2659,0
6109,2661,0
6109,2661,0
6106,2666,0
6096,2687,0
6087,2723,0
6060,2757,0
6044,2796,0
6032,2828,0
6020,2834,0
6025,2825,0
6050,2792,0
6078,2740,0
6124,2701,0
6152,2682,0
6181,2677,0
6200,2685,0
6219,2700,0
6244,2714,0
6280,2720,0
6313,2707,0
6343,2691,0
6361,2673,1
