,,Santa Maria!
274
1135,3853,0
1133,3856,0
1129,3860,0
1122,3869,0
1114,3880,0
1107,3904,0
1101,3921,0
1094,3925,0
1097,3929,1
1176,3847,0
1172,3855,0
1160,3872,0
1147,3880,0
1142,3896,0
1143,3908,0
1148,3908,0
1157,3900,1
1356,3698,0
1345,3715,0
1341,3731,0
1344,3747,0
1350,3762,0
1357,3773,0
1365,3798,0
1369,3817,0
1367,3833,0
1359,3851,0
1349,3879,0
1332,3892,0
1314,3897,0
1300,3902,0
1286,3891,0
1280,3883,0
1281,3867,1
1495,3781,0
1494,3781,0
1492,3781,0
1487,3778,0
1481,3778,0
1474,3787,0
1464,3797,0
1452,3814,0
1440,3839,0
1429,3864,0
1427,3880,0
1430,3884,0
1438,3888,0
1452,3886,0
1469,3872,0
1484,3854,0
1497,3833,0
1505,3816,0
1508,3803,0
1508,3800,0
1506,3800,0
1503,3804,0
1499,3812,0
1500,3824,0
1503,3836,0
1509,3843,0
1517,3851,0
1527,3858,0
1537,3860,0
1546,3863,0
1553,3863,0
1562,3857,0
1573,3847,1
1623,3788,0
1623,3788,0
1621,3788,0
1619,3793,0
1613,3806,0
1604,3819,0
1595,3836,0
1590,3853,0
1588,3858,0
1590,3857,0
1599,3852,0
1614,3838,0
1630,3823,0
1644,3813,0
1649,3812,0
1651,3816,0
1652,3819,0
1652,3824,0
1655,3831,0
1662,3839,0
1672,3845,0
1684,3843,0
1699,3840,0
1717,3834,0
1737,3822,1
1845,3690,0
1842,3696,0
1813,3778,0
1803,3801,0
1798,3823,0
1795,3839,0
1794,3848,0
1793,3852,0
1795,3851,0
1797,3843,1
1780,3785,0
1780,3785,0
1786,3788,0
1792,3791,0
1803,3793,0
1817,3794,0
1833,3795,0
1853,3795,1
1921,3772,0
1920,3771,0
1918,3769,0
1914,3773,0
1906,3779,0
1895,3790,0
1885,3812,0
1877,3826,0
1897,3839,0
1903,3821,0
1912,3807,0
1919,3793,0
1923,3779,0
1925,3779,0
1925,3778,0
1923,3780,0
1924,3788,0
1921,3800,0
1922,3812,0
1923,3821,0
1928,3827,0
1936,3834,0
1944,3836,0
1953,3838,0
1964,3839,1
2297,3705,0
2294,3718,0
2289,3733,0
2283,3752,0
2273,3772,0
2260,3789,0
2249,3805,0
2241,3816,0
2236,3822,0
2236,3822,0
2239,3821,0
2247,3814,0
2256,3799,1
2300,3691,0
2296,3693,0
2297,3713,0
2296,3731,0
2294,3740,0
2299,3747,0
2309,3752,0
2325,3746,0
2343,3736,0
2362,3724,0
2376,3711,0
2382,3704,0
2381,3705,0
2380,3709,0
2375,3728,0
2367,3752,0
2359,3772,0
2357,3794,0
2359,3798,0
2370,3798,0
2386,3793,1
2509,3754,0
2504,3752,0
2502,3752,0
2499,3754,0
2492,3756,0
2486,3767,0
2482,3782,0
2478,3796,0
2476,3805,0
2478,3810,0
2480,3808,0
2489,3805,0
2501,3796,0
2513,3787,0
2517,3773,0
2521,3771,0
2520,3771,0
2519,3767,0
2518,3772,0
2520,3788,0
2522,3796,0
2533,3813,0
2542,3814,0
2556,3813,0
2571,3807,1
2649,3730,0
2649,3735,0
2647,3749,0
2640,3760,0
2637,3775,0
2633,3785,0
2632,3795,0
2631,3795,0
2632,3795,0
2636,3788,0
2645,3775,0
2652,3759,0
2664,3754,0
2673,3750,0
2678,3743,0
2688,3743,0
2702,3747,1
2750,3759,0
2748,3760,0
2750,3773,0
2744,3779,0
2743,3793,0
2741,3802,0
2741,3807,0
2745,3805,1
2788,3710,0
2787,3711,0
2786,3711,0
2784,3708,0
2787,3711,0
2788,3710,0
2791,3713,0
2797,3719,1
2878,3756,0
2876,3756,0
2868,3752,0
2862,3759,0
2851,3769,0
2842,3786,0
2832,3805,0
2828,3820,0
2827,3825,0
2828,3824,0
2837,3819,0
2847,3806,0
2861,3790,0
2877,3778,0
2885,3765,0
2887,3759,0
2883,3752,0
2886,3760,0
2887,3764,0
2887,3778,0
2886,3795,0
2890,3807,0
2895,3814,0
2907,3826,0
2915,3826,1
3088,3647,0
3087,3647,0
3089,3655,0
3087,3665,0
3082,3677,0
3076,3690,0
3071,3702,0
3064,3711,0
3063,3720,0
3061,3727,0
3062,3735,0
3064,3747,0
3064,3756,1
3057,3839,0
3049,3837,0
3048,3839,0
3048,3839,0
3047,3834,0
3047,3834,0
3054,3835,0
3059,3828,0
3074,3828,1
