adulterous wife, eh, Orsini?&quot;
623
946,3490,0
939,3490,0
934,3493,0
925,3497,0
912,3504,0
898,3524,0
883,3543,0
871,3571,0
863,3594,0
864,3606,0
868,3619,0
877,3623,0
890,3627,0
905,3629,0
921,3621,0
936,3605,0
948,3586,0
959,3571,0
966,3551,0
969,3531,0
968,3519,0
965,3506,0
963,3503,0
962,3503,0
962,3507,0
962,3510,0
965,3527,0
969,3555,0
973,3579,0
977,3595,0
984,3615,0
991,3628,0
998,3636,1
1145,3508,0
1139,3508,0
1130,3504,0
1117,3500,0
1101,3505,0
1082,3517,0
1061,3540,0
1045,3565,0
1039,3588,0
1037,3608,0
1044,3624,0
1054,3636,0
1068,3649,0
1082,3644,0
1098,3636,0
1114,3624,0
1127,3600,0
1140,3572,0
1148,3539,0
1155,3503,0
1161,3467,0
1163,3431,0
1160,3399,0
1158,3383,0
1155,3372,0
1153,3368,0
1153,3368,0
1155,3375,0
1156,3392,0
1158,3424,0
1160,3460,0
1163,3500,0
1166,3532,0
1171,3559,0
1177,3583,0
1186,3602,0
1195,3614,0
1203,3622,0
1209,3621,0
1213,3614,0
1216,3594,1
1233,3509,0
1234,3529,0
1235,3545,0
1239,3565,0
1245,3576,0
1252,3580,0
1261,3584,0
1269,3579,0
1275,3567,0
1283,3555,0
1288,3538,0
1293,3522,0
1297,3501,0
1300,3489,0
1300,3489,0
1299,3485,0
1301,3497,0
1302,3513,0
1302,3533,0
1305,3549,0
1310,3565,0
1317,3576,0
1327,3588,0
1338,3595,1
1432,3373,0
1430,3373,0
1432,3378,0
1433,3389,0
1434,3414,0
1435,3445,0
1435,3478,0
1433,3510,0
1434,3538,0
1438,3562,0
1446,3577,0
1457,3583,0
1469,3586,0
1487,3584,0
1508,3578,0
1527,3563,0
1544,3544,1
1603,3366,0
1600,3366,0
1600,3375,0
1598,3391,0
1596,3420,0
1593,3448,0
1590,3474,0
1590,3502,0
1590,3526,0
1593,3546,0
1597,3553,0
1602,3565,0
1607,3568,1
1546,3513,0
