alarm. &quot;Look, madonna, we
410
1306,2047,0
1299,2031,0
1286,2022,0
1266,2015,0
1236,2026,0
1193,2050,0
1148,2087,0
1113,2128,0
1097,2164,0
1104,2193,0
1122,2200,0
1149,2200,0
1179,2178,0
1213,2152,0
1252,2117,0
1287,2077,0
1345,2051,0
1360,2044,0
1357,2048,0
1329,2068,0
1317,2102,0
1310,2135,0
1313,2167,0
1320,2183,0
1334,2189,1
1474,1876,0
1465,1874,0
1464,1886,0
1452,1921,0
1434,1978,0
1416,2039,0
1405,2098,0
1406,2150,0
1411,2181,1
1647,2091,0
1652,2077,0
1658,2067,0
1654,2055,0
1641,2047,0
1614,2042,0
1580,2047,0
1551,2067,0
1526,2090,0
1518,2099,0
1528,2113,0
1546,2122,0
1570,2128,0
1587,2116,0
1617,2112,0
1643,2100,0
1663,2094,0
1669,2101,0
1668,2118,0
1670,2138,0
1678,2149,0
1705,2161,0
1739,2159,0
1775,2142,0
1819,2122,0
1864,2108,0
1893,2101,0
1908,2103,0
1913,2114,0
1915,2130,0
1915,2148,0
1911,2158,0
1908,2159,0
1906,2156,0
1898,2142,0
1879,2119,0
1853,2099,0
1823,2086,0
1796,2070,0
1790,2060,0
1800,2043,0
1829,2024,0
1870,2007,0
1913,1995,0
1951,1996,0
1978,2014,0
1988,2040,0
1994,2073,0
1997,2103,0
2002,2125,0
2011,2140,0
2032,2148,0
2055,2136,0
2092,2118,0
2128,2090,0
2163,2061,0
2190,2050,0
2193,2048,0
2189,2060,0
2179,2080,0
2183,2101,0
2194,2112,0
2216,2114,0
2253,2111,0
2297,2097,0
2338,2080,0
2371,2078,0
2396,2090,0
2406,2102,0
2423,2119,0
2450,2135,0
2482,2142,0
2507,2138,1
2628,2116,0
2614,2123,0
2619,2130,0
2625,2129,0
2639,2123,1
2903,1779,0
2887,1797,0
2878,1818,0
2882,1833,0
2887,1839,1
2949,1824,0
2936,1838,0
2930,1857,0
2936,1874,1
3139,1855,0
3117,1875,0
3098,1908,0
3074,1949,0
3050,2004,0
3030,2054,0
3020,2105,0
3021,2144,0
3044,2177,0
3069,2192,0
3117,2200,0
3163,2198,0
3219,2193,1
3363,2097,0
3356,2087,0
3345,2081,0
3323,2083,0
3300,2098,0
3277,2116,0
3267,2135,0
3267,2152,0
3278,2164,0
3300,2169,0
3322,2163,0
3346,2148,0
3366,2125,0
3386,2101,0
3397,2075,0
3394,2053,0
3382,2049,0
3349,2059,0
3317,2077,0
3308,2099,1
3556,2088,0
3549,2083,0
3549,2084,0
3535,2089,0
3513,2104,0
3497,2124,0
3485,2145,0
3482,2160,0
3493,2172,0
3516,2176,0
3544,2167,0
3577,2152,0
3599,2131,0
3614,2111,0
3616,2089,0
3612,2074,0
3591,2068,0
3551,2075,0
3515,2087,0
3507,2104,0
3514,2121,1
3760,1911,0
3747,1909,0
3742,1918,0
3729,1943,0
3713,1981,0
3692,2025,0
3671,2067,0
3663,2105,0
3662,2128,0
3674,2137,0
3701,2135,0
3749,2117,0
3796,2092,0
3841,2079,0
3881,2070,0
3910,2062,0
3926,2058,1
3788,2104,0
3773,2111,0
3764,2110,0
3779,2123,0
3800,2135,0
3836,2147,0
3877,2159,0
3915,2174,1
4076,2145,0
4061,2160,0
4050,2190,0
4043,2222,0
4041,2253,1
4304,2010,0
4297,2016,0
4289,2036,0
4275,2067,0
4266,2098,0
4264,2123,0
4273,2140,0
4290,2145,0
4308,2137,0
4334,2125,0
4358,2108,0
4379,2088,0
4396,2075,0
4401,2072,0
4402,2073,0
4399,2084,0
4396,2106,0
4395,2124,0
4403,2141,0
4420,2146,0
4446,2141,0
4469,2125,0
4502,2106,0
4532,2086,0
4551,2077,0
4555,2077,0
4549,2089,0
4547,2109,0
4555,2128,1
4768,2113,0
4758,2105,0
4749,2096,0
4735,2089,0
4710,2084,0
4677,2088,0
4635,2098,0
4608,2115,0
4596,2128,0
4607,2140,0
4630,2139,0
4671,2132,0
4715,2118,0
4748,2106,0
4768,2103,0
4775,2109,0
4776,2123,0
4777,2138,0
4782,2154,0
4794,2164,0
4800,2170,1
4939,2103,0
4930,2101,0
4924,2104,0
4915,2113,0
4900,2125,0
4885,2137,0
4874,2149,0
4874,2160,0
4879,2167,0
4886,2162,0
4912,2149,0
4942,2123,0
4977,2091,0
5018,2053,0
5052,2015,0
5067,1985,0
5073,1971,0
5077,1971,0
5069,1980,0
5050,2012,0
5039,2053,0
5034,2100,0
5031,2145,0
5027,2178,0
5040,2203,1
5188,2140,0
5192,2132,0
5190,2128,0
5185,2129,0
5175,2130,0
5167,2137,0
5174,2141,0
5172,2137,0
5190,2128,0
5192,2111,0
5206,2094,0
5198,2072,0
5200,2058,0
5181,2052,0
5149,2055,0
5113,2065,0
5098,2079,0
5096,2092,0
5115,2108,0
5142,2116,1
5313,2050,0
5309,2051,0
5307,2065,0
5297,2086,0
5294,2113,0
5288,2136,0
5294,2151,0
5300,2157,0
5319,2153,0
5335,2138,0
5361,2120,0
5376,2098,0
5393,2087,0
5394,2085,0
5397,2089,0
5392,2099,0
5398,2116,0
5392,2128,0
5400,2140,0
5409,2147,0
5435,2152,1
5471,2089,0
5475,2090,0
5470,2092,0
5469,2104,0
5456,2123,0
5455,2146,0
5455,2164,0
5468,2174,0
5487,2172,0
5526,2162,0
5560,2145,0
5590,2127,0
5605,2121,0
5605,2123,0
5605,2133,0
5604,2145,0
5611,2159,1
5817,2124,0
5819,2110,0
5816,2096,0
5804,2082,0
5774,2072,0
5730,2073,0
5679,2082,0
5650,2098,0
5647,2116,0
5661,2133,0
5692,2142,0
5740,2142,0
5787,2133,0
5831,2122,0
5873,2116,0
5878,2113,0
5870,2121,0
5862,2142,0
5858,2159,0
5873,2178,0
5908,2188,1
6048,2171,0
6036,2193,0
6023,2222,0
6017,2257,0
6025,2292,1
6268,1997,0
6254,2002,0
6242,2020,0
6232,2048,0
6224,2084,0
6220,2117,0
6236,2144,0
6251,2159,0
6278,2167,0
6304,2168,0
6325,2166,0
6351,2167,0
6360,2174,0
6369,2186,0
6376,2202,0
6388,2215,0
6411,2222,0
6454,2221,0
6493,2209,0
6529,2183,0
6565,2151,0
6580,2111,0
6565,2070,0
6527,2031,0
6489,2007,0
6469,1992,0
6470,1989,0
6469,1993,0
6483,2011,1
6600,2162,0
6597,2156,0
6609,2150,0
6624,2142,0
6653,2131,0
6704,2106,0
6723,2088,0
6737,2075,0
6749,2063,0
6746,2058,0
6716,2060,0
6664,2076,0
6613,2099,0
6596,2128,0
6599,2153,0
6623,2169,0
6687,2179,1
