,,Have you ever heard of a
652
824,4205,0
823,4204,0
822,4217,0
819,4232,0
813,4256,0
805,4279,0
796,4299,0
790,4307,0
791,4310,1
854,4218,0
856,4218,0
857,4222,0
856,4234,0
854,4250,0
847,4270,0
839,4285,0
836,4297,0
834,4302,1
1005,4028,0
1008,4008,0
1017,3983,0
1031,3961,0
1051,3924,0
1079,3893,0
1110,3860,0
1139,3840,0
1165,3836,0
1184,3839,0
1199,3863,0
1205,3894,0
1202,3942,0
1188,3999,0
1165,4047,0
1138,4092,0
1111,4128,0
1083,4152,0
1058,4164,0
1043,4168,0
1034,4160,0
1032,4148,0
1037,4136,0
1049,4121,0
1067,4104,0
1093,4093,0
1125,4080,0
1160,4063,0
1196,4043,0
1230,4022,0
1264,3996,0
1297,3966,0
1325,3933,0
1344,3903,0
1352,3879,0
1350,3863,0
1346,3859,0
1335,3863,0
1317,3877,0
1298,3914,0
1277,3959,0
1259,4008,0
1247,4061,0
1242,4097,0
1247,4121,0
1260,4136,0
1279,4135,0
1304,4122,0
1333,4096,0
1368,4070,0
1403,4043,0
1433,4020,0
1457,4003,0
1476,3992,0
1482,3983,0
1481,3983,0
1473,3988,0
1455,4003,0
1435,4028,0
1414,4054,0
1397,4080,0
1387,4104,0
1386,4116,0
1390,4121,0
1399,4116,0
1414,4099,0
1431,4077,0
1448,4047,0
1465,4022,0
1479,4000,0
1488,3983,0
1492,3978,0
1493,3982,0
1494,3998,0
1493,4022,0
1488,4055,0
1488,4079,0
1492,4099,0
1496,4106,0
1504,4110,0
1515,4105,0
1529,4087,0
1544,4061,0
1566,4034,0
1587,4007,0
1609,3992,0
1626,3981,0
1638,3983,0
1644,3995,0
1644,4011,0
1639,4036,0
1631,4061,0
1625,4087,0
1622,4104,0
1623,4107,0
1624,4107,0
1633,4102,0
1643,4085,0
1653,4058,0
1662,4032,0
1672,4007,0
1679,3990,0
1680,3974,0
1678,3962,0
1677,3957,0
1676,3958,0
1677,3962,0
1677,3962,0
1683,3974,0
1689,3980,0
1701,3991,0
1712,3993,0
1727,3998,0
1744,3991,0
1765,3988,0
1786,3983,0
1807,3975,0
1831,3967,0
1848,3955,0
1862,3945,0
1867,3935,0
1867,3931,0
1857,3925,0
1840,3924,0
1821,3933,0
1802,3948,0
1783,3968,0
1769,3991,0
1761,4021,0
1761,4053,0
1768,4076,0
1782,4094,0
1802,4107,0
1826,4106,0
1853,4102,0
1880,4087,0
1908,4074,0
1925,4062,0
1937,4056,0
1941,4051,0
1940,4046,1
2099,4070,0
2099,4069,0
2102,4065,0
2106,4047,0
2119,4027,0
2139,4001,0
2162,3974,0
2179,3948,0
2193,3940,0
2198,3937,0
2202,3945,0
2204,3966,0
2203,3991,0
2209,4015,0
2222,4027,0
2236,4027,0
2257,4020,0
2277,4006,0
2292,3981,0
2307,3959,0
2314,3940,0
2315,3935,0
2314,3935,0
2307,3942,0
2297,3966,0
2287,4007,0
2277,4061,0
2267,4114,0
2258,4171,0
2246,4224,0
2232,4274,0
2217,4316,0
2197,4342,0
2177,4359,0
2157,4360,0
2143,4356,0
2130,4338,0
2125,4319,0
2124,4290,0
2133,4263,0
2150,4230,0
2174,4195,0
2207,4160,0
2252,4123,0
2301,4086,0
2347,4046,0
2391,4015,0
2428,3985,0
2456,3954,0
2478,3929,0
2488,3912,0
2490,3912,0
2485,3913,0
2475,3921,0
2461,3943,0
2450,3973,0
2436,4000,0
2429,4023,0
2434,4043,0
2439,4045,0
2447,4038,0
2462,4024,0
2475,3998,0
2487,3968,0
2495,3940,0
2501,3925,0
2492,3906,0
2486,3900,0
2476,3900,0
2465,3904,0
2461,3914,0
2461,3922,0
2469,3928,0
2485,3935,0
2509,3935,0
2539,3932,0
2569,3924,0
2598,3912,0
2620,3904,0
2634,3901,0
2639,3904,0
2638,3913,0
2627,3931,0
2614,3957,0
2598,3986,0
2587,4003,0
2586,4020,0
2591,4023,0
2603,4027,0
2620,4020,0
2640,4003,0
2664,3981,0
2691,3961,0
2713,3942,0
2727,3932,0
2729,3927,0
2730,3930,0
2727,3940,0
2717,3958,0
2707,3984,0
2702,4008,0
2697,4018,0
2702,4029,0
2708,4032,0
2716,4032,0
2721,4025,0
2728,4019,0
2734,4011,0
2741,4004,1
2945,4029,0
2948,4028,0
2955,4029,0
2964,4020,0
2981,4012,0
3001,3998,0
3021,3983,0
3037,3962,0
3052,3945,0
3064,3925,0
3069,3908,0
3068,3895,0
3062,3889,0
3053,3890,0
3035,3894,0
3018,3912,0
3004,3937,0
2994,3970,0
2986,3995,0
2986,4022,0
2995,4040,0
3009,4051,0
3025,4044,0
3048,4032,0
3078,4012,0
3107,3983,0
3139,3957,0
3165,3934,0
3185,3913,0
3202,3904,0
3211,3903,0
3216,3906,0
3220,3921,0
3214,3942,0
3207,3965,0
3201,3987,0
3199,4002,0
3204,4012,0
3217,4019,0
3233,4015,0
3249,4001,0
3264,3983,0
3279,3962,0
3290,3940,0
3296,3919,0
3298,3909,0
3298,3904,0
3296,3904,0
3299,3907,0
3293,3911,0
3295,3924,0
3301,3939,0
3315,3950,0
3332,3954,0
3357,3957,0
3387,3952,0
3412,3942,0
3438,3935,0
3457,3923,0
3468,3916,0
3465,3904,0
3458,3899,0
3447,3896,0
3433,3901,0
3409,3906,0
3389,3923,0
3368,3941,0
3353,3964,0
3349,3990,0
3354,4010,0
3362,4020,0
3378,4028,0
3396,4027,0
3419,4022,0
3446,4006,0
3475,3987,0
3503,3961,0
3525,3937,0
3542,3916,0
3551,3901,0
3551,3891,0
3549,3888,0
3542,3887,0
3534,3893,0
3523,3905,0
3518,3918,0
3518,3928,0
3525,3937,0
3537,3943,0
3554,3952,0
3562,3955,0
3570,3964,0
3571,3974,0
3566,3982,0
3561,3994,0
3556,4007,0
3559,4020,0
3565,4026,0
3574,4024,0
3593,4022,0
3618,4010,0
3646,3995,0
3671,3975,0
3696,3957,0
3718,3937,0
3735,3925,0
3740,3917,0
3745,3918,0
3743,3914,1
3880,4048,0
3887,4048,0
3899,4039,0
3921,4027,0
3946,4004,0
3978,3974,0
4012,3940,0
4044,3899,0
4077,3856,0
4105,3812,0
4129,3771,0
4145,3737,0
4159,3715,0
4159,3699,0
4155,3692,0
4146,3694,0
4130,3708,0
4114,3743,0
4088,3785,0
4068,3839,0
4043,3884,0
4032,3928,0
4029,3956,0
4034,3972,0
4041,3977,0
4051,3974,0
4066,3957,0
4091,3938,0
4109,3913,0
4131,3895,0
4146,3887,0
4152,3888,0
4162,3901,0
4162,3916,0
4163,3941,0
4164,3966,0
4176,3988,0
4188,3993,0
4204,3991,0
4227,3982,0
4251,3962,0
4273,3933,0
4295,3904,0
4309,3875,0
4319,3856,0
4316,3843,0
4309,3839,0
4297,3844,0
4283,3861,0
4263,3883,0
4255,3917,0
4245,3947,0
4243,3969,0
4253,3987,0
4263,3993,0
4284,3991,0
4311,3984,0
4336,3964,0
4362,3935,0
4394,3909,0
4430,3887,0
4461,3870,0
4485,3858,0
4504,3856,0
4517,3856,0
4524,3860,0
4526,3864,0
4527,3868,0
4520,3868,0
4507,3870,0
4492,3872,0
4474,3879,0
4456,3889,0
4437,3901,0
4420,3916,0
4412,3940,0
4406,3955,0
4409,3969,0
4415,3974,0
4427,3974,0
4444,3964,0
4461,3950,0
4482,3930,0
4499,3905,0
4515,3884,0
4522,3866,0
4526,3858,0
4526,3858,0
4524,3860,0
4521,3867,0
4514,3885,0
4504,3911,0
4495,3935,0
4497,3955,0
4505,3964,0
4518,3968,0
4536,3963,0
4557,3949,0
4579,3928,0
4603,3901,0
4620,3872,0
4634,3849,0
4639,3833,0
4640,3826,0
4632,3822,0
4625,3824,0
4616,3828,0
4608,3836,0
4606,3843,0
4613,3853,0
4624,3859,0
4635,3865,0
4647,3876,0
4652,3887,0
4654,3901,0
4652,3921,0
4652,3943,0
4648,3962,0
4649,3978,0
4654,3985,0
4664,3986,0
4683,3980,0
4706,3962,0
4739,3942,0
4772,3916,0
4801,3893,0
4827,3878,0
4846,3870,0
4859,3867,0
4872,3865,0
4878,3865,0
4879,3864,0
4882,3867,0
4877,3866,0
4866,3871,0
4850,3878,0
4830,3892,0
4813,3909,0
4794,3928,0
4777,3949,0
4767,3971,0
4765,3984,0
4767,3988,0
4774,3986,0
4787,3978,0
4805,3961,0
4823,3933,0
4844,3901,0
4863,3863,0
4884,3825,0
4905,3792,0
4922,3762,0
4934,3737,0
4941,3723,0
4946,3718,0
4945,3719,0
4947,3734,0
4935,3759,0
4925,3800,0
4918,3848,0
4911,3894,0
4911,3935,0
4920,3966,0
4938,3988,0
4961,3998,0
4987,4000,0
5011,3993,0
5033,3982,0
5052,3966,1
5242,3832,0
5245,3835,0
5244,3836,0
5242,3838,0
5237,3850,0
5231,3868,0
5212,3889,0
5199,3916,0
5187,3940,0
5186,3959,0
5195,3967,0
5212,3973,0
5228,3966,0
5247,3952,0
5269,3933,0
5278,3839,0
5260,3823,0
5243,3818,0
5224,3817,0
5209,3819,0
5199,3826,0
5193,3833,0
5197,3841,0
5216,3848,0
5238,3849,0
5265,3841,0
5302,3830,0
5339,3812,0
5373,3790,0
5405,3764,0
5426,3739,0
5439,3715,0
5443,3699,0
5440,3689,0
5433,3685,0
5428,3691,0
5415,3707,0
5404,3740,0
5383,3784,0
5365,3836,0
5352,3893,0
5345,3951,0
5341,4003,0
5338,4047,0
5341,4080,0
5351,4099,0
5359,4108,0
5366,4107,0
5374,4092,0
5388,4063,0
5403,4030,0
5410,3992,0
5414,3957,0
5406,3930,0
5401,3905,0
5390,3893,0
5383,3889,0
5376,3890,0
5374,3911,0
5382,3920,0
5393,3920,0
5412,3917,0
5440,3914,0
5469,3905,0
5489,3894,1
5817,3878,0
5821,3880,0
5826,3873,0
5832,3866,0
5835,3854,0
5840,3842,0
5834,3829,0
5824,3823,0
5802,3818,0
5780,3822,0
5751,3832,0
5726,3851,0
5704,3878,0
5687,3899,0
5686,3914,0
5694,3923,0
5708,3925,0
5728,3919,0
5751,3909,0
5776,3890,0
5805,3875,0
5824,3863,0
5832,3858,0
5832,3859,0
5834,3863,0
5827,3877,0
5817,3898,0
5812,3917,0
5820,3926,0
5827,3930,0
5844,3927,0
5862,3911,0
5890,3894,0
5913,3864,0
5938,3837,0
5955,3810,0
5965,3795,0
5973,3785,0
5974,3778,0
5971,3773,0
5961,3768,1
