Vera, Though international in outlook,
765
471,5441,0
486,5435,0
505,5417,0
521,5395,0
537,5356,0
548,5320,0
556,5286,0
561,5254,0
559,5230,0
557,5214,0
550,5204,0
545,5199,0
540,5204,1
606,5359,0
610,5339,0
614,5324,0
614,5307,0
612,5291,0
607,5279,0
600,5274,0
589,5277,0
578,5288,1
625,5409,0
644,5414,0
662,5416,0
674,5417,0
683,5413,0
684,5409,0
683,5402,0
680,5390,0
674,5373,0
670,5356,0
666,5339,0
667,5327,0
670,5316,0
678,5304,0
687,5301,0
703,5294,0
721,5288,1
850,5283,0
846,5283,0
843,5283,0
835,5286,0
827,5298,0
816,5306,0
808,5325,0
798,5344,0
794,5360,0
794,5377,0
799,5385,0
805,5393,0
815,5394,0
827,5390,0
842,5379,0
856,5364,0
875,5344,0
887,5320,0
895,5297,0
903,5289,0
904,5269,0
907,5269,0
902,5265,0
897,5277,0
888,5293,0
883,5317,0
877,5337,0
872,5356,0
870,5376,0
878,5396,0
886,5405,0
897,5409,0
912,5409,1
1092,5405,0
1085,5424,0
1071,5445,0
1057,5460,0
1041,5488,0
1027,5504,0
1018,5516,0
1011,5528,0
1008,5536,1
1443,5231,0
1438,5256,0
1435,5284,0
1430,5313,0
1426,5337,0
1421,5353,0
1416,5365,0
1413,5373,0
1409,5366,1
1380,5159,0
1404,5161,0
1429,5161,0
1456,5158,0
1481,5160,0
1504,5158,0
1524,5161,0
1541,5158,0
1558,5161,1
1510,5354,0
1536,5332,0
1563,5301,0
1589,5271,0
1612,5240,0
1634,5206,0
1651,5172,0
1667,5142,0
1674,5113,0
1680,5096,0
1677,5080,0
1672,5077,0
1665,5077,0
1654,5087,0
1640,5105,0
1628,5130,0
1614,5160,0
1602,5193,0
1592,5231,0
1584,5267,0
1580,5296,0
1579,5325,0
1582,5336,0
1584,5339,0
1590,5339,0
1600,5335,0
1615,5317,0
1633,5295,0
1654,5272,0
1672,5254,0
1686,5240,0
1702,5238,0
1707,5233,0
1709,5241,0
1708,5249,0
1703,5267,0
1698,5287,0
1692,5303,0
1690,5324,0
1689,5336,0
1694,5344,1
1779,5337,0
1788,5324,0
1795,5306,0
1805,5289,0
1812,5268,0
1816,5247,0
1824,5234,0
1823,5218,0
1826,5214,0
1823,5226,0
1824,5242,1
1829,5274,0
1833,5277,0
1841,5288,0
1850,5295,0
1858,5290,0
1868,5284,0
1878,5274,0
1887,5257,0
1899,5243,0
1899,5259,0
1902,5274,0
1909,5281,0
1920,5288,0
1930,5282,0
1944,5279,0
1958,5265,0
1971,5247,0
1985,5228,0
2010,5195,0
2016,5182,0
2021,5177,1
2123,5287,0
2134,5280,0
2145,5270,0
2155,5256,0
2162,5242,1
2152,5248,0
2149,5269,0
2149,5298,0
2148,5323,0
2149,5359,0
2146,5392,0
2145,5434,0
2137,5468,0
2128,5503,0
2115,5530,0
2102,5552,0
2085,5564,0
2068,5571,0
2051,5569,0
2038,5560,0
2029,5480,0
2041,5454,0
2059,5421,0
2082,5389,0
2113,5363,0
2145,5323,0
2181,5287,0
2217,5250,0
2253,5214,0
2285,5177,0
2313,5142,0
2333,5108,0
2352,5086,0
2359,5064,0
2358,5043,0
2354,5036,0
2343,5027,0
2329,5034,0
2313,5047,0
2297,5072,0
2283,5100,0
2270,5131,0
2260,5158,0
2251,5185,0
2249,5214,0
2248,5236,0
2252,5251,0
2254,5255,0
2260,5257,0
2265,5256,0
2274,5250,0
2289,5243,0
2306,5230,0
2324,5221,0
2340,5209,0
2356,5209,0
2366,5207,0
2372,5213,0
2378,5228,0
2379,5245,0
2376,5262,0
2373,5279,0
2369,5292,0
2369,5305,0
2371,5313,0
2379,5319,0
2388,5317,1
2548,5344,0
2555,5330,0
2566,5318,0
2577,5294,0
2589,5274,0
2601,5250,0
2612,5229,0
2623,5214,0
2634,5206,0
2637,5197,0
2637,5197,0
2638,5204,0
2634,5222,0
2628,5241,0
2622,5269,0
2615,5291,0
2609,5310,0
2608,5331,0
2611,5343,0
2615,5345,0
2622,5347,0
2632,5337,0
2648,5323,0
2666,5305,0
2686,5278,0
2709,5257,0
2732,5238,0
2754,5227,0
