she thought, sometimes up,
687
570,2116,0
567,2114,0
568,2115,0
570,2107,0
578,2092,0
591,2071,0
607,2046,0
624,2014,0
641,1993,0
652,1967,0
665,1957,0
674,1944,0
685,1946,0
693,1952,0
699,1969,0
701,2006,0
696,2055,0
686,2093,0
675,2131,0
666,2154,0
661,2161,0
658,2165,0
652,2155,0
646,2146,0
641,2124,0
638,2107,0
639,2095,0
637,2091,0
637,2095,0
637,2099,0
639,2120,0
641,2145,0
646,2163,0
655,2172,0
670,2180,0
691,2176,0
714,2155,0
739,2128,0
763,2087,0
784,2030,0
805,1976,0
818,1925,0
826,1882,0
831,1855,0
832,1831,0
834,1823,0
834,1822,0
837,1839,0
837,1879,0
831,1935,0
824,2007,0
820,2059,0
823,2100,0
832,2117,0
844,2127,0
854,2120,0
865,2105,0
878,2078,0
895,2040,0
917,2002,0
934,1975,0
945,1971,0
945,1972,0
945,1983,0
947,2012,0
951,2048,0
956,2073,0
967,2098,0
981,2111,0
998,2111,0
1017,2104,0
1036,2088,0
1054,2065,0
1066,2036,0
1072,2012,0
1071,2001,0
1064,1997,0
1054,2001,0
1044,2016,0
1040,2048,0
1041,2076,0
1049,2104,0
1068,2116,0
1095,2121,0
1125,2112,0
1158,2099,0
1185,2082,0
1206,2064,0
1221,2047,1
1392,2088,0
1391,2088,0
1391,2088,0
1392,2087,0
1396,2083,0
1408,2077,0
1424,2062,0
1444,2038,0
1471,2008,0
1501,1972,0
1539,1942,0
1567,1902,0
1593,1869,0
1614,1841,0
1621,1814,0
1625,1804,0
1625,1804,0
1625,1813,0
1621,1840,0
1612,1879,0
1607,1936,0
1598,1993,0
1590,2045,0
1580,2093,0
1570,2132,0
1567,2162,0
1568,2178,0
1568,2183,0
1566,2178,0
1565,2167,0
1556,2132,0
1551,2100,0
1543,2069,0
1538,2050,0
1532,2035,0
1529,2031,0
1527,2032,0
1530,2043,0
1537,2070,0
1544,2094,0
1558,2115,0
1575,2123,0
1597,2117,0
1630,2104,0
1661,2074,0
1685,2033,0
1710,1991,0
1726,1938,0
1748,1896,0
1758,1858,0
1761,1835,0
1760,1826,0
1762,1830,0
1763,1843,0
1767,1880,0
1762,1933,0
1756,2000,0
1752,2065,0
1758,2106,0
1773,2130,0
1786,2134,0
1802,2136,0
1815,2123,0
1829,2096,0
1846,2055,0
1865,2017,0
1881,1997,0
1887,1986,0
1888,1985,0
1886,1985,0
1888,1998,0
1898,2029,0
1901,2058,0
1908,2086,0
1915,2100,0
1931,2106,0
1954,2105,0
1976,2090,0
2005,2072,0
2032,2045,0
2060,2022,0
2087,2007,0
2108,1995,0
2118,1990,0
2121,1989,0
2124,1991,0
2121,1988,0
2118,1985,0
2111,1981,0
2097,1978,0
2081,1983,0
2065,1993,0
2057,2014,0
2054,2043,0
2058,2067,0
2068,2081,0
2082,2082,0
2100,2073,0
2117,2059,0
2127,2041,0
2135,2026,0
2133,2014,0
2130,2011,0
2125,2009,0
2127,2012,0
2129,2012,0
2143,2007,0
2160,1993,0
2187,1982,0
2211,1972,0
2233,1967,0
2250,1966,0
2260,1973,0
2264,1985,0
2268,2007,0
2265,2027,0
2265,2051,0
2265,2065,0
2275,2074,0
2285,2072,0
2299,2058,0
2317,2037,0
2332,2012,0
2345,1993,0
2352,1984,0
2352,1983,0
2351,1985,0
2355,1997,0
2357,2014,0
2366,2032,0
2375,2046,0
2384,2050,0
2400,2053,0
2421,2048,0
2444,2036,0
2472,2021,0
2499,2005,0
2520,1994,0
2533,1988,0
2545,1988,0
2552,1988,0
2557,1990,0
2557,1990,0
2557,1990,0
2553,1988,0
2545,1983,0
2538,1984,0
2528,1987,0
2514,1993,0
2506,2010,0
2497,2026,0
2499,2044,0
2507,2054,0
2516,2057,0
2528,2053,0
2540,2043,0
2552,2030,0
2563,2016,0
2567,2002,0
2570,1999,0
2569,2000,0
2567,2007,0
2572,2028,0
2574,2053,0
2580,2094,0
2579,2140,0
2579,2190,0
2579,2234,0
2576,2262,0
2570,2280,0
2562,2286,0
2553,2287,0
2545,2283,0
2537,2270,0
2528,2246,0
2526,2209,0
2534,2164,0
2552,2115,0
2571,2070,0
2589,2025,0
2610,1981,0
2634,1941,0
2654,1906,0
2666,1885,0
2671,1880,0
2670,1881,0
2665,1886,0
2663,1915,0
2654,1955,0
2646,1994,0
2644,2022,0
2646,2035,0
2652,2040,0
2661,2038,0
2673,2033,0
2689,2014,0
2714,1987,0
2731,1961,0
2741,1952,0
2741,1952,0
2741,1956,0
2741,1973,0
2743,1998,0
2739,2024,0
2739,2045,0
2747,2060,0
2753,2065,0
2765,2065,0
2777,2054,0
2795,2031,0
2817,2001,0
2843,1965,0
2861,1925,0
2874,1887,0
2889,1860,0
2892,1834,0
2901,1824,0
2902,1823,0
2898,1826,0
2903,1851,0
2903,1886,0
2900,1930,0
2904,1978,0
2897,2018,0
2894,2048,0
2893,2066,0
2893,2072,0
2897,2074,0
2895,2064,0
2890,2047,0
2881,2028,0
2872,2014,0
2869,2005,0
2874,1996,0
2885,1985,0
2906,1981,0
2927,1977,0
2947,1978,0
2965,1983,0
2982,1988,0
2994,1993,1
3102,2024,0
3098,2017,0
3099,2016,0
3104,2022,0
3108,2035,0
3105,2056,0
3096,2084,0
3081,2111,0
3064,2134,0
3057,2147,0
3054,2149,0
3049,2143,0
3050,2131,1
3303,2044,0
3300,2041,0
3305,2036,0
3309,2018,0
3320,1993,0
3330,1961,0
3343,1932,0
3351,1908,0
3362,1894,0
3373,1891,0
3389,1899,0
3406,1915,0
3418,1946,0
3429,1990,0
3428,2025,0
3420,2054,0
3404,2073,0
3395,2085,0
3382,2086,0
3371,2082,0
3363,2072,0
3354,2058,0
3349,2046,0
3351,2044,0
3350,2043,0
3356,2048,0
3368,2059,0
3383,2074,0
3401,2083,0
3416,2083,0
3438,2076,0
3460,2061,0
3483,2038,0
3515,2010,0
3545,1983,0
3566,1962,0
3571,1954,0
3574,1956,0
3577,1959,0
3576,1961,0
3576,1960,0
3576,1961,0
3572,1960,0
3559,1957,0
3547,1960,0
3535,1971,0
3525,1990,0
3518,2020,0
3520,2049,0
3531,2062,0
3546,2061,0
3568,2053,0
3589,2038,0
3603,2019,0
3607,2000,0
3604,1983,0
3599,1977,0
3596,1981,0
3587,1981,0
3590,1983,0
3597,1985,0
3609,1983,0
3626,1974,0
3652,1965,0
3672,1949,0
3693,1940,0
3706,1935,0
3713,1939,0
3717,1948,0
3719,1966,0
3713,1989,0
3707,2017,0
3705,2042,0
3699,2058,0
3703,2065,0
3705,2062,0
3711,2055,0
3717,2031,0
3727,2005,0
3744,1978,0
3756,1954,0
3765,1940,0
3771,1938,0
3781,1945,0
3790,1959,0
3799,1983,0
3800,2011,0
3805,2038,0
3804,2053,0
3810,2060,0
3814,2060,0
3816,2057,0
3824,2039,0
3834,2009,0
3850,1979,0
3863,1951,0
3875,1932,0
3877,1927,0
3881,1931,0
3886,1944,0
3887,1966,0
3892,1995,0
3899,2021,0
3909,2041,0
3926,2051,0
3945,2052,0
3965,2043,0
3983,2029,0
4003,2007,0
4013,1983,0
4015,1964,0
4010,1956,0
3998,1954,0
3988,1962,0
3976,1981,0
3968,2010,0
3963,2038,0
3971,2065,0
3981,2079,0
3996,2084,0
4017,2081,0
4043,2063,0
