&quot;Dear, serious Father,&quot;
400
1187,853,0
1196,864,0
1198,867,0
1196,875,0
1179,883,0
1169,904,0
1152,930,0
1129,952,0
1113,973,0
1099,990,0
1085,1001,0
1071,1010,0
1068,1018,1
1171,851,0
1167,852,0
1167,856,0
1159,865,0
1161,877,0
1134,896,0
1122,912,0
1115,928,0
1113,945,1
1336,897,0
1331,900,0
1331,916,0
1331,946,0
1325,982,0
1322,1028,0
1311,1081,0
1296,1138,0
1286,1193,0
1277,1239,0
1269,1273,0
1261,1295,0
1255,1303,1
1407,895,0
1430,889,0
1459,883,0
1488,881,0
1527,890,0
1556,905,0
1595,936,0
1627,978,0
1652,1023,0
1667,1067,0
1668,1108,0
1661,1150,0
1645,1192,0
1615,1226,0
1581,1260,0
1539,1287,0
1494,1305,0
1450,1307,0
1415,1300,0
1387,1284,0
1372,1263,0
1377,1249,0
1387,1225,0
1408,1207,0
1435,1194,0
1467,1191,0
1497,1196,0
1527,1209,0
1559,1225,0
1588,1239,0
1625,1252,0
1662,1256,0
1705,1249,0
1746,1230,0
1788,1198,0
1820,1160,0
1844,1131,0
1850,1116,0
1841,1113,0
1819,1120,0
1783,1142,0
1749,1175,0
1730,1211,0
1723,1244,0
1726,1265,0
1745,1281,0
1779,1294,0
1822,1295,0
1862,1281,1
1953,1196,0
1924,1231,0
1908,1258,0
1916,1277,0
1935,1283,1
1964,1276,0
1997,1254,0
2036,1230,0
2070,1204,0
2092,1184,0
2104,1177,0
2111,1182,0
2110,1194,0
2109,1217,0
2105,1237,0
2104,1255,0
2115,1272,1
2236,1288,0
2230,1288,0
2227,1286,0
2219,1276,0
2207,1260,0
2197,1241,0
2186,1218,0
2186,1196,0
2193,1170,0
2204,1150,0
2219,1140,0
2240,1133,0
2264,1130,1
2434,1314,0
2425,1317,0
2427,1327,0
2416,1340,0
2404,1365,0
2385,1392,0
2367,1418,0
2353,1431,0
2357,1433,1
2893,1105,0
2878,1102,0
2853,1105,0
2819,1118,0
2791,1135,0
2784,1148,0
2787,1157,0
2811,1166,0
2835,1171,0
2871,1181,0
2893,1190,0
2912,1205,0
2916,1223,0
2903,1245,0
2885,1267,0
2850,1285,0
2815,1295,0
2795,1296,0
2787,1287,0
2796,1274,0
2810,1260,0
2823,1252,0
2850,1248,0
2885,1242,0
2919,1235,0
2959,1228,0
3005,1220,0
3043,1206,0
3081,1187,0
3110,1165,0
3125,1143,0
3124,1126,0
3115,1118,0
3089,1115,0
3064,1124,0
3028,1143,0
2998,1172,0
2987,1204,0
3003,1231,0
3033,1252,0
3075,1266,0
3119,1277,0
3162,1283,0
3199,1281,0
3230,1274,0
3248,1263,0
3264,1250,0
3279,1238,0
3276,1223,0
3271,1206,0
3264,1184,0
3266,1163,0
3265,1146,0
3266,1132,0
3274,1126,0
3279,1122,0
3300,1124,1
3447,1189,0
3440,1194,0
3438,1209,0
3430,1227,0
3422,1245,0
3415,1259,0
3410,1261,0
3418,1253,0
3426,1235,1
3439,1058,0
3425,1052,0
3425,1052,0
3424,1054,0
3428,1055,1
3685,1209,0
3668,1209,0
3648,1213,0
3629,1218,0
3613,1228,0
3594,1242,0
3580,1261,0
3571,1282,0
3568,1300,0
3578,1308,0
3600,1305,0
3633,1293,0
3660,1268,1
3748,1169,0
3743,1171,0
3735,1179,0
3724,1197,0
3715,1222,0
3704,1248,0
3702,1271,0
3714,1285,0
3735,1288,0
3765,1278,0
3800,1257,0
3833,1228,0
3866,1206,0
3884,1194,0
3887,1195,0
3894,1203,0
3891,1221,0
3885,1247,0
3884,1274,0
3892,1297,1
4082,1186,0
4070,1182,0
4053,1182,0
4034,1190,0
4022,1199,0
4015,1206,0
4027,1219,0
4056,1236,0
4087,1255,0
4110,1275,0
4127,1298,0
4129,1315,0
4119,1328,0
4102,1339,0
4077,1351,0
4044,1355,0
4024,1353,1
4647,1015,0
4644,1023,0
4647,1046,0
4639,1080,0
4627,1123,0
4610,1170,0
4592,1218,0
4583,1261,0
4576,1295,0
4573,1319,0
4568,1333,0
4563,1334,0
4555,1320,1
4530,1035,0
4528,1028,0
4536,1028,0
4553,1027,0
4590,1025,0
4632,1021,0
4686,1018,0
4737,1015,0
4790,1016,0
4835,1017,0
4863,1020,0
4882,1025,0
4873,1030,1
4525,1189,0
4524,1192,0
4544,1194,0
4578,1193,0
4618,1185,0
4662,1178,0
4708,1176,0
4741,1176,0
4776,1184,1
4895,1204,0
4881,1197,0
4864,1196,0
4838,1204,0
4803,1221,0
4758,1246,0
4722,1271,0
4705,1287,0
4708,1290,0
4743,1284,0
4795,1263,0
4840,1241,0
4872,1228,0
4893,1228,0
4907,1234,0
4917,1247,0
4915,1268,0
4911,1294,0
4908,1319,0
4910,1340,0
4919,1353,0
4929,1359,0
4948,1355,0
4965,1339,1
5128,1063,0
5125,1061,0
5128,1063,0
5125,1076,0
5118,1104,0
5109,1143,0
5097,1192,0
5086,1249,0
5081,1309,0
5081,1355,0
5077,1381,0
5083,1389,0
5078,1380,1
5045,1261,0
5033,1261,0
5028,1263,0
5032,1265,0
5051,1270,0
5085,1267,0
5127,1250,0
5174,1230,1
5306,1013,0
5305,1015,0
5306,1030,0
5304,1061,0
5291,1102,0
5277,1148,0
5262,1192,0
5245,1229,0
5238,1256,0
5238,1271,0
5252,1278,0
5269,1276,0
5296,1256,0
5322,1234,0
5345,1223,0
5360,1227,0
5371,1233,0
5384,1247,0
5400,1266,0
5402,1289,0
5409,1312,0
5420,1329,0
5438,1341,0
5462,1347,0
5495,1344,0
5528,1332,0
5561,1314,0
5578,1295,0
5594,1283,0
5588,1274,0
5578,1265,0
5565,1264,0
5528,1267,0
5503,1281,0
5483,1296,0
5483,1313,0
5491,1331,0
5515,1349,0
5540,1364,0
5573,1377,0
5610,1380,0
5639,1378,0
