No doubt, too, that he had been
538
844,2099,0
837,2106,0
836,2142,0
837,2194,0
839,2251,0
842,2299,0
848,2333,0
852,2345,0
858,2350,0
863,2346,0
868,2330,0
877,2295,0
879,2235,0
877,2171,0
871,2114,0
861,2080,0
847,2059,0
839,2058,0
837,2065,0
844,2103,0
872,2166,0
897,2212,0
921,2247,0
941,2268,0
955,2273,0
966,2274,0
972,2270,0
980,2258,0
989,2223,0
996,2175,0
998,2119,0
998,2071,0
1003,2051,0
1004,2039,0
1006,2039,0
1007,2039,0
1019,2064,1
1130,2196,0
1122,2188,0
1115,2180,0
1110,2176,0
1105,2181,0
1093,2197,0
1084,2232,0
1080,2273,0
1088,2309,0
1102,2333,0
1125,2344,0
1153,2347,0
1180,2334,0
1204,2313,0
1228,2292,0
1242,2262,0
1248,2238,0
1240,2218,0
1218,2200,0
1189,2190,0
1159,2187,0
1136,2188,0
1127,2196,0
1124,2193,0
1129,2192,1
1662,2149,0
1647,2140,0
1631,2133,0
1614,2125,0
1598,2125,0
1580,2130,0
1562,2154,0
1546,2195,0
1534,2235,0
1531,2265,0
1535,2276,0
1551,2285,0
1570,2280,0
1590,2268,0
1610,2246,0
1630,2212,0
1651,2177,0
1663,2128,0
1669,2079,0
1669,2042,0
1662,2019,0
1660,2019,0
1662,2024,0
1660,2049,0
1669,2101,0
1685,2163,0
1691,2212,0
1701,2251,0
1708,2277,0
1713,2288,0
1723,2293,0
1734,2282,0
1749,2256,1
1815,2153,0
1809,2154,0
1802,2162,0
1792,2191,0
1789,2234,0
1790,2263,0
1797,2274,0
1814,2281,0
1832,2275,0
1848,2260,0
1868,2248,0
1878,2223,0
1885,2199,0
1886,2177,0
1879,2159,0
1863,2143,0
1848,2136,0
1836,2136,0
1831,2139,0
1831,2143,1
1941,2146,0
1926,2165,0
1923,2210,0
1929,2246,0
1942,2263,0
1954,2265,0
1974,2261,0
1991,2250,0
2000,2229,0
2013,2210,0
2023,2183,0
2035,2159,0
2043,2138,0
2043,2120,0
2041,2108,0
2037,2096,0
2035,2089,1
2058,2019,0
2058,2019,0
2061,2034,0
2070,2071,0
2072,2101,0
2072,2128,0
2066,2144,0
2067,2152,0
2070,2155,0
2077,2152,0
2102,2145,0
2134,2137,0
2163,2135,0
2184,2142,0
2195,2154,0
2193,2168,0
2179,2189,0
2157,2215,0
2132,2241,0
2108,2262,0
2092,2270,0
2084,2269,0
2081,2262,0
2082,2230,1
2248,2005,0
2246,2006,0
2250,2028,0
2256,2066,0
2265,2108,0
2269,2143,0
2273,2173,0
2273,2191,0
2270,2203,1
2190,2133,0
2193,2136,0
2196,2134,0
2217,2127,0
2255,2119,0
2297,2107,0
2328,2096,0
2353,2094,0
2370,2097,1
2456,2150,0
2454,2152,0
2449,2165,0
2439,2191,0
2433,2224,0
2430,2259,0
2429,2293,0
2432,2320,0
2435,2336,1
2760,1961,0
2762,1964,0
2770,1990,0
2783,2032,0
2801,2075,0
2815,2116,0
2823,2152,0
2822,2180,0
2818,2200,1
2740,2113,0
2738,2115,0
2739,2114,0
2745,2114,0
2772,2117,0
2813,2113,0
2859,2104,0
2897,2091,0
2923,2082,0
2936,2079,0
2941,2081,0
2940,2082,0
2931,2091,0
2914,2117,0
2909,2145,0
2906,2164,0
2914,2172,0
2931,2174,0
2949,2167,0
2964,2159,0
2980,2149,0
2991,2138,0
2998,2127,0
2999,2115,0
3000,2102,0
2984,2084,0
2967,2072,0
2950,2067,0
2932,2067,0
2929,2075,0
2928,2082,0
2943,2090,0
2970,2098,1
3119,2082,0
3095,2079,0
3072,2079,0
3048,2081,0
3026,2093,0
3002,2117,0
2983,2152,0
2979,2188,0
2988,2207,0
3014,2217,0
3054,2210,0
3100,2189,0
3138,2161,0
3172,2137,0
3192,2115,0
3201,2101,0
3201,2094,0
3196,2087,0
3182,2085,0
3170,2087,0
3160,2085,1
3292,2131,0
3282,2148,0
3267,2182,0
3252,2215,0
3250,2246,1
3612,1880,0
3612,1882,0
3611,1883,0
3617,1889,0
3618,1908,0
3633,1955,0
3653,2005,0
3656,2047,0
3661,2082,0
3665,2108,0
3668,2125,0
3669,2132,0
3666,2129,1
3538,2025,0
3532,2027,0
3536,2029,0
3571,2035,0
3620,2036,0
3677,2033,0
3730,2027,0
3765,2019,0
3780,2004,1
3759,1913,0
3735,1913,0
3737,1944,0
3742,1981,0
3758,2022,0
3771,2060,0
3775,2081,0
3785,2094,0
3785,2095,0
3792,2092,0
3812,2078,0
3836,2050,0
3873,2031,0
3896,2025,0
3914,2034,0
3931,2051,0
3941,2073,0
3939,2091,0
3935,2110,0
3936,2123,0
3940,2125,1
4029,2017,0
4020,2017,0
4013,2021,0
4000,2041,0
3981,2077,0
3974,2110,0
3971,2121,0
3980,2122,0
3992,2111,0
4012,2089,0
