That, &quot;said Sir Arthur&quot;, is the
627
1506,3534,0
1503,3534,0
1502,3542,0
1494,3563,0
1483,3589,0
1475,3626,0
1467,3667,0
1462,3716,0
1462,3764,0
1462,3797,0
1467,3828,0
1476,3855,0
1481,3871,1
1405,3581,0
1411,3577,0
1426,3571,0
1451,3568,0
1477,3561,0
1506,3554,0
1537,3546,0
1564,3538,0
1594,3534,1
1595,3610,0
1597,3647,0
1594,3684,0
1589,3728,0
1589,3761,0
1592,3793,0
1597,3808,0
1602,3815,0
1607,3811,0
1609,3794,0
1611,3773,0
1613,3749,0
1621,3720,0
1628,3694,0
1634,3677,0
1644,3672,0
1653,3670,0
1662,3677,0
1668,3691,0
1674,3719,0
1670,3744,0
1671,3776,0
1672,3820,0
1677,3832,1
1822,3715,0
1824,3707,0
1819,3696,0
1814,3693,0
1803,3691,0
1792,3693,0
1777,3696,0
1761,3708,0
1744,3719,0
1737,3744,0
1732,3770,0
1736,3802,0
1737,3826,0
1746,3836,0
1759,3834,0
1770,3829,0
1779,3805,0
1786,3784,0
1799,3766,0
1807,3739,0
1816,3725,0
1820,3712,0
1823,3712,0
1821,3712,0
1822,3720,0
1821,3732,0
1813,3746,0
1810,3767,0
1811,3788,0
1811,3807,0
1812,3816,0
1816,3824,0
1820,3826,1
1889,3598,0
1886,3595,0
1886,3595,0
1886,3599,0
1885,3612,0
1883,3645,0
1882,3682,0
1880,3715,0
1877,3744,0
1877,3777,0
1880,3830,0
1884,3842,0
1886,3845,0
1889,3848,0
1894,3852,0
1895,3839,1
1862,3736,0
1863,3731,0
1875,3725,0
1886,3722,0
1904,3723,1
2023,3837,0
2015,3843,0
2012,3852,0
2007,3858,0
2005,3867,0
2002,3875,0
1997,3881,0
1997,3889,0
2002,3892,1
2208,3655,1
2242,3656,0
2239,3653,0
2236,3653,0
2232,3663,0
2223,3684,0
2219,3710,0
2235,3755,1
2427,3679,0
2419,3677,0
2412,3680,0
2402,3689,0
2387,3698,0
2377,3715,0
2366,3761,0
2375,3771,0
2393,3785,0
2405,3849,0
2384,3865,0
2358,3874,0
2337,3877,0
2321,3865,1
2564,3714,0
2564,3711,0
2560,3703,0
2555,3697,0
2545,3692,0
2531,3689,0
2519,3694,0
2506,3703,0
2495,3721,0
2488,3745,0
2482,3769,0
2487,3797,0
2497,3819,0
2507,3828,0
2523,3831,0
2534,3826,0
2540,3811,0
2550,3794,0
2557,3774,0
2561,3746,0
2564,3723,0
2560,3703,0
2555,3692,0
2551,3689,0
2552,3694,0
2550,3703,0
2552,3728,0
2553,3754,0
2557,3782,0
2559,3799,0
2566,3813,0
2575,3822,0
2581,3820,0
2587,3813,0
2594,3798,0
2605,3780,0
2613,3754,0
2617,3731,0
2619,3713,0
2616,3701,0
2612,3694,0
2608,3691,0
2609,3695,0
2609,3699,0
2610,3717,0
2609,3739,0
2608,3761,0
2610,3785,0
2612,3802,0
2615,3815,0
2623,3828,0
2631,3834,0
2641,3834,1
2764,3717,0
2762,3705,0
2759,3698,0
2753,3691,0
2745,3686,0
2741,3688,0
2729,3694,0
2713,3701,0
2699,3717,0
2688,3735,0
2686,3758,0
2690,3782,0
2697,3796,0
2709,3809,0
2717,3809,0
2726,3805,0
2735,3797,0
2743,3789,0
2746,3774,0
2753,3754,0
2758,3728,1
2760,3622,0
2760,3626,0
2758,3627,0
2758,3641,0
2762,3665,0
2766,3703,0
2765,3730,0
2765,3752,0
2769,3773,0
2772,3789,0
2774,3796,0
2781,3806,1
2641,3619,0
2642,3624,0
2639,3621,0
2638,3621,0
2639,3621,1
3197,3605,0
3185,3598,0
3171,3597,0
3156,3597,0
3139,3603,0
3101,3708,0
3123,3714,0
3148,3723,0
3174,3735,0
3190,3749,0
3202,3770,0
3200,3790,0
3189,3809,0
3176,3831,0
3158,3846,0
3133,3855,0
3110,3859,0
3087,3853,0
3069,3844,0
3056,3834,0
3052,3818,0
3058,3800,0
3077,3785,1
3249,3686,0
3239,3691,0
3235,3699,0
3238,3720,0
3242,3741,0
3247,3766,0
3251,3787,0
3253,3805,0
3257,3817,0
3261,3828,0
3264,3831,0
3268,3834,0
3269,3822,1
3257,3643,0
3253,3641,0
3250,3638,0
3250,3638,0
3248,3634,1
3339,3831,0
3338,3833,0
3339,3837,0
3338,3837,0
3337,3834,0
3337,3834,0
3339,3832,0
3337,3829,0
3339,3822,0
3334,3807,0
3330,3791,0
3324,3766,0
3321,3744,0
3323,3725,0
3327,3703,0
3329,3691,0
3334,3689,0
3337,3687,0
3346,3685,0
3361,3686,0
3376,3686,1
3653,3880,0
3653,3880,0
3655,3873,0
3653,3860,0
3657,3848,0
3660,3826,0
3666,3802,0
3674,3777,0
3681,3747,0
3688,3718,0
3692,3685,0
3697,3650,0
3703,3622,0
3708,3597,0
3709,3576,0
3715,3567,0
3715,3562,0
3718,3565,0
3716,3566,0
3717,3581,0
3720,3609,0
3724,3636,0
3730,3672,0
3738,3710,0
3745,3745,0
3752,3775,0
3768,3807,0
3784,3835,0
3798,3855,0
3809,3867,0
3820,3878,0
3823,3877,0
3826,3874,1
3643,3740,0
3650,3735,0
3666,3734,0
3682,3726,0
3706,3719,0
3732,3710,0
3761,3699,0
3785,3689,1
3846,3693,0
3845,3699,0
3847,3707,0
3851,3720,0
3853,3734,0
3856,3756,0
3855,3776,0
3859,3804,0
3862,3828,0
3863,3847,0
3869,3862,0
3872,3870,0
3874,3874,0
3874,3874,0
3874,3874,0
3874,3868,0
3870,3851,0
3867,3834,0
3865,3814,0
3863,3796,0
3860,3779,0
3859,3764,0
3848,3728,0
