He had thick, rather long,
517
1153,1831,0
1150,1836,0
1148,1836,0
1148,1840,0
1151,1855,0
1159,1883,0
1165,1915,0
1174,1950,0
1184,1994,0
1189,2034,0
1197,2081,0
1202,2125,0
1208,2169,0
1209,2196,0
1210,2217,0
1212,2220,0
1213,2205,1
1290,1900,0
1300,1915,0
1309,1942,0
1316,1978,0
1319,2017,0
1322,2061,0
1323,2098,0
1326,2129,0
1332,2157,1
1135,2104,0
1124,2113,0
1127,2113,0
1144,2116,0
1174,2118,0
1213,2113,0
1266,2112,0
1314,2099,0
1365,2088,0
1409,2064,0
1450,2044,0
1483,2022,0
1504,1996,0
1518,1981,0
1517,1968,0
1507,1966,0
1486,1971,0
1472,2000,0
1455,2036,0
1440,2079,0
1443,2128,0
1456,2157,0
1482,2176,0
1517,2186,0
1553,2186,1
1847,1816,0
1845,1812,0
1845,1812,0
1849,1819,0
1853,1835,0
1863,1869,0
1866,1911,0
1874,1966,0
1877,2012,0
1876,2043,0
1879,2067,0
1882,2075,0
1884,2075,0
1889,2067,0
1899,2051,0
1909,2015,0
1930,1978,0
1952,1947,0
1975,1927,0
1993,1926,0
2004,1939,0
2012,1966,0
2022,2006,0
2032,2041,0
2044,2065,1
2179,1944,0
2152,1970,0
2132,2010,0
2118,2049,0
2119,2081,0
2124,2087,0
2143,2081,0
2165,2060,0
2195,2033,0
2219,1995,0
2240,1959,0
2251,1932,0
2255,1930,0
2256,1938,0
2256,1962,0
2252,1997,0
2256,2043,0
2255,2077,0
2266,2102,0
2282,2112,0
2309,2113,1
2475,1906,0
2465,1899,0
2441,1903,0
2409,1923,0
2374,1963,0
2346,2012,0
2333,2059,0
2338,2086,0
2352,2095,0
2372,2087,0
2398,2064,0
2421,2028,0
2439,1974,0
2457,1915,0
2468,1855,0
2472,1800,0
2473,1762,0
2473,1742,0
2473,1742,0
2470,1759,0
2471,1801,0
2468,1855,0
2465,1915,0
2470,1976,0
2481,2029,0
2496,2067,0
2511,2091,0
2523,2102,0
2536,2103,1
2876,1785,0
2878,1818,0
2880,1852,0
2888,1890,0
2899,1930,0
2900,1964,0
2908,2002,0
2912,2031,0
2917,2054,1
2798,1952,0
2803,1959,0
2813,1959,0
2837,1959,0
2864,1949,0
2889,1929,0
2927,1908,0
2956,1876,0
2982,1840,0
3001,1800,0
3018,1767,0
3033,1744,0
3039,1730,0
3044,1730,0
3049,1742,0
3055,1773,0
3058,1819,0
3055,1873,0
3054,1928,0
3051,1979,0
3046,2014,0
3047,2031,0
3051,2033,0
3060,2022,0
3069,1995,0
3082,1956,0
3104,1915,0
3122,1881,0
3139,1867,0
3150,1872,0
3158,1894,0
3160,1928,0
3172,1970,0
3185,2003,0
3198,2019,0
3216,2024,0
3235,2020,0
3253,2005,0
3278,1981,0
3296,1946,0
3318,1911,0
3332,1880,0
3342,1860,0
3350,1857,0
3348,1859,0
3352,1874,0
3361,1902,0
3366,1929,0
3371,1954,0
3380,1975,0
3387,1987,0
3392,1993,0
3397,1992,1
3326,1746,0
3318,1743,0
3320,1741,0
3325,1742,0
3330,1746,1
3584,1852,1
3569,1837,0
3556,1836,0
3540,1845,0
3521,1865,0
3503,1898,0
3494,1937,0
3495,1969,0
3508,1991,0
3532,2000,0
3559,1997,0
3593,1985,0
3623,1964,1
3725,1740,0
3728,1750,0
3732,1776,0
3724,1811,0
3728,1857,0
3727,1897,0
3730,1927,0
3728,1945,0
3728,1952,1
3824,1816,0
3817,1819,0
3798,1829,0
3770,1851,0
3748,1886,0
3728,1918,0
3723,1937,0
3741,1948,0
3774,1954,0
3819,1959,0
3855,1955,0
3892,1950,0
3911,1942,1
4023,1952,0
4031,1976,0
4031,2007,0
4024,2039,0
4015,2070,1
4184,1814,0
4185,1838,0
4186,1861,0
4186,1886,0
4190,1911,0
4193,1930,0
4196,1941,0
4198,1944,0
4203,1945,0
4201,1940,0
4199,1927,0
4195,1901,0
4193,1872,0
4188,1841,0
4191,1816,0
4196,1798,0
4203,1788,0
4213,1784,0
4222,1783,0
4243,1787,0
4273,1791,0
4306,1796,0
4342,1795,0
4374,1792,0
4428,1791,0
4466,1787,0
4488,1780,0
4502,1777,0
4510,1777,0
4514,1780,0
4499,1784,0
4480,1796,0
4455,1818,0
4437,1848,0
4419,1882,0
4417,1911,0
4418,1927,0
4429,1933,0
4442,1932,0
4458,1920,0
4478,1899,0
4493,1869,0
4503,1839,0
4508,1820,0
4514,1805,0
4519,1806,0
4522,1819,0
4522,1845,0
4512,1875,0
4524,1913,0
4543,1940,0
4562,1954,0
4584,1955,0
4610,1947,0
4638,1927,0
4663,1894,0
4690,1848,0
4706,1792,0
4720,1741,0
4722,1696,0
4727,1662,0
4732,1640,0
4739,1633,0
4743,1635,0
4750,1649,0
4755,1678,0
4755,1718,0
4764,1771,0
4776,1821,0
4777,1858,0
4782,1887,0
4786,1907,0
4780,1918,1
4673,1845,0
4678,1844,0
4684,1839,0
4705,1832,0
4724,1820,0
4757,1806,0
4779,1787,0
4806,1766,0
4825,1741,0
4842,1710,0
4862,1679,0
4875,1648,0
4886,1628,0
4891,1620,0
4898,1621,0
4907,1633,0
4913,1660,0
4914,1701,0
4912,1749,0
4903,1790,0
4905,1826,0
4907,1853,0
4908,1868,0
4912,1872,0
4913,1869,0
4919,1855,0
4926,1829,0
