a lot more he said, &quot;No,
471
920,3846,0
900,3880,0
880,3927,0
863,3974,0
854,4002,0
850,4017,0
851,4018,0
855,4005,0
869,3983,0
889,3952,0
908,3904,0
926,3865,0
938,3830,0
946,3810,0
948,3806,0
948,3806,0
950,3814,0
954,3839,0
955,3875,0
952,3914,0
957,3950,0
978,3967,0
1018,3960,0
1066,3945,0
1111,3916,1
1524,3999,0
1524,3991,0
1526,3978,0
1534,3962,0
1546,3923,0
1568,3884,0
1594,3836,0
1620,3785,0
1642,3725,0
1662,3677,0
1673,3634,0
1658,3604,0
1628,3637,0
1585,3692,0
1541,3767,0
1500,3853,0
1470,3940,0
1458,4002,0
1469,4041,0
1493,4055,0
1524,4059,0
1560,4051,0
1594,4034,0
1626,3998,0
1662,3960,0
1696,3914,0
1708,3860,0
1706,3840,0
1689,3834,0
1669,3842,0
1648,3861,0
1631,3884,0
1623,3925,0
1620,3970,0
1627,4005,0
1643,4020,0
1663,4016,0
1682,4005,0
1696,3991,0
1708,3977,0
1711,3957,0
1708,3933,0
1704,3917,0
1701,3909,0
1699,3905,0
1702,3905,0
1714,3903,0
1737,3891,0
1770,3877,0
1809,3857,0
1853,3824,0
1897,3785,0
1936,3743,0
1981,3683,0
1981,3678,0
1975,3680,0
1882,3973,0
1874,4015,0
1875,4032,0
1877,4032,0
1879,4031,0
1879,4018,0
1877,3986,0
1877,3950,0
1872,3910,1
1860,3908,0
1855,3921,0
1886,3935,0
1967,3917,0
2015,3884,0
2029,3881,0
2028,3882,1
2411,3865,0
2407,3892,0
2399,3932,0
2379,3969,0
2362,4017,0
2347,4055,0
2334,4080,0
2326,4091,0
2324,4083,0
2329,4074,0
2335,4042,0
2348,3995,0
2375,3949,0
2408,3899,0
2438,3855,0
2468,3822,0
2491,3817,0
2506,3824,0
2511,3848,0
2507,3880,0
2496,3923,0
2487,3964,0
2480,3983,0
2488,3994,0
2500,3985,0
2521,3956,0
2550,3923,0
2576,3878,0
2606,3862,0
2615,3853,0
2618,3874,0
2610,3911,0
2598,3964,0
2586,4012,0
2583,4052,0
2588,4075,0
2601,4070,0
2632,4049,0
2671,4000,0
2712,3947,0
2750,3900,0
2777,3861,0
2789,3839,0
2792,3827,0
2789,3821,0
2781,3820,0
2768,3826,0
2755,3836,0
2743,3855,0
2735,3876,0
2724,3898,0
2718,3931,0
2723,3969,0
2729,3983,0
2744,3990,0
2761,3987,0
2774,3981,0
2787,3966,0
2798,3949,0
2805,3915,0
2809,3872,0
2811,3845,0
2808,3834,0
2799,3829,0
2794,3831,0
2794,3840,0
2796,3861,0
2796,3878,0
2804,3901,0
2813,3906,0
2830,3899,0
2856,3882,0
2885,3863,0
2905,3844,0
2924,3844,0
2926,3847,0
2931,3867,0
2929,3895,0
2924,3929,0
2917,3968,0
2907,4004,0
2902,4032,0
2900,4038,0
2903,4032,0
2909,4012,0
2920,3979,0
2931,3939,0
2945,3896,0
2955,3860,0
2967,3845,0
2972,3846,0
2975,3849,0
2985,3862,0
2995,3875,0
3007,3887,0
3020,3894,0
3025,3891,0
3037,3884,0
3052,3867,0
3066,3846,0
3071,3830,0
3068,3827,0
3059,3841,0
3042,3872,0
3022,3916,0
3002,3965,0
2988,4030,0
2986,4090,0
3006,4115,0
3052,4092,0
3115,4051,0
3180,3998,0
3244,3954,1
3516,3937,0
3512,3940,0
3511,3941,0
3515,3939,0
3520,3926,0
3536,3901,0
3558,3867,0
3580,3819,0
3604,3767,0
3633,3713,0
3653,3653,0
3670,3607,0
3674,3573,0
3673,3564,0
3660,3569,0
3638,3595,0
3611,3645,0
3578,3717,0
3540,3802,0
3506,3892,0
3481,3970,0
3477,4029,0
3484,4062,0
3498,4067,0
3517,4061,0
3540,4036,0
3578,3998,0
3617,3949,0
3657,3911,0
3684,3902,0
3687,3910,0
3679,3940,0
3663,3984,0
3651,4022,0
3648,4044,0
3650,4051,0
3665,4050,0
3688,4030,0
3715,3993,0
3756,3954,0
3791,3904,0
3819,3859,0
3833,3834,0
3824,3830,0
3799,3844,0
3764,3880,0
3730,3929,0
