him, one flat, the blankets on the other
925
328,3465,0
328,3464,0
328,3456,0
329,3457,0
333,3461,0
336,3478,0
338,3507,0
341,3545,0
345,3579,0
349,3617,0
351,3661,0
354,3699,0
357,3732,0
362,3757,0
366,3779,0
368,3791,0
370,3796,0
371,3792,0
374,3788,0
378,3773,0
384,3749,0
391,3723,0
403,3696,0
417,3682,0
431,3674,0
441,3675,0
450,3681,0
458,3694,0
466,3724,0
477,3746,0
489,3764,0
503,3771,0
515,3777,0
525,3774,0
533,3771,0
540,3761,0
548,3749,0
555,3723,0
562,3699,0
568,3672,0
570,3660,0
571,3652,0
571,3656,0
570,3660,0
571,3664,0
572,3684,0
572,3713,0
574,3732,0
574,3757,0
576,3781,0
577,3798,0
580,3798,0
581,3798,1
547,3482,0
547,3474,0
547,3470,0
550,3470,0
555,3475,1
637,3648,0
635,3648,0
634,3644,0
634,3648,0
635,3648,0
636,3660,0
636,3684,0
634,3704,0
631,3729,0
628,3744,0
626,3756,0
627,3760,0
627,3760,0
627,3756,0
627,3752,0
627,3744,0
631,3720,0
639,3693,0
649,3667,0
661,3648,0
673,3629,0
683,3621,0
692,3619,0
701,3624,0
710,3633,0
719,3650,0
726,3667,0
731,3687,0
731,3699,0
731,3708,0
732,3711,0
733,3712,0
734,3708,0
738,3700,0
741,3681,0
746,3656,0
751,3641,0
756,3629,0
758,3630,0
760,3630,0
764,3631,0
772,3639,0
781,3651,0
788,3672,0
793,3689,0
798,3706,0
803,3722,0
810,3738,0
822,3747,1
922,3689,0
924,3689,0
926,3689,0
928,3698,0
929,3713,0
928,3733,0
924,3761,0
916,3793,0
906,3824,0
895,3848,0
889,3864,0
889,3875,0
897,3880,1
1219,3534,0
1212,3534,0
1201,3535,0
1189,3543,0
1175,3563,0
1161,3592,0
1150,3619,0
1146,3648,0
1148,3664,0
1158,3679,0
1173,3683,0
1191,3682,0
1211,3674,0
1229,3661,0
1244,3641,0
1249,3612,0
1248,3592,0
1239,3565,0
1225,3546,0
1211,3535,0
1197,3526,0
1188,3522,0
1186,3527,0
1185,3522,0
1192,3531,0
1204,3538,0
1219,3538,0
1237,3537,0
1259,3536,0
1281,3523,0
1302,3513,0
1319,3504,0
1333,3495,0
1342,3494,0
1344,3490,0
1345,3490,0
1345,3494,0
1346,3502,0
1345,3518,0
1344,3547,0
1341,3575,0
1336,3603,0
1336,3624,0
1339,3635,0
1341,3635,0
1344,3635,0
1348,3634,0
1351,3629,0
1356,3609,0
1363,3589,0
1372,3564,0
1382,3547,0
1389,3530,0
1392,3522,0
1395,3526,0
1401,3525,0
1407,3528,0
1415,3544,0
1423,3563,0
1432,3583,0
1443,3597,0
1454,3604,0
1469,3615,0
1486,3617,0
1505,3610,0
1527,3600,0
1549,3577,0
1572,3553,0
1590,3530,0
1599,3504,0
1602,3492,0
1599,3488,0
1592,3489,0
1582,3491,0
1574,3504,0
1566,3530,0
1564,3562,0
1567,3582,0
1585,3604,0
1609,3612,0
1643,3619,1
1978,3390,0
1978,3385,0
1987,3387,0
1998,3388,0
2014,3387,0
2040,3389,0
2067,3384,0
2096,3375,0
2123,3363,0
2142,3344,0
2156,3331,0
2161,3312,0
2164,3298,0
2158,3279,0
2145,3262,0
2128,3256,0
2098,3249,0
2069,3258,0
2040,3276,0
2017,3304,0
2002,3341,0
1995,3385,0
1995,3436,0
1999,3488,0
2004,3544,0
2009,3601,0
2013,3658,0
2017,3703,0
2022,3738,0
2022,3759,0
2022,3767,0
2021,3767,0
2012,3757,0
2000,3740,0
1984,3711,0
1966,3674,0
1954,3645,0
1944,3614,0
1941,3594,0
1940,3586,0
1947,3588,0
1956,3586,0
1975,3594,0
2003,3602,0
2036,3602,0
2074,3595,0
2108,3573,0
2142,3550,0
2171,3515,0
2197,3477,0
2219,3436,0
2235,3387,0
2250,3353,0
2253,3322,0
2253,3308,0
2251,3305,0
2248,3302,0
2246,3315,0
2246,3345,0
2243,3381,0
2246,3426,0
2248,3467,0
2253,3504,0
2261,3539,0
2274,3569,1
2461,3510,0
2464,3505,0
2467,3499,0
2467,3491,0
2463,3479,0
2456,3469,0
2442,3462,0
2425,3461,0
2404,3469,0
2381,3486,0
2361,3512,0
2350,3542,0
2343,3565,0
2349,3585,0
2360,3597,0
2375,3605,0
2390,3603,0
2403,3594,0
2414,3576,0
2422,3552,0
2432,3527,0
2439,3498,0
2439,3472,0
2441,3467,0
2438,3463,0
2439,3468,0
2437,3477,0
2440,3502,0
2449,3533,0
2457,3551,0
2467,3560,0
2481,3563,0
2499,3568,0
2513,3558,0
2530,3542,0
2542,3510,0
2555,3470,0
2569,3428,0
2574,3382,0
2572,3339,0
2569,3310,0
2562,3291,0
2551,3278,0
2544,3272,0
2541,3274,0
2542,3279,0
2540,3292,0
2542,3322,0
2545,3361,0
2548,3395,0
2557,3430,0
2567,3456,0
2577,3478,0
2584,3497,0
2588,3513,0
2587,3522,0
2584,3522,1
2512,3462,0
2512,3462,0
2512,3458,0
2517,3456,0
2527,3456,0
2540,3455,0
2558,3456,0
2577,3456,1
2713,3498,0
2715,3501,0
2717,3505,0
2717,3514,0
2714,3527,0
2712,3547,0
2705,3563,0
2699,3584,0
2693,3605,0
2685,3622,0
2681,3641,0
2680,3655,0
2684,3671,1
2988,3264,0
2992,3275,0
2998,3295,0
2999,3323,0
3000,3359,0
3004,3399,0
3006,3435,0
3015,3476,0
3020,3506,0
3023,3527,0
3023,3545,0
3021,3560,0
3015,3563,1
2899,3418,0
2900,3418,0
2915,3423,0
2936,3434,0
2965,3445,0
2989,3445,0
3014,3444,0
3041,3437,0
3062,3420,0
3080,3395,0
3096,3370,0
3106,3341,0
3110,3310,0
3112,3289,0
3107,3279,0
3107,3279,0
3107,3278,0
3105,3284,0
3106,3313,0
3104,3351,0
3107,3402,0
3108,3439,0
3115,3472,0
3122,3492,0
3129,3506,0
3135,3511,0
3137,3510,0
3142,3507,0
3149,3493,0
3158,3465,0
3170,3438,0
3183,3419,0
3187,3416,0
3192,3423,0
3198,3438,0
3205,3462,0
3217,3489,0
3233,3507,0
3248,3521,0
3263,3525,0
3284,3527,0
3305,3516,0
3327,3498,0
3348,3468,0
3365,3433,0
3377,3399,0
3378,3374,0
3372,3363,0
3363,3366,0
3345,3373,0
3323,3388,0
3316,3418,0
3313,3444,0
3320,3473,0
3341,3498,0
3362,3508,0
3392,3515,1
3699,3229,0
3701,3228,0
3699,3229,0
3701,3228,0
3701,3238,0
3703,3257,0
3706,3291,0
3709,3330,0
3703,3368,0
3706,3411,0
3706,3452,0
3713,3488,0
3713,3513,0
3718,3530,0
3722,3537,0
3725,3539,0
3726,3538,0
3730,3530,0
3733,3507,0
3744,3478,0
3756,3447,0
3773,3417,0
3792,3397,0
3807,3384,0
3818,3380,0
3829,3382,0
3845,3394,0
3858,3409,0
3870,3436,0
3866,3460,0
3860,3491,0
3841,3512,0
3820,3535,0
3800,3550,0
3778,3563,0
3753,3568,0
3730,3566,0
3714,3557,0
3706,3544,0
3701,3516,0
3711,3484,1
3922,3267,0
3919,3270,0
3922,3277,0
3928,3300,0
3929,3331,0
3933,3365,0
3938,3398,0
3941,3432,0
3946,3465,0
3951,3498,0
3957,3530,0
3964,3554,0
3977,3566,1
4142,3477,0
4154,3467,0
4159,3450,0
4167,3432,0
4167,3415,0
4164,3397,0
4156,3388,0
4142,3384,0
4123,3386,0
4101,3395,0
4077,3417,0
4061,3443,0
4054,3476,0
4050,3501,0
4056,3518,0
4061,3524,0
4070,3526,0
4084,3525,0
4089,3514,0
4100,3499,0
4110,3479,0
4114,3455,0
4116,3431,0
4116,3409,0
4115,3409,0
4114,3411,0
4112,3424,0
4112,3445,0
4121,3476,0
4132,3497,0
4149,3510,0
4167,3515,0
4188,3517,0
4204,3507,0
4220,3492,0
4239,3474,0
4251,3446,0
4258,3421,0
4263,3407,0
4261,3403,0
4262,3402,0
4266,3404,0
4263,3411,0
4269,3433,0
4270,3455,0
4268,3474,0
4268,3485,0
4276,3494,0
4281,3495,0
4291,3491,0
4302,3479,0
4314,3458,0
4330,3436,0
4345,3415,0
4357,3403,0
4364,3402,0
4374,3409,0
4384,3427,0
4391,3448,0
4404,3475,0
4414,3493,0
4421,3509,0
4427,3520,0
4431,3516,0
4437,3504,1
4429,3269,0
4427,3296,0
4430,3327,0
4428,3358,0
4425,3390,0
4430,3426,0
4432,3451,0
4439,3474,0
4442,3482,0
4448,3488,0
4451,3490,0
4449,3486,0
4451,3479,0
4454,3457,0
4469,3431,0
4480,3402,0
4495,3382,0
4505,3370,0
4508,3361,0
4513,3362,0
4512,3358,1
4461,3417,0
4471,3424,0
4480,3431,0
4495,3445,0
4512,3462,0
4531,3477,0
4552,3490,0
4572,3502,0
4589,3508,1
4630,3477,0
4630,3477,0
4634,3473,0
4646,3471,0
4660,3461,0
4682,3449,0
4701,3428,0
4720,3408,0
4731,3382,0
4739,3363,0
4740,3349,0
4729,3337,0
4719,3330,0
4702,3332,0
4682,3341,0
4667,3365,0
4651,3395,0
4639,3426,0
4640,3455,0
4654,3479,0
4673,3489,0
4700,3495,0
4725,3491,0
4753,3484,0
4775,3466,0
4796,3442,0
4812,3412,0
4821,3377,0
4821,3339,0
4822,3308,0
4823,3281,0
4814,3260,0
4807,3250,0
4796,3244,0
4796,3246,0
4792,3250,0
4789,3265,0
4789,3296,0
4790,3332,0
4792,3367,0
4796,3399,0
4801,3424,0
4805,3445,0
4808,3459,0
4804,3462,0
4803,3465,0
4799,3463,0
4794,3457,0
4780,3441,0
4777,3428,0
4770,3412,0
4772,3403,0
4780,3394,0
4792,3385,0
4802,3374,0
4820,3366,0
4837,3358,1
5002,3346,0
5004,3345,0
5007,3341,0
5006,3336,0
4999,3326,1
4936,3321,0
4918,3323,0
4912,3330,0
4912,3336,0
4922,3345,0
4930,3352,0
4944,3361,0
4965,3373,0
4985,3386,0
5009,3402,0
5033,3416,0
5047,3430,0
5057,3444,0
5056,3452,0
5047,3463,0
5025,3471,0
5004,3476,0
4985,3481,0
4959,3480,0
4938,3474,1
5419,3303,0
5400,3300,0
5386,3306,0
5374,3317,0
5359,3336,0
5349,3358,0
5340,3382,0
5342,3405,0
5347,3421,0
5356,3427,0
5376,3433,0
5394,3431,0
5410,3422,0
5417,3407,0
5424,3390,0
5425,3369,0
5422,3345,0
5417,3325,0
5409,3308,0
5405,3302,0
5404,3303,0
5403,3305,0
5405,3315,0
5407,3332,0
5419,3349,0
5438,3357,0
5457,3360,0
5477,3358,0
5499,3356,0
5513,3349,0
5520,3339,0
5528,3330,0
5528,3321,0
5526,3317,0
5528,3321,0
5523,3322,0
5523,3336,0
5528,3364,0
5526,3387,0
5525,3402,0
5528,3412,0
5534,3417,0
5538,3417,0
5548,3411,0
5563,3397,0
5583,3375,0
5605,3351,0
5626,3329,0
5639,3318,0
5644,3315,0
5648,3317,0
5663,3332,0
5672,3346,0
5683,3366,0
5692,3381,0
5697,3394,0
5702,3402,1
5862,3122,0
5859,3119,0
5864,3118,0
5861,3116,0
5867,3122,0
5867,3136,0
5863,3157,0
5866,3184,0
5863,3209,0
5868,3240,0
5872,3271,0
5874,3305,0
5879,3339,0
5884,3368,0
5887,3387,0
5885,3397,0
5887,3400,1
5751,3272,0
5747,3272,0
5746,3273,0
5754,3276,0
5769,3283,0
5795,3293,0
5822,3296,0
5848,3293,0
5873,3284,0
5895,3271,0
5921,3254,0
5935,3231,0
5947,3205,0
5953,3179,0
5955,3155,0
5950,3139,0
5941,3132,0
5933,3129,0
5924,3134,0
5927,3154,0
5920,3181,0
5916,3216,0
5914,3251,0
5914,3286,0
5915,3315,0
5921,3341,0
5932,3361,0
5935,3371,0
5947,3376,0
5948,3373,0
5955,3363,0
5970,3347,0
5978,3321,0
5991,3299,0
5999,3280,0
6005,3278,0
6006,3276,0
6005,3278,0
6007,3291,0
6008,3311,0
6015,3336,0
6021,3357,0
6026,3370,0
6038,3382,0
6054,3388,0
6072,3388,0
6092,3380,0
6110,3366,0
6124,3344,0
6133,3323,0
6136,3301,0
6136,3287,0
6126,3280,0
6112,3280,0
6092,3291,0
6070,3310,0
6059,3334,0
6061,3361,0
6071,3384,0
6089,3407,0
6114,3419,1
6442,3250,0
6431,3245,0
6416,3246,0
6407,3262,0
6390,3292,0
6373,3327,0
6368,3366,0
6367,3393,0
6379,3411,0
6394,3424,0
6415,3428,0
6425,3421,0
6443,3413,0
6454,3395,0
6463,3373,0
6457,3342,0
6457,3313,0
