for it, she said, &quot;Have you
439
952,2506,0
936,2568,0
922,2651,0
907,2747,0
892,2854,0
854,3068,0
834,3151,0
820,3218,0
810,3261,0
805,3276,0
802,3264,0
800,3228,1
803,2786,0
798,2790,0
801,2810,0
806,2847,1
1102,2757,0
1104,2729,0
1095,2709,0
1075,2701,0
1044,2700,0
1010,2724,0
972,2766,0
936,2817,0
969,2934,0
1000,2912,0
1030,2888,0
1052,2861,0
1065,2832,1
1159,2740,0
1167,2771,0
1175,2911,0
1169,2891,0
1165,2864,0
1165,2828,0
1170,2787,0
1182,2750,0
1202,2718,0
1226,2692,0
1254,2671,1
1696,2633,0
1675,2642,0
1660,2687,0
1636,2745,0
1603,2801,0
1569,2840,0
1558,2883,0
1557,2903,0
1566,2910,0
1575,2892,1
1852,2622,0
1828,2696,0
1804,2770,0
1780,2834,0
1763,2888,0
1749,2921,0
1743,2938,0
1740,2939,1
1722,2770,0
1724,2762,0
1727,2761,0
1739,2762,0
1763,2760,0
1797,2755,0
1834,2745,0
1875,2736,1
2002,2829,0
1992,2871,0
1982,2929,0
1969,2983,1
2192,2729,0
2211,2757,0
2237,2784,0
2268,2815,0
2287,2837,0
2296,2859,0
2294,2878,0
2280,2892,0
2257,2902,0
2230,2909,0
2203,2907,0
2178,2896,0
2160,2877,1
2413,2425,0
2423,2409,0
2433,2413,0
2438,2428,0
2440,2460,0
2435,2509,0
2428,2572,0
2412,2641,0
2393,2709,0
2379,2775,0
2370,2824,0
2370,2855,0
2384,2871,0
2406,2869,0
2433,2846,0
2468,2810,0
2504,2763,0
2542,2714,0
2580,2673,0
2609,2637,0
2634,2618,0
2649,2608,0
2654,2610,0
2646,2629,0
2631,2666,0
2614,2719,0
2601,2769,0
2598,2817,0
2610,2855,0
2630,2877,0
2657,2883,0
2694,2876,0
2739,2858,0
2784,2825,0
2828,2782,0
2866,2732,0
2895,2682,0
2919,2649,0
2917,2617,0
2905,2601,0
2884,2601,0
2852,2615,0
2813,2647,0
2780,2694,0
2758,2748,0
2743,2794,0
2750,2837,0
2780,2871,0
2823,2895,1
3402,2570,0
3387,2550,0
3367,2537,0
3342,2533,0
3313,2539,0
3282,2557,0
3250,2581,0
3223,2610,0
3209,2638,0
3211,2663,0
3230,2688,0
3264,2712,0
3295,2728,0
3328,2747,0
3346,2762,0
3357,2780,0
3349,2796,0
3327,2815,0
3283,2832,0
3235,2850,0
3189,2862,0
3157,2871,0
3134,2873,0
3129,2872,0
3135,2862,1
3554,2634,0
3559,2612,0
3556,2591,0
3547,2578,0
3521,2571,0
3493,2577,0
3461,2597,0
3428,2628,0
3400,2671,0
3379,2717,0
3367,2755,0
3372,2782,0
3386,2796,0
3410,2802,0
3434,2792,0
3464,2775,0
3495,2753,0
3522,2721,0
3546,2682,0
3572,2644,0
3592,2612,0
3605,2593,0
3614,2590,0
3610,2593,0
3607,2614,0
3600,2651,0
3588,2697,0
3578,2750,0
3568,2798,0
3573,2833,0
3588,2856,0
3612,2867,0
3641,2861,0
3672,2843,0
3703,2813,0
3735,2775,0
3766,2726,0
3788,2673,0
3804,2620,0
3807,2580,0
3807,2557,0
3798,2543,0
3795,2545,0
3794,2565,0
3791,2605,0
3785,2651,0
3781,2699,0
3774,2741,0
3766,2777,0
3766,2812,0
3764,2832,0
3766,2835,0
3768,2828,1
3802,2414,0
3802,2395,0
3807,2388,0
3819,2393,0
3831,2410,1
4065,2697,0
4072,2671,0
4075,2642,0
4072,2621,0
4060,2610,0
4032,2606,0
4000,2613,0
3954,2630,0
3917,2661,0
3883,2700,0
3864,2744,0
3850,2777,0
3863,2808,0
3872,2816,0
3903,2825,0
3929,2815,0
3962,2798,0
3991,2771,0
4017,2735,0
4038,2686,0
4060,2629,0
4082,2570,0
4096,2514,0
4104,2465,0
4111,2428,0
4114,2398,0
4118,2378,0
4119,2370,0
4120,2376,0
4113,2399,0
4097,2440,0
4079,2497,0
4064,2561,0
4046,2622,0
4033,2680,0
4030,2732,0
4038,2778,0
4052,2816,0
4067,2841,0
4088,2859,0
4114,2873,1
4301,2833,1
4324,2837,0
4317,2858,0
4282,2881,1
4694,2402,0
4685,2448,0
4665,2493,0
4654,2531,0
4655,2551,1
4763,2350,0
4741,2386,0
4729,2437,0
4706,2489,0
4683,2530,1
4956,2409,0
4937,2464,0
4917,2536,0
4896,2621,0
4866,2703,0
4828,2774,0
4799,2842,0
4769,2891,0
4764,2930,1
5045,2533,0
5029,2583,0
5021,2642,0
5010,2704,0
4994,2757,0
4990,2806,0
4978,2837,0
4970,2864,0
4961,2877,1
4859,2714,0
4858,2716,0
4859,2713,0
4872,2709,0
4885,2697,1
5221,2635,0
5201,2632,0
5179,2637,0
5150,2653,0
5125,2687,0
5083,2731,0
5060,2781,0
5040,2809,0
5048,2827,0
5072,2834,0
5098,2823,0
5134,2806,0
5166,2785,0
5197,2760,0
5221,2729,0
5243,2701,0
5253,2676,0
5260,2671,0
5260,2673,0
5259,2690,0
5252,2717,0
5243,2753,0
5240,2798,0
5236,2840,0
5237,2876,0
5239,2900,0
5245,2914,0
5256,2919,0
5268,2908,1
5358,2577,0
5359,2582,0
5366,2601,0
5377,2631,0
5390,2673,0
5397,2716,0
5398,2753,0
5402,2785,0
5405,2811,0
5412,2823,0
5424,2825,0
5441,2815,0
5460,2790,0
5484,2758,0
5507,2717,0
5527,2668,0
5542,2622,1
5552,2807,0
5583,2794,0
5623,2774,0
5655,2741,0
5682,2700,0
5700,2659,0
5709,2626,0
5706,2606,0
5698,2594,0
5676,2593,0
5651,2606,0
5624,2639,0
5591,2683,0
5571,2729,0
5567,2766,0
5582,2795,0
5613,2813,1
5991,2528,0
6010,2517,0
6011,2514,0
6015,2526,0
6000,2547,0
5994,2578,0
5981,2603,0
5979,2624,0
5979,2636,0
5988,2644,0
6000,2646,0
6024,2643,0
6046,2635,0
6071,2630,0
6084,2630,0
6100,2642,0
6102,2665,0
6106,2702,0
6104,2751,0
6096,2810,0
6093,2873,0
6078,2942,0
6075,3006,0
6054,3058,0
6042,3103,0
6022,3128,0
5999,3136,0
5978,3124,0
5974,3091,0
5983,3037,0
6008,2977,0
6043,2917,0
6082,2852,1
6366,2568,0
6367,2554,0
6351,2542,0
6341,2543,0
6313,2549,0
6286,2569,0
6241,2600,0
6213,2639,0
6184,2672,0
6179,2700,0
6180,2716,0
6198,2724,0
6230,2724,0
6255,2717,0
6287,2707,0
6313,2690,0
6332,2667,0
6341,2640,0
6349,2615,0
6337,2591,0
6329,2579,1
6486,2484,0
6493,2486,0
6495,2495,0
6495,2512,0
6491,2540,0
6485,2577,0
6483,2618,0
6482,2650,0
6487,2676,0
6495,2688,0
6515,2694,0
6531,2688,0
6550,2674,0
6569,2652,0
6586,2624,0
6601,2589,0
6612,2555,0
6616,2525,0
6613,2502,0
6617,2492,0
6617,2492,0
6613,2501,0
6609,2521,0
6604,2553,0
6596,2591,0
6599,2635,0
6597,2676,0
6598,2712,0
6602,2743,1
