&quot;I &apos;m Here,&quot; she said, &quot;and
672
613,1650,0
617,1659,0
617,1663,0
617,1663,0
617,1663,0
617,1667,0
617,1680,0
617,1701,0
617,1713,0
617,1734,0
619,1751,0
620,1768,0
622,1785,0
622,1794,0
624,1807,0
627,1804,0
632,1797,1
671,1654,0
671,1658,0
671,1662,0
670,1679,0
666,1698,0
665,1732,0
664,1747,0
664,1768,0
665,1781,1
867,1657,0
866,1658,0
865,1654,0
866,1657,0
865,1658,0
866,1670,0
864,1686,0
863,1706,0
866,1730,0
867,1751,0
870,1779,0
873,1807,0
877,1841,0
880,1873,0
882,1906,0
886,1942,0
887,1971,0
890,1995,0
892,2019,0
895,2036,0
895,2052,0
896,2064,0
895,2072,0
895,2075,0
894,2076,0
894,2076,0
894,2076,0
895,2076,0
892,2060,1
981,1610,0
980,1605,0
984,1609,0
988,1610,0
995,1619,0
1001,1627,0
1004,1639,0
1003,1655,0
997,1679,0
984,1698,0
969,1717,0
957,1736,0
950,1744,1
1068,1837,0
1068,1849,0
1069,1865,0
1071,1884,0
1078,1913,0
1083,1932,0
1088,1961,0
1093,1989,0
1093,2009,0
1097,2029,0
1097,2033,0
1098,2033,0
1098,2033,0
1099,2025,0
1096,1997,0
1097,1964,0
1103,1933,0
1105,1897,0
1114,1873,0
1124,1853,0
1139,1843,0
1152,1835,0
1172,1846,0
1192,1869,0
1206,1896,0
1220,1932,0
1230,1958,0
1261,1988,0
1268,2012,0
1276,2026,0
1280,2034,0
1280,2034,0
1286,2034,0
1283,2017,0
1286,1989,0
1282,1949,0
1294,1912,0
1307,1878,0
1319,1848,0
1335,1833,0
1346,1824,0
1356,1822,0
1366,1829,0
1382,1850,0
1393,1877,0
1404,1907,0
1414,1938,0
1423,1964,0
1433,1991,0
1439,2010,0
1444,2025,0
1454,2043,0
1458,2051,1
1912,1619,0
1911,1620,0
1911,1624,0
1911,1634,0
1915,1650,0
1918,1672,0
1918,1694,0
1916,1718,0
1918,1749,0
1923,1783,0
1924,1814,0
1930,1850,0
1934,1884,0
1934,1911,0
1940,1939,0
1948,1962,0
1955,1981,0
1959,1992,0
1961,2000,0
1964,2003,0
1964,2002,1
2078,1628,0
2077,1629,0
2079,1633,0
2071,1643,0
2070,1667,0
2075,1698,0
2075,1727,0
2077,1758,0
2079,1790,0
2084,1824,0
2092,1862,0
2093,1894,0
2096,1924,0
2101,1949,0
2105,1965,0
2111,1980,0
2116,1986,0
2118,1990,0
2116,1987,0
2111,1980,0
2099,1964,1
1940,1886,0
1942,1885,0
1947,1882,0
1959,1872,0
1984,1858,0
2015,1841,0
2049,1827,0
2085,1819,0
2108,1809,1
2140,1950,0
2140,1950,0
2145,1946,0
2154,1936,0
2169,1923,0
2189,1901,0
2216,1878,0
2239,1848,0
2262,1822,0
2276,1797,0
2289,1783,0
2289,1773,0
2285,1771,0
2287,1775,0
2273,1780,0
2256,1797,0
2241,1827,0
2222,1855,0
2208,1883,0
2198,1909,0
2198,1937,0
2207,1964,0
2221,1985,0
2244,2002,0
2268,2011,0
2291,2011,0
2318,2007,0
2340,1992,0
2360,1973,0
2375,1948,0
2386,1920,0
2400,1894,0
2406,1865,0
2411,1840,0
2412,1819,0
2411,1804,0
2414,1802,0
2415,1801,0
2415,1801,0
2416,1805,0
2417,1820,0
2422,1846,0
2431,1875,0
2433,1894,0
2441,1918,0
2444,1936,0
2449,1952,0
2451,1961,0
2453,1965,0
2453,1965,0
2451,1961,0
2453,1955,0
2452,1930,0
2450,1901,0
2441,1872,0
2427,1848,0
2414,1833,0
2403,1821,0
2398,1814,0
2400,1812,0
2404,1804,0
2420,1797,0
2443,1788,0
2472,1785,0
2503,1783,1
2580,1944,0
2586,1940,0
2595,1932,0
2613,1921,0
2632,1904,0
2654,1880,0
2683,1857,0
2709,1833,0
2735,1813,0
2745,1792,0
2751,1778,0
2753,1771,0
2748,1765,0
2742,1765,0
2730,1771,0
2711,1786,0
2696,1812,0
2676,1836,0
2668,1866,0
2656,1893,0
2656,1920,0
2659,1945,0
2671,1966,0
2691,1985,0
2716,1996,0
2747,2000,0
2780,1997,0
2817,1990,0
2855,1981,0
2883,1970,0
2905,1960,0
2913,1950,0
2914,1943,1
2983,1924,0
2987,1932,0
2986,1944,0
2985,1968,0
2977,2000,0
2960,2029,0
2941,2059,0
2919,2085,0
2893,2104,1
3160,1528,0
3160,1535,0
3156,1549,0
3156,1570,0
3158,1594,0
3163,1617,0
