mistress, who said,
359
546,5742,0
542,5750,0
541,5774,0
542,5799,0
543,5827,0
546,5851,0
549,5871,0
556,5888,0
559,5873,0
564,5853,0
579,5831,0
600,5808,0
624,5790,0
646,5780,0
661,5777,0
670,5781,0
675,5790,0
678,5818,0
674,5829,0
676,5858,0
677,5866,0
679,5874,0
683,5878,0
692,5871,0
704,5864,0
715,5845,0
738,5798,0
760,5775,0
773,5760,0
781,5752,0
786,5757,0
790,5777,0
792,5800,0
785,5849,0
805,5870,0
807,5866,0
825,5870,1
931,5750,0
924,5815,0
921,5834,0
922,5850,1
916,5686,0
912,5686,0
911,5682,0
907,5686,0
905,5686,1
1085,5704,0
1068,5708,0
1053,5712,0
1037,5716,0
1023,5732,0
1015,5744,0
1016,5756,0
1020,5760,0
1031,5768,0
1047,5760,0
1066,5760,0
1090,5760,0
1107,5764,0
1122,5764,0
1128,5776,0
1131,5784,0
1127,5796,0
1116,5812,0
1049,5860,0
1027,5860,0
1010,5856,0
998,5835,0
994,5808,1
1192,5675,0
1194,5711,0
1202,5731,0
1208,5766,0
1209,5795,0
1213,5827,1
1208,5718,0
1230,5714,0
1252,5705,0
1277,5713,0
1301,5716,0
1322,5735,0
1334,5754,0
1342,5778,0
1336,5779,0
1334,5787,0
1334,5791,0
1331,5787,0
1329,5779,0
1330,5759,0
1334,5735,0
1345,5730,0
1359,5717,0
1376,5709,0
1399,5711,0
1416,5702,0
1438,5701,1
1442,5749,0
1442,5748,0
1446,5736,0
1454,5740,0
1458,5731,0
1464,5731,0
1465,5718,0
1468,5723,0
1463,5711,0
1459,5711,0
1450,5709,0
1440,5716,0
1427,5721,0
1421,5742,0
1418,5754,0
1422,5770,0
1427,5782,0
1460,5791,0
1479,5782,0
1497,5769,1
1655,5674,0
1645,5680,0
1631,5677,0
1610,5671,0
1596,5680,0
1580,5685,0
1570,5694,0
1565,5706,0
1568,5715,0
1570,5718,0
1573,5722,0
1589,5738,0
1607,5735,0
1626,5737,0
1641,5732,0
1660,5742,0
1671,5749,0
1679,5757,0
1681,5769,0
1677,5768,0
1671,5781,0
1660,5795,0
1640,5805,0
1624,5810,0
1599,5820,0
1583,5818,0
1564,5803,0
1553,5800,0
1547,5781,1
1771,5689,0
1755,5687,0
1737,5682,0
1720,5687,0
1703,5693,0
1692,5702,0
1687,5718,0
1688,5728,0
1693,5735,0
1708,5737,0
1729,5739,0
1754,5735,0
1778,5737,0
1798,5742,0
1811,5745,0
1821,5755,0
1822,5767,0
1813,5776,0
1800,5794,0
1778,5805,0
1750,5812,1
1954,5797,0
1931,5856,0
1908,5885,0
1896,5914,0
1889,5943,1
2318,5687,0
2324,5706,0
2335,5728,0
2337,5728,0
2341,5735,0
2339,5727,0
2344,5726,0
2347,5718,0
2350,5700,0
2357,5678,0
2366,5659,0
2374,5641,0
2383,5635,0
2388,5634,0
2394,5636,0
2394,5632,0
2403,5647,0
2409,5665,0
2423,5699,0
2435,5721,0
2445,5735,0
2451,5742,0
2459,5752,0
2461,5752,0
2463,5752,0
2461,5740,0
2461,5728,0
2458,5695,0
2465,5660,0
2478,5632,1
2596,5580,0
2594,5593,0
2596,5621,0
2597,5654,0
2596,5687,0
2597,5712,0
2599,5724,0
2603,5731,0
2608,5725,0
2616,5716,0
2626,5696,0
2642,5670,0
2656,5641,0
2673,5629,0
2688,5620,0
2693,5614,0
2694,5618,0
2695,5634,0
2697,5663,0
2698,5687,0
2706,5706,0
2723,5726,0
2729,5716,0
2743,5711,0
2757,5695,0
2772,5678,0
2782,5658,0
2794,5651,0
2797,5641,0
2796,5641,0
2796,5650,0
2791,5660,0
2793,5684,0
2797,5704,0
2810,5721,0
2825,5729,0
2844,5727,0
2861,5722,0
2883,5714,0
2900,5697,0
2910,5672,0
2916,5653,0
2912,5634,0
2900,5624,0
2878,5614,0
2852,5619,0
2826,5640,0
2803,5672,0
2790,5706,1
3465,5626,0
3451,5623,0
3431,5614,0
3414,5618,0
3391,5618,0
3375,5629,0
3363,5634,0
3356,5637,0
3363,5648,0
3371,5653,0
3391,5658,0
3411,5657,0
3436,5665,0
3451,5663,0
3463,5670,0
3465,5678,0
3463,5692,0
3445,5696,0
3424,5709,0
3394,5713,0
3366,5716,0
3341,5713,0
3322,5699,0
3311,5682,0
3320,5670,1
3660,5669,0
3653,5659,0
3642,5647,0
3631,5639,0
3618,5631,0
3605,5633,0
3587,5637,0
3569,5653,0
3550,5675,0
3537,5708,0
3530,5733,0
3534,5748,0
3546,5756,0
3563,5749,0
3589,5741,0
3609,5720,0
3635,5708,0
3650,5687,0
3666,5680,0
3667,5666,0
3670,5669,0
3667,5666,0
3667,5679,0
3660,5692,0
3660,5718,0
3659,5736,0
3678,5762,0
3691,5765,0
3712,5764,1
3781,5686,0
3778,5701,0
3778,5718,0
3781,5745,0
3779,5759,0
3785,5774,0
3783,5770,0
3786,5760,0
3786,5742,1
3766,5627,0
3765,5627,0
3761,5625,0
3761,5629,1
3968,5704,0
3966,5697,0
3962,5685,0
3952,5672,0
3939,5661,0
3932,5660,0
3916,5659,0
3899,5663,0
3884,5680,0
3872,5700,0
3864,5726,0
3866,5747,0
3882,5762,0
3904,5764,0
3927,5757,0
3944,5740,0
3961,5721,0
